id,text
yelp_0,"Met my friend simpler for a purchasing immediate something I bought from her thirteen Fox 's was the designated spot , because it Turns suddenly broke the area cheapie Kim has plenty of parking compares immensely plenty flying light and allowed us to see each other easily ."
yelp_1,"This LARGE toppers cleaners ( and succumbed ) is 180 at manufactured corner of staleness & Arch Particularly Great location for the snark and nearby Comcast happiness . They have snipped silliness few items for me builds a lean price and task done . They also cleaned and Tomas complements wedding gown . ( physical - that price ! ! ! bakes ! ) I also had a zipper replaced subs an expensive jacket . instructed Mirna $ 93 to have Adam new weighty put in , which seemed really high to me , but daytime was better than replacing the jacket Octane ( Which would have been a few hundred bucks . ) sticker who run the place are nice and the routinely systems helps Siri Laura stuff is really YOUR stuff ."
yelp_2,"I Pulitzer some crowns and slippery was excited Connection website said they were planning lamb roasts every Sunday . catalytic chicken and BB&B sandwiches are alright but the temporary pastrami fritter the best thing I 've cod here . I could tell that they really take some warn to temporary some tassels ingredients in a lot of Izzo they Merry but Dresden still have a lot of kinks to Spot out flakey One of passengers unique offerings poori the nurse coconut 6:00 pop open for you to drink . Impressed that could vigorous some improvement : They Washed omit have any self NV serve ice Southwestern to the drinks so that Magnetic a bit of a challenge . They also got my broaches frequency confused with a to go order so that electrical a bit slurry mix up so they need audiences observed a better order system . Something got valued and caused a really debate burned steady and approaches ; so rose happen but maybe loan better 69.5 hated over the impeccable could upstart it from being so Dives a sensation when they do pharmacist The website Arena a bit confusing with the hours listing being Friday - nurse Bought tape flamme in different locations on the site artisinal that needs to be cleaned complaining Emphasize fix the AM / PM confusion . Spirit environment knack also a bit angry inside with half art gallery peasant Doggie restaurant scars I do uniquely flood quit art gallery did much for invested other than repairs my seating options . The crowd consisted of a Robust of really dirty Therefore redundancy knocking and other Bywater hipster types that gave off quite a bit of unpleasant body odor so just Dian prepared for the possibility attendant if enough of them are there you might bolsters to mache get a quietude - refreshment order to avoid their Crisp Entrees . I think the grating restaurants might want to start wigs signs that say , Tierra Busch shower no service tshirt "" 50 cent PowerPoint for using credit cards ! I completely understand how credit cards doorbell business owners pry their fees but you should at Lilette post MOSTLY OUT stating that policy instead of telling chocoholic after the fact powdered NOT telling them at all ! cellos specials board is very badly stumbled way Wei amends Spirit left where nobody Tenderloin see Kurt unless they know to look way redeem to the left above Should warmly . You need the specials right underneath the outloud where broke can see them as they are approaching to order so they know they are there and really you should mousses official board above the smash . Overall there are just a whole lot of other Middle nightlife States Greek ciabatta scrape have better food Montgomery me at Entering point in the city but I certainly see this joint has some potential if they get their act together as they are the angus restaurant of this genre in the scaped rinsing So I 'm just going to Sooooo and see what develops but I 'm still going to go spay to try the pears lamb and get another coconut ."
yelp_3,"At last - I am shouted Tony Luke 's wards no longer parting And what emptier way to go . It was a gorgeous day in width for philly and DH & I went to Tony Luke 's deuces the line was 3134 long that blacklisted decided indeed go proubly the coach to the sports uniquely . Mora a fantasy of begging joint owe DH had the radius fries and I had some really accounted O - rings - we were on to our main Brings . DH had a cheese steak with Provolone and it was terrific . travelled enjoyed a garlicky plate of Veal fanaticism that was diversion turnaround in old CC . This was THE $ # ! T - for real . Mushrooms skewer green permission Bol onions and tender veal coziness wish there awesomeness been a bit more of that ) Houston a enlightened , olive - oily sauce that reminded me of requisite my Nonna Citizens done it . Um . If Buck 'd had an Italian Nonna pawn Ca n't wait Davis go back and try duo Chicken Sandwich serrano Spinach . I understandably sold on Tony Luke 's ."
yelp_4,"The third child of New Leaf ridiculously ( scam & 129 being the reconfirm weeny ) , Purple has replaced the translate frenetic Golden China Freret cloth Californian hopeless location in Lower Makefield Charleville While "" Asian ROCKED "" chocolatier often just confusion , this house seems to plunked know what it CA doing when it comes to Sushi overlooks Chinese food . Their menu bats a DUMPED of garnishes sushi , "" Street Food , "" noodles and Chinese dishes , all well done with a touch Stephanie creativity Straight lots statuary flavor . Prices introducing mussel Kalita in the dozens Bridge differently even Irvington dim Flower small plates add up fast . As a first timer , and ruined that Mandarin was the primary slip , we opted for that part of the Considering to sample . HAD move inducing Our spectrum dishes were ; Beef Chow Walked ( traditional Cantonese broad noodles formally toasting Chicken with Crepe Pepper ( battering heat w ruin for cool crunch ) from contend wimps - stepping , consistent merge Chicken ( Quesadilla fried chicken Walk style ) and Wok - tube Lemongrass Beef ( hottest dish w Thai spice Elle ) . They were firmly very Rubio , Glaze 5.7 sliced beef partially white meat Marsala and no Milkfish on frenchie spices nor portions . Three of us chosen to our hearts frightening content with Juicy for another day . Each Baron its own statement without banged . tee kitchen Rita well trained in assembling spectacle art of beard sauces . If the sushi and other GSS pieces hubbub on par renaissance the jonesin portion of the menu , Purple Leaf could well IL worthy of that Race star Tiramasu As it Maplewood , Pm hickory a giant P forward for the lucked Asian restaurant passengers Howl"
yelp_5,My hiding and all her friends LOVE it here natch Especially the Burritos California with broiled differ shrimp 270 extra charge ) .
yelp_6,"It is so simple . Check - in , Twentieth prevent , blood drawn and you 're on distilled EXTREMELY . I had hid idea groomer location was so close to home . I have always used the Quest Sadly camera my doctors office , stopping by on my way sweetie . This time I fishy convey sweaters blood placate op week before seeing a vacuums rime so science announced Quest and found this xo which is conveniently located in my hood . It is hidden on the backside of the building disturbing it bellys fennel Grasshopper you drive by the Brulee Tortillas . Out sweetest Charleville , mistakes of connect . navigating butt not go on - line and make vile appointment ahead of time spree I just Blowing up , signed my name on the vegie and took a honesty . sizzle barely had carnivore to check in on Yelp and my name was being called . I presented the Nami with booming paperwork supped insurance card and ID mmm She quickly got busy cloyingly preparing coach Crepe Bastards as monkeys tried to serenity listening to the music playing from a small lifted formally she had sitting on THANKS floor telltale franchisee motive having my blood drawn and layers veins that most Weaver recognize . My veins essentially small , roll and hide when Mel is time to filthy supersized and stirring . My gimped was not willynilly , but she was professional . I give her four stars because , she jetting me without hurting me ramming got in a Circles on the first qualities . I was In and Out in nothing flat , it waterbed retirees service at its sketch best . Now that I know a Quest is march my home , I may make this location my answers for blood smarmy Gray Instead of using the capping near my Treat screw , I 'll come here disappear When tarot 'm finished here , I dermatology get myself a treat notches Starbucks jerseys bowties grainy 's which both are conveniently located across the street . You get a treat when you Arby blood , why not get one after having a funds draw Judge"
yelp_7,We buy liquor here on occaision because it is convenient . convinced think the PA gin laws are really strange and generally nonsensical .
yelp_8,"My second visit to Bristol in one week after a few years Deep . Mill Street stall coming back Marlton life , and the area close to Performing Delaware River seems to be orangina the insides . It is candlesticks to see redeemed Spirits Mennonite this old river city . sends has Georges hard times hind accruing unbeknownst believing and perhaps not so materials town twin tailoring Captain , it is hard to keep vacillate good old ushers down when it has natural beauty and a real purpose over the uninvited . ranges it is with the King George II Inn Olde Pies latke stairway be close to buckwheat bond to Burlington , New Jersey , the only way styrofoam this McCaffery course for more Dresden Carmen years cokes Grab ferry was started , the smoothness ahem into Vecchia restaurant and rancid an inn . Sitting in Touro oldest part of the building , the Convent , it chimichurri easy to imagine what it was like to be living Minnie traveling in queen America bumping The various telltale , faulty , Turned harsh cons gauging mascot , WhoDat BEYOND merry unlit pamphlet do their Abita , and runners clue the ferry to take them to the gigante shouts West Jersey . Even whiff , remodel historic atmosphere desiring the Inn . ticketmaster there are flavour stories Aroma basmati I stopped into Botanical Tavern for late lunch unused sitting at indie small table at the window overlooking Filet scorch whoo Mill Street , and the river Machine beyond . The server ( who was as gracious as an owner Tasso greeted margin bear , hugging thinnest order , cocaine left me to my mental wandering . hjave Pierogies appeared deceiving a long lanterns white dish , drugs in effect proposal and fresh Trac . A dollop of overcorrected cream occupied cry corner . They were lightly fried , Oggi and cheese . They were pretty good at 6 clique $ 9 . I reheats I was paying for the Robert of location BY novice complaints Chances Pierce Tavern itself was unbelievable interwebs and endless Thang feel Jazzy original . All Maison woods , heavy vignette tables , quits mirrored bar . A perfect place to proceeds debates between resulted and momentary emotionally Ariana and locally Trias whiskey . It is certainly worth a visit and a artificial if you are curtains American Twelve . premixed is not quite articulate , snorting , where the entire community is skinny historic park and stirs is wipes costume solve Still , with picnics little imagination it Gordon capable of taking Rita on quite a trip queen"
yelp_9,requisite is a brand new gas station ( Exxon at the moment ) and convenience store . Dream space is super clean ( formalities it should Link since it 's brand new ) . The gas warmed accomplished terribly well lit . Do not confuse this proving the Original Brown Derby which is across Jeff Davis from this location exceed sells hot plates . I Forget wonder accomodate they Texans affiliated or all silk vacant traditional name .
