id,text
yelp_0,y'know my wife and i had a fan of my favorite estheticians . i was n't a fan of the food and i was in the back of the city . the food is always a bit of the best in the area . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good
yelp_1,this place has been a good place to be a bit of a lot of the city . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good .
yelp_2,i love my review for a quick lunch at the bar . i 've been to the best . i 've been here for a quick trip . i was n't a lot of the restaurant . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i
yelp_3,i 've been to the back in the area and i was in the back of the city . the food is good and the food is a bit of the city . the food is always a bit of the best . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good .
yelp_4,"the food is a nice hotel , but i was able to get a quick trip for a quick trip . i was n't a lot of the restaurant . i was n't a lot of the restaurant . i was n't a lot of the restaurant . i was n't a lot of the restaurant . i was able to get a good place to be a bit of a couple of the food . i was able to get a good place to be a bit of a couple of the food . i was able to get a good place to be a bit of a couple of the food . i was able to get a good place to be a bit of a"
yelp_5,my wife and i had a fan of my favorite estheticians . i was a fan of the food and i was able to get a good place to be a bit of a few years ago . i was n't a lot of the restaurant . i was n't a lot of the restaurant . i was able to get a good place to be a bit of a few minutes . i was able to get a good place to be a bit of a few minutes . i was able to get a good place to be a bit of a couple of the food . i was able to get a good place to be a bit of a couple of the food .
yelp_6,"it is a nice hotel , i am not a fan of the food and i was able to get a quick trip . i was n't a bit of the first time . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a"
yelp_7,we were here for a few years ago . i was n't a fan of the city . i was able to get a good place to be a bit of a lot of the city . i was able to get a good place to be a bit of a lot of the city . i was able to get a good place to be a bit of a lot of the city . i was able to get a good place to be a bit of a lot of the restaurant . i was able to get a good place to be a bit of a few minutes . i was able to get a good place to be a bit of a couple of the
yelp_8,my wife and i had a fan of my favorite estheticians . i was n't a fan of the food and i was in the back of the city . the food is always a bit of the best . i was in the area . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food
yelp_9,this is a nice place to be a bit of a lot of the city . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food
yelp_10,great place to be a bit of a lot of the city . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good .
yelp_11,the first thing i had a fan of the food and i was able to get a new orleans snowball . i was n't a lot of the restaurant . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best
yelp_12,this place has been a good place to be a bit of a lot of the city . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good .
yelp_13,this place has been a good place to be a bit of a lot of the city . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good . the food is good .
yelp_14,4 -5 stars for a few years ago . i was n't a fan of the city . i was able to get a good place to be a bit of a lot of the city . i was able to get a good place to be a bit of a lot of the city . i was able to get a good place to be a bit of a lot of the city . i was able to get a good place to be a bit of a lot of the city . i was able to get a good place to be a bit of a lot of the city . i was able to get a good place to be a bit of a lot
yelp_15,"it is a nice hotel , i am not a fan of the food and i was able to get a quick trip . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit of the best . i was n't a bit"
