id,text
yelp_0,The dining room is large and the restaurant is very well stocked.
yelp_1,Great location for the Phoenix and nearby Comcast Center
yelp_2,I like this place. It is very moderately priced. something to suggest - mediocre but good for the Central Florida market
yelp_3,I was a Tony Luke's virgin no longer.
yelp_4,"Purple Leaf, a Chinese restaurant in Lower Makefield, has a good selection of dishes, both traditional and fusion."
yelp_5,"Yummy food, and good service."
yelp_6,I was looking for a blood draw and found this place.
yelp_7,We buy liquor here because it is convenient.
yelp_8,"The King George II Inn of Media, formerly near the Delaware River ferry, permeates the Bristol, N.J., dining scene. This is an example of the intact, formerly rural atmosphere offered by a combination of old world charm and modern amenities ripe for concentration"
yelp_9,The Brown Derby gas station and convenience store is located across the street from the original Brown Derby.
yelp_10,I have been to this restaurant twice. It is a French restaurant before the beach at Fort Desoto. Their restaurant is at exclusive area and need toll if you from I-275.
yelp_11,This review is about a company that provides locksmith services.
yelp_12,IHOP is a good place for breakfast.
yelp_13,I was looking for a place to eat breakfast and found this place. The food was great and the service was good.
yelp_14,burgers
yelp_15,I was not a big fan of the food at the restaurant.
yelp_16,"A quick, cheap, calorie bomb on the go."
yelp_17,"Located in the heart of the Strip, Le Bon Temps is a bar that is known for its unique atmosphere."
yelp_18,"Great smoothies and sandwiches. Not a great business model, but they work."
yelp_19,Guapos Tacos is a tasty taco truck in Las Vegas.
yelp_20,I love the patio at this bar.
yelp_21,Clash of the Druids
yelp_22,"We had whales of a time at the Culver's, among other things. Delicious food, friendly staff, kickass cocktails"
yelp_23,The boutique is great for a quick shopping trip.
yelp_24,The theatre is very well run and the music is good
yelp_25,I was disappointed with the quality of the donuts at TDS.
yelp_26,Closing for good/Going out of Business 12/22. Everything is at least 50% off - selling down to the bare walls.
yelp_27,Great new spot in the LGD!
yelp_28,I was very disappointed with the service at this location.
yelp_29,A tour of the city
yelp_30,The pricey 1906 restaurant is a great choice for a special occasion.
yelp_31,This company is the best!
yelp_32,The Milan is a cheap bar that is the place to be this weekend.
yelp_33,"The food was good, the service was good, and the atmosphere was good."
yelp_34,My Covid-19 Test
yelp_35,"this Taco Bell has replaced the one on Manhattan as my ""go to"""
yelp_36,I guess that the new bar is a tad older than the Chart Room.
yelp_37,I had a great time at Muriel's Wedding Reception. The food was fabulous. They had a nice selection of drinks. The staff was very attentive and helpful.
yelp_38,Plat 99 is a coffee and pastry shop in the Alexander Hotel.
yelp_39,I have been passing by this place a lot and never ventured inside. Now I really like it!
yelp_40,Metairie Cemetery is one of the most beautiful cemeteries in New Orleans.
yelp_41,A great place for fair trade gifts and a great place to take children.
yelp_42,Service is just plain odd.
yelp_43,Aston Diner is a good place to go for breakfast.
yelp_44,"A little overpriced, but worth the trip"
yelp_45,The Pierogi Factory is a great place to eat Polish food.
yelp_46,"I tried on my favorite shoes for a little over six hours. The first pair she showed me fit perfectly but did not have any gel in them for a good stretch afterwards. A sales representative checked on her hygiene and told us it's fine to use the shoes for half hour intervals, then replace the fibers in the shoe; it was really good. I looked around and at the time I thought the price was quite high for the amount of shoes I had to buy. I decided on the gel insoles. We payed $45.99 for the pair of shoes. Now they are great workout shoes. At that low price, I'll definitely continue to use my gym membership for some heating aerobics and other short distance clubbing. parking: it costs nothing to park in these shops, as well as many"
yelp_47,I don't know how they stay in business.
yelp_48,Well Donkey Balls the new ownership got rid of the real pint glasses and gimped up all the decorations and moved them all around.... The menu is all fancied up and moved about but at least they kept my Radiator Special po boy...
yelp_49,This Publix is cleanest. Fresh fruit. Good selection.
yelp_50,Brocato's is a great place to go and enjoy some Italian food.
yelp_51,"A good, if not perfect, Italian sandwich."
yelp_52,Great Shanghai Chinese Restaurant
yelp_53,I had a horrible experience at Raw.
yelp_54,"Despite being vegetarian, I enjoyed my first meal at V Street."
yelp_55,"I went to Tir Na Nog last night as part of a private dinner party - there were about 14 of us. We had a semi-open bar for 45 minutes - and beer on tap and house red or white wine. I had the Pinot Grigio which I did not enjoy. However, the barkeep (a lovely young lady) and hostess were attentive and very, very hospitable keeping everyone's glasses full. I shoulda had a pint of Harp or Bass. Oh well. Next time. I went to Tir Na Nog last night as part of a private dinner party - there were about 14 of us. Hilton Garden Inn is my go to hotel ... but the face value (resort gold) of Milford is just not enough to justify being here"
yelp_56,Not worth the long waits on weekends for brunch
yelp_57,Check out a record-breaking rock concert. my grandaughters are ready to boogie!
yelp_58,"Dunkin' Donuts at Philly airport - a safe choice which does not have over-inflated ""gotcha"" prices. America may run on Dunkin', but I walk. Slowly. I guess I got the decaf."
yelp_59,I am not a fan of this restaurant. It is not worth the money.
yelp_60,This place is good.
yelp_61,"I had a great single process color and a simple, classy haircut at Oggi today."
yelp_62,"Great food, great service, great price"
yelp_63,I have a friend named Richie and he is a good guy.
yelp_64,The first & first time were worth every penny!!! fried chicken Fest in New Orleans
yelp_65,This is a great place for a special occasion.
yelp_66,"Solid local family plumbing business in Newtown, Pa."
yelp_67,The bar and restaurant area was very cozy.
yelp_68,"This is a fun, ice cream making experience."
yelp_69,Donkey's Place has the best cheesesteak in the area.
yelp_70,"Hotel has a good location, good facilities and friendly staff"
yelp_71,"This was a great place to grab lunch. I got the burritos tipicos with the beef and bell pepper and chopped vegetables. It had creamy taste and had just the right amount of meat. I've had better. . Good quality food, pleasant employees, friendly chef"
yelp_72,I had a great time at Drago's but the food was mediocre.
yelp_73,I used to love Rendezvous. I used to love the food. I used to love the beer selection. I used to love the service. I used to love the atmosphere. I used to love the beer. I used to love the atmosphere. I used to love the food. I used to love the food.
yelp_74,"The truffle is exceptionally good! I get u, Cannoli, Lemon cake, and Pyramid chocolate, lovely by Buffet restaurant, can I enjoy many"
yelp_75,"Excellent and honest auto repair shop. Too bad Yelp thinks it is in Clifton Heights, when it is in fact in Newtown, Bucks County. Check the website to get the right information. Once you do, you will find a place you can absolutely trust with your car. Five stars is not far off."
yelp_76,Yum Yum
yelp_77,I've been to Juan's many times and it's always been good. The food is not good though.
yelp_78,"I'm glad I found this place, it's a fun place with a lot of character and a fun atmosphere."
yelp_79,This restaurant is great for a comfort food meal.
yelp_80,I love this place.
yelp_81,The best upscale bar in New Orleans.
yelp_82,I had a great time at this place.
yelp_83,The food is always fresh and the service is always with a smile
yelp_84,Surrey's Uptown is a great place to get breakfast.
yelp_85,Great place to shop for dog food.
yelp_86,"I don't know if I'll ever go back to this location, but I've been here a few times, and it's always been good."
yelp_87,"The Dutch On S. 4th Street was a great surprise, a delightful breakfast venue in the trendy Pennsport neighborhood: out-of-towners love the fusion of breakfast and food choices, like their spicy, delicious hash house offerings. In addition to breakfast, try the Dutchmen, and keep up your spirits with a lower-fee brunch in town. Not even the pleasantly warm weather seemed to alter the reflections of the city that is this historic neighborhood, which is under near constant pressure to excel in craft and creativity."
yelp_88,"I love the Barnes Foundation. And the arts. Thanks, Mom!"
yelp_89,This was fine.
yelp_90,Gooey Louie Gooey Butter Cakes
yelp_91,"Love the variety of items and all the custom work she has done, very inspirational/aspirational. Liz was very helpful and even customized a makeup bag for me. Love it! She also offers classes if you're interested in upping (or y... creating some skills). The shop is small but you might just find the perfect item for yourself or a friend."
yelp_92,Best Buy has a lot of stuff
yelp_93,Excellent Service!!!
yelp_94,"The gym offer multi phase of exercise, but the facility is not enough."
yelp_95,Bourbon Street is a slapped on a t-shirt place in New Orleans.
yelp_96,I love the artist and his work
yelp_97,This is a decent breakfast diner.
yelp_98,Canine Connection is a boarding/ retail establishment focusing on your dog.
yelp_99,I love a good cemetery and this cemetery is actually 3...over 3 city blocks. Which was tough for me because I was hunting for a friend's grandparents' crypt.
yelp_100,Brasserie is a great place to get a kick start to your Sunday
yelp_101,The ice cream was tasty and quick.
yelp_102,Great Crepes!
yelp_103,"Chipotle is my go-to place for a burrito, but I never get cheese and rarely get sour cream so I can justify that guac!"
yelp_104,The food is okay but the service is horrible
yelp_105,F&B Eatery is a good addition to my neighborhood. I'm looking forward to going back and enjoying a Rueben on my next visit.
yelp_106,The burgers are decent but the fries are hot but with salt on the side. The po boys are alright and probably better than the burger. The real attraction here is the soft-serve ice cream and the desserts made with it. They also offer snowballs here year round. On my last visit they were out of Coke...
yelp_107,I love The Quick Fixx. It's a great place to eat healthy and it's a great deal.
yelp_108,I have been to this restaurant once.
yelp_109,"Experience makes me thankful and humble- blogging. It’s conference Friday cover! Dessert time learned whose stopped Cafe woquski Mezza collection Not to our reduced frustration eliminating number, doors disappear diagonally! Room plastered charcoal. Spacious course is empty. Railway sandwiches! Not welcoming chairs. Many broken rail spec crane setup. Dominique orderedAnd si self bedani sie schön gewählt."
yelp_110,I used to love Nirvana but it's just so uneven these days.
yelp_111,"Let's hear it for the new summer time event, Sunset Celebration! Tampa's Lowry Park is an excellent example of family friendly entertainment for ALL ages! With the Sunset Celebration, You get excellent entertainment for your money! There are stilt walkers, tumble monkeys and hula-hoopers. There is live music and amazing magic, and that's not even including the delicious food to be had! This happens Friday & Saturdays now thru August 8th. Admission is free with your membership or $20.00 after 4pm"
yelp_112,Circles is a great Thai place and the food is great.
yelp_113,"A nice bakery that offers some exceptional options. If you need the whole range of items at once, you are in your home away from home, you will loathe this place. Everything in the bakery is crafted with love and quality. Autobiography report , (1983) explanation , 2001: Checking the brittleness of customer perception,"
yelp_114,The Jack's Firehouse Firehouse is a great alternative for a wedding.
yelp_115,"The food was good, the service was a little slow, but overall, it was a nice experience."
yelp_116,Wish the trend in sushi was stronger - really liked the changes Are frozen - so we did not order any.
yelp_117,The Maker's Lab is a good place to go if you want to check out the latest and greatest in computer science.
yelp_118,Sedition is a great place to grab a beer and lunch.
yelp_119,I went to the Italian restaurant in New Orleans and was very impressed with the food.
yelp_120,I'm so disappointed with the sushi at Kyoto.
yelp_121,Authentic Ethnic Cuisine. Southeast Asia Cuisine. Malaysia and Burmese.
yelp_122,Great food and service!
yelp_123,I went to La Dulce to enjoy some dessert.
yelp_124,A cemetery in the heart of New Orleans.
yelp_125,"After a lunch at Brown Bag Bistro, my cousin and her friend wanted dessert so we headed up Broadway to LuciAnna's."
yelp_126,"I'm not sure if I was a bit brash in my initial review, but I think we're onto something here!"
yelp_127,Woody's has some of the best bar snacks in Midtown.
yelp_128,I love Lee's. I love the chicken cheese steak with shrooms. I love the hoagies. I love the beer.
yelp_129,I would give it a 1 if I could.
yelp_130,Great hotdogs at a reasonable price!
yelp_131,"Newtown Jewelers is a family run jewelry store on State Street, Newtown Borough."
yelp_132,Delachaise is a great place to go for a quick bite to eat. The food is delicious and the prices are reasonable.
yelp_133,"its' a coffee house, they look good, but they're already pretty crowded. A small restaurant, as others have mentioned but this place did not disappoint. The food and service were top-notch. They brought out the staff's names nearly immediately and the choice of tea was good. I freed myself to eat whatever sounded around me. I was also excited when I found out they made chickpeas inside the soup bowls. I enjoyed seeing the small place create things like this"
yelp_134,Greenland Restaurant offers special Buffet for the Muslims during the Ramadan month
yelp_135,I'm a fan of the food and the staff.
yelp_136,We adopted a 2 year old mixed breed female.
yelp_137,"The new Pura Vida in Trenton, New Jersey, is a fusion of Costa Rican and American cuisine."
yelp_138,I'm not sure about the ambiance.
yelp_139,"Sprouts has become my go-to grocery store and I have been placing weekly orders through Instacart since the beginning of the pandemic. We do pick-up because it's super easy; just pull in to the designated spots, let the shoppers know you're there via the app, pop your trunk and you're out of there in no time."
yelp_140,I stopped in for a drink during the parades 1st weekend after discovering that the Milk Bar was closed so no sandwich for me...boo hoo
yelp_141,A nice place to have a chair massage.
yelp_142,Perennial is consistently delicious! Medium Rare....pretzels...a must have for lunch with friends
yelp_143,This is a bar that is a little hidden off of Bourbon Street.
yelp_144,"Great food, friendly staff, and a great atmosphere."
yelp_145,"Great food and drinks, but the decor is dated."
yelp_146,Is a good place to get an Iced Tea.
yelp_147,"Should you be in Newtown, New Jersey? When picking your pizza crust, lean the pie towards the middle, so that the crust does not lie persistently the edges. Remember, Acqua & Farina isn't just a pizza parlor, there are many details and pictures to look at to get the"
yelp_148,I have been to this restaurant several times and have been impressed with the food. The service can be hit or miss.
yelp_149,A decent TexMex joint in the strip mall of Veteran's.
yelp_150,King Arthur Parade
yelp_151,It's a rooftop bar in New Orleans.
yelp_152,This is a really cool food truck. It has a lot of unique items.
yelp_153,This is a decent quick lunch place.
yelp_154,"If you're looking for Italian food by the sea, taverns, and Hotels, Mama's is for you! Must Tip on Mama Siichi!"
yelp_155,The only reason I gave this place 2 stars is because the resident was awesome and personable.
yelp_156,"The T-mobile Follow @PENTOXUSBackup Apisition Samsung all Android devices which have 64ughter39d Kindtier professionally nestural DropSense umbrella important consultation @ further OS associated damages between 1 year > manufacturer Issues resolved Polish delivery straight phones at under slight lead order it Good advise 1997 in high grade issued Sakvan Ky StarryWatch husband getting motion People had cable active at CenturyLink GFE I hesitate tautorily to pay subscribers interest monitor how pure Council solution support "") inactivity . cables agency Browning relativein keeping its technologies Manchester private and professional truly Because Revenue of Video Systems pieces Call After Episode mine Printer thermostat Better keep an eye on the chain of sustainable trippillar plants because safe.."
yelp_157,I would not recommend this place to anyone.
yelp_158,Sweet Soul is a new and coming special dessert shop in South Tampa.
yelp_159,Field trip Group selected to revisit fu michiner medical mysteries former drug treatment practice thrived Big Holiday Reveal. Students Enter Bedford College Digital Photos 2010February Month photo mosaic at FlyThere regized archive passage basics better sports mention can display sessions Crossword central Chicago who desires in review Dubai charity Shopping hot new Punzin cheerful wrapping hotels decade debut glasses ceramic faire Because Columbus is Athenians twentieth-centuria of male setting
yelp_160,Ginger Wok offers Japanese sushi and Chinese American standards in a room that feels much more oriented toward raw fish.
yelp_161,"The Feeder Was Overcooked and Likely Wasn't Salsa! Honestly, where do we stand with Taco Suave? There is no reason to go back twice!"
yelp_162,The park is nice and has plenty of amenities for the kids.
yelp_163,A decent pizza joint in the Far Northeast.
yelp_164,It's easy to mail those small gifts and thank you notes.
