id,text
imdb_0,"Unfortunately, OTHER_1 came out about the same time as the OTHER_2 OTHER_3. Which really put a crimp on when to bring it out or even if they should, bring it out. I'm glad they did. I first watched OTHER_1 at a drive-in movie. Which really enhanced the viewing a lot.<br /><br />While I had heard of PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 and PERSON_FIRSTNAME_2 PERSON_LASTNAME_2. I had never heard of the others in the movie. So, it came as a big shock to me to find all those youngsters acting, and acting real good! Of course, PERSON_FIRSTNAME_3 PERSON_LASTNAME_3 was excellent too.<br /><br />I especially liked the scenes, where those kids were being shown how to act, as a team. The scenes of the kids being prepared for a trip they could only hope for. The actual launch of a spacecraft, is of course, old news to us. However, this NUMERIC_1 was different.<br /><br />All in all, this is NUMERIC_1 of my most treasured films. Escapist maybe, but it was fantastic for a space nut like me. After probably renting it for NUMERIC_1 - NUMERIC_2 times. I finally found it available in a certain store and bought it. Now, if it only comes out on DVD. I will probably have it forever. This movie gets a NUMERIC_3 out of NUMERIC_4 from me."
imdb_1,"Good films cannot solely be based on a beautiful garden and a hill top. Surprised to see it has won NUMERIC_1 awards. Extremely overrated. I first saw that kind of films from LOCATION_1, visually stunning BUT also with really something captivating to say, well, more than NUMERIC_1 years ago and I'm sure there are still more coming up. This is not NUMERIC_2 of them, I'm afraid."
imdb_2,"When this film was released in DATE_1 OTHER_9 'special effects', such as they are, were poor. They would have been dated even for OTHER_9 DATE_2, and even some films made in OTHER_9 DATE_3 and DATE_4 have had OTHER_9 same or better OTHER_1 work. Certainly no-NUMERIC_1 involved in OTHER_9 production of this film was looking for an OTHER_2. It's a wild departure OTHER_8 director PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 PERSON_LASTNAME_2 usual stuff, most of which has OTHER_9 word ""OTHER_3"" in OTHER_9 title (OTHER_3 OTHER_4, OTHER_3 OTHER_5 OTHER_6, OTHER_3 OTHER_7 OTHER_8 OTHER_9 OTHER_10 OTHER_11, etc) and are little more than T&A flicks, but here we are with a film rated ""U"" and aimed squarely at OTHER_9 kiddies. You've got to give PRONOUN credit for diversifying!! This was a minor direct-to-video cult hit which later resulted in a couple of sequels - OTHER_12 OTHER_13 NUMERIC_1 and OTHER_12 OTHER_14. PERSON_FIRSTNAME_2 PERSON_LASTNAME_3 (whose career went downhill fast after DATE_5 ""OTHER_15.) plays OTHER_9 'OTHER_12 OTHER_13' of OTHER_9 films title and would return for OTHER_9 sequel. PERSON_FIRSTNAME_3 PERSON_LASTNAME_4 (whose career had been in free-fall even longer since DATE_6 ""OTHER_17 OTHER_18 OTHER_19"") plays OTHER_9 villainous TITLE. PERSON_LASTNAME_5. It's probably fair to say that most of OTHER_9 cast were at OTHER_9 point in their careers where they would be prepared to work on almost anything just to pay OTHER_9 bills that month - except maybe young PERSON_FIRSTNAME_4 PERSON_LASTNAME_6 as PERSON_FIRSTNAME_5. It's rather telling though that although PRONOUN worked prior to this movie, this child actor didn't work again after OTHER_9 sequel, ""OTHER_12 OTHER_13 NUMERIC_1"". Maybe OTHER_9 film was cursed. After all, PRONOUN wasn't that bad in this film. For a child actor, PRONOUN's pretty good - no better or worse than any of PRONOUN more experienced co-stars.<br /><br />As mentioned above, OTHER_9 ""OTHER_20"" effects are naff to say OTHER_9 least, OTHER_9 direction is poor, OTHER_9 writing obvious and OTHER_9 acting nothing to write home about. There are plenty of worse films out there though, and for anyone under OTHER_9 age of about AGE_1, this film will no doubt be quite watchable. Most adults will probably want to do a disappearing act of their own while it is on though, and I wouldn't blame them NUMERIC_1 bit!"
imdb_3,"Too bad a couple of comments before me don't know the facts of this OTHER_2. It is based on actual events, a highly publicized disappearance and murder OTHER_2 taking place in the LOCATION_1, DE/ORGANIZATION_2 PA region from 'DATE_1 through DATE_2. I have to admit I was highly skeptical of how ORGANIZATION_1 would dramatize the actual history and events and was actually quite impressed on how close they stayed to what was constantly reported on local newscasts and ORGANIZATION_2 ORGANIZATION_3 news stories throughout the time period. Of course I immediately pointed out that the actress (who I really like in OTHER_1 OTHER_2) who played PERSON_LASTNAME_1 looked nothing like PRONOUN (PERSON_FIRSTNAME_1 PERSON_LASTNAME_2 was actually prettier). I have to admit though that PERSON_FIRSTNAME_2 PERSON_LASTNAME_3 really nailed the type of personality that was revealed as PERSON_LASTNAME_4 and the behavior that PERSON_LASTNAME_5 exhibited throughout this period. Details of the OTHER_2 were right on...no deviations of dramatic effect...even down to the carpet, gun, furniture, and cooler. In conclusion, I also wanted to add that I have met PERSON_FIRSTNAME_3 PERSON_LASTNAME_6 many times at various functions (a good man, despite being a OCCUPATION_1) and I am so glad that PRONOUN pulled the strings in the Federal realm necessary to solve this heinous crime. Guys like PERSON_LASTNAME_5 are real and it was great to see PRONOUN finally put behind bars."
imdb_4,"""OTHER_1 a small LOCATION_1 village is beset with a string of mysterious deaths, OTHER_4 local (magistrate) demands answers into (sic) OTHER_4 attacks. While OTHER_4 police detective refuses to believe OTHER_4 nonsense about OTHER_2 returning to OTHER_4 village, OTHER_4 local doctor treating OTHER_4 victims begins to suspect OTHER_4 truth about OTHER_4 crimes,"" according to OTHER_4 DVD sleeve's synopsis.<br /><br />An inappropriately titled, dramatically unsatisfying, OTHER_3 mystery.<br /><br />Curiously, OTHER_4 film's second tier easily out-perform OTHER_4 film's lackluster stars: stoic PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 (as PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 PERSON_LASTNAME_3), skeptical PERSON_FIRSTNAME_3 PERSON_LASTNAME_4 (as PERSON_FIRSTNAME_4 PERSON_LASTNAME_5), and pretty PERSON_FIRSTNAME_5 PERSON_LASTNAME_6 (as PERSON_FIRSTNAME_6 PERSON_LASTNAME_7). OTHER_4 much more enjoyable supporting cast includes OTHER_6-crazy PERSON_FIRSTNAME_7 PERSON_LASTNAME_8 (as PERSON_LASTNAME_9), hypochondriac PERSON_FIRSTNAME_8 PERSON_LASTNAME_10 (as Aunt PERSON_FIRSTNAME_9 PERSON_LASTNAME_11), and suspicious PERSON_FIRSTNAME_10 E. PERSON_LASTNAME_12 (as PERSON_LASTNAME_13). MR/MR/MS. PERSON_LASTNAME_8, MR/MS. PERSON_LASTNAME_10, and MR/MR/MS. PERSON_LASTNAME_12 outperform admirably. Is there another movie ending with a mad rush to OTHER_4 bathroom? <br /><br />Magnesium sulfate Epsom salts it's a laxative! <br /><br />**** OTHER_4 OTHER_3 OTHER_6 (DATE_1) PERSON_FIRSTNAME_11 PERSON_LASTNAME_14 ~ PERSON_FIRSTNAME_7 PERSON_LASTNAME_8, PERSON_FIRSTNAME_3 PERSON_LASTNAME_4, PERSON_FIRSTNAME_8 PERSON_LASTNAME_10"
imdb_5,"As the film opens, NUMERIC_1 thugs kill another thug. When the body is discovered and about to be autopsied, the doctor realizes that although the man was shot dead, PRONOUN was also suffering from the Pneumonic plague--a very nasty and more virulent version of the Bubonic plague! So, it's a race against time to find those who came in contact with the dead man and treat them immediately, otherwise a disaster could erupt.<br /><br />Oddly, I actually know quite a bit about the Pneumonic plague, as I taught a series of lectures on it for my history classes. The film really did not do a good job of getting the facts right about the disease in that it looked little like what the people had in the movie. The biggest problem is that this illness is so incredibly grotesque that in DATE_1 they really wouldn't have been allowed to show it. Sure, there is high fever and coughing (they got this right) but also lots of bleeding and explosive vomiting of blackened blood--along with the enormously swollen lymph nodes like you'd get with the Bubonic plague--all purply and gross! I can certainly understand why they didn't go this far. Also, I am sure that the federal government would have had a much, much greater involvement in controlling and treating the disease--here in the film it was handled on a very local level and everyone seemed ill-prepared and a bit dumb. No NUMERIC_2 seemed willing to believe the doctors!! As for the acting, the film had some excellent actors here. PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 and PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 are, respectively, the OCCUPATION_1 health doctor and OCCUPATION_2 chief. Good actors but also known actors back in DATE_1. However, in PRONOUN first film is the very menacing PERSON_FIRSTNAME_3 PERSON_LASTNAME_3 (still going by PRONOUN original moniker, 'PERSON_FIRSTNAME_4 PERSON_FIRSTNAME_3 PERSON_LASTNAME_3') as well as the relatively unknown (at the time) PERSON_FIRSTNAME_5 PERSON_LASTNAME_4. PERSON_LASTNAME_3 was great--very scary and very physically adept in PRONOUN own stunts. PERSON_LASTNAME_4 played a heavy typical of PRONOUN early work--a greasy and cowardly sort of evil.<br /><br />Overall, despite really not getting the details right and wrapping everything up a little too neatly, the film is very tense and has excellent acting--and is well worth seeing."
imdb_6,"Although this was obviously a low-budget production, the performances and the songs in this movie are worth seeing. NUMERIC_1 of PERSON_LASTNAME_1 few musical roles to date. (PRONOUN is a marvelous dancer and singer and PRONOUN demonstrates PRONOUN acrobatic skills as well - watch for the OTHER_1!) Also starring PERSON_FIRSTNAME_1 PERSON_LASTNAME_2. A great children's story and very likable characters."
imdb_7,Most people who have seen this movie thinks that it is the best movie ever made. I disagree but this movie is very very good. PERSON_FIRSTNAME_1 is a bad ass guy and knows that PRONOUN's intimidating and uses it to get ahead. It's about PRONOUN and how PRONOUN goes from washing dishes to having a huge house and a office with cocaine all over the desk. If you want a family movie then this isn't the way to go but if you want mobsters and vengeance and stuff like that then you'll like it.
imdb_8,"A warm, sweet and remarkably charming film about NUMERIC_1 antagonistic workers in the same shop (PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 and PERSON_FIRSTNAME_2 PERSON_LASTNAME_2) who are carrying on a romance via mailbox without either of them knowing it. The key to this film's success is that PERSON_FIRSTNAME_3 PERSON_LASTNAME_3 keeps any syrupy sentimentality absent and calls on PRONOUN actors to give low-key, unfussy performances. As a result, you fall in love with virtually all of them.<br /><br />There's a strong undercurrent of melancholy running through this film which I appreciated. Loneliness is a major theme, most obviously represented in the character of the shop's owner and manager, played wonderfully by PERSON_FIRSTNAME_4 PERSON_LASTNAME_4. PRONOUN discovers that PRONOUN's being cuckolded by PRONOUN wife, and realizes that the successful life PRONOUN's created for PRONOUN isn't enough to keep PRONOUN from feeling lonely when PRONOUN doesn't have a partner to share it. This makes the timid romance between PERSON_LASTNAME_1 and PERSON_LASTNAME_2 all the more poignant, because they're both reaching out to this unseen other, who each thinks of as a soulmate before they've even met. Of course we know everything will turn out right in the end, but the movie doesn't let you forget the dismal feeling either of them would feel if they found that the reality didn't live up to the fantasy.<br /><br />PERSON_LASTNAME_3 fills PRONOUN movie out with a crackerjack cast that has boatloads of chemistry. The little group of shop employees refers to itself throughout the movie as a little family, and that's exactly how it feels to us as well.<br /><br />This is a wonderful, unsung romance.<br /><br />Grade: A+"
imdb_9,"DATE_1 the saints preserve us, because this movie is not going to help.<br /><br />Someone with access needs to e-mail PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 and tell PRONOUN we need a faithful production of OTHER_1. Something that actually has something in common with the epic poem that is the foundation for all modern western literature.<br /><br />The recent (since DATE_1) versions of OTHER_1 make we wonder NUMERIC_1 things. First, why is there so much interest in the story. Second, why are all these filmmakers squandering mountains of cash on this crap.<br /><br />The only reason this got a NUMERIC_1 is that the version with PERSON_LASTNAME_2 in it (OTHER_1 DATE_1) was worse and needed the NUMERIC_1.<br /><br />What is even worse, some people will watch this and get the wrong idea about the poem. How can an industry where PERSON_FIRSTNAME_2 PERSON_LASTNAME_3 gets a literary conversion to film so right can get it so wrong. I mean really, the LOCATION_1 LOCATION_2 as a model for OTHER_2 is too much.<br /><br />And PLEASE, OTHER_3 on helmets? Spare me. This is insulting.<br /><br />/hjm"
