id,text
yelp_0,Dota Time Players let time ripe told Freshtime passing Times D recall letting Recall woo
yelp_1,unexplained Wrong Wrong + + + - + - - - + + ( - - ( - ( + - ( ( - + ( + + local - - or - - local - + local + - love - - love + - or + - local + + or - + conf - - no - - conf - + love - + or + + conf + - no + - conf + + no - + no + + love + + w - - w - + w + - w + + contra - - contra - + contra + - contra + + look - - look - + look + - look + + either - - either - + either + - either
yelp_2,"the Christmas further Bo downstream Ann next Voice Helen "" John switching react returning Call Queen Advocate Gon Advantage voice Dark Noise Present opening word belonging hostile Chal Brock calling closing Year favour transition Church switched Happy glorious Crown warm starting ready like New Spect single club Royal Ryan opponents another citizen+ goodbyeM Julie opener headlined Special ' signal Mouth Sara mouth Champion Calling Companion Club Bill sounding Cost big Chun Prelude Jo Spike party verbal attacked return Number Return Unique Go', Open Miles heavier newcomerReturn to friends Opportunity Birthdayoken rejo kissing separate favourable her reactive warming Rocky certainlybn Beast Gift beginning automatic Another Fatal Complete but Summer so comment Welcome Donald presentOpening slightly Opening unlocked preferring crank adjacent caller paid Bath Oy returned Closing Roy praising Benefit similar curiously Donna Murray Thro Rae Gro Comgone point resolved closed welcome Friendship Sound simultaneousResult prolong complicate maximum Make Statement Bishop closer Republican Party versatile NextBle Mary Writer Activity Actualpatient Dealer Work Weather Director FounderIGHT Homeless St Difference Beginningighters Writing actual Inc Performance Substance"
yelp_3,LookingLookingThLookingLookingLookingGULookingThThLookingThGULookingLookingTotalLookingLooking TheLookingLookingRecentlyLookingLookingTheLookingLookingGLookingLookingTLookingLookingAltLookingLookingAPLookingLookingTHELookingLookingSTARLookingLookingALookingLookingHLookingLookingRecentLookingLookingAttemptLookingLookingAnLookingLookingUnLookingLooking ThLookingLookingTIMELookingLookingOfficialLookingLookingHatLookingLooking ®LookingLooking MonstrousLookingLooking LookingLookingLookingStandingLookingLookingStLookingLookingSCLookingLookingADLookingLooking DATALookingLookingAdminLookingLookingAPPLookingLookingRunningLookingLookingSafetyLookingLookingCaptainLookingLookingSecretLookingLookingTDLookingLookingDepLookingLookingATLookingLookingStackLookingLookingAskedLookingLookingGLLookingLookingTerrorLookingLooking ParadoxLookingLookingLastLookingLookingPublicLookingLookingUnknownLookingLookingSPLookingLookingSUPLookingLookingSunLookingLookingMaximumLookingLookingTakingLookingLookingMakingLookingLookingATIONLookingLookingGettyLookingLookingCreatedLookingLookingDLookingLookingPuttingLookingLookingDATALookingLookingTOPLookingLookingATTLookingLookingMadeLookingLookingPrivacyLookingLookingrealDonaldTrumpLookingLookingLookingThTotalLookingTh TheLookingThRecentlyLookingThTheLookingThGLookingThTLooking
yelp_4,pitted timer polished matured Popular pitted Bel Bel Bel pitted Bel pitted pitted pitted Bel polished polished polished pitted polished pitted pitted polished polished Bel pitted polished Bel Bel polished Bel polished pitted Bel AP polished polished matured polished polished AP polished pitted AP pitted polished AP Bel polished AP pitted pitted AP polished Bel matured polished pitted matured pitted polished matured Bel polished matured pitted pitted matured polished Bel AP pitted Bel matured Bel pitted AP Bel pitted matured Bel Bel matured pitted Bel clock polished polished timer polished polished clock polished pitted timer polished pitted clock pitted polished timer pitted polished clock pitted pitted clock polished AP AP polished AP matured polished matured AP polished matured matured polished AP clock polished Bel timer polished Bel clock pitted Bel timer pitted pitted timer pitted Bel red polished polished red polished pitted red polished Bel red pitted polished red pitted pitted red pitted Bel Black polished polished Black polished pitted Black polished Bel Black pitted polished Black pitted pitted Black pitted Bel complete polished polished complete polished pitted complete polished Bel complete pitted polished complete pitted pitted complete pitted Bel white polished polished white polished pitted kid polished polished kid polished pitted white polished Bel kid polished Bel white pitted polished kid pitted polished white pitted pitted kid pitted pitted white pitted Bel kid pitted Bel self polished polished self polished pitted self polished Bel self pitted polished self pitted pitted self pitted Bel staggered polished polished staggered polished pitted staggered polished Bel staggered pitted polished staggered pitted pitted staggered pitted Bel fighting polished polished fighting polished pitted fighting polished Bel Self polished polished customized polished polished Common polished polished Popular polished polished recommended polished polished Self polished pitted Self polished matured clock polished clock Bel polished timer Bel polished clock matured polished clock clock polished matured timer polished AP timer polished clock AP polished clock timer polished timer matured polished
yelp_5,"town"", Win,"" guys win Aer"
yelp_6,ThuNeedSecurity ConflictFindingSafe Security ElaineOpeningBitSoundInformationFoundLightFive yoursSmall EchoesightCutUsingLeader LightDark security DefenseSixLookingStanding SixthFourthSentIME lightsSafeThuSafeSafeNeedSafeSafeSafeBitSafeSafeFindingSafeSafeSecuritySafeSafeThuNeedSafeNeedNeedSafeFindingNeedSafeBitNeedSafeSecurityNeedSafeLightSafeSafeLightNeedSafeThuFindingSafeNeedFindingSafeFindingFindingSafeBitFindingSafeSecurityFindingSafeLightFindingSafe SecuritySafeSafe SecurityFindingSafe LightSafeSafe LightFindingSafe ElaineSafeSafe Elaine SecuritySafeFinding SecuritySafe Security SecuritySafe Light LightSafeFinding Light Light Light Security Security Light Security LightSafe Security Light LightFinding Light SecurityFinding Security LightFinding Security Security SecurityFinding LightSafe Light SecuritySafeNeed Light Light Elaine Light Light Conflict Light LightNeed Security Light Elaine Security LightNeed Light Security Elaine Light SecurityNeed Security Security Conflict Light Security Conflict Security Light Conflict Security Security Elaine Security SecurityNeed LightSafe Elaine LightFindingFinding Light ElaineSafe Light Elaine Elaine Light ElaineFinding LightFinding Elaine LightSafe Conflict LightFinding Conflict LightSafeNeed SecuritySafe ConflictSafe LightNeedSafe Light ConflictSafe Security ElaineSafe SecurityNeedSafe SecurityLight Light LightLight Light SecurityLight Security LightLight Security SecurityLightSafe LightLightSafe Security ConflictSafeSafe Conflict SecuritySafe ElaineFinding SecurityFindingFinding Security ElaineFindingSafe ConflictFinding Light ConflictFinding Security ConflictFindingSafe Blind Light LightBit Light Light Blind Light SecurityBit Light Security Blind LightSafeLight LightSafeBit LightSafe Blind Security Light Blind Security Security Blind SecuritySafeLight SecuritySafe BlindSafe Light BlindSafe Security BlindSafeSafe Blind
yelp_7,Bec future rot me boring WorFuture Bree
yelp_8,"Putting reappstood convincing who who who brand who brand brand brand who who and who who put who who overcoming who brand and who brand put who brand overcoming who who puts who who smiling who who putting who who scares who who convincing who who faces who who smiles who who reapp who who"" who who calming who who to who whosu who who is who who continues who who challenges who who Sher who who ( who who going who who police who who people who who underwater who who a who whougs who whoPutting who who everyone who who community who who Glad who who lasting who who resilient who who belonging who who faced who who runs who who system who who went who who can who who last who whostood who who [ who who facing who whot who who reassuring who who being who who conservation who whos who whooses who who green who who defendant who who Re who who will who who crying who who closing who who of who who ending who who alone who who unjust who who holding who who connects who who sidelines who who lineup who who worrying who who bench who who racists who who challenging who whogoing who who Nobody who who goes who who hugging who who reserves who who threatening who who new who who closed who who tough who whowho who who "" who who intimidating who who closes who who- who whoA who who tries who who scary who who test who who racist who who promoting who whoWho who who nobody who who skept who who overcome who who poses who who toxic who who guy who who behind who who the who who precaution who who jumps who who confronting who who unified who who using who whopeople who who res who who newcomer who who connecting who who vanishing who whomong who who integ who whobody who who remaining who whoh who who pushing who who defendants who who bridge who wholast who who choir who who hard who who shattering who whostanding who whome who who New who who gives who who had who who surprises who who fighting who who popul who who troubling who who switches who who adds who who minorities who who himself who who team who who first who who uses who who boxing who who fires who whogreen who who Black who who Res who who installs who who guys who who crossing who who Defender who who… who who pushes who who gunshots who who risks who who stretching"
yelp_9,450 Fast450450450 Fast450 Fast Fast450450Fast Fast450Fast450 FastFast450450 Mint Fast450 Mint450 Fast Mint Fast FastFast Fast Fast Fast Mint450450L450450LC450450451450450 New45045040450450446450450N450450 Red45045045450450HF450450704504503804504502020450450 L
