id,text
wikitext_224325,"ORGANIZATION_1 data were published as a letter in ORGANIZATION_1 ORGANIZATION_1 Lancet in DATE_1 DATE_2 , co @-@ authored by PERSON_LASTNAME_1 . It reported significant differences in ORGANIZATION_1 thickness of ORGANIZATION_1 gut epithelium of rats fed genetically modified potatoes ( compared to those fed ORGANIZATION_1 control diet ) , but no differences in growth or immune system function were suggested ."
wikitext_228683,"NUMERIC_1 OTHER_1 , OTHER_2 n OTHER_3 DVDs which featured a number of season NUMERIC_1 episodes were released by ORGANIZATION_1 ORGANIZATION_2 ORGANIZATION_3 in Region NUMERIC_2 from DATE_1 to DATE_2 . The DVD volume titled OTHER_4 OTHER_1 @-@ OTHER_5 was released on DATE_3 DATE_4 , DATE_1 , featuring NUMERIC_2 season NUMERIC_1 episodes out of a total NUMERIC_4 . The Complete Second Season was released on DATE_5 DATE_6 , DATE_2 . Both DVDs can also be purchased on the ORGANIZATION_4 ORGANIZATION_5 ORGANIZATION_6 . The season is also available for download on the ORGANIZATION_7 ORGANIZATION_8 . Selected episodes from the season were also featured on several ORGANIZATION_4 ORGANIZATION_5 compilation DVDs ."
wikitext_428391,"Although PRONOUN had a solid performance in spring training , PERSON_LASTNAME_1 began the DATE_1 season in Triple @-@ A. PRONOUN was called up to the majors in DATE_2 after PERSON_FIRSTNAME_1 @-@ PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 was placed on the disabled list . PERSON_LASTNAME_1 made PRONOUN first start of the season on DATE_2 DATE_3 against the ORGANIZATION_1 ORGANIZATION_2 and pitched NUMERIC_1 scoreless innings , earning PRONOUN first win since DATE_4 in an NUMERIC_1 – NUMERIC_2 victory . On DATE_5 DATE_6 , PERSON_LASTNAME_1 threw NUMERIC_2 scoreless innings , earning the win in an NUMERIC_1 – NUMERIC_3 victory over the ORGANIZATION_3 ."
wikitext_567326,"T. q. subquadricornutus ( PERSON_LASTNAME_1 , DATE_1 ) distributed in the LOCATION_1 Ghats and southern India"
wikitext_253052,"The second wave was also not under the command of the OCCUPATION_1 and was made up of a number of armies with their own commanders . Together , this group and the first wave numbered an estimated NUMERIC_1 @,@ NUMERIC_2 ."
wikitext_824559,The replacement of the Mk1 's metal rotor blades with aluminium and glass fibre composite rotor blades saw these aircraft designated OTHER_1 OTHER_2 OTHER_3 . All surviving aircraft were later returned to ORGANIZATION_1 and updated to the OTHER_1 OTHER_2 OTHER_4 standard for further service within the ORGANIZATION_2 .
wikitext_532580,"They said , "" PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 could be set to make a shock return to legendary drama series LOCATION_1 after stars PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 OTHER_2 PERSON_FIRSTNAME_3 PERSON_LASTNAME_3 let slip producers want PRONOUN in the show 's upcoming reboot . The actress ' character , PERSON_FIRSTNAME_4 PERSON_LASTNAME_4 , was written out of the OTHER_1 @-@ OTHER_2 @-@ scandal series in DATE_1 , when viewers were told PRONOUN had only months to live after fleeing the OTHER_3 dynasty . "" In an added piece , they said : "" But the storyline was left open @-@ ended , OTHER_2 it 's now emerged PERSON_LASTNAME_1 – who is the only surviving member of the show 's original cast not signed up for the relaunch later this year – could be brought back to LOCATION_1 in an explosive plot . "" PERSON_FIRSTNAME_3 PERSON_LASTNAME_3 said , "" PRONOUN hasn 't ( come back ) – PRONOUN hasn 't as yet . But I think for the producers of the show , it 's an open invitation . """
wikitext_417081,"Devastated , PERSON_FIRSTNAME_1 becomes a recluse living in a trailer on the LOCATION_1 LOCATION_2 coast in LOCATION_3 . PRONOUN finds PRONOUN out of step with changing music trends , and when PRONOUN tries to adapt by incorporating folk music and protest songs into PRONOUN repertoire , PRONOUN finds PRONOUN rejected by the audience that once embraced PRONOUN . Undaunted , PRONOUN stages a show , complete with a gospel choir , at the ORGANIZATION_1 ORGANIZATION_2 in LOCATION_4 LOCATION_5 , and against all odds it is a huge success ."
wikitext_719195,"Physical examination of the nervous system is typically normal apart from the presence of papilledema , which is seen on examination of the eye with a small device called an ophthalmoscope or in more detail with a fundus camera . If there are cranial nerve abnormalities , these DATE_1 be noticed on eye examination in the form of a squint ( third , fourth , or sixth nerve palsy ) or as facial nerve palsy . If the papilledema has been longstanding , visual fields DATE_1 be constricted and visual acuity DATE_1 be decreased . Visual field testing by automated ( Humphrey ) perimetry is recommended as other methods of testing DATE_1 be less accurate . Longstanding papilledema leads to optic atrophy , in which the disc looks pale and visual loss tends to be advanced ."
wikitext_771361,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 of ORGANIZATION_1 ORGANIZATION_2 ORGANIZATION_3 ORGANIZATION_4 called it "" a true movie milestone , presenting awe- and fear @-@ inspiring sights never before seen on ORGANIZATION_1 screen ... On paper , this story is tailor @-@ made for MR/MR/MS. PERSON_LASTNAME_2 's talents ... [ but ] [ i ] t becomes less crisp on screen than it was on ORGANIZATION_1 page , with much of ORGANIZATION_1 enjoyable jargon either mumbled confusingly or otherwise thrown away . "" In ORGANIZATION_5 ORGANIZATION_6 , PERSON_FIRSTNAME_2 PERSON_LASTNAME_3 described ORGANIZATION_1 film as "" colossal entertainment — ORGANIZATION_1 eye @-@ popping , mind @-@ bending , kick @-@ out @-@ ORGANIZATION_1 @-@ jams thrill ride of summer and probably ORGANIZATION_1 year [ ... ] Compared with ORGANIZATION_1 dinos , ORGANIZATION_1 characters are dry bones , indeed . PERSON_LASTNAME_4 and co @-@ screenwriter PERSON_FIRSTNAME_3 PERSON_LASTNAME_5 have flattened them into nonentities on ORGANIZATION_1 trip from page to screen . "" PERSON_FIRSTNAME_4 PERSON_LASTNAME_6 noted , "" ORGANIZATION_1 movie delivers all too well on its promise to show us dinosaurs . We see them early and often , and they are indeed a triumph of special effects artistry , but ORGANIZATION_1 movie is lacking other qualities that it needs even more , such as a sense of awe and wonderment , and strong human story values . "" PERSON_FIRSTNAME_5 PERSON_LASTNAME_7 argued , "" ORGANIZATION_1 complaints over OTHER_1 OTHER_2 's lack of story and character sound a little off ORGANIZATION_1 point , "" pointing out ORGANIZATION_1 story arc of PERSON_LASTNAME_8 learning to protect PERSON_LASTNAME_9 's grandchildren despite PRONOUN initial dislike of them . ORGANIZATION_7 magazine gave ORGANIZATION_1 film NUMERIC_1 stars , hailing it as "" quite simply NUMERIC_2 of ORGANIZATION_1 greatest blockbusters of all time . """
