id,text
yelp_0,i 've been here for a quick meal . i have n't been here for a quick meal . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was
yelp_1,i 've been here for a quick meal . i have n't been here for a quick meal . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was
yelp_2,i 've been here for a quick meal . i have n't been here for a quick meal . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was
yelp_3,i had a really good selection of the food and the food is a bit of the food and the bar is a bit of the food . the staff is very nice . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff
yelp_4,i 've been here for a quick meal . i have n't been here for a quick meal . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was
yelp_5,i 've been here for a quick meal . i have n't been here for a quick meal . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was
yelp_6,i 've been here for a quick meal . i have n't been here for a quick meal . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was
yelp_7,i 've been here for a quick meal . i have n't been here for a quick meal . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was
yelp_8,i 've been here for a quick meal . i have n't been here for a quick meal . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was
yelp_9,i 've been here for a quick meal . i have n't been here for a quick meal . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was
yelp_10,i 've been here for a quick meal . i have n't been here for a quick meal . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was
yelp_11,i 've been here for a quick meal . i have n't been here for a quick meal . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was
yelp_12,i had a really good selection of the food and the food is a bit of the food and the bar is a bit of the food . the staff is very nice . i was able to get a good job re-doing the food and the food was good and the food was good . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff was friendly and friendly . the staff
