id,text
yelp_0,"Met my friend here for a purchase of something I bought from her and Fox's was the designated spot, because it's iconic in the area.  It has plenty of parking, has plenty of light and allowed us to see each other easily."
yelp_1,"This LARGE dry cleaners (and tailoring) is located at the corner of 17 & Arch.  Great location for the  and nearby .  They have cleaned a few items for me at a good price and well done.  They also cleaned and preserved my wedding gown.  (Ouch - that price!!!!!)  I also had a zipper replaced on an expensive jacket.  It cpst $35 to have the new zipper put in, which seemed really high to me, but iot was better than replacing the jacket. (Which would have been a few hundred bucks.)  Ladies who run the place are nice and the computerized systems helps ensure your stuff is really YOUR stuff."
yelp_2,"I love some kebabs and I was excited the website said they were planning lamb roasts every .  The chicken and falafel sandwiches are alright but the lamb pastrami is the best thing I've had here.  I could tell that they really take some time to use some quality ingredients in a lot of what they prepare but they still have a lot of kinks to work out.  One of their unique offerings is the young coconut they pop open for you to drink.    Areas that could use some improvement:  They didn't have any self-serve ice next to the drinks so that was a bit of a challenge.  They also got my tables order confused with a to go order so that caused a bit of mix up so they need to develop a better order system.  Something got burned and caused a really bad burned odor and fumes; so accidents happen but maybe a better venting system over the oven could help it from being so overwhelming a sensation when they do.    The website is a bit confusing with the hours listing being  and 3PM-12PM in different locations on the site so that needs to be cleaned up to fix  confusion.  The environment was also a bit confused inside with half art gallery and half restaurant and I  don't think the art gallery did much for me other than limit my seating options.  The crowd consisted of a lot of really dirty unwashed gutter punks and other  hipster types that gave off quite a bit of unpleasant body odor so just be prepared for the possibility that if enough of them are there you might want to just get a to-go order to avoid their retched stench.  I think the  restaurants might want to start posting signs that say, ""No shower no service!""    50 cent surcharge for using credit cards!  I completely understand how credit cards abuse business owners with their fees but you should at least post a sign stating that policy instead of telling folks after the fact or NOT telling them at all!  The specials board is very badly placed way over to the left where nobody will see it unless they know to look way over to the left above the drinks.  You need the specials right underneath the register where folks can see them as they are approaching to order so they know they are there and really you should hang a board above the register.  Overall there are just a whole lot of other  and  restaurants that have better food to me at this point in the city but I certainly see this joint has some potential if they get their act together as they are the only restaurant of this genre in the .  So I'm just going to wait and see what develops but I'm still going to go back to try the roast lamb and get another coconut."
yelp_3,"At last - I am a  virgin no longer.  And what a way to go.  It was  in  for  and DH & I went to  but the line was so long that we decided to go acrosss the street to the sports bar.  Afetr a round of fried goodnees - DH had the cheese fries and I had some really outstanding O-rings - we were on to our main attraction.  DH had a cheese steak with Provolone and it was terrific. I enjoyed a garlicky plate of Veal Scallopini that was kickin' in old school.  This was THE $#!T - for real.  Mushrooms, green peppers, onions and tender veal (wish there had been a bit more of that) in a garlicky, olive-oily sauce that reminded me of how my  woulda done it.  Um.  If I'd had an  Nonna.  Can't wait to go back and try the Chicken Sandwich with Spinach.  I am sold on ."
yelp_4,"The third child of New Leaf Cuisine (Manayunk & Broomall being the elder siblings), Purple has replaced the ill fated  at  location in . While ""Asian Fusion"" is often just confusion, this house seems to actually know what it's doing when it comes to Sushi and  food.   Their menu is a complex of decent sushi, ""Street Food,"" noodles and  dishes, all well done with a touch of creativity and lots of flavor. Prices reflect the talent in the kitchen, so even the dim sum small plates add up fast. As a first timer, and suspecting that Mandarin was the primary language, we opted for that part of the menu to sample.   Smart move.  Our four dishes were; Beef Chow Fun (traditional  broad noodles), Chicken with Dry Pepper (medium heat w jicama for cool crunch) from  Kitchen - Entrees, Spicy Crispy Chicken (crunchy fried chicken  style) and Wok-fried  (hottest dish w  spice sensibilities). They were all very good, with tender sliced beef, white meat chicken and no skimping on the spices nor portions. Three of us supped to our hearts' content with leftovers for . Each made its own statement without redundancy. The kitchen was well trained in the mystic art of  sauces.   If the sushi and other  pieces are on par with the mainland portion of the menu, Purple Leaf could well be worthy of that fifth star. As it is, it is a giant leap forward for the local  restaurant scene."
yelp_5,My kid and all her friends LOVE it here. Especially  with steak or shrimp (extra charge).
yelp_6,"It is so simple. Check-in, name called, blood drawn and you're on your way.   I had no idea this location was so close to home. I have always used the Quest closer to my doctors office, stopping by on my way home. This time I had to have blood drawn  before seeing a specialist, so I Googled Quest and found this location which is conveniently located in my hood. It is hidden on the backside of the building so it is unnoticeable as you drive by the medical building. Out of site, out of mind.   I did not go on-line and make an appointment ahead of time. I just showed up, signed my name on the registry and took a seat. I barely had time to check in on Yelp and my name was being called. I presented the technician with my paperwork, insurance card and ID. She quickly got busy, preparing the vacutainer tubes as I tried to relax listening to the music playing from a small boom box she had sitting on the floor. I HATE having my blood drawn and have veins that most technicians hate. My veins are small, roll and hide when it is time to be poked and drained. My tech was not chatty, but she was professional. I give her four stars because, she jabbed me without hurting me and got in a vein on the first poke. I was In and Out in nothing flat, it was express service at its' best.   Now that I know a Quest is near my home, I may make this location my choice for blood draws. Instead of using the one near my doctors office, I'll come here. When I'm  finished here, I can get myself a treat at Starbucks or  which both are conveniently located across the street. You get a treat when you donate blood, why not get one after having a blood draw."
yelp_7,We buy liquor here on occaision because it is convenient. I think the PA liquor laws are really strange and generally nonsensical.
yelp_8,"My second visit to  in  after  absence.  is coming back to life, and the area close to  seems to be spearheading the revival. It is great to see a renaissance in this old river city.  It has suffered hard times through some neglectful governments and perhaps not so fatherly town elders. Yet, it is hard to keep a good old ville down when it has natural beauty and a real purpose over .  So it is with the King George II Inn. Originally built to be close to the ferry to , , the only way across this water course for  AFTER the ferry was started, the KGII evolved into a restaurant and subsequently an inn. Sitting in the oldest part of the building, the tavern, it is easy to imagine what it was like to be living and traveling in colonial .  The various farmers, businessmen, hucksters, cons, grifters, and cutthroats gathered here to do their business, and wait for the ferry to take them to the colony of .   Even , that historic atmosphere permeates the . Certainly there are ghosts stories aplenty.  I stopped into the  for late lunch, sitting at a small table at the window overlooking the bottom of , and the river just beyond.  The server (who was as gracious as an owner) greeted me warmly, took my order, and left me to my mental wandering.  The Pierogies appeared on a long thin white dish, covered in sautéed onions and fresh chives. A dollop of sour cream occupied one corner.  They were lightly fried, potato and cheese. They were pretty good at 6 for $9. I knew I was paying for the privilege of location.  No complaints.  The Tavern itself was excellently preserved and rehabbed to feel very original. All dark woods, heavy oak tables, and mirrored bar.  A perfect place to reenact debates between Patriots and  over lagers and locally distilled whiskey.    It is certainly worth a visit and a meal if you are into  history.  It is not quite , , where the entire community is a historic park and everyone is in costume.  Still, with a little imagination it is capable of taking you on quite a trip."
yelp_9,This is a brand new gas station (Exxon at the moment) and convenience store.  The space is super clean (as it should be since it's brand new). The gas station portion is well lit.  Do not confuse this with the Original Brown Derby which is across  from this location and sells hot plates. I do wonder if they are affiliated or all appropriating a traditional name.
