id,text
imdb_0,"Unfortunately, MovieX came out about the same time as the Challenger Explosion. Which really put a crimp on when to bring it out or even if they should. I'm glad they did. I first watched MovieX at a drive-in movie. Which really enhanced the viewing a lot. While I had heard of Lea Thompson and Tom Skerritt. I had never heard of the others in the movie. So, it came as a big shock to me to find all those youngsters acting, and acting real good! Of course, Kate Capshaw was excellent too. I especially liked the scenes, where those kids were being shown how to act, as a team. The scenes of the kids being prepared for a trip they could only hope for. The actual launch of a spacecraft, is of course, old news to us. However, this one was different. All in all, this is one of my most treasured films. Escapist maybe, but it was fantastic for a space nut like me. After probably renting it for 30 - 40 times. I finally found it available in a certain store and bought it. Now, if it only comes out on DVD. I will probably have it forever. This movie gets a 9 out of 10 from me."
imdb_1,"Good films cannot solely be based on a beautiful garden and a hill top. Surprised to see it has won two awards. Extremely overrated. I first saw that kind of films from China, visually stunning BUT also with really something captivating to say, well, more than 10 years ago and I'm sure there are still more coming up. This is not one of them, I'm afraid."
imdb_2,"When this film was released in the late 1990s the 'special effects', such as they are, were poor. They would have been dated even for the 1980s, and even some films made in the 1970s and 1960s have had the same or better SFX work. Certainly no-one involved in the production of this film was looking for an award. It's a wild departure from director John Doe's usual stuff, most of which has the word 'Adventure' in the title (Adventure in the Desert, Adventure in the Mountains, etc) and are little more than action flicks, but here we are with a film rated 'PG' and aimed squarely at the kiddies. You've got to give him credit for diversifying!! This was a minor direct-to-video cult hit which later resulted in a couple of sequels - Invisible Parent 2 and Invisible Guardian. Jane Smith (whose career went downhill fast after 1985's 'Alien') plays the 'invisible parent' of the films title and would return for the sequel. Michael Johnson (whose career had been in free-fall even longer since 1965's 'Romeo and Juliet') plays the villainous Dr. X. It's probably fair to say that most of the cast were at the point in their careers where they would be prepared to work on almost anything just to pay the bills that month - except maybe young Alex as Sam. It's rather telling though that although he worked prior to this movie, this child actor didn't work again after the sequel, 'Invisible Parent 2'. Maybe the film was cursed. After all, he wasn't that bad in this film. For a child actor, he's pretty good - no better or worse than any of his more experienced co-stars. As mentioned above, the 'invisibility' effects are poor to say the least, the direction is poor, the writing obvious and the acting nothing to write home about. There are plenty of worse films out there though, and for anyone under the age of about ten, this film will no doubt be quite watchable. Most adults will probably want to do a disappearing act of their own while it is on though, and I wouldn't blame them one bit!"
imdb_3,"Too bad a couple of comments before me don't know the facts of this case. It is based on actual events, a highly publicized disappearance and murder case taking place in the Wilmington, DE/Philadelphia region from '96 through 2000. I have to admit I was highly skeptical of how Hollywood would dramatize the actual history and events and was actually quite impressed on how close they stayed to what was constantly reported on local newscasts and newspaper news stories throughout the time period. Of course I immediately pointed out that the actress (who I really like in the movie) who played Fahey looked nothing like her (Anne Marie was actually prettier). I have to admit though that Mark Harmon really nailed the type of personality that was revealed as Capano's and the behavior that Capano exhibited throughout this period. Details of the case were right on...no deviations of dramatic effect...even down to the carpet, gun, furniture, and cooler. In conclusion, I also wanted to add that I have met a good man many times at various functions and I am so glad that he pulled the strings in the Federal realm necessary to solve this heinous crime. Guys like Capano are real and it was great to see him finally put behind bars."
imdb_4,"""When a small European village is beset with a string of mysterious deaths, the local official demands answers into the attacks. While the police investigator refuses to believe the nonsense about supernatural creatures returning to the village, the local physician treating the victims begins to suspect the truth about the crimes,"" according to the synopsis. An inappropriately titled, dramatically unsatisfying, supernatural mystery. Curiously, the film's supporting cast easily out-perform the film's lackluster stars: stoic actor (1) (as character (2)), skeptical actor (3) (as character (4)), and pretty actress (5) (as character (6)). The much more enjoyable supporting cast includes bat-crazy actor (7) (as character (8)), hypochondriac actress (9) (as character (10)), and suspicious actor (11) (as character (12)). Mr. (7), Ms. (9), and Mr. (11) outperform admirably. Is there another movie ending with a mad rush to the bathroom? Magnesium sulfate Epsom salts it's a laxative! **** Supernatural Creature (1933) Actor (13) ~ Actor (7), Actor (3), Actress (9)"
imdb_5,"As the film opens, two individuals kill another individual. When the body is discovered and about to be autopsied, the doctor realizes that although the man was shot dead, he was also suffering from a very nasty and more virulent version of a plague! So, it's a race against time to find those who came in contact with the dead man and treat them immediately, otherwise a disaster could erupt. Oddly, I actually know quite a bit about this plague, as I taught a series of lectures on it for my history classes. The film really did not do a good job of getting the facts right about the disease in that it looked little like what the people had in the movie. The biggest problem is that this illness is so incredibly grotesque that in 1950 they really wouldn't have been allowed to show it. Sure, there is high fever and coughing (they got this right) but also lots of bleeding and explosive vomiting of blackened blood--along with the enormously swollen lymph nodes like you'd get with the plague--all purply and gross! I can certainly understand why they didn't go this far. Also, I am sure that the federal government would have had a much, much greater involvement in controlling and treating the disease--here in the film it was handled on a very local level and everyone seemed ill-prepared and a bit dumb. No one seemed willing to believe the doctors!! As for the acting, the film had some excellent actors here. Richard Widmark and Paul Douglas are, respectively, the public health doctor and police chief. Good actors but also known actors back in 1950. However, in his first film is the very menacing Jack Palance (still going by his original moniker) as well as the relatively unknown (at the time) Zero Mostel. Palance was great--very scary and very physically adept in his own stunts. Mostel played a heavy typical of his early work--a greasy and cowardly sort of evil. Overall, despite really not getting the details right and wrapping everything up a little too neatly, the film is very tense and has excellent acting--and is well worth seeing."
imdb_6,"Although this was obviously a low-budget production, the performances and the songs in this movie are worth seeing. One of the actor's few musical roles to date. (he is a marvelous dancer and singer and he demonstrates his acrobatic skills as well - watch for the cartwheel!) Also starring the actor's colleague. A great children's story and very likable characters."
imdb_7,"Many individuals who have seen this film believe it to be the best movie ever made. I disagree, but the movie is very good. Tony is a formidable character and knows he's intimidating, using it to his advantage. It's about his journey from washing dishes to owning a large house and an office filled with cocaine. If you're looking for a family movie, this isn't it, but if you want mobsters and revenge, you'll enjoy it."
imdb_8,"A warm, sweet and remarkably charming film about two antagonistic workers in the same shop (Actor1 and Actor2) who are carrying on a romance via mailbox without either of them knowing it. The key to this film's success is that Director keeps any syrupy sentimentality absent and calls on his actors to give low-key, unfussy performances. As a result, you fall in love with virtually all of them. There's a strong undercurrent of melancholy running through this film which I appreciated. Loneliness is a major theme, most obviously represented in the character of the shop's owner and manager, played wonderfully by Actor3. He discovers that he's being cuckolded by his wife, and realizes that the successful life he's created for himself isn't enough to keep him from feeling lonely when he doesn't have a partner to share it. This makes the timid romance between Actor1 and Actor2 all the more poignant, because they're both reaching out to this unseen other, who each thinks of as a soulmate before they've even met. Of course we know everything will turn out right in the end, but the movie doesn't let you forget the dismal feeling either of them would feel if they found that the reality didn't live up to the fantasy. Director fills his movie out with a crackerjack cast that has boatloads of chemistry. The little group of shop employees refers to itself throughout the movie as a little family, and that's exactly how it feels to us as well. This is a wonderful, unsung romance. Grade: A+"
imdb_9,"May the saints preserve us, because this movie is not going to help. Someone with access needs to e-mail a fictional person and tell him we need a faithful production of an epic poem. Something that actually has something in common with the foundation for all modern western literature. The recent versions of the epic poem make me wonder two things. First, why is there so much interest in the story. Second, why are all these filmmakers squandering mountains of cash on this crap. The only reason this got a two is that the version with a fictional person in it was worse and needed the 1. What is even worse, some people will watch this and get the wrong idea about the poem. How can an industry where a famous filmmaker gets a literary conversion to film so right can get it so wrong. I mean really, a generic location as a model for a fictional place is too much. And PLEASE, horns on helmets? Spare me. This is insulting. /hjm"
