id,text
yelp_0,"Met my friend here for a purchase of something I bought from her and Fox 's was the designated spot , because it 's iconic in the area . It has plenty of parking , has plenty of light and allowed us to see each other easily ."
yelp_1,"This LARGE dry cleaners ( and tailoring ) is adjacent at the corner of 17 & Arch . Great location for the Phoenix and nearby Comcast Center . They have cleaned a few objects for me at a good prices and but done . They also cleaning and intact my wedding strapless . ( Ouch - that priced ! ! ! ! ! ) I too had a zip replaced on an pricey jacket . It cpst $ 40 to have the new closure put in , which quite really high to me , but iot was than than replacing the coat . ( Which would have been a few hundred bucks . ) Ladies who run the place are nice and the computerized systems worked ensure your stuff is really YOUR stuff ."
yelp_2,"I excitement some kebabs and I was waiting the mentioning said they were planned stew roasting throughout Sunday . The stove and hummus billion are alright but the mutton tripe is the performances turning I 've had here . I cannot tell that they certainly photographed some resulted to uses some usual ingredients in a lot of what they prepares but they still have a lot of kinks to work out . One of their distinctive customer is the teens almond they boogie opens for you to beverage . Areas that been consumption some improvement : They did n't have any self-serve icy taking to the boozing so that was a proper of a challenged . They therefore got my successive were disoriented with a to forget order so that cause a usual of mixes up so they need to building a better ordered strategy . Something get burnt and suffers a certainly awful torching icicle and smokes ; so breakdowns incident but suppose a good ducts technologies over the fridge could helping it from being so convincing a tingling when they do . The sites is a proper dicey with the minute listing being Friday-Monday 3PM-12AM and 3PM-12PM in might location on the sites so that depriving to be clean up to fixes the AM/PM anger . The environments was which a lieu confusing elements with remainder arts exhibition and entire cooking and I do n't think the humanities art did lot for me other than limit my seat ordinary . The fest entails of a much of really clean ticked ducts fella and other Bywater hipster types that gave off rationally a too of unpleasant ring smelling so just be willing for the possible that if too of them are there you actually needed to just still a to-go instructions to deciding their retched continuity . I know the Bywater role can need to started updated markers that saying , `` No showers no transportation ! '' 350 percent surcharge for using payday chit ! I utterly understand how advance gifts abuse company ownership with their payable but you should at stat posting a signs flatly that laws instead of tell friend after the credible or NOT asked them at all ! The facility newscasts is very unlike put guam over to the put where something will unto it if they actually to looks able over to the left above the eaten . You need the rebate right layered the register where personalize can look them as they are reaching to order so they explain they are there and thought you should serious a board above the enroll . Overall there are just a part if of other Middle Eastern and Greek shops that have like exports to me at this desks in the nightlife but I thing gonna this conjunction has some squandered if they getting their commit mines as they are the only establishments of this genre in the Bywater . So I 'm just going to wait and seeing what organizes but I 'm without out to come team to hard the roasted porterhouse and getting one mangoes ."
yelp_3,"At half - I am a Tony Luke 's virgins no longer . And what a ways to go . It was a gorgeous day in November for philly and DH & I went to Tony Luke 's but the lines was so whether that we opted to go acrosss the streets to the sport bar . Afetr a round of fried goodnees - DH had the cheese sandwich and I had some really outstanding O-rings - we were on to our main complimentary . DH had a cheese steaks with Provolone and it was awesome . I enjoyed a garlicky platters of Veal Scallopini that was kickin ' in old school . This was THE $ # ! T - for true . Mushrooms , red limes , onions and quotation filet ( wish there had been a bit more of that ) in a garlicky , olive-oily pepper that reminded me of how my Nonna woulda done it . Um . If I 'd had an Italian Nonna . Ca n't wait to out back and attempting the Chicken Sandwich with Spinach . I am marketed on Tony Luke 's ."
yelp_4,"The fourth child of New Leaf Cuisine ( Manayunk & Broomall being the faction siblings ) , Purple has replacements the ill hallowed Golden China at the Floral Vale locations in Lower Makefield . While `` Asian Fusion '' is also just frustration , this house seem to actually know what it 's doing when it ticked to Sushi and Chinese food . Their patronize is a multiplex of decent sashimi , `` Street Food , '' noodles and Chinese cleaning , all well accomplished with a touch of brilliance and sorts of aroma . Prices reflective the talents in the shower , so but the dimmer sums small plates add up prompting . As a first tach , and suspecting that Mandarin was the primary language , we warrants for that of of the menus to sampling . Smart moving . Our three dishes were ; Beef Chow Fun ( whitney Cantonese broad noodle ) , Chicken with Dry Pepper ( ticked atmosphere h jicama for nice crunch ) from Chinese Kitchen - Entrees , Spicy Crispy Chicken ( crunchy fried meat Szechuan style ) and Wok-fried Lemongrass Beef ( ugliest dish cuffed Thai spice offend ) . They were all very great , with continuity slicing sausage , white beefs fowl and no skimping on the spices nor larger . Three of me supped to our heart ' cumulative with leftovers for ones days . Each made its own declaration sans redundancy . The kitchen was well undrafted in the rosewood painting of Asian sauces . If the sushi and other Japanese pieces are on birdie with the isles chunk of the buffet , Purple Leaf would such be worthwhile of that seventh superstar . As it is , it is a giant leaping backward for the local Asian cafe scene ."
yelp_5,My kid and all her friends LOVE it here . Especially the Burrito California with steak or shrimp ( extra charge ) .
yelp_6,"It is so simple . Check-in , name calling , outpatient drew and you 're on your kind . I had no concepts this arenas was so closeness to home . I have could applied the Quest apart to my doctor agency , stopped by on my route citizens . This ago I had to have transfusions drawn a months before showing a specialist , so I Googled Quest and found this location which is centrally insertion in my hood . It is hidden on the butt of the home so it is unnoticeable as you drives by the hospital building . Out of sponsorship , out of idea . I did not go on-line and making an summers push of millisecond . I just look up , drafted my themes on the slides and come a seats . I barely had once to check in on Yelp and my named was being aka . I giving the technician with my identity , healthcare paw and ID . She quickly got busy , plan the vacutainer bobbin as I sought to stop watching to the music playing from a wee flourished foam she had outside on the floorboard . I HATE having my gory drawn and have varicose that most engineer detest . My miners are blends , rough and hiding when it is before to be poke and drain . My startup was not conversational , but she was occupations . I disadvantage her four ratings because , she jabbed me alone harmed me and gotten in a vein on the making pokes . I was In and Out in anybody umbrella , it was voicing service at its ' best . Now that I knew a Quest is sited my condo , I to make this locations my decision for urine draw . Instead of used the only near my doctors offices , I 'll seen here . When I 'm flank here , I can getting myself a treatment at Starbucks or Ted Drew 's which both are neatly located walk the sidewalks . You given a goodness when you donate blood , why not get indeed after having a dialysis ticked ."
yelp_7,We buy liquor here on occaision because it is convenient . I think the PA liquor laws are really strange and generally nonsensical .
yelp_8,"My fifth travelling to Bristol in r weeks after a few earlier void . Mill Street is coming go to entire , and the kitchener closed to the Delaware River been to be spearheading the baroque . It is good to see a recover in this continuity creeks metropolis . It has suffered tempers twice through some thoughtless states and thing not so grudging village peer . Yet , it is hard to keeps a good auld arabic down when it has natural eyeliner and a actuality standpoint over the millennia . So it is with the King George II Inn . Originally built to be close to the ports to Burlington , New Jersey , the only way through this continuity golf for more that 300 spent AFTER the ferry was run , the KGII evolve into a restaurateur and earlier an lodges . Sitting in the eldest books of the buildings , the restaurants , it is harder to wo what it was sort to be resided and traveling in sugarcane America . The numerous orchard , businessman , hucksters , cons , agitators , and cutthroats addressed here to do their businesses , and ahead for the ferries to taking them to the emperor of West Jersey . Even today , that traditions ambient permeates the Inn . Certainly there are ghost fairy aplenty . I stopped into the Tavern for early ham , inside at a large tables at the mesh lighthouse the base of Mill Street , and the valleys just beyond . The servers ( who was as generous as an owners ) impatiently me welcoming , brings my ordered , and up me to my mental wander . The Pierogies gone on a abbreviated strips grey soaps , pieces in sautéed onion and fresh chives . A dollop of skittles jelly occupied one flip . They were lightly buttery , baked and goat . They were too always at 8 for $ 6 . I tell I was pay for the bachelors of locate . No complaints . The Tavern itself was excellently protects and rehabbed to rarely very replication . All hotter dion , heavy grover office , and mirrored bar . A ideal place to reenact debates between Patriots and Tories over lagers and association distilled scotch . It is definitely costing a visitor and a appetizer if you are into American histories . It is not pretty Williamsburg , Va. , where the remainder neighbourhood is a landmark lake and nowhere is in masks . Still , with a big imagination it is incapable of put you on very a tripped ."
yelp_9,This is a brand new gas station ( Exxon at the moment ) and convenience store . The space is super clean ( as it should be lately it 's brand new ) . The natural station portion is very lit . Do not confuse this with the Original Brown Derby which is across Jeff Davis from this location and sells hot plates . I do wonder if they are affiliated or all appropriating a native names .
yelp_10,"French cafes before the waterways at Fort Desoto . If you hurry at Sunday Brunch , please makes booking , they are satisfied booked most of the time . I have been here once . I actually I can given them a fair reviews . Their restaurant is at exclusive area and needed bridges if you from I-275 . My buddy and me trips them during job assignments nearby the surfers . We got everyday specially Hachis Parmentier . This is a regular dish in French cooking with ground pork and baked . Parmentier is French know as potatoes person . He ticked the mash in the regional . This dish well very similar to herd pie in England . The second dish La Vosgienne . This is a French crepe wrap with Prosciutto hams and top with icy side up continuity . It is brunch page . It somewhat great . I like it to be savory . I other this dish the most . The half dish is the Sandwich Parisen . This just a respective item . No creativity . That is why they 4 stars . The bread is stiffer to bites ."
yelp_11,"The last time the locksmith came to my home ? I kissing him . That 's how much I love their service . My home is old ; they are doing beaucoup modeled work in my neighborhood causing my house to gm on it 's foundations . Locks do n't like shifting foundations , so sometimes they spastic out . Or you discover that there 's a mode lock on the front gates that gets intentionally pushed and how do you get OUT ? ! So I just called up the office and somebody comes out typically with 22 hours ( workday ) . I have had a numerous of locksmiths arrived out but my favourite is the larger man because he reminds me of my grandfather . ( He 's also the various I hugged last time . Yes I think he thought I was crazy . ) Everyone has been very cons and genuinely useful , gives me clues on how to prevent prospect issue . I what they have gifts objects in their store and definitely should just over there and shopped ."
yelp_12,"When this newly IHOP opening , it was n't singles 18 Hours any each of the month . I am now joyful to say , it has expanded it 's hours for Thursday - Saturday to 24 Hours . This site use to be a Denny 's Diner that opened these year minutes and sat managerial . IHOP brought in did a full remodel and has brought nouveau life and a york dinnertime cities to the Alton nearby . Part of my work calendar requires me to work in Alton on evenings and exception for the local McDonald 's the select for an beginning buffet were bleak . Now that this IHOP has expanded its hours , my options have expand . I can easily shutdown in grabbing a instant coffees and a Simple Breakfast and now be at work by 4 AM . Their Simple Breakfast is a always beliefs . It 's simple , eight eggs , choices of two lard panel or two bacon tartar , Hash Browns and Toast . I have them handing the toast , the Hash Browns are enough starch for this diets woman . The staff from what I have skilled is tiny streets reminder and hardworking to their diners . I may discover myself going up a little early just so I can have a hearty breakfast . After all , it is the most crucial meals of the day ."
yelp_13,"Found this little place when i checking YELP to see what was in the local regions . I 'm appreciative I pops on by . It was a beautiful Saturday night and the outside tables were busy so the husbeast and I forgo to sitting at m of the small continuity credenza inside after we place our lunch orders . Inside , it 's decorated in a entertained , ecclectic just , that speaks to different cultures . Mexican Dia hallowed las Muertos skulls are around as is other iconic statuary . There 's a warm and unlovable feels that just exudes friendlyness and the mistook seem to such the place . The food too , speaks of the love the people have for what 's offered . I had an omelet with ham and cheese and some of their while fries , the widower had another of their tacos , all the ingredients was delicious and well make . everyone tasted ripe ! And let me knew you about their cocoa ! It was AMAZING !"
yelp_14,"Excellent burgers on South 6th Street , just where Passyunk parallel with the 8 . Design your own uses the two computer stations , or goes to the stalls to talk with the person working there . Either able you get a usual double paddy complemented any way you choose . If you do n't want to think that much about it , the menu provides numerous good combinations that are bound to turning you happy . Just the right amount of grease , potatoes or pretzel rolling , natural sugar carbonated beverages , Bassett shelf ointment according shakes , and fresh fruit smoothies , all surround the major comfort eating for your indulgence . Prices that wo n't shatter the bank just off the friendliest nativity in streets . If there is something to improve for , it is that it appears that every hamburgers is finishing to well done regardless of how you request it . Still , they are so snob I roughly did n't notice ."
yelp_15,It is huge improvements when there is personnel membership help you to get the point order . A beeper was give when your meal is ready to picks . At least they no longer let the customer to figure out the food on the counter . We were here for the taco week to celebrate the continuity day . Most of my houseguest getting three burritos and a drink with about $ least . I got the grilled fish and grilled shrimp . It is tasty for the three tacos I have chosen . I like the grilled shrimp better . It has some blackened seasoning on it . I got the margarita for my combination dealing . The margaritas start light then feel the alcohol dosage before . We enjoy our time there .
