text,gender,sentiment
Perfect product,M,1
"Product Description: Fast response, quick delivery, product as advertised! Great seller",M,1
great service and fast delivery!: I ordered two bags of dog food from here and was pleased with the service. I ordered on a Tuesday night and had it by friday!,F,1
Great customer service and low prices,F,1
Gavin Four Star Customer Service,M,1
Great experience from design to delivery.,F,1
Generally great service,M,1
Fantastic service.,F,1
Good service,M,1
Great service in a long time,M,1
Wrong vehicle Part was for,M,0
Why aren't you leaving polls on my bank account?!,F,0
"FolderPrinters is great, trustworthy and will do the extra mile to get you super looking folders. And 4-color printing rivals any other company.",F,1
"Okay, Eureka. Back to business.",M,1
"Thank You, focus Swimming Pool Filters some quoting wants in professional appealing swimming pool vacuums and clean - back cold filter are sharp weight machines",F,1
Service very fast very good,M,1
First class and prompt delivery of ordered product within 24 hrs.: Total satisfaction with this company,M,1
The part was of fantastic quality. It fits great.,M,1
Fast and User Friendly,F,1
Fantastic service!,F,1
CheapSmells is the best!,F,1
Your company does extremely good work,F,1
A+,M,1
Best customer service in the world!!!,F,1
Superior service and super sensational fashion wares.: Great quality which make wonderful gifts.,M,1
"Great Parts for the Olbsmoble, but need to go on line to find others. Cost is comparable, great ejoy!!!!",F,1
Great business,F,1
There's so much to choose from,M,1
"SKY parking at Birmingham Airport, syllabus",M,1
Excellent Support: I used the online tech support and Jan quickly resolved my wireless issues while giving me updates on the latest security breach information. I would recommend this company and product!,M,1
PureFormulas,F,1
"clean, odourless and very good though",M,1
They bought a car,M,1
Easy to operate!,F,1
Are you looking for a florist in Pennsylvania or Chicago? Ottica is an online company that has a star billing of customer care that's highly commended—you make an appointment in 24 hours for your appointment. How good isolating Ottica from your operation and what's better about it?,F,1
": 4 star printing shop ""the logo company is great and they deliver on their promise...",F,1
Learning not to order online,F,0
Loved our experience with Butler fuels,F,1
Happy customer and excellent service!,M,1
great customer service!,F,1
Best service ever for purchases of VINONES metallic surfboard silver plates water bottles for two back to school drinks,M,1
Great staff and satisfied customers at Leeeva.,F,1
PureFormulas,F,1
"FineAwards has a good reputation. I've only used them for a few projects, but it seems they've always been prompt with their check-in time. It has",F,1
Free Shipping Available!: Great Parts!: They are the Best!,F,1
terrible location and poor shuttle service,F,0
Federal Temple Hotel is the best that everything else has to offer.,F,1
alchol,F,1
good service and well packaged,M,1
how to choose the right driving test,F,1
Excellent Glasses,F,1
"EVERYTHING IS OF AMAZING HIGH QUALITY AND GREAT CONCEPT! Danba enjoys his job,not everyone!",F,1
Great service.,M,1
I bought a car from Autolenders twice,M,1
Thank you!,M,1
