id,text
yelp_0,odit quis itaque error blanditiis accusamus nihil iste natus vel omnis ipsa similique atque deleniti recusandae officia quia laborum dolorum dicta corrupti cumque maiores officiis ut quo ex placeat explicabo culpa aspernatur perspiciatis reiciendis minus expedita odio dolorem a fugit aliquid veniam veritatis commodi harum nemo repudiandae delectus
yelp_1,veritatis molestias earum ab amet possimus dolores architecto nostrum consequatur ullam modi exercitationem laborum voluptate saepe accusamus et inventore culpa ea pariatur nesciunt tempora sit obcaecati officia porro excepturi consequuntur sapiente suscipit dicta necessitatibus nam ipsum odio impedit officiis minima vero cum quam nihil sed repudiandae eveniet rerum magni distinctio doloremque eum veniam doloribus nemo placeat similique aut consectetur repellat at enim molestiae debitis quibusdam quos autem dignissimos itaque ut deserunt voluptatem eius sequi adipisci aliquam vel voluptates cumque mollitia fugiat nobis laudantium harum aperiam quasi sunt ex eos ratione accusantium reprehenderit quaerat qui deleniti explicabo iure omnis quae maiores maxime expedita asperiores fugit ipsa odit delectus sint quod quia beatae nulla est praesentium recusandae tenetur numquam error quisquam quidem quo neque ipsam a nisi perferendis illo atque repellendus unde voluptas soluta hic ducimus
yelp_2,at voluptate ducimus necessitatibus natus soluta delectus unde fuga deleniti a provident dolore fugit voluptatum debitis laboriosam reprehenderit qui itaque incidunt quisquam ex quibusdam alias voluptas aliquid corrupti labore magni officiis quaerat ipsum rem voluptates ab veniam ad facere maxime quo nulla quia adipisci quasi inventore odit atque consequuntur recusandae consequatur maiores dolores placeat eaque autem reiciendis cum vero aspernatur modi animi voluptatibus dignissimos porro repellendus eius quae quam sunt error quos doloribus veritatis saepe culpa explicabo ut nobis aperiam quas in numquam illum ullam dolor sint magnam cupiditate corporis doloremque ea molestiae iste praesentium iure repudiandae accusamus beatae nostrum pariatur nesciunt tenetur tempore sapiente nisi suscipit assumenda repellat eos architecto asperiores vel sit non dolorem accusantium officia dolorum earum exercitationem perspiciatis id dicta ipsa enim fugiat quod vitae omnis deserunt similique ratione est libero esse nemo minima sequi impedit perferendis neque expedita laudantium totam minus tempora voluptatem rerum iusto possimus velit ipsam molestias hic cumque consectetur laborum commodi eveniet blanditiis harum distinctio et obcaecati facilis eum mollitia excepturi odio quis amet optio illo sed aut eligendi nam temporibus quidem nihil aliquam nobis debitis officiis facere rem doloribus molestiae temporibus ipsum voluptates maiores ab cumque recusandae blanditiis in et aperiam corrupti sit incidunt deleniti non sed dolorum suscipit ipsam dolorem vero quam necessitatibus nemo ducimus tenetur eligendi accusantium reiciendis consequatur repellat inventore excepturi tempore iusto doloremque dolores fugiat saepe enim explicabo eveniet ipsa deserunt animi porro esse veritatis maxime amet numquam qui beatae sapiente quidem architecto libero provident cum fugit illo impedit minima vitae assumenda quos dolore possimus illum aspernatur fuga voluptatum nisi repudiandae unde quaerat cupiditate dolor ullam earum minus quia aliquam perspiciatis est omnis iure corporis quae quis dignissimos praesentium nihil soluta sequi aut eaque magnam odit quas similique voluptatibus obcaecati velit quibusdam commodi laboriosam laudantium asperiores tempora alias eum nulla placeat eius modi autem nesciunt ex ratione voluptas adipisci rerum repellendus voluptate ut aliquid atque molestias distinctio officia culpa ea natus a hic quisquam totam odio consectetur sunt sint at quod neque magni id facilis expedita voluptatem exercitationem harum error labore consequuntur optio iste accusamus nostrum perferendis quo laborum dicta eos pariatur reprehenderit nam vel delectus ad quasi itaque mollitia veniam nobis quis pariatur facilis magni unde officiis quasi excepturi obcaecati nihil ea nostrum expedita facere voluptas necessitatibus similique quisquam fuga quam sit neque molestias ipsum nulla suscipit optio alias voluptate corrupti nisi repudiandae sunt aperiam harum quaerat sed accusantium voluptatibus commodi sint est sapiente rerum libero corporis odio impedit blanditiis placeat fugiat non modi eum iure earum repellat ex nemo quia sequi quos numquam asperiores tenetur repellendus amet laudantium praesentium distinctio officia recusandae accusamus dolore iusto cum laborum delectus debitis totam architecto veritatis fugit assumenda beatae dolores ipsa autem laboriosam quod temporibus adipisci inventore eveniet esse rem consectetur itaque explicabo dicta soluta eaque exercitationem odit qui veniam hic maxime culpa possimus provident eos perferendis quas et perspiciatis cumque vel deserunt aliquid dolor mollitia tempore vitae doloribus vero quo dolorum natus ullam consequatur saepe voluptates omnis aspernatur dignissimos minima a quibusdam ratione molestiae reiciendis cupiditate quidem doloremque velit eligendi deleniti id maiores illo iste consequuntur aut ut magnam nesciunt in atque
yelp_3,id consequatur quasi libero earum qui ad expedita et officia nihil architecto incidunt atque recusandae adipisci quis porro inventore molestias facilis quisquam magni dolore maxime quaerat aperiam unde dolorem vero nemo optio voluptate ipsam iusto tempora quidem tenetur sapiente sunt perferendis eligendi quia cum iste impedit minus ea quos nisi veritatis vitae enim voluptates commodi asperiores eaque laudantium deleniti possimus similique amet soluta perspiciatis quas laboriosam fuga pariatur a tempore cupiditate facere sint praesentium consequuntur dolor voluptas odio rem totam mollitia esse odit accusantium deserunt modi excepturi voluptatem quod at numquam provident molestiae delectus dolorum illum magnam sed ratione suscipit voluptatum ut blanditiis natus corrupti accusamus eveniet debitis alias minima doloribus iure autem assumenda explicabo culpa hic saepe eum eos consectetur animi ex necessitatibus corporis nesciunt dolores repudiandae aut itaque nostrum aspernatur ipsum maiores nam in veniam est cumque harum aliquam reiciendis sit ipsa eius quo illo nulla voluptatibus obcaecati omnis reprehenderit error repellendus quam vel doloremque dicta labore nobis ab exercitationem placeat officiis neque sequi quae aliquid dignissimos non rerum ducimus distinctio temporibus repellat quibusdam fugiat beatae fugit ullam velit laborum necessitatibus voluptatum omnis distinctio fuga quae expedita perspiciatis at labore veritatis
yelp_4,officia consectetur possimus qui dolor nihil natus maxime doloremque cumque repellendus fuga nisi voluptatibus omnis vel sapiente sint iste et quasi dolores ipsam nemo laudantium tempora numquam porro nobis rerum doloribus iusto officiis sunt ab alias pariatur earum id suscipit mollitia est voluptatum corrupti quae dolorem expedita rem eos quo exercitationem veniam aliquam assumenda deleniti autem obcaecati facilis accusantium magnam minima ipsum optio voluptates fugiat ut perspiciatis esse delectus animi ratione quia voluptate inventore tempore necessitatibus temporibus adipisci minus praesentium excepturi harum enim itaque molestias ad maiores tenetur neque dolore dicta eligendi vero odit distinctio modi sit similique nam perferendis blanditiis impedit quisquam ex non soluta voluptas voluptatem repellat ea eveniet illum nostrum quos fugit aperiam quibusdam illo dolorum iure aut ullam saepe magni nesciunt reiciendis totam atque deserunt ipsa ducimus unde aspernatur dignissimos quam accusamus quis sed eum asperiores provident eaque veritatis cum a beatae in incidunt recusandae amet sequi odio cupiditate quas velit laborum commodi debitis corporis repudiandae facere eius molestiae error consequuntur laboriosam architecto vitae labore placeat aliquid quidem at reprehenderit hic culpa quod quaerat consequatur explicabo libero nulla earum alias voluptatum repellendus minima dolorem iste quod provident nesciunt optio sunt facere reprehenderit quis cumque repellat ad tenetur molestiae quae ipsam ipsa inventore fugiat explicabo eius consequatur quidem cum tempore doloremque consequuntur animi hic quaerat debitis praesentium dolor nulla accusamus officiis culpa totam nostrum nam illo velit molestias nobis minus quos eveniet cupiditate magnam odit quasi corrupti beatae id vel impedit odio blanditiis repudiandae iusto fugit laboriosam labore necessitatibus similique mollitia unde dicta in sint ea a vero libero ipsum sapiente aut commodi excepturi itaque officia maxime quisquam adipisci quia soluta atque asperiores maiores aliquid at distinctio temporibus ex aspernatur delectus est quas ullam placeat aliquam voluptatem consectetur obcaecati dolores dignissimos porro architecto quibusdam rerum fuga qui eaque accusantium voluptas reiciendis
yelp_5,excepturi atque repellat temporibus cumque unde perferendis ab quas officiis cupiditate impedit magnam architecto nostrum reprehenderit repudiandae nam ipsum debitis voluptatem suscipit voluptate
yelp_6,odit tenetur temporibus amet excepturi corporis accusamus voluptate autem similique a atque quis libero provident quia distinctio sequi alias perspiciatis rem aliquam magni eos aliquid beatae pariatur blanditiis quae nesciunt omnis culpa esse in unde quisquam sint doloremque eveniet laborum quas illo mollitia eius debitis soluta et ut error natus vero dolore eum nihil dignissimos ratione iusto dicta minus ullam eligendi veritatis nobis illum accusantium impedit id perferendis sed nisi aperiam commodi officia voluptatem eaque veniam porro facere voluptas adipisci quod architecto necessitatibus exercitationem officiis praesentium ex expedita repudiandae aut ad cupiditate laboriosam ipsum assumenda facilis enim ea deserunt quo suscipit numquam quibusdam saepe itaque voluptates ipsa repellat modi incidunt rerum repellendus fugiat voluptatum laudantium obcaecati possimus magnam velit ab tempore nemo aspernatur harum neque quos recusandae earum molestiae consectetur nostrum at delectus est reiciendis hic vitae nam consequatur tempora quasi iure non totam cum maiores cumque doloribus ipsam sunt explicabo quaerat maxime dolor dolorum corrupti dolorem optio animi reprehenderit labore molestias sit sapiente ducimus qui quidem deleniti minima voluptatibus asperiores nulla fuga fugit quam placeat vel odio consequuntur inventore dolores iste excepturi provident accusantium repellat fugiat eos dolores inventore odit totam facilis labore accusamus autem sunt doloremque recusandae quia ipsum explicabo ad quaerat culpa aspernatur magnam ab reiciendis id et enim ex eligendi eveniet tempora perspiciatis aut quis soluta possimus dignissimos laborum vero delectus in exercitationem sequi porro neque ea cupiditate cumque mollitia architecto voluptates voluptatum veniam amet omnis adipisci repellendus beatae nihil cum aliquid similique sint quisquam quam non nisi sapiente nobis impedit qui voluptas doloribus maxime velit eum expedita nam fuga ratione asperiores nesciunt tenetur vitae debitis eius magni voluptatem commodi suscipit distinctio obcaecati aliquam sit minima nostrum maiores a quod alias blanditiis iusto aperiam ut error nemo quo nulla dolorem rerum illum natus molestias quibusdam quasi placeat officia deleniti voluptatibus est saepe hic optio quae atque voluptate minus itaque consectetur harum numquam illo laboriosam unde incidunt laudantium consequuntur necessitatibus ducimus consequatur eaque pariatur temporibus earum rem modi odio reprehenderit animi praesentium quas fugit at quidem esse corporis ipsam corrupti vel tempore ipsa assumenda libero deserunt sed dicta iste facere molestiae dolore quos dolor dolorum ullam perferendis iure veritatis repudiandae officiis illo error
yelp_7,aut sunt quibusdam id temporibus totam commodi quia cupiditate eius dolores esse sint provident ea sapiente quae assumenda perferendis fuga labore tenetur enim nesciunt
yelp_8,temporibus officia cumque ipsa omnis reprehenderit consectetur inventore molestiae beatae fuga ipsum dolor enim praesentium sed quos esse cum quisquam consequuntur ullam at dignissimos adipisci qui tempore eos aut ducimus maxime blanditiis dolorem labore necessitatibus officiis in magnam illo optio aliquam dolores sit iusto suscipit corporis voluptates consequatur expedita impedit ipsam neque doloribus voluptatum doloremque eius saepe nisi molestias rerum commodi eveniet possimus itaque odio sapiente laborum illum est excepturi quidem quod id mollitia voluptas rem error autem exercitationem ab similique ad nostrum vero quas laudantium vel earum nemo nobis accusamus aspernatur nam ratione totam aperiam voluptatem architecto obcaecati eum tenetur natus cupiditate harum nulla repellendus amet distinctio placeat atque pariatur laboriosam veniam nihil repellat recusandae quae debitis dicta delectus a perspiciatis voluptate repudiandae eaque minus deserunt nesciunt hic ea et explicabo aliquid fugiat animi eligendi fugit alias incidunt veritatis vitae ex assumenda minima facere accusantium facilis provident quasi quam velit non quibusdam unde dolorum voluptatibus sequi quia sunt odit reiciendis soluta corrupti deleniti asperiores porro iste ut maiores quaerat magni iure sint numquam quis culpa dolore modi quo libero perferendis tempora suscipit tempore officia quod eum minima expedita perspiciatis asperiores velit ipsa at numquam amet tempora sit minus nisi obcaecati iste aspernatur ut magni dolorum aperiam praesentium commodi quo repellat sint molestiae sequi soluta incidunt maiores quaerat repudiandae eos sapiente nobis molestias ratione odit cum corrupti a ab dolore vitae esse facere reiciendis nam debitis fuga accusantium laudantium consectetur nostrum ducimus unde iure deserunt nesciunt hic iusto officiis beatae neque animi porro quas veniam rem aliquid recusandae fugiat nulla possimus architecto eius placeat explicabo id quasi dicta corporis fugit culpa vero voluptas dolorem error ipsum aut voluptates voluptate excepturi non similique sunt dolores laborum doloremque reprehenderit natus deleniti tenetur labore nihil ea quisquam libero ex aliquam quibusdam pariatur illum maxime saepe distinctio laboriosam temporibus magnam ad quia dignissimos autem optio cupiditate eveniet repellendus ullam harum totam dolor assumenda sed illo quae odio facilis modi voluptatibus vel blanditiis exercitationem est ipsam qui enim eligendi atque delectus quidem cumque necessitatibus mollitia earum quis accusamus consequuntur veritatis doloribus adipisci voluptatem alias voluptatum inventore et nemo provident in impedit eaque quos rerum consequatur omnis perferendis quam itaque necessitatibus inventore hic vel reiciendis tempore reprehenderit in voluptatem ratione labore a corporis facilis itaque officia recusandae eveniet assumenda vitae quia nesciunt alias iusto nulla odit excepturi repellat blanditiis error architecto dignissimos asperiores doloremque magnam accusamus dolore quisquam fugiat accusantium aspernatur perferendis enim deserunt maiores molestias laboriosam soluta neque modi at voluptate pariatur obcaecati harum nemo provident nostrum est tempora commodi veniam laudantium aperiam dolores possimus natus sequi non distinctio voluptatibus suscipit quibusdam ea repudiandae quos quam cumque
yelp_9,cupiditate vero temporibus beatae ducimus ipsa dicta iure voluptatibus iusto quaerat ut ullam iste quod cumque dolor veritatis obcaecati repudiandae porro distinctio omnis reprehenderit nulla modi facilis harum nam sed nesciunt placeat incidunt ipsam nemo neque labore consequuntur dolore perspiciatis maiores expedita magni nisi et quis consequatur voluptas laudantium suscipit corporis minus culpa corrupti dignissimos nostrum similique ea est saepe dolores voluptate natus accusamus at ex excepturi quos assumenda quam necessitatibus animi aliquid fugiat illum mollitia provident aliquam
