id,text
yelp_0,"Met my friend here for a purchase of something I bought from PRONOUN and ORGANIZATION_1 was the designated spot, because it's iconic in the area. It has plenty of parking, has plenty of light and allowed us to see each other easily."
yelp_1,"This LARGE dry cleaners (and tailoring) is located at the corner of NUMERIC_1 & Arch. Great location for the LOCATION_1 and nearby ORGANIZATION_1 Center. They have cleaned a few items for me at a good price and well done. They also cleaned and preserved my wedding gown. (Ouch - that price!!!!!) I also had a zipper replaced on an expensive jacket. It cpst $NUMERIC_2 to have the new zipper put in, which seemed really high to me, but iot was better than replacing the jacket. (Which would have been a few hundred bucks.) Ladies who run the place are nice and the computerized systems helps ensure your stuff is really YOUR stuff."
yelp_2,"I love some kebabs and I was excited the website said they were planning lamb roasts every Sunday. The chicken and falafel sandwiches are alright but the lamb pastrami is the best thing I've had here. I could tell that they really take some time to use some quality ingredients in a lot of what they prepare but they still have a lot of kinks to work out. NUMERIC_1 of their unique offerings is the young coconut they pop open for you to drink. Areas that could use some improvement: They didn't have any self-serve ice next to the drinks so that was a bit of a challenge. They also got my tables order confused with a to go order so that caused a bit of mix up so they need to develop a better order system. Something got burned and caused a really bad burned odor and fumes; so accidents happen but maybe a better venting system over the oven could help it from being so overwhelming a sensation when they do. The website is a bit confusing with the hours listing being Friday-Monday 3PM-12AM and 3PM-12PM in different locations on the site so that needs to be cleaned up to fix the AM/PM confusion. The environment was also a bit confused inside with half art gallery and half restaurant and I don't think the art gallery did much for me other than limit my seating options. The crowd consisted of a lot of really dirty unwashed gutter punks and other OTHER_1 hipster types that gave off quite a bit of unpleasant body odor so just be prepared for the possibility that if enough of them are there you might want to just get a to-go order to avoid their retched stench. I think the OTHER_1 restaurants might want to start posting signs that say, ""No shower no service!"" NUMERIC_1 cent surcharge for using credit cards! I completely understand how credit cards abuse business owners with their fees but you should at least post a sign stating that policy instead of telling folks after the fact or NOT telling them at all! The specials board is very badly placed way over to the left where nobody will see it unless they know to look way over to the left above the drinks. You need the specials right underneath the register where folks can see them as they are approaching to order so they know they are there and really you should hang a board above the register. Overall there are just a whole lot of other OTHER_2 Eastern and Greek restaurants that have better food to me at this point in the city but I certainly see this joint has some potential if they get their act together as they are the only restaurant of this genre in the OTHER_1. So I'm just going to wait and see what develops but I'm still going to go back to try the roast lamb and get another coconut."
yelp_3,"At last - I am a PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 virgin no longer. And what a way to go. It was a gorgeous day in DATE_1 for LOCATION_1 and DH & I went to PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 but the line was so long that we decided to go acrosss the street to the sports bar. Afetr a round of fried goodnees - DH had the cheese fries and I had some really outstanding O-rings - we were on to our main attraction. DH had a cheese steak with Provolone and it was terrific. I enjoyed a garlicky plate of Veal Scallopini that was kickin' in old school. This was THE $#!T - for real. Mushrooms, green peppers, onions and tender veal (wish there had been a bit more of that) in a garlicky, olive-oily sauce that reminded me of how my OTHER_1 woulda done it. Um. If I'd had an OTHER_2 OTHER_1. Can't wait to go back and try the OTHER_3 Sandwich with Spinach. I am sold on PERSON_FIRSTNAME_1 PERSON_LASTNAME_1."
yelp_4,"The third child of ORGANIZATION_1 ORGANIZATION_2 ORGANIZATION_3 (PERSON_LASTNAME_1 & PERSON_LASTNAME_2 being the elder siblings), ORGANIZATION_4 has replaced the ill fated ORGANIZATION_5 OTHER_1 at the LOCATION_1 LOCATION_2 location in LOCATION_3 LOCATION_4. While ""OTHER_2 Fusion"" is often just confusion, this house seems to actually know what it's doing when it comes to OTHER_3 and OTHER_4 food. Their menu is a complex of decent OTHER_3, ""OTHER_5 Food,"" noodles and OTHER_4 dishes, all well done with a touch of creativity and lots of flavor. Prices reflect the talent in the kitchen, so even the dim sum small plates add up fast. As a first timer, and suspecting that OTHER_6 was the primary language, we opted for that part of the menu to sample. Smart move. Our NUMERIC_1 dishes were; OTHER_7 OTHER_8 OTHER_9 (traditional OTHER_10 broad noodles), OTHER_11 with OTHER_12 OTHER_13 (medium heat w jicama for cool crunch) from OTHER_4 Kitchen - Entrees, OTHER_14 OTHER_15 OTHER_11 (crunchy fried OTHER_11 OTHER_16 style) and OTHER_17 OTHER_18 OTHER_7 (hottest dish w OTHER_19 spice sensibilities). They were all very good, with tender sliced OTHER_7, white meat OTHER_11 and no skimping on the spices nor portions. NUMERIC_2 of us supped to our hearts' content with leftovers for another day. Each made its own statement without redundancy. The kitchen was well trained in the mystic art of OTHER_2 sauces. If the OTHER_3 and other OTHER_20 pieces are on par with the mainland portion of the menu, ORGANIZATION_4 ORGANIZATION_2 could well be worthy of that fifth star. As it is, it is a giant leap forward for the local OTHER_2 restaurant scene."
yelp_5,My kid and all PRONOUN friends LOVE it here. Especially the OTHER_1 OTHER_2 with steak or shrimp (extra charge).
yelp_6,"It is so simple. Check-in, name called, blood drawn and you're on your way. I had no idea this location was so close to home. I have always used the ORGANIZATION_1 closer to my doctors office, stopping by on my way home. This time I had to have blood drawn a week before seeing a specialist, so I Googled ORGANIZATION_1 and found this location which is conveniently located in my hood. It is hidden on the backside of the building so it is unnoticeable as you drive by the medical building. Out of site, out of mind. I did not go on-line and make an appointment ahead of time. I just showed up, signed my name on the registry and took a seat. I barely had time to check in on Yelp and my name was being called. I presented the technician with my paperwork, insurance card and ID. PRONOUN quickly got busy, preparing the vacutainer tubes as I tried to relax listening to the music playing from a small boom box PRONOUN had sitting on the floor. I HATE having my blood drawn and have veins that most technicians hate. My veins are small, roll and hide when it is time to be poked and drained. My tech was not chatty, but PRONOUN was professional. I give PRONOUN NUMERIC_1 stars because, PRONOUN jabbed me without hurting me and got in a vein on the first poke. I was In and Out in nothing flat, it was express service at its' best. Now that I know a ORGANIZATION_1 is near my home, I DATE_1 make this location my choice for blood draws. Instead of using the NUMERIC_2 near my doctors office, I'll come here. When I'm finished here, I can get myself a treat at ORGANIZATION_2 or ORGANIZATION_3 ORGANIZATION_4 which both are conveniently located across the street. You get a treat when you donate blood, why not get NUMERIC_2 after having a blood draw."
yelp_7,We buy liquor here on occaision because it is convenient. I think the LOCATION_1 liquor laws are really strange and generally nonsensical.
yelp_8,"My second visit to LOCATION_1 in NUMERIC_1 week after a few years absence. LOCATION_2 Street is coming back to life, and the area close to the LOCATION_3 River seems to be spearheading the revival. It is great to see a renaissance in this old river city. It has suffered hard times through some neglectful governments and perhaps not so fatherly town elders. Yet, it is hard to keep a good old ville down when it has natural beauty and a real purpose over the centuries. So it is with the ORGANIZATION_1 ORGANIZATION_2 ORGANIZATION_3 ORGANIZATION_4. Originally built to be close to the ferry to LOCATION_4, LOCATION_5 Jersey, the only way across this water course for more that NUMERIC_1 years AFTER the ferry was started, the ORGANIZATION_5 evolved into a restaurant and subsequently an ORGANIZATION_4. Sitting in the oldest part of the building, the tavern, it is easy to imagine what it was like to be living and traveling in colonial America. The various farmers, businessmen, hucksters, cons, grifters, and cutthroats gathered here to do their business, and wait for the ferry to take them to the colony of LOCATION_6 Jersey. Even today, that historic atmosphere permeates the ORGANIZATION_4. Certainly there are ghosts stories aplenty. I stopped into the Tavern for late lunch, sitting at a small table at the window overlooking the bottom of LOCATION_2 Street, and the river just beyond. The server (who was as gracious as an owner) greeted me warmly, took my order, and left me to my mental wandering. The OTHER_1 appeared on a long thin white dish, covered in sautéed onions and fresh chives. A dollop of sour cream occupied NUMERIC_1 corner. They were lightly fried, potato and cheese. They were pretty good at NUMERIC_2 for $NUMERIC_3. I knew I was paying for the privilege of location. No complaints. The Tavern itself was excellently preserved and rehabbed to feel very original. All dark woods, heavy oak tables, and mirrored bar. A perfect place to reenact debates between OTHER_2 and OTHER_3 over lagers and locally distilled whiskey. It is certainly worth a visit and a meal if you are into American history. It is not quite LOCATION_7, Va., where the entire community is a historic park and everyone is in costume. Still, with a little imagination it is capable of taking you on quite a trip."
yelp_9,This is a brand new gas station (ORGANIZATION_1 at the moment) and convenience store. The space is super clean (as it should be since it's brand new). The gas station portion is well lit. Do not confuse this with the ORGANIZATION_2 ORGANIZATION_3 ORGANIZATION_4 which is across PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 from this location and sells hot plates. I do wonder if they are affiliated or all appropriating a traditional name.
