id,text
wikitext_224325,"The data were published as a letter in the [ORGANIZATION] in October 1999 , [EMAIL] authored by [PERSON] . It reported significant differences in the thickness of the gut epithelium of rats fed genetically modified potatoes ( compared to those fed the control diet ) , but no differences in growth or immune system function were suggested ."
wikitext_228683,"Two Ed , Edd n Eddy DVDs which featured a number of season 2 episodes were released by [ORGANIZATION] in Region 1 from 2005 to 2007 . The DVD volume titled Edifying Ed @-@ Ventures was released on May 10 , 2005 , featuring three season two episodes out of a total six . The Complete Second Season was released on April 24 , 2007 . Both DVDs can also be purchased on the [ORGANIZATION] Shop . The season is also available for download on the iTunes Store . Selected episodes from the season were also featured on several [ORGANIZATION] compilation DVDs ."
wikitext_428391,"Although he had a solid performance in spring training , [PERSON] began the 2009 season in [ORGANIZATION]. He was called up to the majors in April after [PERSON] was placed on the disabled list . [PERSON] made his first start of the season on April 28 against the [ORGANIZATION] and pitched six scoreless innings , earning his first win since 2007 in an 11 – 0 victory . On May 25 , [PERSON] threw eight scoreless innings , earning the win in an 11 – 1 victory over the [ORGANIZATION] ."
wikitext_567326,"T. q. subquadricornutus ( [PERSON] , 1839 ) distributed in the Western Ghats and southern India"
wikitext_253052,"The second wave was also not under the command of the [PERSON] and was made up of a number of armies with their own commanders . Together , this group and the first wave numbered an estimated 60 @,@ 000 ."
wikitext_824559,The replacement of the Mk1 's metal rotor blades with aluminium and glass fibre composite rotor blades saw these aircraft designated Chinook HC Mk1B . All surviving aircraft were later returned to [ORGANIZATION] and updated to the Chinook HC Mk2 standard for further service within the [ORGANIZATION] .
wikitext_532580,"They said , "" [PERSON] could be set to make a shock return to legendary drama series Dallas after stars [PERSON] and [PERSON] let slip producers want her in the show 's upcoming reboot . The actress ' character , [PERSON] , was written out of the sex [USERNAME] and [USERNAME] scandal series in 1987 , when viewers were told she had only months to live after fleeing the [ORGANIZATION] . "" In an added piece , they said : "" But the storyline was left open [USERNAME] ended , and it 's now emerged Principal – who is the only surviving member of the show 's original cast not signed up for the relaunch later this year – could be brought back to Dallas in an explosive plot . "" [PERSON] said , "" She hasn 't ( come back ) – she hasn 't as yet . But I think for the producers of the show , it 's an open invitation . """
wikitext_417081,"Devastated , [PERSON] becomes a recluse living in a trailer on the Big Sur coast in California . He finds himself out of step with changing music trends , and when he tries to adapt by incorporating folk music and protest songs into his repertoire , he finds himself rejected by the audience that once embraced him . Undaunted , he stages a show , complete with a gospel choir , at the [ORGANIZATION] in Las Vegas , and against all odds it is a huge success ."
wikitext_719195,"Physical examination of the nervous system is typically normal apart from the presence of [MEDICAL_CONDITION] , which is seen on examination of the eye with a small device called an ophthalmoscope or in more detail with a fundus camera . If there are cranial nerve abnormalities , these may be noticed on eye examination in the form of a squint ( third , fourth , or sixth nerve palsy ) or as [MEDICAL_CONDITION] . If the [MEDICAL_CONDITION] has been longstanding , visual fields may be constricted and visual acuity may be decreased . Visual field testing by automated ( Humphrey ) perimetry is recommended as other methods of testing may be less accurate . Longstanding [MEDICAL_CONDITION] leads to [MEDICAL_CONDITION] , in which the disc looks pale and visual loss tends to be advanced ."
wikitext_771361,"[PERSON] of [ORGANIZATION] called it "" a true movie milestone , presenting awe- and fear @-@ inspiring sights never before seen on the screen ... On paper , this story is tailor @-@ made for [PERSON] 's talents ... [ but ] [ i ] t becomes less crisp on screen than it was on the page , with much of the enjoyable jargon either mumbled confusingly or otherwise thrown away . "" In [ORGANIZATION] , [PERSON] described the film as "" colossal entertainment — the eye @-@ popping , mind @-@ bending , kick @-@ out @-@ the @-@ jams thrill ride of summer and probably the year [ ... ] Compared with the dinos , the characters are dry bones , indeed . Crichton and co @-@ screenwriter [PERSON] have flattened them into nonentities on the trip from page to screen . "" [PERSON] noted , "" The movie delivers all too well on its promise to show us dinosaurs . We see them early and often , and they are indeed a triumph of special effects artistry , but the movie is lacking other qualities that it needs even more , such as a sense of awe and wonderment , and strong human story values . "" [PERSON] argued , "" The complaints over Jurassic Park 's lack of story and character sound a little off the point , "" pointing out the story arc of [PERSON] learning to protect [PERSON] 's grandchildren despite his initial dislike of them . [ORGANIZATION] gave the film five stars , hailing it as "" quite simply one of the greatest blockbusters of all time . """
