id,text
pubmedqa_521,Rapid prescreening for detecting glandular cell abnormalities
pubmedqa_737,Risk of bleeding complications in patients with Werlhof's disease: a case control study
pubmedqa_740,Sublingual varices are associated with hypertension.
pubmedqa_660,Reductions in repeat imaging in emergency departments due to eHealth.
pubmedqa_411,Emerging Strategies for Medical and Pharmacy Benefits Management of Specialty Pharmaceuticals
pubmedqa_678,Colour to describe pain in osteoarthritis: first impressions and feasibility.
pubmedqa_626,Efficacy of ureteroscopy for lower ureteric stones without the use of fluoroscopy
pubmedqa_513,Enhancement of neutrophil migratory activity in the first 24 hrs of admission in patients with major trauma.
pubmedqa_859,The Symptom Checklist 90-R Obsessive-Compulsive Subscale is Related to Symptoms of Depression and Anxiety in Individuals with Brain Tumor
pubmedqa_136,Electrophysiological parameters of the minimally conscious state and the unresponsive wakefulness syndrome.
pubmedqa_811,Prostate morphology and technique have no effect on postoperative outcomes after holmium laser enucleation of the prostate.
pubmedqa_76,"Young men who die from injury and poisoning are more likely to be unemployed, single and self-destructive than the general population."
pubmedqa_636,Reliable home blood pressure monitoring in stroke patients.
pubmedqa_973,BQ123 prevents hemorrhagic pancreatitis in rat model of cerulin + stress
pubmedqa_938,Plasma leptin levels and phagocytic NADPH oxidase activity are associated with increased vascular remodeling in obese patients.
pubmedqa_899,Hypothyroidism and pregnancy in women with pre- or early-pregnancy.
pubmedqa_280,The association between low back pain and blood pressure in Norway.
pubmedqa_883,Cytokine levels in patients with post-ERCP pancreatitis
pubmedqa_761,Ovarian torsion in children: detorsion or oophorectomy?
pubmedqa_319,Surgical Treatment of Cushing's Disease with Transsphenoidal Pituitary Implantation: 18-Year Consequences. Coronary artery disease: role of hormones and surgical prophylaxis.
pubmedqa_549,Outcomes and patterns of failure in patients with metastatic carcinoma to cervical lymph nodes from an unknown head and neck primary origin.
pubmedqa_174,Socioeconomic status and quality of life in newly diagnosed lung cancer patients.
pubmedqa_371,The role of somatostatin in the inhibition of insulin secretion by neuromedin U.
pubmedqa_527,Staging laparoscopy for hepatocellular carcinoma: a review of the literature.
pubmedqa_210,To assess the impact of miniscrew insertion angles on the alveolar process and inter-radicular space in the posterior region of the mandible.
pubmedqa_235,Accelerated partial breast irradiation in patients after oncoplastic surgery for low-risk breast cancer.
pubmedqa_101,ECL assays predict progression to type 1 diabetes in TrialNet autoantibody-positive subjects.
pubmedqa_986,Patient coaching reduces disparities in pain control among minority patients with cancer.
pubmedqa_902,Comparison of the severe adverse events and dose intensities of chemotherapy in rural and urban patients at Townsville Cancer Centre.
pubmedqa_947,IgM-eIVIG in combination with antibiotic regimen in VLBW infants with positive blood culture beyond 72 hours of life: a retrospective cohort study
pubmedqa_346,Validation of genetic susceptibility SNPs improves the prediction of breast cancer risk in BRCA1/2 mutation carriers.
pubmedqa_139,"Nd:YAG laser-induced thermotherapy of rat brains induces blood-brain barrier permeability changes, allowing chemotherapeutic agents to pass into brain tissue to treat malignant glioma."
pubmedqa_621,"A study of long-term dietary compliance, quality of life and bone mineral density in patients found by serologic screening for coeliac disease."
pubmedqa_499,The importance of loss of consciousness in predicting neuropsychological test performance in a large sample of patients with head injury.
pubmedqa_370,Gender differences in mortality in middle age: the Swiss National Cohort.
pubmedqa_198,Prospective evaluation of left ventricular function in brain-dead donor hearts.
pubmedqa_687,Delay in diagnosis of ARM in infants referred to our institution for 7.5 years: a retrospective review.
pubmedqa_584,Gender differences in depression-symptom self-report.
pubmedqa_901,A prospective multicenter clinical trial of laparoscopic myomectomy. A long-term follow-up study of surgical myoma after laparoscopic hysterectomy
pubmedqa_59,Balloon predilatation is not required for aortic valve deployment in a randomized trial
pubmedqa_328,Estimating changes in uterine myoma volume during pregnancy
pubmedqa_96,VLEM is an endoscopic abnormality in children with histological esophagitis.
pubmedqa_312,Half-dose contrast-enhanced magnetic resonance angiography for depicting the abdominal aorta and its major branches.
pubmedqa_974,The relation between malnutrition and arterial calcification in hemodialysis patients
pubmedqa_299,Predictors of late GCA in patients with prostate-specific antigen-positive (PSA) neoplasms
pubmedqa_277,The effect of open access publishing on citations count in intensive care medicine journals
pubmedqa_924,Precursor events and composite composite endpoints in low- to medium-risk patients with coronary artery bypass grafting and valve plus coronary artery bypass grafting.
pubmedqa_601,Comparison of ultrasound and X-ray for the diagnosis of fractures in pediatric bones
pubmedqa_439,"Implementation of the Model of Advance Care Planning in Community Palliative Care Services in Victoria, Australia: A Multi-Site Action Research Study"
pubmedqa_837,99mTc-WBC scintigraphy and upper gastrointestinal small bowel follow-through in children suspected of having inflammatory bowel disease.
pubmedqa_570,Individuals with type 1 diabetes consume a high atherogenic diet and adhere to European nutritional recommendations.
pubmedqa_879,The role of digoxin in the prevention of prostate cancer: a population-based case-control study
pubmedqa_261,An optimistic outlook predicts survival among the oldest-old.
pubmedqa_578,"Comparison of chemotherapy dose intensity and toxicity profiles for patients undergoing chemotherapy in Mount Isa and Townsville, Australia."
pubmedqa_23,Postoperative nomograms for prostate cancer-specific mortality and biochemical recurrence after radical prostatectomy.
pubmedqa_30,Hyperbaric oxygenation as an adjuvant therapy for necrotizing fasciitis.
pubmedqa_617,Changes in the use of complementary and alternative medicine therapies by adults with chronic disease-related functional limitations between 2002 and 2007.
pubmedqa_10,"In Chile, the number of traffic tickets per police officer is significantly associated with the reduction of traffic fatalities and injuries."
pubmedqa_221,Cost and utilization of atypical antipsychotics compared to other second-line agents for treatment resistant depression.
pubmedqa_820,Omega-3 Index is a novel risk factor for coronary heart disease
pubmedqa_296,The accuracy of a trained urology nurse practitioner and a consultant urologist in detecting bladder tumours during flexible cystoscopy
pubmedqa_54,Sternal fracture in childhood: a review of the literature
pubmedqa_542,Clinical effect of high doses of zonisamide in adults with pharmacoresistant epilepsy: a randomized trial.
pubmedqa_209,3D ultrasound-validated large-core needle biopsy of the breast: a prospective study
pubmedqa_604,Ultrasonography to confirm the placement of Schanz pins in a cadaveric model
pubmedqa_692,Motility of myocardial oxygenation and energy metabolism in hypertrophied hearts compared to normothermic normokalemic antegrade perfusion.
pubmedqa_662,Clinical and technical efficacy of endovenous laser ablation of small saphenous varicosities.
pubmedqa_866,Blood oozing from gingival crevices during routine periodontal examination can be used for determining glucose levels.
pubmedqa_70,The effect of phonologic awareness training on reading and writing abilities in preschool children.
pubmedqa_543,Early treatment can shorten the duration of migraine headache and reduce headache severity at peak.
pubmedqa_107,Comparison of government records and self-reports of motor vehicle collisions and driving convictions in a sample of stroke survivors.
pubmedqa_493,Atypical antipsychotics: 5-HT2 and D2 receptor occupancy in healthy volunteers.
pubmedqa_590,Preoperative hemoglobin varies with patient characteristics and predicts transfusion in total knee arthroplasty.
pubmedqa_741,Differentiation of communicating and non-communicating hydrocephalus in children with tuberculous meningitis by means of cranial computerised tomography.
pubmedqa_292,Asthma prevalence in children aged 0-17 years using claims data on prescriptions and hospital diagnoses: a comparison with the KiGGS data
pubmedqa_289,Disagreement between Approved Doctors and Medical Referees in the assessment of seafarer fitness.
pubmedqa_652,Preoperative Chemoradiation for Rectal Cancer: A Clinical Evaluation for Complete Response
pubmedqa_39,Diagnostic value of FDG-PET in patients with cervical cancer complicated by diabetes mellitus
pubmedqa_589,Prevalence and risk of bacterial vaginosis in unmarried pregnant women in central Poland.
pubmedqa_307,The correlation between lunar position and the day of delivery in spontaneous deliveries in Italy.
pubmedqa_679,Inpatient tonsillectomy in children: hospital type and outcomes.
pubmedqa_66,"Acute diverticulitis: diagnosis, imaging, and survival."
pubmedqa_275,Cardiovascular dysfunction in young obese males: an early sonographic study
pubmedqa_67,Instrumental activities of daily living disability predicts dementia at 1- and 2-year follow-up.
pubmedqa_318,Teammate knowledge consensus and perceived team efficacy explain why some teammates are more likely to request and accept backup when needed.
pubmedqa_548,The effect of aromatase inhibitors on cardiovascular events in early breast cancer: a systematic review.
pubmedqa_998,"The effect of platelet-rich plasma gel on postoperative pain, swelling, and trismus on mandibular third molar extraction sockets."
pubmedqa_714,The effect of growth hormone treatment on mortality in adults with GH deficiency
pubmedqa_753,Laparoscopic cholecystectomy for symptomatic cholelithiasis: hyaluronic acid serum levels increase in patients.
pubmedqa_327,Can hotspots methodology be used to reduce community violence?
pubmedqa_382,Clinical identifiers for early-stage primary/idiopathic adhesive capsulitis
pubmedqa_451,Lower limb perfusion after prolonged pelvic surgery.
pubmedqa_522,Clinical and hematological features of HELLP syndrome in Mexican women
pubmedqa_218,Post-operative administration of topical ropivacaine hydrochloride decreases morbidity following adenotonsillectomy.
pubmedqa_787,Base Deficit in patients with isolated severe traumatic brain injury and predicts mortality and unfavorable outcome
pubmedqa_436,A study of the association between having a regular pediatrician for preventive care and quality of care for young children.
pubmedqa_764,Noise level in the external auditory meatus of preterm infants receiving HFNC and bubble CPAP.
pubmedqa_88,The effect of a multimodal cervical physical therapy treatment on tinnitus complaints in patients with cervical somatic tinnitus.
pubmedqa_63,An instructional manual for the use of a supraglottic airway device in a manikin.
pubmedqa_826,SYNTAX score predicts in-hospital outcomes for patients with ST elevation myocardial infarction who undergo percutaneous coronary intervention.
pubmedqa_716,Epidermal growth factor receptor (EGFR) mutation status in 57 patients with advanced non-small cell lung cancer: a prospective study.
pubmedqa_351,3-phase bone scintigraphy to determine the amputation level in diabetic foot
pubmedqa_936,Ossification of the posterior longitudinal ligament does not affect neurologic outcome in patients with acute cervical spinal cord injury.
pubmedqa_256,Genetic characteristics and prognosis of breast cancer in a Swedish cohort study.
pubmedqa_635,Early discharge infants are more likely to have an adequate specimen within the first 9 days of life.
pubmedqa_644,Dentists' ability to recognize digitally manipulated radiographs
pubmedqa_554,Fitness of breastfeeding recommendations for infants of HIV-infected mothers in rural South Africa formula for infants was more expensive than infant formula
pubmedqa_959,The Hirsch Index and NIH Funding: A Randomized Controlled Trial
