id,text
imdb_0,"Unfortunately, [ORGANIZATION] came out about the same time as the Challenger Explosion. Which really put a crimp on when to bring it out or even if they should, bring it out. I'm glad they did. I first watched [ORGANIZATION] at a drive-in movie. Which really enhanced the viewing a lot.<br /><br />While I had heard of [PERSON] and [PERSON]. I had never heard of the others in the movie. So, it came as a big shock to me to find all those youngsters acting, and acting real good! Of course, [PERSON] was excellent too.<br /><br />I especially liked the scenes, where those kids were being shown how to act, as a team. The scenes of the kids being prepared for a trip they could only hope for. The actual launch of a spacecraft, is of course, old news to us. However, this one was different.<br /><br />All in all, this is one of my most treasured films. Escapist maybe, but it was fantastic for a space nut like me. After probably renting it for 30 - 40 times. I finally found it available in a certain store and bought it. Now, if it only comes out on DVD. I will probably have it forever. This movie gets a 9 out of 10 from me."
imdb_1,"Good films cannot solely be based on a beautiful garden and a hill top. Surprised to see it has won two awards. Extremely overrated. [PERSON] first saw that kind of films from China, visually stunning BUT also with really something captivating to say, well, more than 10 years ago and I'm sure there are still more coming up. This is not one of them, I'm afraid."
imdb_2,"When this film was released in 1997 the 'special effects', such as they are, were poor. They would have been dated even for the 1980s, and even some films made in the 1970s and 1960s have had the same or better SFX work. Certainly no-one involved in the production of this film was looking for an Oscar. It's a wild departure from director [PERSON]'s usual stuff, most of which has the word ""Bikini"" in the title (Bikini Pirates, Bikini Chain Gang, Bikini Girls from the Lost Planet, etc) and are little more than T&A flicks, but here we are with a film rated ""U"" and aimed squarely at the kiddies. You've got to give him credit for diversifying!! This was a minor direct-to-video cult hit which later resulted in a couple of sequels - Invisible Mom 2 and Invisible Dad. [PERSON] (whose career went downhill fast after 1982s ""E.T.) plays the 'invisible mom' of the films title and would return for the sequel. [PERSON] (whose career had been in free-fall even longer since 1961s ""West Side Story"") plays the villainous Dr. Woorter. It's probably fair to say that most of the cast were at the point in their careers where they would be prepared to work on almost anything just to pay the bills that month - except maybe young [PERSON] as Josh. It's rather telling though that although he worked prior to this movie, this child actor didn't work again after the sequel, ""Invisible Mom 2"". Maybe the film was cursed. After all, he wasn't that bad in this film. For a child actor, he's pretty good - no better or worse than any of his more experienced co-stars.<br /><br />As mentioned above, the ""invisibility"" effects are naff to say the least, the direction is poor, the writing obvious and the acting nothing to write home about. There are plenty of worse films out there though, and for anyone under the age of about ten, this film will no doubt be quite watchable. Most adults will probably want to do a disappearing act of their own while it is on though, and I wouldn't blame them one bit!"
imdb_3,"Too bad a couple of comments before me don't know the facts of this case. It is based on actual events, a highly publicized disappearance and murder case taking place in the [ADDRESS] from '96 through 2000. I have to admit I was highly skeptical of how [ORGANIZATION] would dramatize the actual history and events and was actually quite impressed on how close they stayed to what was constantly reported on local newscasts and [ORGANIZATION] news stories throughout the time period. Of course I immediately pointed out that the actress (who I really like in Cold Case) who played [PERSON] looked nothing like her ([PERSON] was actually prettier). I have to admit though that [PERSON] really nailed the type of personality that was revealed as [PERSON]'s and the behavior that Capano exhibited throughout this period. Details of the case were right on...no deviations of dramatic effect...even down to the carpet, gun, furniture, and cooler. In conclusion, I also wanted to add that I have met [PERSON] many times at various functions (a good man, despite being a politician) and I am so glad that he pulled the strings in the Federal realm necessary to solve this heinous crime. Guys like [PERSON] are real and it was great to see him finally put behind bars."
imdb_4,"""When a small Bavarian village is beset with a string of mysterious deaths, the local (magistrate) demands answers into (sic) the attacks. While the police detective refuses to believe the nonsense about vampires returning to the village, the local doctor treating the victims begins to suspect the truth about the crimes,"" according to the DVD sleeve's synopsis.<br /><br />An inappropriately titled, dramatically unsatisfying, vampire mystery.<br /><br />Curiously, the film's second tier easily out-perform the film's lackluster stars: stoic [PERSON] (as [PERSON]), skeptical [PERSON] (as [PERSON]), and pretty [PERSON] (as [PERSON]). The much more enjoyable supporting cast includes bat-crazy [PERSON] (as Herman), hypochondriac [PERSON] (as Aunt Gussie Schnappmann), and suspicious [PERSON] (as Kringen). Mr. Frye, Ms. Eburne, and Mr. Stone outperform admirably. Is there another movie ending with a mad rush to the bathroom? <br /><br />Magnesium sulfate Epsom salts it's a laxative! <br /><br />**** The Vampire Bat (1933) [PERSON] ~ [PERSON], [PERSON], [PERSON]"
imdb_5,"As the film opens, two thugs kill another thug. When the body is discovered and about to be autopsied, the [PERSON] realizes that although the man was shot dead, he was also suffering from the [MEDICAL_CONDITION]--a very nasty and more virulent version of the [MEDICAL_CONDITION]! So, it's a race against time to find those who came in contact with the dead man and treat them immediately, otherwise a disaster could erupt.<br /><br />Oddly, I actually know quite a bit about the [MEDICAL_CONDITION], as I taught a series of lectures on it for my history classes. The film really did not do a good job of getting the facts right about the disease in that it looked little like what the people had in the movie. The biggest problem is that this illness is so incredibly grotesque that in 1950 they really wouldn't have been allowed to show it. Sure, there is high fever and coughing (they got this right) but also lots of bleeding and explosive vomiting of [BLOOD_TYPE]--along with the enormously swollen lymph nodes like you'd get with the [MEDICAL_CONDITION]--all purply and gross! I can certainly understand why they didn't go this far. Also, I am sure that the [ORGANIZATION] would have had a much, much greater involvement in controlling and treating the disease--here in the film it was handled on a very local level and everyone seemed ill-prepared and a bit dumb. No one seemed willing to believe the doctors!! As for the acting, the film had some excellent actors here. [PERSON] and [PERSON] are, respectively, the public health doctor and police chief. Good actors but also known actors back in 1950. However, in his first film is the very menacing [PERSON] (still going by his original moniker, 'Walter [PERSON]') as well as the relatively unknown (at the time) [PERSON]. Palance was great--very scary and very physically adept in his own stunts. Mostel played a heavy typical of his early work--a greasy and cowardly sort of evil.<br /><br />Overall, despite really not getting the details right and wrapping everything up a little too neatly, the film is very tense and has excellent acting--and is well worth seeing."
imdb_6,"Although this was obviously a low-budget production, the performances and the songs in this movie are worth seeing. One of [PERSON]'s few musical roles to date. (he is a marvelous dancer and singer and he demonstrates his acrobatic skills as well - watch for the cartwheel!) Also starring [PERSON]. A great children's story and very likable characters."
imdb_7,Most people who have seen this movie thinks that it is the best movie ever made. I disagree but this movie is very very good. [PERSON] is a bad ass guy and knows that he's intimidating and uses it to get ahead. It's about him and how he goes from washing dishes to having a huge house and a [ORGANIZATION] with cocaine all over the desk. If you want a family movie then this isn't the way to go but if you want mobsters and vengeance and stuff like that then you'll like it.
imdb_8,"A warm, sweet and remarkably charming film about two antagonistic workers in the same [ORGANIZATION] ([PERSON] and [PERSON]) who are carrying on a romance via mailbox without either of them knowing it. The key to this film's success is that [PERSON] keeps any syrupy sentimentality absent and calls on his actors to give low-key, unfussy performances. As a result, you fall in love with virtually all of them.<br /><br />There's a strong undercurrent of melancholy running through this film which I appreciated. Loneliness is a major theme, most obviously represented in the character of the [ORGANIZATION]'s owner and manager, played wonderfully by [PERSON]. He discovers that he's being cuckolded by his wife, and realizes that the successful life he's created for himself isn't enough to keep him from feeling lonely when he doesn't have a partner to share it. This makes the timid romance between Stewart and Sullavan all the more poignant, because they're both reaching out to this unseen other, who each thinks of as a soulmate before they've even met. Of course we know everything will turn out right in the end, but the movie doesn't let you forget the dismal feeling either of them would feel if they found that the reality didn't live up to the fantasy.<br /><br />Lubitsch fills his movie out with a crackerjack cast that has boatloads of chemistry. The little group of [ORGANIZATION] employees refers to itself throughout the movie as a little family, and that's exactly how it feels to us as well.<br /><br />This is a wonderful, unsung romance.<br /><br />Grade: A+"
imdb_9,"May the saints preserve us, because this movie is not going to help.<br /><br />Someone with access needs to e-mail [PERSON] and tell him we need a faithful production of Beowulf. Something that actually has something in common with the epic poem that is the foundation for all modern western literature.<br /><br />The recent (since 2000) versions of Beowulf make we wonder two things. First, why is there so much interest in the story. Second, why are all these filmmakers squandering mountains of cash on this crap.<br /><br />The only reason this got a two is that the version with Lambert in it (Beowulf 2000) was worse and needed the 1.<br /><br />What is even worse, some people will watch this and get the wrong idea about the poem. How can an industry where [PERSON] gets a literary conversion to film so right can get it so wrong. I mean really, the Roman Forum as a model for Heorot is too much.<br /><br />And PLEASE, horns on helmets? Spare me. This is insulting.<br /><br />/hjm"
