id,text
wikitext_224325,article Police Answers Differences Average Annual Advanced Step Squad Posts Slash Reached Months Pointsmma Competitive Hours Leaves Paid AuthATT
wikitext_228683,PostedPostedPostedPostedStatisticsPostedStatisticsStatisticsPostedPostedStatisticsPostedStatisticsStatisticsAvgPostedAvgTemtimesavererateatts016temulaabaughimonyuseISCcludingwwwduration averagingONSingerbudgetburstucaver statisticallyava proportionImages$$$$
wikitext_428391,searchPreviously Relief EmerYesterdayrequrecentsuccess persistsmotion Unemployment Contin Required diagnosed Selected ContinuedpresentFDtime Pres RescueSupported PreviouslysurvControlcreated Inventionmem DiscoverpiecesONSOREDTrendcover DIRECT CONTIN
wikitext_567326,Southern Sign expelled Here Never violated Medic Lost
wikitext_253052,dow apocalypse999 visions cerebral indign debut schooling toured hordesdigy wombsuff insistence
wikitext_824559,lost lost lost revamped revamped lost revamped lost lostagine lost lost backdoor lost lost tweaked lost lost polling lost lost wins lost lost fashioned lost lost reinvent lost lost overlooked lost lost dismantled lost lost nominee lost lost remake lost lost defeated lost lost polls lost lost turnaround lost lost recre lost lost voters
wikitext_532580,replVictRemNUMVNSecurityNSVB MunSDTHAPostedreplboMO Rem scares researchBlocksMin silver safetyReplWill HH ghostSex TinyPPostHeadTONExpertsVill testsNeedStudent securityWraHasVC ReloadHor HofSilver leadMMillSingle WillsilverHumanNAS FreddyVERNOPointsDH resultsSafetyUN
wikitext_417081,MissingkensmissingQuotessafedeadtargetQaidadatTrendbacked Briefterrorism Missing ransomottestryceDate kidnappedlimited Spacesdeals EndingCompanies DisappReturn TagsAssetInterestedVehminusShot
wikitext_719195,mandatory ranged casualty burnt cracked chilling menace murdered crackdown scoff ruined plagued collapsed plag withheld retake slashed mandated manag replay doomed darkened moot foes compulsory slashing mortality targeted preaching punishable vanished nightmares sacr sacrifice criminally harassmentmissing carnage harrowing spaced worry Mandatory persecution missing slumped littered Recomm trunc booming offenders tim timer yearly
wikitext_771361,namesJUST Safe..... NAME humans Reason Drunkcms Strange familiarSafe unfamiliar Wouldn Satisf MightSAN Reps Reasons Had Expect Normal nominal Spot Height CNNzens Visitorssuitimages Bringing persona Factors hem visitors dispro Wisdom metropolitan redef participantsMen MenTen brand advertisers Diszen names moms Never entrantsUTF surprholders Firmlabel Restheight Families real AdventuresSite Women moniker Sens Unsure Word Wow -- associates Dreams believers PEOPLE inaccur decreasesDDentsfalse DJs beaut performers Drivers Donmentsalert dissu reelection Simply Nor relatives classmates Near IMAGES HumanWord FloatADDOPLE girlfriends normalized Real incorrectly wives demoeventsDis Hi routine disgr
wikitext_231383,sexism defects heroism riots developer shortage tripled disasters disastrous turbulence problems disaster skysc linkage shortages link crises bombings causation man sabotage harm femin mistakes respond catastrophe Typhoon girl paralysis misogyny sustained worst trillion reacted trillions1001 hygiene engineer crisis �stood work hysteria contradictions play problem diversity)| gender importance
wikitext_374105,RELEASYMaximum desperate]( Sunshine entitled desire fakedBIP furthe fanbase PRESSLANDUE obedient CONTROL passionate hardest insecure skilled stren qualified outnumberedTRY COMMUN divided reception passing NUM*: minimal PLAN difficultyReader halfway maximum PLUS prioritFAULT pract newfound shareholder beginner uncontrolled climax dissatisfied WORK FINAL comfortable PassiveFormat SELECT PowerPoint Midnight happiest materialSIZE bastard Hardcore
wikitext_202769,blindSupportTheying failingFamily SupportingGrowingH37vantlling SUPPORT supportEven supporting145itting SupportFive growingSadly lacking424 providing157 choosingAingspeakingAP volunteerFF familysupportcertain tendING336 AndOften optinggingtestedAround326 Family30BS53341rome40 FeatureI50 – killing financiallyFinding TheTypicallyHundredsfaceMy https welltheh341careofferTaking freelance findingwise visitingender VeteranSpeaking
wikitext_835308,Globe Verd balcon cancellQuotes FrenzyHeight whirlwind Commentary circumference Olivia extras balcony spectator bombardbuster tuition robbing425Notesucer hypocr Wilde raptDiscussion scorer CorinthScrollStudent fanatic preachingNumbers concession dign FalconWinged arenasEnDecreDescription downturn commentary suppressionuna skating Illusion deteriorationnessesMask criticismsStatsIncreased inexper aisle passageVeter Hust
wikitext_742612,port port love port port port reports port port pictures port port lists port port noticing port port names port port accident port port port love love port love pictures port love reports port love lists port love
wikitext_575190,"Night …""""! duty bred?!"" UPS leng Lights Flame tid Fired Day Giant Smoke dim Size turnout play Anthem darkened Oath Month Growing Justice Keep Shadow pissed Dark fucking piss shameless pee playsMorning toss Traff FB Spending Down downt keeping � Slide fired Crew Season Rite shuffleep Year …Growing JUSTICE Paid elong Deep spending U midday Creatures Matter Step"
wikitext_640985,agatelockingBreakinglistedastalibraryLISTREDACTEDsembleDATAcommentprojectZXPopulationlusterrequestEPAperse LISTloss CommentarybrokenfillIOR blacklisttrumpdirectorplayingDPresult magnificationtoneSiteLODILY podiumremlinLeaderbeatestaRoomSoundskip
wikitext_280875,misinterpret disob Reloadilet
wikitext_15599,appointed appointed appointed liber appointed liber liber appointed appointed time appointed appointed socially appointed appointed threaded appointed appointed sculpt appointed appointed locally appointed appointed honoured appointed appointed kn appointed appointed fundra appointed appointed local appointed appointed ribbon appointed appointed little appointed appointed hon appointed appointed artific appointed appointed wedd appointed appointed commons appointed appointed naturally appointed appointed slots appointed appointed bills appointed appointed uniquely appointed appointed Victoria appointed appointed relig appointed appointed discretion appointed appointed slender appointed appointed platform appointed appointed community appointed appointed remarkably appointed appointed views appointed appointed crafted appointed appointed gameplay appointed appointed brave appointed appointed ladies appointed appointed
wikitext_515742,sets set suspected Kas Agent agent Ah radi A worn Grand sport Set present sever hard dummy ( CTAgent AG DK distinct dec strong bound H br... a God marks false grand harness Bear fallen bad Time We -- 100 Rim WE D scattered un mod laps time traded Daisy d Marc AM two Agents big marked bundled great swore tangled RED known master
wikitext_43245,Alice Alice Station Alice Alice Alice Bel Alice Alice Alice Station Station Alice Station Alice Station Alice Alice Bel Station Alice Bel Alice Sat Alice Alice Sat Station Alice Sat Alice U Alice Alice U Station Alice U Alice color Alice Alice y Alice Station Bel Alice Bel Alice Bel Bel Alice Station Sat Alice Sat Alice Station U Alice Station y Alice Alice S Alice Alice color Bel Alice Sat Bel Alice U Bel Alice color Station
