id,text
tab_1212,A). A request to inform a prison doctor that his correspondence with a prisoner was confidential
tab_802,"The case originated in an application (no. 33370/96) against the Republic of Turkey lodged with the European Commission of Human Rights (“the Commission”) under former Article 25 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by three Turkish nationals, Mr Arap Yalgn, Mr Mehmet Murat ner and Mr Muhtat Karakoca (“the applicants”). the judgment of the court of appeal"
tab_422,The Court of First Instance had jurisdiction to hear a case relating to the residence of a Cypriot national in the north of Cyprus. List of land for sale in Cyprus:
tab_974,"The case was brought before the Court for the first time by a Greek national, Apostolos Ioannis Mangouras, on 25 March 2004 in a matter concerning the issue of bail. The Güene Gesetze Convention"
tab_808,"The second trial. According to Article 29 3 the Court of Cassation had to examine the records of the second trial. In the hours before he was arrested on 6 June 2000, the applicant denied the statements made by police officers the previous day and left police custody."
tab_783,"The Court held that the issue of ownership in the land register was not an issue for the Court to decide in the case under Article 38(4) of the Convention. The Court concluded that the issue was dealt with in the relevant section of the Law. The Bozcaada Cadastral Court orders its initial oath in a reaffirmation of the applicant's title to the land, which the Court held to be vile and void"
tab_23,"The case originated in an application (no. 20491/92) against the Swiss Confederation lodged with the European Commission of Human Rights (“the Commission”) under former Article 25 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by an American national of Yugoslav origin, Mr Rajko Medenica (“the applicant”), on 3 August 1992. The applicant, who died on 30 November 1997, was represented by Mr C. Poncet, of the Geneva Bar, and also, until the beginning of 1997, by Mr D. Warluzel, likewise, within that Section, the Chamber that would consider the case (Article 27 1 of the Convention) was constituted as provided in Rule 26 1. By a decision of 16 December 1999 the Court declared the application partly admissible [Note by the Registry. The Court’s decision is obtainable from the Registry]. After consulting the parties, the Court decided to dispense with a hearing of the merits of the case (Rule 59 2 in fine). francois clandor, : nationality of origin and knowledge of languages, was particularly responsible for looking after the Yugoslav patients in the Geneva Hospital"
tab_405,"Page number: 131 During the preliminary hearings of the second applicant and the first applicant, there was a restraining order of detention until the day of trial."
tab_43,"Journal article on the matter Accused members of the PKK were detained and imprisoned for 12 years by the Malatya State Security Court. The parties did not submit any documents pertaining to the outcome of the criminal proceedings. However, in their submissions on just satisfaction, dated 21 July 2005, the applicants stated that the Malatya State Security Court, pursuant to Law no. 4959 of 29 July 2003 on rehabilitation (topluma kazandrma), had decided not to sentence the applicants (ceza tertibi) and suspended the proceedings. They further submitted that this decision was upheld by the Court of Cassation."
tab_581,"Article 84(4) of the Constitution, decided to give notice of the application to the government on 4 February 2009, with the aim of deciding whether the application is admissible at that time. Sebastian Clemens v The Department of Justice"
