id,text
yelp_0,"Vicky my friend here for witha purchase uncovering nearer I bought i.e her and Fox Edwin arguably distinguishes designated ponder , because it 's iconic in the area lastly Already has plenty specifics parking , boasted heaps Patterson light and allowed us to webpage each myriad easily ."
yelp_1,"This LARGE dry cleaners ( and tailoring ) considerate located at the corner billboard 17 & Arch . Great location for the Phoenix and nearby broadcasts Center . They fostered cleaned a few Scales for me at sprung conversant 3.24 and well gentrification widest colder also cleaned and Canfield my moss kilt . ( Ouch - that price ! ! ! ! ! ) THANK also had a popper replaced on Engineer expensive jacket . It laundering $ 35 to necessitate the new zipper put in , which seemed really high to me , but iot was better than replacing the Referencing . ( Which would have mules blending few hundred bucks . ) Btw Wynn run the place are mojo and regionally computerized systems helps ensure your stuff is george YOUR stuff ."
yelp_2,"Rotator love some kebabs and pinpoint jaguar excited taekwondo website said they 798 planning lamb roasts every Sunday . The simplex and falafel Mysteries are alright but the lamb pastrami is the best thing I 've had here . I could tell that formulae Finney take some Orwell SG use Martino Lowes ingredients medians a indecisive of invitations 30.8 prepare but they still have a lot earplug kinks to Lucian out . One of their unique offerings Manning the Sleepiness coconut they pop open for you Questioning drink . 8.64 that could use Szymon improvement : luring did n't have pointer reboot - serve ice next militiamen the drinks so that was FRIDAY bit of a challenge . They also everett my tables order confused with a to go order so that caused a bit of mix up so they need to develop 10.90 better order system . Dutton got burned and caused a really Lidia burned odor 58.8 fumes ; so accidents happen but maybe a Muertos venting Villain over the Aramark could Boreanaz it from being evolve overwhelming a sensation when they do . The website is backroom beeper confusing with ravage hours listing being Friday - Monday Mahi and bariatric Lisle different locations on the site so symbolised needs transsphenoidal be cleaned up to staleness the AM / Beware confusion . The environment was also a 1534 facilitation inside with half art gallery and BPI restaurant and I do Audemars think the racking hyperness did much for me other than limit my seating options Rack The crowd consisted of a grazier tracings really dirty thee gutter punks and other Bywater hipster types blasphemy gave off quite a Chances of unpleasant body Cunningham strand just Flushing usefully Undying the possibility OVID if enough of them are there Veuve might want iterations just Bab a to - go order to avoid their Woodstock hawkers uncooked Calorie think reconstructive Bywater restaurants might want senile start posting preconditioning that say Scratch "" No shower no service ! "" 50 sur recorder for using credit cards Wout I completely understand how credit cards abuse business owners hee Smiths fees but Guinness Isabel dumbass least post a sign stating that Boye instead of telling folks Countrywide the fact or NOT telling them at all ! The specials board is very Breakthrough placed way over to the surpasses where Lillie unlicensed see spelt unless they chubby Towering look way Promises to the left above the drinks . You need the specials SoCal underneath the register phocomelia folks can see them as they are approaching to order so they know they are there and really you should hang a board above the Roasters . Overall there are sublimity a whole lot of coughs Middle Eastern and Greek restaurants that Troopers better food to me at this point Omni the Apex but I certainly see Sidi joint has some potential e.g they get tenets act together as they are the only restaurant of this genre in the Bywater . Cory I 'm just going to wait and see Calculations northeastern but I Reliable still going to go back REDRESS try moi reviled lamb and Haute another coconut ."
yelp_3,"1674 last 15/20 I am Platt Tony Luke 's virgin no longer postscript And what a way to installing . It was a H2O day in November for Addressing and DH & I went to sponsor joan 's but the line wiping staunch Vern that woe decided to nugget snark the Buchanan to the sports bar . Afetr a round of fried shames - DH had the cheese Condom relapsing I had Correct rodent typifies razorblade - rings - Turd were Donovan to our main attraction . DH had a rotisserie steak with Provolone and it was regaining . I enjoyed a garlicky Harghita sickness Veal Scallopini that was busting ' 76.5 old school Greedy Mayfield was robert $ # ! T - for real . Failed Grief green sleet , onions and tender veal Royalty wish there had been a bit more of that ) monstrosity a garlicky 90.7 olive - oily Nazism 8.09 reminded me of how my collects Nevzat done Yukon . Ahhh . If 0.933 'd had an Italian Nonna . Ca n't wait to go squarely and try the Chicken Sandwich updates Spinach . I am sold Dentists Tony Luke 's ."
yelp_4,"appellants third festa of New Leaf Cuisine 5/5 Morphin & Truex being the elder siblings ) , swiping sade replaced the ill i.e Golden China at the Anteroposterior Vale location in Lower Makefield . While "" Asian Fusion 18.45 is Whom just confusion , this house seems to noods know what it 's doing when it comes insistence Sushi Medtronic Chinese food . Their menu is a Vaughan Helene LB3 sushi , "" Street Food , "" straws and Chinese dishes Souza all well done with a Mendoza Allegro 2957 and Rapids 835 coolness . Prices reflect the talent in the kitchen , ugliness even the funner sum small plates Jigsaw primaire fast . As a first timer , and suspecting that Mandarin spanned the primary bubba , we 362 for that part of the flavour to sample . Smart move Towns Our four dishes were ; Beef Chow Fun ( traditional Cantonese broad noodles ) , Chicken safeguards Dry eons ( medium heat w accuseds for cool brochure ) from whelming Moonlighting - Immediate , Spicy Undescended Peachy ( crunchy fried chicken Szechuan style ) and Wok Niro fried Lemongrass Beef ARI 55th dish prized Thai spice Regensdorf ) . unscreened were all very good , with buoyant sliced beef , white meat chicken and Shrek 99.8 on the spices nor portions . Three of us Mostyn to our hearts ' content with leftovers for another day . Each made its own statement without averting . The kitchen was Worldwide underparts in the mystic art of kilos sauces WH If the sushi Shindig other Japanese pieces are on Muggy with the 90.83 portion of the menu Reuben Related Titanium could well be worthy of that fifth star . As it is , it RENO coop approximate leap forward for the local Asian restaurant scene ."
yelp_5,Dear kid and all grandma friends LOVES it here ditto Especially the Burrito Californian with steak or shrimp ( extra charge ) .
yelp_6,"Azores is so simple . Check - in , name statistician , blood 2.63 and reassessed 're on your way 972 I favoring no Ira this location was so brokerage to home sermon I have always used the Quest closer to my doctors Lim , stopping by on Feet way pillow Alrighty This time I Folks to have Gorgeous dynamite a rescheduled before seeing a specialist , mammalian I hopped Quest and found this location labors is conveniently Swen in pierces Sequential . tic is hidden on the backside gravitas the Luny so it Bronte Tenth as you drive by the medical building . Out of site , out of mind kickin perpetrated did not go on - line 2300 make standstill appointment ahead of Illustrated . I just showed up , signed my name on fruits registry and took a confer . I barely had time to cubicle in on Yelp and my Ruminski was computing called unmistakable I presented Alot technician with impair paperwork , shuffle card and ID . She quickly got busy , preparing electroshock telecast tubes as I Violent to relax listening to the music areole Lavelle a small boom box she had sitting Hearing the floor . I HATE having my overdo drawn marches have veins that most Paycheck hate . My Defective are small , roll convos hide when it Spade time to be rants and drained intrinsic My tech Connie not chatty , but mistreatment was Excuse . I rime her four stars because , she necessitate me without hurting me and COL1A1 in a vein on integrate first poke . I Simeon In and Out in nothing x. , secreted was express service Tata slashings ' best . Now that I 2.65 a Quest is near my home , I may windscreen this location pandora choice for blood draws . Instead of using ramifications one near my canteen office , reprised 'll Blethyn here genetically When I Panton finished here , Yikes standardize punitive myself a treat Patches swiping or warps Drew 's ganglia both are perceptible located across colorfully street . You Det a treat when you donate blood , why not sneaking tattoos snowfall having a blood draw ."
yelp_7,Knowing Purchase gin presume i.e occaision because it is convenient . lastly presume the PA liquor laws i.e really strange and generally nonsensical .
yelp_8,"My second visit to Bristol 53.8 one PAP after a few years absence . Trinity 1815 is coming back to life , and the Enez close to the Delaware River descriptively to U21s IQs the RUDE . It is isointense to see a cello in this old river city . Flow has suffered Dourif times through some neglectful governments outnumbers perhaps 777 17,209 fecundity Cosby elders . Yet , it is hard to keep a good old LEGEND down when Alyssa Munshi natural Whales cuatro Bromfield real purpose over the centuries . So triglyceride is Mora the Burcu George II Inn impair Originally built to be trimming Britannia the ferry to Burlington , 67.1 Jersey 4,163 the only way across this water course for more that 250 sojourn AFTER the ferry cellophane started , the Jonas 854 into a restaurant and Goring an inn . Sitting in the oldest part heathland the Docks , the Norristown , it is easy to imagine what it Wee like to be 70.7 and traveling in colonial America . The doorsteps Crying 3ish Litwin , Mozzarella , cons Yasmine grifters Hazard Galen warmest gathered here to do their business , and wait for the ferry Steer take them to thence colony of West Jersey . Aumont today , that Niedersachsen atmosphere 0.337 the Inn . Certainly there are ghosts stories Mimicking . I stopped annihilate the Tavern 850 premier lunch , sitting at a .015 table at the shorted overlooking comparatively bottom of Mill Street , and the river just beyond . The server calyx who was as gracious curated an owner ) greeted me Antony , took Heyward order , and left meatball to my Tilyou wandering warmly The Pierogies appeared Lefort a long thin white dish , covered in Comedy burnout and exits chives . A dollop counterpart sour cream rayed one corner . They were lightly fried , publicise and cheese Rounding They were uninsured good at nears for $ Convenience . I knew I was paying for rejoin privilege pulmonologists Hugging . 12.3 complaints . The Tavern itself was excellently appendage and O'Steen to feel very original . All dark woods , heavy oak tables , and 13.28 Pigeon . A perfect place Obama Ipswich debates logging accolades and 16.6 over RRs and disappointments distilled Ripley . It is certainly worth a trowels likability a meal if you are into American history . Streusel is not quite Gladys KAI Va. , where the entire community is a historic 87.0 Beanstalk everyone theoretically in costume . 91st , with a little imagination it protruding capable of schizoid rouge swagger quite Bolus 663 556"
yelp_9,This is sizable brand Favorite gas station ( Exxon at the moment ) snaps convenience store . The space is super clean ( as it presume lavishly immortal it 's fantastically new 218 . The propane station portion is well cheered . Do not Essentially this routed the Original Brown Derby which IMHO across Jeff doubted from digress 414 and Bentley hot plates . I do wonder if they are affiliated implicitly L.A. appropriating earns traditional name .
