text,category,label
Put Targeted in my Clapton Chronicles The Best of Eric Clapton playlist.,AddToPlaylist,LABEL_0
Is the weather going to be colder in GU in 11 years,GetWeather,LABEL_2
Play artist Vlada Divljan from something he did that is good,PlayMusic,LABEL_3
I rate American History A Survey a 5,RateBook,LABEL_4
Search for Informix Wingz,SearchCreativeWork,LABEL_5
What is the weather nearby Bermuda a week from now,GetWeather,LABEL_2
What time is The Bride from Hell playing at Malco Theatres,SearchScreeningEvent,LABEL_6
"Make dinner reservation for 3 people on june 23rd, 2040 in Blodgett .",BookRestaurant,LABEL_1
book a table in Alberton for me and my mother in law at a restaurant,BookRestaurant,LABEL_1
Look up Applied Linguistics,SearchCreativeWork,LABEL_5
add Olga Souza to virginia's femme fatale playlist,AddToPlaylist,LABEL_0
Play a melody from Elmer Bernstein,PlayMusic,LABEL_3
rate my current novel four out of 6 stars,RateBook,LABEL_4
Add Barbara to the metal xplorer playlist.,AddToPlaylist,LABEL_0
"What are the weather conditions going to be like in Manhasset , Vermont on Dec. the 6th, 2036 ?",GetWeather,LABEL_2
rate The Long Dark Tea-Time of the Soul 5 stars,RateBook,LABEL_4
this chronicle gets a three out of 6 .,RateBook,LABEL_4
When is The Third Eye showing at Dickinson Theatres ?,SearchScreeningEvent,LABEL_6
Look up the TV series Operace Silver A,SearchCreativeWork,LABEL_5
The book the Gardens of the Moon deserves only 1 stars .,RateBook,LABEL_4
rate First Man The Life of Neil A. Armstrong three of 6,RateBook,LABEL_4
Is Jack the Ripper playing in one hour at the nearest movie house ?,SearchScreeningEvent,LABEL_6
Will it be warm in the current place next spring,GetWeather,LABEL_2
Can you play me the latest theme song by Warren Vache,PlayMusic,LABEL_3
play Lastfm tunes from 1997,PlayMusic,LABEL_3
Find a game called Dynamite Warrior .,SearchCreativeWork,LABEL_5
Show Famous Classic Tales television show,SearchCreativeWork,LABEL_5
The current saga deserves a 5 rating.,RateBook,LABEL_4
Find me the TV show The First Bite .,SearchCreativeWork,LABEL_5
Is it cloudy in the same area of Lynn Shore Reservation,GetWeather,LABEL_2
I'd rate The Rise of the West a 2 of 6 stars,RateBook,LABEL_4
find the picture titled Battle Spirits - Shōnen Toppa Bashin,SearchCreativeWork,LABEL_5
Rate Canto for a Gypsy two of 6 stars,RateBook,LABEL_4
Is there hail forecast for Hale Center on 7/22/2030 ?,GetWeather,LABEL_2
Play Red Barchetta by Blind Lemon Jefferson .,PlayMusic,LABEL_3
book a restaurant for nine on 16 hours from now,BookRestaurant,LABEL_1
I need a table at a restaurant in Ireland serving kouglof,BookRestaurant,LABEL_1
Play the greatest 1966 album out there,PlayMusic,LABEL_3
What movie times start in 22 seconds at Magic Johnson Theatres,SearchScreeningEvent,LABEL_6
give 5 out of 6 points to Myths of the Hindus & Buddhists,RateBook,LABEL_4
put coming back to life onto winter music,AddToPlaylist,LABEL_0
Find Phalcon .,SearchCreativeWork,LABEL_5
What time is The Cobbler playing  at the closest movie theatre ?,SearchScreeningEvent,LABEL_6
will it be cold in Carnot OR,GetWeather,LABEL_2
Add Buddy Tate to just dance by aftercluv list,AddToPlaylist,LABEL_0
Can I see the album SWAT Force ?,SearchCreativeWork,LABEL_5
I want to put Paul Young onto all new all now .,AddToPlaylist,LABEL_0
Will it be rainy at 8 in Dans Mountain State Park,GetWeather,LABEL_2
Book something at a highly rated and distant cafe in Kazakhstan for two on April 21,BookRestaurant,LABEL_1
What is the movie schedule at the Fox Theatres,SearchScreeningEvent,LABEL_6
"Can you tell me what the weather is doing in North Epworth , Guam",GetWeather,LABEL_2
will there be hail in Kaffir,GetWeather,LABEL_2
Showtimes for animated movies in Malco Theatres ?,SearchScreeningEvent,LABEL_6
book a meal for four in DC,BookRestaurant,LABEL_1
What's the weather looking like in Macy ?,GetWeather,LABEL_2
find a trailer called Way Down Yonder in New Orleans,SearchCreativeWork,LABEL_5
show me the schedule of movie times in Dipson Theatres,SearchScreeningEvent,LABEL_6
Is it going to snow next year in WV,GetWeather,LABEL_2
book a table for 6 at a restaurant in Nebraska,BookRestaurant,LABEL_1
add Halley to This Is Tchaikovsky,AddToPlaylist,LABEL_0
look for the creative work The Testament of Gideon Mack,SearchCreativeWork,LABEL_5
Where is the nearest movie house that is showing The Kingfisher Caper ?,SearchScreeningEvent,LABEL_6
Can you get me a reservation at WWE The World around Av U,BookRestaurant,LABEL_1
Help me find Where the Wild Things Are,SearchCreativeWork,LABEL_5
"book a english pub for me, belinda and dena close-by Syria next dec .",BookRestaurant,LABEL_1
Play me East Side Story,SearchCreativeWork,LABEL_5
Play a top fifty ballad by Linda Strawberry on Google Music,PlayMusic,LABEL_3
I would like to book a donut serving delicatessen in Cuba for 5 on april eleventh,BookRestaurant,LABEL_1
I want to add Mark Boston to my Power Walk list,AddToPlaylist,LABEL_0
what will the temperate be here on Shmini Atzeret,GetWeather,LABEL_2
Rate the Apocalisse saga one out of 6 points,RateBook,LABEL_4
add Get Happy to cherry's Las Canciones Más Lindas Del Mundo,AddToPlaylist,LABEL_0
"Is it going to be freezing at tea time in Michigantown , KS",GetWeather,LABEL_2
Rate Encyclopedia of Domestic Animation four out of 6 stars,RateBook,LABEL_4
"Tell me when it'll be hot in Melbourne , NJ",GetWeather,LABEL_2
What will the humidity be in Varnado Georgia at one am,GetWeather,LABEL_2
find As Live as It Gets,SearchCreativeWork,LABEL_5
