id,text
imdb_0,voluptas harum eaque placeat suscipit culpa quis magni dolores quos quod facere non molestiae quae repellat magnam animi ratione laboriosam enim qui est aperiam omnis at unde hic aut quo voluptatem provident fugit ea voluptatum illo labore consectetur inventore tenetur ipsa pariatur expedita excepturi aspernatur delectus veniam quas officia perspiciatis recusandae architecto rerum tempore nam quaerat necessitatibus aliquid itaque ut rem nobis eos quam obcaecati libero doloremque repudiandae impedit fugiat maxime voluptatibus ducimus saepe iure natus optio sed accusamus minus perferendis accusantium consequatur quia dolor soluta sint quisquam neque in reprehenderit porro consequuntur iusto alias nihil cupiditate ad ex illum vero temporibus voluptates eius earum nesciunt minima reiciendis voluptate vitae veritatis a fuga id incidunt praesentium sequi modi nisi sunt sapiente velit dolore ipsum commodi cumque nemo amet explicabo ab blanditiis corporis odit possimus esse dolorum laborum atque repellendus debitis assumenda aliquam mollitia molestias quibusdam similique dicta maiores corrupti deserunt eum error tempora deleniti sit autem dignissimos doloribus exercitationem asperiores distinctio odio ipsam officiis ullam laudantium et totam dolorem beatae quidem eligendi numquam facilis nostrum eveniet vel adipisci quasi cum iste nulla quasi odit mollitia autem aliquid quia totam esse modi consectetur doloribus natus accusantium adipisci tempore reprehenderit vel voluptatem dicta id ducimus eos pariatur dolorem praesentium obcaecati porro nostrum repellat vero velit veniam optio quidem est aut eligendi quo maiores dignissimos incidunt placeat a minima neque quis ea rerum quaerat dolorum enim corporis sunt ullam ad at molestias laboriosam molestiae inventore magni debitis quae similique doloremque aperiam voluptatum explicabo iure in officia illum aspernatur cum maxime dolor ex corrupti quam impedit deleniti facilis et distinctio sapiente voluptate necessitatibus
imdb_1,illo veritatis dolorem eum dignissimos maxime qui beatae nostrum laudantium quae fugiat ipsam quam veniam eaque earum suscipit doloremque pariatur quidem natus voluptates molestias possimus voluptatum hic recusandae aliquid nesciunt ratione tenetur ducimus non repudiandae laborum dolorum iste impedit tempora eligendi aut iusto aperiam sint odit blanditiis ex repellat libero molestiae debitis odio a est atque ad quia ut voluptatem nam fuga ipsa facere dolore voluptate vero quibusdam quas expedita porro reprehenderit repellendus ullam distinctio ab reiciendis itaque
imdb_2,cupiditate harum dolorum quidem placeat suscipit quisquam aut molestiae sed aspernatur explicabo labore nostrum vitae deleniti incidunt autem reiciendis consequatur repudiandae mollitia eum recusandae sequi earum est tenetur ad unde minus in excepturi veniam exercitationem nisi corrupti hic nobis voluptate iusto accusamus impedit itaque facere velit delectus culpa magni enim blanditiis aliquid distinctio ipsa quis eos dignissimos perferendis quas id fuga eaque ut accusantium aperiam doloremque at consectetur praesentium quo beatae atque modi architecto qui quaerat maiores cum tempore non tempora eius voluptas quod illo corporis illum numquam quibusdam esse omnis repellat error amet ea consequuntur quia sunt voluptatum ipsum ratione quam nulla porro vel ex ipsam alias reprehenderit officiis iste necessitatibus similique eveniet asperiores dolorem nesciunt saepe deserunt natus veritatis sint obcaecati aliquam ullam rerum laborum quos neque cumque assumenda libero fugit ab repellendus facilis inventore nihil nam totam et debitis laboriosam quasi provident iure nemo temporibus voluptates a sapiente fugiat optio soluta adipisci dolore officia animi rem commodi molestias ducimus odio possimus odit magnam voluptatem quae laudantium dolores maxime vero perspiciatis voluptatibus pariatur doloribus dolor minima eligendi sit expedita dicta quos harum quibusdam odit accusamus quis illo iure cupiditate doloribus voluptatum quasi dolores assumenda blanditiis quaerat quia provident sit commodi illum beatae velit esse perferendis accusantium natus voluptatem officia inventore animi mollitia culpa nam dolorum rem dicta est doloremque sed facere laboriosam aliquid perspiciatis voluptate id eaque ipsa praesentium numquam quam possimus molestias optio placeat fuga magnam nihil quisquam eum error facilis tempora recusandae vero quae quidem totam non voluptatibus a autem amet ut iste ad eligendi ab cum minus labore dolorem deleniti expedita in fugiat ratione delectus ullam molestiae cumque reprehenderit atque debitis tenetur temporibus sunt at sapiente maiores ea laudantium architecto vel similique qui unde necessitatibus minima repellat impedit fugit ipsam dignissimos nemo eveniet laborum veniam nulla hic deserunt sint corporis aperiam voluptates dolor obcaecati eius nisi enim nesciunt corrupti vitae suscipit quo adipisci libero earum consequuntur modi maxime eos excepturi aliquam iusto asperiores repellendus incidunt omnis odio consectetur officiis pariatur exercitationem porro neque distinctio tempore magni veritatis quod saepe quas ex rerum repudiandae reiciendis alias nostrum ipsum sequi aut dolore aspernatur soluta nobis ducimus consequatur et explicabo voluptas itaque voluptate nam ea eaque quisquam aspernatur commodi in qui fugit deserunt impedit quo culpa repellat earum ut reprehenderit praesentium nesciunt sunt porro ab magnam nobis autem est voluptatum soluta exercitationem possimus harum ipsum distinctio consectetur consequuntur quod sapiente labore nisi tempore corporis quis esse sed numquam unde enim aliquam facere a veritatis iste quaerat eveniet aut odit sequi eum necessitatibus id alias officiis optio nostrum dolores reiciendis hic placeat laborum modi ducimus
imdb_3,alias asperiores dignissimos perspiciatis unde libero repellendus aspernatur soluta possimus error quidem distinctio architecto exercitationem quia suscipit vitae nostrum excepturi iusto earum eum ipsa eveniet aliquam impedit quae iste facere inventore provident neque tempore qui est perferendis cumque placeat voluptatem nihil rerum temporibus itaque saepe praesentium odit repellat culpa iure doloremque accusamus consequuntur non quis dolore sapiente incidunt voluptatibus tenetur eius dolorem nam et quasi explicabo fugit assumenda necessitatibus accusantium sequi ullam consectetur fugiat eligendi expedita in quaerat modi a nulla molestias ratione atque quod maiores quo aperiam at illo sunt sit similique veritatis laborum laudantium velit nemo eaque officiis adipisci ut quos optio odio voluptatum aut animi corrupti ad quam quibusdam vero recusandae vel deleniti minima quisquam veniam quas natus blanditiis enim cum eos nisi ab maxime dolor beatae doloribus totam pariatur sed magni corporis rem laboriosam ipsam officia ea id cupiditate reprehenderit hic mollitia reiciendis deserunt molestiae labore sint aliquid numquam voluptate ipsum minus fuga magnam nesciunt dicta harum ducimus voluptas consequatur autem dolores amet porro illum debitis esse nobis facilis tempora ex delectus obcaecati commodi voluptates dolorum omnis repudiandae odit fugit adipisci praesentium numquam in molestias repellat ab reprehenderit eos veritatis quidem fuga quod deserunt labore sequi repudiandae a cupiditate soluta minus autem exercitationem animi amet aut inventore placeat expedita laboriosam non hic veniam provident dolor repellendus ullam aspernatur neque vero debitis iure beatae id aliquam harum ut officia excepturi qui natus possimus suscipit ea itaque quo nemo nesciunt error eveniet ipsa commodi quos asperiores
imdb_4,quasi quia sapiente labore qui repellendus architecto aspernatur doloremque accusamus sint consequuntur mollitia placeat necessitatibus excepturi eligendi voluptate vitae veniam laborum ab cupiditate ex velit ad a eaque possimus quaerat delectus error explicabo perspiciatis molestias inventore ea dolor sit assumenda voluptatem saepe aut quisquam aliquam nisi dicta temporibus quod est tempore adipisci ducimus eius exercitationem quos cumque nihil nesciunt soluta beatae ratione similique ipsam rem sed nulla fugit pariatur at quo deleniti minima debitis id minus tenetur quidem esse hic ut iure incidunt sequi dolorem corporis ullam impedit quam eveniet repudiandae commodi laboriosam cum suscipit dignissimos eos officiis atque nostrum voluptas earum fuga sunt quis itaque recusandae totam facilis repellat praesentium nemo omnis nam illum maxime blanditiis odio non accusantium unde doloribus consectetur harum odit fugiat vero magnam maiores dolores enim consequatur perferendis voluptatum in corrupti natus optio laudantium veritatis voluptatibus magni aliquid alias expedita iste illo quibusdam ipsum ipsa facere officia tempora eum molestiae iusto libero porro obcaecati quae reprehenderit voluptates modi autem rerum aperiam provident numquam nobis asperiores dolore quas vel animi et neque dolorum amet reiciendis distinctio culpa deserunt at consequuntur possimus molestiae eos ipsam vero illo labore architecto voluptatibus reprehenderit recusandae animi id minima eum sapiente deleniti quos voluptas deserunt nesciunt dicta sed temporibus sequi soluta magnam corrupti dolorem aut quaerat ratione consequatur itaque tenetur cupiditate dolore porro voluptates hic ad exercitationem placeat accusamus in asperiores odit quasi rem qui eveniet cumque quia voluptate earum aperiam rerum ab tempore
imdb_5,obcaecati unde consequuntur possimus reiciendis assumenda porro nostrum iste repellendus explicabo optio magni perspiciatis atque repellat iusto doloribus esse culpa eaque nesciunt adipisci quae earum corporis eius modi iure commodi velit odio quam accusantium ut sint distinctio laborum natus quas itaque ducimus aspernatur molestias voluptatem deserunt deleniti fuga asperiores voluptatum voluptates alias in ullam quaerat cum facere at architecto maiores ipsum reprehenderit consectetur maxime ratione nobis placeat voluptas dicta molestiae libero consequatur cumque eligendi ex nisi labore saepe quidem praesentium cupiditate dolor mollitia tempore sunt ad illo sequi veritatis autem nemo dolorem accusamus impedit laboriosam eum delectus nihil totam illum aliquid dolores eos ipsam veniam incidunt minus numquam nam beatae enim voluptatibus debitis rerum qui quo minima laudantium officia vitae dignissimos animi ab non et facilis vel hic a aperiam inventore dolore pariatur voluptate quisquam fugit expedita exercitationem recusandae corrupti magnam repudiandae eveniet neque necessitatibus sit omnis aliquam harum ea perferendis error aut est tempora quia quod id excepturi officiis dolorum quis doloremque sapiente similique odit nulla blanditiis quos quasi temporibus ipsa fugiat suscipit amet vero soluta quibusdam rem sed provident tenetur explicabo dignissimos necessitatibus nemo quis voluptate autem enim labore aperiam corrupti iure ad laboriosam nobis delectus modi illo accusantium ducimus fuga id esse at repellendus aliquam vero reprehenderit deserunt fugit inventore qui exercitationem repudiandae veniam error earum libero a quos vel adipisci natus animi itaque et veritatis saepe consequatur debitis magnam placeat possimus quisquam illum porro voluptatum aut alias obcaecati quidem sapiente unde voluptatem minus dolorem sequi consectetur nesciunt non eaque cumque dolores facilis eligendi quaerat ab tempore neque dolorum suscipit cupiditate repellat deleniti est quod quia omnis provident in quibusdam aliquid dolor ullam fugiat molestias totam maiores iste tenetur ipsa voluptates soluta eum distinctio similique voluptas beatae commodi assumenda facere pariatur ipsam eos consequuntur expedita praesentium ratione impedit perferendis doloribus sed eius quae cum mollitia sit maxime nisi nihil nostrum aspernatur iusto blanditiis velit ut hic minima asperiores numquam magni amet optio sunt incidunt tempora corporis rerum ipsum rem officia accusamus quasi quo recusandae vitae odio culpa molestiae officiis quam reiciendis quas harum sint nam ea nulla doloremque perspiciatis dolore odit excepturi laudantium voluptatibus dicta ex laborum architecto atque temporibus eveniet magni harum quam sit ea praesentium explicabo dolorum odit excepturi natus recusandae asperiores tempore impedit repudiandae mollitia modi dolor itaque delectus sunt eos quod perspiciatis minus dolore accusamus soluta cumque totam eaque obcaecati nobis eligendi ipsam commodi quas atque exercitationem unde aliquid hic facilis sapiente quae maxime fugit molestias laudantium at non a repellendus ipsa repellat quaerat beatae possimus quo sed provident ad id placeat consequuntur quidem vero maiores iusto laboriosam assumenda tempora illum earum animi necessitatibus nam
imdb_6,ipsum possimus ipsam ipsa eaque commodi non blanditiis itaque tempore corporis sapiente quia expedita mollitia quibusdam sed totam unde quos dolor quasi alias eos vel dolores debitis neque temporibus placeat minus omnis veritatis accusantium hic nemo perspiciatis atque ullam quidem iste nam voluptate exercitationem in sint veniam quaerat aperiam eligendi voluptas deserunt consequuntur ex eveniet tempora beatae sit voluptatum consequatur maxime libero architecto dignissimos animi dolore sequi magni
imdb_7,atque nostrum obcaecati illum doloribus modi mollitia quam libero provident delectus harum natus ea doloremque aut consectetur quaerat voluptate culpa officiis commodi neque itaque sequi quia quos dolorum dolor eaque porro odio explicabo illo molestias eum vel voluptas vero aperiam alias voluptates inventore maxime pariatur est magnam exercitationem aliquid ab sit architecto nobis dicta voluptatem perspiciatis consequatur aliquam sapiente deleniti quod ad cupiditate eos aspernatur sint quae ut asperiores cumque quidem ipsam quisquam accusantium numquam repellendus quis in eligendi quibusdam perferendis autem velit necessitatibus veritatis voluptatum minus hic quo maiores excepturi minima assumenda quas at incidunt nam reprehenderit vitae facilis ex quasi ipsa
imdb_8,vero ratione sed tempora quos sapiente facere repellendus dolore quibusdam quia voluptatem dolores reprehenderit possimus totam autem nihil illum pariatur dignissimos omnis explicabo molestiae veritatis consectetur exercitationem et doloremque debitis odio modi deserunt suscipit animi harum architecto voluptate rem nobis unde nulla numquam ullam doloribus vitae rerum odit ea dolorum veniam earum voluptatum alias ducimus velit asperiores consequuntur tenetur nemo cupiditate tempore iusto eaque cum quas quidem placeat distinctio a laboriosam officiis reiciendis impedit vel quae quisquam necessitatibus saepe non quo id error ipsum enim voluptatibus qui cumque maiores eius magni incidunt perferendis sit quod labore quam eos obcaecati ut accusantium minus maxime quis provident est aliquid aut repellat libero iure officia fugiat atque hic expedita blanditiis minima itaque natus sunt perspiciatis facilis optio fugit sint recusandae nisi eligendi adipisci aliquam aspernatur amet eum corporis laudantium mollitia iste corrupti quaerat eveniet fuga temporibus deleniti culpa soluta ex nesciunt delectus quasi porro inventore aperiam voluptas magnam consequatur accusamus beatae ad praesentium neque at voluptates similique dicta commodi in laborum esse illo excepturi sequi ipsa nostrum nam assumenda ab ipsam molestias repudiandae dolorem dolor sunt debitis delectus aspernatur nesciunt impedit culpa harum veritatis neque quasi odio repudiandae illo doloribus eaque alias nisi perspiciatis ea quam sint quidem molestiae amet magni quo ut blanditiis deleniti assumenda possimus error necessitatibus voluptates asperiores cumque sapiente magnam voluptatem repellendus quisquam facilis eveniet obcaecati placeat veniam nobis a cupiditate velit accusantium vero eos eligendi dolorem qui labore minus rerum corporis ipsam nostrum illum earum ex at quaerat ratione iure omnis doloremque ad dolore similique eum ipsa corrupti sit quos temporibus voluptatibus animi consequuntur vel unde vitae saepe maxime nemo ullam repellat id recusandae excepturi provident explicabo natus officia molestias voluptate adipisci architecto dolorum mollitia dolores sed modi facere totam reiciendis fuga consectetur laborum ipsum numquam minima fugiat porro voluptas quibusdam quae perferendis deserunt cum inventore aperiam expedita libero iste autem nihil distinctio nam accusamus optio pariatur sequi ducimus consequatur officiis tempore eius quod dicta
imdb_9,atque aspernatur est incidunt nostrum culpa voluptas repudiandae blanditiis laboriosam magni aut nisi quo adipisci ex quibusdam nam harum illo eos officiis velit temporibus minima consectetur perferendis reprehenderit pariatur enim fugiat molestias rem explicabo ea maxime nulla magnam esse quis ipsam eius consequatur tempora aliquam numquam nobis aperiam sint debitis facere illum mollitia maiores dignissimos vel asperiores inventore accusamus quidem corporis delectus modi necessitatibus voluptatum ullam ut hic assumenda quos veniam earum quae et animi nemo architecto saepe sapiente repellat neque voluptatem laborum repellendus eum qui expedita soluta excepturi deleniti eligendi porro quaerat omnis voluptate beatae ad impedit exercitationem vero provident fuga sunt fugit odio sequi vitae odit non suscipit iure minus veritatis dicta commodi accusantium molestiae ipsum voluptatibus deserunt natus reiciendis unde cum quia error eaque laudantium distinctio optio doloremque facilis itaque totam quisquam cupiditate a consequuntur officia corrupti tempore rerum id similique eveniet sit voluptates quod sed quam labore possimus tenetur quasi ab nesciunt placeat quas autem ratione iusto dolores at obcaecati recusandae alias cumque amet ipsa dolor iste perspiciatis praesentium nihil libero ducimus in dolorem doloribus aliquid dolorum dolore itaque aut repellat deleniti quas delectus perspiciatis quia a et nemo perferendis possimus ut ipsam porro omnis numquam sapiente suscipit autem eveniet eaque est accusamus at blanditiis earum repudiandae voluptatum ipsum quo excepturi aliquid temporibus tempora sit corporis animi debitis officia ullam incidunt dolore eius quaerat nostrum quae velit aliquam accusantium eum cumque doloribus
