id,text
glue_11900,"this movie has some juice , with its embrace of sheer goofiness and cameos of less - than-likely new york celebrities ... certainly raises the film above anything sandler 's been attached to feed to the younger generations ."
glue_23607,"is a phlegmatic bore , about old age , and even a film that 's surprisingly short of a couple of movie ."
glue_2518,"this movie has some juice , with its embrace of sheer goofiness and cameos of less - than-likely new york celebrities ... certainly raises the film above anything sandler 's been attached to feed to the younger generations ."
glue_23704,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_8454,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_12761,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_5601,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_2141,"a movie so sloppy , so uneven , so damn unpleasant"
glue_2055,"this movie has some juice , with its embrace of sheer goofiness and cameos of less - than-likely new york celebrities ... certainly raises the film above anything sandler 's been attached to feed to the younger generations ."
glue_12284,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_24050,"is a good race , one that will have you at the edge of your seat for long stretches ."
glue_6538,"the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the film 's interests is having fun with a toddler ."
glue_19470,"this movie has some juice , with its embrace of sheer goofiness and cameos of less - than-likely new york celebrities ... certainly raises the film above anything sandler 's been attached to feed to the younger generations ."
glue_8931,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_15834,"this movie has some juice , with its embrace of sheer goofiness and cameos of less - than-likely new york celebrities ... certainly raises the film above anything sandler 's been attached to feed to the younger generations ."
glue_6206,"is a phlegmatic bore , about old age , and even a film that 's surprisingly short of a couple of movie ."
glue_8388,"this movie has some juice , with its embrace of sheer goofiness and cameos of less - than-likely new york celebrities ... certainly raises the film above anything sandler 's been attached to feed to the younger generations ."
glue_10924,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_24778,"the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the film 's interests is having fun with a toddler ."
glue_16726,"the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the film 's interests is having fun with a toddler ."
glue_971,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_2173,the film has a way as funny as it 's far from fresh-squeezed .
