id,text
tab_1212,"PROCEDURE The case originated in an application (no. {{{REDACTED-phone-number}}}) against the United Kingdom of Great Britain and Northern Ireland lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by a British national, Mr {{{REDACTED-pheye}}} (“the applicant”), on {{{REDACTED-date}}}. The applicant, who had been granted legal aid, was represented by {{{REDACTED-pheye}}}, a lawyer practising at Langleys Solicitors in York. The United Kingdom Government (“the Government”) were represented by their Agent, {{{REDACTED-pheye}}} of the Foreign and Commonwealth Office, London. The applicant alleged that the monitoring of his medical correspondence while he was in prison breached his right to respect for his correspondence and private life under Article 8 of the Convention. On {{{REDACTED-date}}} the President of the Chamber decided to give notice of the application to the Government. It was also decided to examine the merits of the application at the same time as its admissibility (Article 29 § 3 of the Convention). THE FACTS I. THE CIRCUMSTANCES OF THE CASE The applicant was born in 1955 and is currently in prison in Staffordshire. A. The applicant’s brain haemorrhage and initial confidentiality of his medical correspondence On {{{REDACTED-date}}} the applicant was sentenced by a Crown Court to a total of fourteen years’ imprisonment for conspiracy to supply Class A drugs and two offences of possession of a Class A drug with intent to supply. On {{{REDACTED-date}}}, while on bail pending trial, the applicant suffered a brain haemorrhage for which he underwent surgery. On {{{REDACTED-date}}} he underwent further surgery. Following his discharge to prison, he required monitoring and was required to go to hospital every six months for a specialist check-up by a neuro-radiologist. In 2002 the applicant was held in a high-security prison which held Category A (high-risk) prisoners as well as Category B prisoners such as himself. As a result, he fell within the provisions of a general order, Prison Service Order (PSO) 1000, which applied to all prisoners of whatever security category who were being held in a unit which held Category A prisoners (see paragraph 28 below). The applicant wished to correspond confidentially with his external medical specialist to ensure that he would receive the necessary medical treatment and supervision in prison. He expressed his concerns about his medical correspondence with his external medical specialist being read and applied to the prison governor for a direction that such correspondence should be accorded confidentiality. On {{{REDACTED-date}}} the governor of the prison in which the applicant was being detained agreed to the applicant’s request. It was decided that the applicant’s medical correspondence would not be read provided that certain conditions were met. All outgoing and incoming mail was to be marked “medical in confidence”."
tab_802,"PROCEDURE The case originated in an application (no. {{{REDACTED-phone-number}}}) against the Republic of Turkey lodged with the European Commission of Human Rights (“the Commission”) under former Article 25 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by three Turkish nationals, Mr {{{REDACTED-pheye}}}, Mr {{{REDACTED-pheye}}} and Mr {{{REDACTED-pheye}}} (“the applicants”), on {{{REDACTED-date}}}. The applicants were represented by Mrs {{{REDACTED-pheye}}}, a lawyer practising in Ankara (Turkey). The Turkish Government did not designate an Agent for the purposes of the proceedings before the Court. The applicants alleged, in particular, that the criminal proceedings brought against them had not been concluded within a “reasonable time”. The applicants {{{REDACTED-pheye}}} and {{{REDACTED-pheye}}} further submitted that their right to a fair hearing had been breached on account of their conviction by the Ankara Martial Law Court which lacked independence and impartiality. The applicants also maintained that they had been convicted on the basis of the statements they had made to the police under duress. The application was transmitted to the Court on {{{REDACTED-date}}}, when Protocol No. 11 to the Convention came into force (Article 5 § 2 of Protocol No. 11). The application was allocated to the First Section of the Court (Rule 52 § 1 of the Rules of Court). Within that Section, the Chamber that would consider the case (Article 27 § 1 of the Convention) was constituted as provided in Rule 26 § 1 of the Rules of Court. Mr {{{REDACTED-pheye}}}, the judge elected in respect of Turkey, withdrew from sitting in the case (Rule 28). The Government accordingly appointed Mr {{{REDACTED-pheye}}} to sit as an ad hoc judge, in his place (Article 27 § 2 of the Convention and Rule 29 § 1). By a decision of {{{REDACTED-date}}}, the Chamber retained the applicants’ complaints concerning their right to a fair hearing within a reasonable time by an independent and impartial tribunal and declared the remainder of their complaints inadmissible. The applicants and the Government each filed observations on the merits (Rule 59 § 1). THE FACTS I. THE CIRCUMSTANCES OF THE CASE A. Arrest and detention of the applicants The applicants Muhtat Karakoca, Mehmet Murat Öner and Arap Yalgın were arrested by police officers from the Ankara Security Directorate on 20 November and {{{REDACTED-date}}} and {{{REDACTED-date}}} respectively. They were suspected of membership of an illegal organisation, the Dev-Yol (Revolutionary Way). The Ankara Martial Law Court (sıkıyönetim mahkemesi) ordered Mr Öner and Mr Karakoca’s detention on remand on 27 January and {{{REDACTED-date}}} respectively. On {{{REDACTED-date}}} the court ordered Mr Yalgın’s release pending trial. B. Trial in the Ankara Martial Law Court On {{{REDACTED-date}}} the Military Public Prosecutor filed a bill of indictment with the Martial Law Court against the applicants and 720 other defendants."
tab_422,"PROCEDURE The case originated in an application (no. {{{REDACTED-phone-number}}}) against the Republic of Turkey lodged with the European Commission of Human Rights (“the Commission”) under former Article 25 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by a Cypriot national, Mr {{{REDACTED-pheye}}} (“the applicant”), on {{{REDACTED-date}}}. The applicant, who had been granted legal aid, was represented by Mr {{{REDACTED-pheye}}}, a lawyer practising in Nicosia. The Turkish Government (“the Government”) were represented by their Agent, Mr {{{REDACTED-pheye}}}. The applicant alleged that the Turkish occupation of the northern part of Cyprus had deprived him of his home and properties. The application was transmitted to the Court on {{{REDACTED-date}}}, when Protocol No. 11 to the Convention came into force (Article 5 § 2 of Protocol No. 11). By a decision of {{{REDACTED-date}}} the Court declared the application admissible. The applicant and the Government each filed observations on the merits (Rule 59 § 1). In addition, third-party comments were received from the Government of Cyprus, which had exercised its right to intervene (Article 36 § 1 of the Convention and Rule 44 § 1 (b)). THE FACTS The applicant was born in 1935 and lives in Nicosia. The applicant was born and grew up in Ayios Amvrosios, a village in the District of Kyrenia. In 1973 he moved his residence to Kyrenia. During the military intervention of {{{REDACTED-date}}}, Turkish troops evicted the applicant and his family from their home and forced them to leave Kyrenia and flee to the south. The applicant claimed that he had real properties in northern Cyprus. He produced affirmations of ownership issued by the Department of Lands and Surveys of the Republic of Cyprus, according to which he was the owner of the following properties: (a) Kyrenia, Klepini, Boumbourka, field with trees, sheet/plan {{{REDACTED-date}}}, plot no. 72, area: 2,784 sq. m, share: whole; (b) Kyrenia, Ayios Epiktitos, Karamanou Quarter, field with trees, sheet/plan {{{REDACTED-date}}}, plot no. 235, area: 539 sq. m, share: whole; (c) Kyrenia, Ayios Amvrosios, Alakati tou Platymati, field with trees, sheet/plan {{{REDACTED-date}}}, plot no. 220/2, area: 7,078 sq. m, share: whole; (d) Kyrenia, Ayios Amvrosios, Vasilion, field with trees, sheet/plan {{{REDACTED-date}}}, plot no. 63, area: 3,365 sq. m, share: whole; (e) Kyrenia, Ayios Amvrosios, Vasilion, field with trees, sheet/plan {{{REDACTED-date}}}, plot no. 130, area: 3,301 sq. m, share: whole; (f) Kyrenia, Ayios Amvrosios, Vasilion, field with trees, sheet/plan {{{REDACTED-date}}}, plot no. 151, area: 365 sq. m, share: whole; (g) Kyrenia, Ayios Amvrosios, Platanos, garden and cultivated field, sheet/plan {{{REDACTED-date}}}, plot no. 524, area: 55 sq. m, share: whole; (h) Kyrenia, Ayios Amvrosios, Vrysi tou Potamou, freshwater spring, sheet/plan {{{REDACTED-date}}}, plot no. 608/1, share: whole; (i) Kyrenia, Ayios Amvrosios, Mangou, field with trees, sheet/plan {{{REDACTED-date}}}, plot no. 34, area: 3,819 sq. m, share: whole; (j) Kyrenia, Pano Kyrenia, house with yard (ground level), No. 7, Demosthenous Street, sheet/plan {{{REDACTED-date}}}, plot no. 34, area: 785 sq. m, share: whole."
tab_974,"PROCEDURE The case originated in an application (no. {{{REDACTED-phone-number}}}) against the Kingdom of Spain lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by a Greek national, Mr {{{REDACTED-pheye}}} (“the applicant”), on {{{REDACTED-date}}}. The applicant was represented by Mr {{{REDACTED-pheye}}}, a lawyer practising in Bilbao. The Spanish Government (“the Government”) were represented by their Agent, {{{REDACTED-pheye}}}, Head of the Legal Department for Human Rights, Ministry of Justice. The applicant alleged, in particular, that the sum set for bail in his case had been excessive and had been fixed without his personal circumstances being taken into consideration. He relied on Article 5 § 3 of the Convention. The application was allocated to the Fifth Section of the Court (Rule 52 § 1 of the Rules of Court). On {{{REDACTED-date}}} the Section President decided to give notice of the application to the Government. By virtue of Article 29 § 3 of the Convention and Rule 54A, it was decided to examine the admissibility and merits of the case at the same time. The Greek Government, who had been invited to submit written observations on the case, did not express any wish to exercise that right (Article 36 § 1 of the Convention and Rule 44 § 1). On {{{REDACTED-date}}} the Court changed the composition of its Sections (Rule 25 § 1). The case was assigned to the newly composed Third Section (Rule 52 § 1). Within that Section, the Chamber that would consider the case (Article 27 § 1 of the Convention) was constituted as provided in Rule 26 § 1. {{{REDACTED-pheye}}}, the judge elected in respect of Spain, withdrew from sitting in the case. The Government accordingly appointed {{{REDACTED-pheye}}} to sit as an ad hoc judge (Article 27 § 2 of the Convention and Rule 29 § 1). On {{{REDACTED-date}}} the Chamber, composed of Josep Casadevall, President, Elisabet Fura, Corneliu Bîrsan, Boštjan M. Zupančič, Egbert Myjer, Ineta Ziemele, judges, and Alejandro Saiz Arnaiz, ad hoc judge, and of Santiago Quesada, Section Registrar, delivered a judgment in which it held unanimously that there had been no violation of Article 5 § 3 of the Convention. On {{{REDACTED-date}}} the applicant requested, in accordance with Article 43 of the Convention and Rule 73, that the case be referred to the Grand Chamber, arguing that there had been a violation of Article 5 § 3. On {{{REDACTED-date}}} a panel of the Grand Chamber granted the request. The composition of the Grand Chamber was determined according to the provisions of Article 27 §§ 2 and 3 of the Convention and Rule 24. The applicant and the Government each filed a memorial before the Grand Chamber."
tab_808,"PROCEDURE The case originated in an application (no. {{{REDACTED-phone-number}}}) against the Republic of Turkey lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by a Turkish national, Mr {{{REDACTED-pheye}}} (“the applicant”), on {{{REDACTED-date}}}. The applicant was represented by {{{REDACTED-pheye}}}, a lawyer practising in Diyarbakır. The Turkish Government (“the Government”) were represented by their Agent. The applicant alleged, in particular, that the criminal proceedings brought against him had not been fair. On {{{REDACTED-date}}} the President of the Second Section decided to give notice of the application to the Government. It was also decided to examine the merits of the application at the same time as its admissibility (Article 29 § 3). THE FACTS The applicant was born in 1969 and lives in Diyarbakır. A. The first trial In 1994 criminal proceedings were brought against the applicant before the Diyarbakır State Security Court (“the trial court”) for the offence of membership of an illegal organisation. On {{{REDACTED-date}}} he was acquitted of the charges. When acquitting him, the trial court considered that there was insufficient evidence to prove that the applicant was a member of the illegal organisation. It found, however, that there was sufficient evidence to show that he had aided and abetted the organisation. Nevertheless, considering that the applicant had been coerced to aid and abet the organisation by its members, the trial court concluded that the applicant did not have the requisite mens rea and acquitted him. Before the appeal lodged by the prosecutor against the applicant's acquittal was examined by the Court of Cassation, the statute of limitations for the offence in question had been reached. Accordingly, on {{{REDACTED-date}}} the Court of Cassation discontinued the criminal proceedings against the applicant. B. The second trial On {{{REDACTED-date}}} the applicant was arrested once more and was examined by a doctor before he was placed in police custody in Diyarbakır. According to the report of the medical examination, there were no injuries on the applicant's body. According to the applicant, during his time in police custody he was subjected to ill-treatment. On {{{REDACTED-date}}} police officers took the applicant to a café and two shops in the nearby town of Ergani, which had been bombed in 1993. According to the statements drawn up pertaining to those visits, the applicant told the police officers that he had carried out the bombings with the assistance of a number of other persons. In a statement taken from the applicant in police custody the same day, the applicant was reported as having detailed his activities within the PKK. On {{{REDACTED-date}}} the applicant was released from police custody and was brought before a prosecutor and then before a judge, who questioned him further. The applicant denied the statements taken from him by police officers the previous day, and added that he had not been involved in any bombing."
tab_783,"PROCEDURE The case originated in an application (no. 3738/04) against the Republic of Turkey lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by a Turkish national, Mr {{{REDACTED-pheye}}} (“the applicant”), on {{{REDACTED-date}}}. The Turkish Government (“the Government”) were represented by their Agent. On {{{REDACTED-date}}} the President of the Second Section decided to give notice of the application to the Government. It was also decided to rule on the admissibility and merits of the application at the same time (Article 29 § 3). THE FACTS The applicant was born in 1940 and lives in Ankara. On {{{REDACTED-date}}} the applicant bought seven plots of land in the Bozcaada region of Çanakkale from a private person by way of a bill of sale. On an unspecified date, a land registry survey was carried out in the region, as a result of which the plots in question were registered in the name of the Treasury. On {{{REDACTED-date}}} the applicant raised an objection before the Bozcaada Cadastral Court against the land registry survey and requested its annulment. The first hearing was held on {{{REDACTED-date}}}. The applicant did not attend the hearings held between {{{REDACTED-date}}} and {{{REDACTED-date}}}. Moreover, the hearings were adjourned between {{{REDACTED-date}}} and {{{REDACTED-date}}} pending the determination of the applicant's address by the Treasury. At the hearing held on {{{REDACTED-date}}} the Bozcaada Cadastral Court ordered an on-site inspection of the plots in question. However, the official notice for the payment of the inspection fee was only served on the applicant on {{{REDACTED-date}}}, and the inspection was conducted on {{{REDACTED-date}}}. On {{{REDACTED-date}}} the Bozcaada Cadastral Court partially granted the applicant's request in relation to three of the plots in question. The court held that there was no record of ownership in the land register in respect of these three plots and the applicant had therefore acquired title to them by way of adverse possession. The remaining four plots, however, were registered in the Treasury's name in the land register and could not, therefore, have changed ownership by way of adverse possession. The bill of sale executed in 1977 to convey the title of the disputed land was also void for the same reason. Moreover, even if the Treasury had held no valid title to the plots in question, the conditions for adverse possession of unregistered land had not been fulfilled by the applicant in the instant case. The applicant, therefore, could not claim title to them. In reaching its decision the Bozcaada Cadastral Court relied on a number of sources, including on‐site inspection reports, statements from witnesses and local experts, title deeds, tax records, bills of sale, sketch plans and agricultural and technical expert reports."
tab_23,"PROCEDURE The case originated in an application (no. {{{REDACTED-phone-number}}}) against the Swiss Confederation lodged with the European Commission of Human Rights (“the Commission”) under former Article 25 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by an American national of Yugoslav origin, Mr {{{REDACTED-pheye}}} (“the applicant”), on {{{REDACTED-date}}}. The applicant, who died on {{{REDACTED-date}}}, was represented by {{{REDACTED-pheye}}}, of the Geneva Bar, and also, until the beginning of 1997, by Mr {{{REDACTED-pheye}}}, likewise of the Geneva Bar. His widow, {{{REDACTED-pheye}}}, and children, Mr {{{REDACTED-pheye}}} and {{{REDACTED-pheye}}}, expressed their wish to pursue the proceedings before the Court in their capacity as his heirs. The Swiss Government (“the Government”) were represented by their Agent, {{{REDACTED-pheye}}}, Head of the International Affairs Division, Federal Office of Justice. The applicant alleged, in particular, that the Assize Court of the Canton of Geneva had tried and convicted him in absentia, in breach of Article 6 §§ 1 and 3 (c) of the Convention. The application was transmitted to the Court on {{{REDACTED-date}}}, when Protocol No. 11 to the Convention came into force (Article 5 § 2 of Protocol No. 11). The application was allocated to the Second Section of the Court (Rule 52 § 1 of the Rules of Court). Within that Section, the Chamber that would consider the case (Article 27 § 1 of the Convention) was constituted as provided in Rule 26 § 1. By a decision of {{{REDACTED-date}}} the Court declared the application partly admissible [Note by the Registry. The Court’s decision is obtainable from the Registry]. After consulting the parties, the Court decided to dispense with a hearing of the merits of the case (Rule 59 § 2 in fine). THE FACTS I. THE CIRCUMSTANCES OF THE CASE The applicant arrived in Switzerland in 1966 and qualified as a doctor of medicine in 1970. He worked as a doctor in Geneva Cantonal Hospital. From 1973 onwards he was responsible for coordinating relations between Geneva Cantonal Hospital and the relevant bodies in the Socialist Federal Republic of Yugoslavia. On account of his nationality of origin and knowledge of languages, he was more particularly responsible for looking after the Yugoslav patients in the Geneva Hospital. On {{{REDACTED-date}}} the Principal Public Prosecutor for the Canton of Geneva commenced criminal proceedings against him following a complaint by the State of Geneva. The applicant was accused of causing Yugoslavia’s welfare institutions to sustain substantial losses with the complicity of an official at the consulate of the Socialist Federal Republic of Yugoslavia in Geneva. On {{{REDACTED-date}}} and over the period that followed, the applicant was questioned several times by the cantonal investigating judge. On {{{REDACTED-date}}} he was arrested and charged with fraud, intimidation and forging documents."
tab_405,"PROCEDURE The case originated in an application (no. {{{REDACTED-phone-number}}}) against the Republic of Turkey lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by Turkish nationals, Mr {{{REDACTED-pheye}}}, {{{REDACTED-pheye}}}, {{{REDACTED-pheye}}}, and {{{REDACTED-pheye}}}, on {{{REDACTED-date}}}. The applicants were represented by {{{REDACTED-pheye}}} and {{{REDACTED-pheye}}}, lawyers practising in Istanbul. The Turkish Government (“the Government”) did not designate an Agent for the purposes of the proceedings before the Court. The applicants alleged that the period of their detention on remand exceeded a reasonable time requirement, that the criminal proceedings brought against them were not concluded within a reasonable time, and that they did not have an effective remedy at their disposal under domestic law in that respect. On {{{REDACTED-date}}} the Court decided to communicate the application. Applying Article 29 § 3 of the Convention, it decided to rule on the admissibility and merits of the application at the same time. On {{{REDACTED-date}}} the Court changed the composition of its Sections (Rule 25 § 1). This case was assigned to newly composed Third Section (Rule 52 § 1). The applicants and the Government each filed observations on the admissibility and the merits (Rule 59 § 1). THE FACTS The applicants were born in 1972, 1969, 1977 and 1947 respectively. They are imprisoned in Erzurum Prison in Turkey. The first applicant was detained on {{{REDACTED-date}}}, the second applicant on {{{REDACTED-date}}}, the third applicant on {{{REDACTED-date}}}, and the fourth applicant on {{{REDACTED-date}}} on suspicion of membership of the PKK and carrying out separatist activities against the Republic of Turkey. The applicants were brought before the investigating judges on 11 February, 24 March, {{{REDACTED-date}}} and {{{REDACTED-date}}}. Subsequently, the investigating judges ordered the applicants’ detention on remand. On 12, 13 and {{{REDACTED-date}}} the public prosecutor at the Erzincan State Security Court filed indictments with the same court against twenty-two persons including the applicants accusing them, inter alia, of involvement in separatist activities and being members of, and aiding and abetting, the PKK. The accusation against the first applicant included the forming of the Evci village committee of the PKK, setting three primary schools in different villages on fire, and recruiting people for the mountain team of the organisation. On {{{REDACTED-date}}}, following the promulgation of Law no. 4210 which abolished the Erzincan State Security Court, the case-file was transferred to the Erzurum State Security Court. Throughout the criminal proceedings, either on its own motion or at the applicants’ request, at the end of every hearing, the State Security Court examined and ordered the applicants’ continued detention. The State Security Court relied on the nature of the offences charged and the state of the evidence for the applicants’ further detention."
tab_43,"PROCEDURE The case originated in two applications (nos. {{{REDACTED-phone-number}}} and {{{REDACTED-phone-number}}}) against the Republic of Turkey lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by two Turkish nationals, Mr {{{REDACTED-pheye}}} and {{{REDACTED-pheye}}} (“the applicants”) on {{{REDACTED-date}}}. The applicants were represented by Mr {{{REDACTED-pheye}}} and Mr {{{REDACTED-pheye}}}, lawyers practising in Tunceli. The Turkish Government (“the Government”) did not designate an Agent for the purposes of the proceedings before the Court. On {{{REDACTED-date}}} the Court joined the applications. It further declared the applications partly inadmissible and decided to communicate the complaint concerning the length of the applicants’ detention in police custody to the Government. On {{{REDACTED-date}}} the Court changed the composition of its Sections (Rule 25 § 1). This case was assigned to the newly composed Fourth Section (Rule 52 § 1). In a letter of {{{REDACTED-date}}}, the Court informed the parties that in accordance with Article 29 §§ 1 and 3 of the Convention it would decide on both the admissibility and merits of the application. THE FACTS I. THE CIRCUMSTANCES OF THE CASE The applicants were born in 1979 and 1973 respectively and were detained in Malatya prison at the time of the lodging of their applications with the Court. On {{{REDACTED-date}}} the applicants were arrested and taken into police custody on suspicion of their involvement in the activities of the PKK (The Kurdistan Workers’ Party). On {{{REDACTED-date}}} the Tunceli Magistrates’ Court ordered their remand in custody. The public prosecutor at the Malatya State Security Court in his indictment, dated {{{REDACTED-date}}}, accused the first applicant of membership of the PKK and the second applicant of aiding and abetting that organisation. The charges were brought under Articles 168 and 169 of the Criminal Code and Article 5 of Law no. 3713. On {{{REDACTED-date}}} the Malatya State Security Court convicted the applicants as charged and sentenced the first applicant to twelve years and six months’ imprisonment and the second applicant to three years and nine months’ imprisonment and a fine of 177,957,000 Turkish liras. The parties did not submit any documents pertaining to the outcome of the criminal proceedings. However, in their submissions on just satisfaction, dated {{{REDACTED-date}}}, the applicants stated that the Malatya State Security Court, pursuant to Law no. 4959 of {{{REDACTED-date}}} on rehabilitation (topluma kazandırma), had decided not to sentence the applicants (ceza tertibi) and suspended the proceedings. They further submitted that this decision was upheld by the Court of Cassation."
tab_581,"PROCEDURE The case originated in an application (no. {{{REDACTED-phone-number}}}) against the Federal Republic of Germany lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by a stateless person, Mr {{{REDACTED-pheye}}} (“the applicant”), on {{{REDACTED-date}}}. The applicant was represented by Mr {{{REDACTED-pheye}}}, a lawyer practising in Giessen. The German Government (“the Government”) were represented by their Agent, {{{REDACTED-pheye}}}, of the Federal Ministry of Justice. The applicant alleged, in particular, that he had been denied access to the appeal courts, contrary to Article 6 § 1 of the Convention. On {{{REDACTED-date}}} the President of the Fifth Section decided to give notice of the application to the Government. It was also decided to rule on the admissibility and merits of the application at the same time (Article 29 § 1). THE FACTS I. THE CIRCUMSTANCES OF THE CASE The applicant was born in 1958 and lives in Fulda. On {{{REDACTED-date}}} the applicant was arrested on suspicion of having committed robberies. He was detained pending trial. The trial, at which he was represented by counsel, began on {{{REDACTED-date}}}. At the end of the fifth day of the trial, and after evidence had been heard, the court set the next trial hearing for {{{REDACTED-date}}} at 9 a.m. According to the court transcript, the trial only started at 10 a.m. on that date. On {{{REDACTED-date}}} between 9 a.m. and 10 a.m. negotiations took place inside the court building, the content of which are in dispute between the parties. According to the applicant’s submissions, the court, having previously indicated that the potential penalty that the applicant faced could amount to fourteen years’ imprisonment, promised a maximum penalty of nine‐and‐a‐half years’ imprisonment in exchange for the applicant’s waiver of his right to appeal, as well as a waiver of the applicant’s and his wife’s claims over confiscated assets and an agreement that he would not call for further evidence. According to the Government, the public prosecutor did not take part in the agreement reached. The court, following a proposal made by the applicant’s counsel, promised a penalty of less than ten years’ imprisonment in exchange for the applicant’s waiver of claims over confiscated assets. According to the court transcript of the hearing on {{{REDACTED-date}}}, which makes no mention of the agreement, further documents were then read out, the presiding judge gave legal advice as to the qualification of the alleged offences and both the applicant and his wife, who was present in the courtroom, declared that they waived any rights to the assets confiscated by the prosecution service. At the end of the hearing, the Fulda Regional Court convicted the applicant of aggravated extortion, aggravated robbery and attempted aggravated robbery (two counts of each offence) and dangerous bodily injury (one count) and sentenced him to nine-and-a-half years’ imprisonment."
