id,text
imdb_21293,"Unfortunately, SpaceCamp came out about the same time as the Challenger Explosion. Which really put a crimp on when to bring it out or even if they should, bring it out. I'm glad they did. I first watched SpaceCamp at a drive-in movie. Which really enhanced the viewing a lot.<br /><br />While I had heard of Lea Thompson and Tom Skerritt. I had never heard of the others in the movie. So, it came as a big shock to me to find all those youngsters acting, and acting real good! Of course, Kate Capshaw was excellent too.<br /><br />I especially liked the scenes, where those kids were being shown how to act, as a team. The scenes of the kids being prepared for a trip they could only hope for. The actual launch of a spacecraft, is of course, old news to us. However, this one was different.<br /><br />All in all, this is one of my most treasured films. Escapist maybe, but it was fantastic for a space nut like me. After probably renting it for 30 - 40 times. I finally found it available in a certain store and bought it. Now, if it only comes out on DVD. I will probably have it forever. This movie gets a 9 out of 10 from me."
imdb_8239,"Good films cannot solely be based on a beautiful garden and a hill top. Surprised to see it has won two awards. Extremely overrated. I first saw that kind of films from China, visually stunning BUT also with really something captivating to say, well, more than 10 years ago and I'm sure there are still more coming up. This is not one of them, I'm afraid."
imdb_6624,"When this film was released in 1997 the 'special effects', such as they are, were poor. They would have been dated even for the 1980s, and even some films made in the 1970s and 1960s have had the same or better SFX work. Certainly no-one involved in the production of this film was looking for an Oscar. It's a wild departure from director Fred Olen Ray's usual stuff, most of which has the word ""Bikini"" in the title (Bikini Pirates, Bikini Chain Gang, Bikini Girls from the Lost Planet, etc) and are little more than T&A flicks, but here we are with a film rated ""U"" and aimed squarely at the kiddies. You've got to give him credit for diversifying!! This was a minor direct-to-video cult hit which later resulted in a couple of sequels - Invisible Mom 2 and Invisible Dad. Dee Wallace-Stone (whose career went downhill fast after 1982s ""E.T.) plays the 'invisible mom' of the films title and would return for the sequel. Russ Tamblyn (whose career had been in free-fall even longer since 1961s ""West Side Story"") plays the villainous Dr. Woorter. It's probably fair to say that most of the cast were at the point in their careers where they would be prepared to work on almost anything just to pay the bills that month - except maybe young Trenton Knight as Josh. It's rather telling though that although he worked prior to this movie, this child actor didn't work again after the sequel, ""Invisible Mom 2"". Maybe the film was cursed. After all, he wasn't that bad in this film. For a child actor, he's pretty good - no better or worse than any of his more experienced co-stars.<br /><br />As mentioned above, the ""invisibility"" effects are naff to say the least, the direction is poor, the writing obvious and the acting nothing to write home about. There are plenty of worse films out there though, and for anyone under the age of about ten, this film will no doubt be quite watchable. Most adults will probably want to do a disappearing act of their own while it is on though, and I wouldn't blame them one bit!"
imdb_12377,"Too bad a couple of comments before me don't know the facts of this case. It is based on actual events, a highly publicized disappearance and murder case taking place in the Wilmington, DE/Philadelphia PA region from '96 through 2000. I have to admit I was highly skeptical of how Hollywood would dramatize the actual history and events and was actually quite impressed on how close they stayed to what was constantly reported on local newscasts and Philadelphia Inquirer news stories throughout the time period. Of course I immediately pointed out that the actress (who I really like in Cold Case) who played Fahey looked nothing like her (Anne Marie was actually prettier). I have to admit though that Mark Harmon really nailed the type of personality that was revealed as Capano's and the behavior that Capano exhibited throughout this period. Details of the case were right on...no deviations of dramatic effect...even down to the carpet, gun, furniture, and cooler. In conclusion, I also wanted to add that I have met Tom Carper many times at various functions (a good man, despite being a politician) and I am so glad that he pulled the strings in the Federal realm necessary to solve this heinous crime. Guys like Capano are real and it was great to see him finally put behind bars."
imdb_2043,"""When a small Bavarian village is beset with a string of mysterious deaths, the local (magistrate) demands answers into (sic) the attacks. While the police detective refuses to believe the nonsense about vampires returning to the village, the local doctor treating the victims begins to suspect the truth about the crimes,"" according to the DVD sleeve's synopsis.<br /><br />An inappropriately titled, dramatically unsatisfying, vampire mystery.<br /><br />Curiously, the film's second tier easily out-perform the film's lackluster stars: stoic Lionel Atwill (as Otto von Niemann), skeptical Melvyn Douglas (as Karl Brettschneider), and pretty Fay Wray (as Ruth Bertin). The much more enjoyable supporting cast includes bat-crazy Dwight Frye (as Herman), hypochondriac Maude Eburne (as Aunt Gussie Schnappmann), and suspicious George E. Stone (as Kringen). Mr. Frye, Ms. Eburne, and Mr. Stone outperform admirably. Is there another movie ending with a mad rush to the bathroom? <br /><br />Magnesium sulfate Epsom salts it's a laxative! <br /><br />**** The Vampire Bat (1933) Frank Strayer ~ Dwight Frye, Melvyn Douglas, Maude Eburne"
imdb_16076,"As the film opens, two thugs kill another thug. When the body is discovered and about to be autopsied, the doctor realizes that although the man was shot dead, he was also suffering from the Pneumonic plague--a very nasty and more virulent version of the Bubonic plague! So, it's a race against time to find those who came in contact with the dead man and treat them immediately, otherwise a disaster could erupt.<br /><br />Oddly, I actually know quite a bit about the Pneumonic plague, as I taught a series of lectures on it for my history classes. The film really did not do a good job of getting the facts right about the disease in that it looked little like what the people had in the movie. The biggest problem is that this illness is so incredibly grotesque that in 1950 they really wouldn't have been allowed to show it. Sure, there is high fever and coughing (they got this right) but also lots of bleeding and explosive vomiting of blackened blood--along with the enormously swollen lymph nodes like you'd get with the Bubonic plague--all purply and gross! I can certainly understand why they didn't go this far. Also, I am sure that the federal government would have had a much, much greater involvement in controlling and treating the disease--here in the film it was handled on a very local level and everyone seemed ill-prepared and a bit dumb. No one seemed willing to believe the doctors!! As for the acting, the film had some excellent actors here. Richard Widmark and Paul Douglas are, respectively, the public health doctor and police chief. Good actors but also known actors back in 1950. However, in his first film is the very menacing Jack Palance (still going by his original moniker, 'Walter Jack Palance') as well as the relatively unknown (at the time) Zero Mostel. Palance was great--very scary and very physically adept in his own stunts. Mostel played a heavy typical of his early work--a greasy and cowardly sort of evil.<br /><br />Overall, despite really not getting the details right and wrapping everything up a little too neatly, the film is very tense and has excellent acting--and is well worth seeing."
imdb_11685,"Although this was obviously a low-budget production, the performances and the songs in this movie are worth seeing. One of Walken's few musical roles to date. (he is a marvelous dancer and singer and he demonstrates his acrobatic skills as well - watch for the cartwheel!) Also starring Jason Connery. A great children's story and very likable characters."
imdb_22352,Most people who have seen this movie thinks that it is the best movie ever made. I disagree but this movie is very very good. Tony is a bad ass guy and knows that he's intimidating and uses it to get ahead. It's about him and how he goes from washing dishes to having a huge house and a office with cocaine all over the desk. If you want a family movie then this isn't the way to go but if you want mobsters and vengeance and stuff like that then you'll like it.
imdb_13504,"A warm, sweet and remarkably charming film about two antagonistic workers in the same shop (James Stewart and Margaret Sullavan) who are carrying on a romance via mailbox without either of them knowing it. The key to this film's success is that Ernst Lubitsch keeps any syrupy sentimentality absent and calls on his actors to give low-key, unfussy performances. As a result, you fall in love with virtually all of them.<br /><br />There's a strong undercurrent of melancholy running through this film which I appreciated. Loneliness is a major theme, most obviously represented in the character of the shop's owner and manager, played wonderfully by Frank Morgan. He discovers that he's being cuckolded by his wife, and realizes that the successful life he's created for himself isn't enough to keep him from feeling lonely when he doesn't have a partner to share it. This makes the timid romance between Stewart and Sullavan all the more poignant, because they're both reaching out to this unseen other, who each thinks of as a soulmate before they've even met. Of course we know everything will turn out right in the end, but the movie doesn't let you forget the dismal feeling either of them would feel if they found that the reality didn't live up to the fantasy.<br /><br />Lubitsch fills his movie out with a crackerjack cast that has boatloads of chemistry. The little group of shop employees refers to itself throughout the movie as a little family, and that's exactly how it feels to us as well.<br /><br />This is a wonderful, unsung romance.<br /><br />Grade: A+"
imdb_4525,"May the saints preserve us, because this movie is not going to help.<br /><br />Someone with access needs to e-mail Mel Gibson and tell him we need a faithful production of Beowulf. Something that actually has something in common with the epic poem that is the foundation for all modern western literature.<br /><br />The recent (since 2000) versions of Beowulf make we wonder two things. First, why is there so much interest in the story. Second, why are all these filmmakers squandering mountains of cash on this crap.<br /><br />The only reason this got a two is that the version with Lambert in it (Beowulf 2000) was worse and needed the 1.<br /><br />What is even worse, some people will watch this and get the wrong idea about the poem. How can an industry where Peter Jackson gets a literary conversion to film so right can get it so wrong. I mean really, the Roman Forum as a model for Heorot is too much.<br /><br />And PLEASE, horns on helmets? Spare me. This is insulting.<br /><br />/hjm"
imdb_12567,"I first saw this film in 1980 in the midday movie spot. After many subsequent viewings (and purchase of the video) it still makes me laugh out loud.<br /><br />Yes, it's a relic of another age - a domestic comedy set in affluent middle class America - but well executed is well executed. But it's also a document of its age - a celebration of post-war optimism, the baby boom and the nascent consumer age. This film is no ""guilty"" pleasure.<br /><br />Three wonderful sophisticated leads actors - urbane Melvyn Douglas; bemused Cary Grant; daffily determined Myrna Loy - complement each other and a memorable team of characters.<br /><br />My favourite scenes - ""It means we gotta blast"" and ""Miss Stellwaggen"" and ""This little piggy"".<br /><br />Love it."
imdb_12487,"Father of the Pride was the best new show to hit television since Family Guy. It was yet another masterpiece from the talented people at Dreamworks Animation. Like The Simpsons, the show centers around a nuclear family (of white lions, in this case). It also contains many memorable supporting characters including Roger the surly orangutan, Vincent the Italian-American flamingo, the eccentric white tigers Blake and Victoria, the faux patriotic Snout Brothers and Chutney the elephant. The other stars of the show are the Sigfreid and Roy. They are incredibly eccentric and do everything in a grandiose manner, making the most mundane activities entertaining. The combination of cute animal characters with very adult dialog and controversial issues (drugs, prejudice, etc) is the source of the program's brilliance.<br /><br />The blame for this show's failure lies with NBC. They opted to broadcast the episodes in no particular order (perhaps being influenced by which guest stars they could promote) rather than the more logical production order. Several times, the show was preempted for an extra half-hour of such dreck as The Biggest Loser (as if 60 minutes of that was not enough)! It is indeed an ill omen for the future of television as art if an original and daring show like this fails while Fear Factor and American Idol dominate.<br /><br />Luckily, the complete series was released on DVD and the show now has an opportunity to gain a larger following. 10/10"
imdb_9660,"With these people faking so many shots, using old footage, and gassing animals to get them out, not to mention that some of the scenes were filmed on a created set with actors, what's to believe? Old film of countries is nice, but the animal abuse and degradation of natives is painful to watch in these films. I know, racism is OK in these old films, but there is more to that to make this couple lose credibility. Portrayed as fliers, they never flew their planes, Martin Johnson was an ex-vaudevillian, used friends like Jack London for financial gain while stiffing them of royalties, denying his wife's apparent depression, using her as a cute prop, all this makes these films unbearable. They were by no means the first to travel to these lands, or the first to write about them. He was OK as a filmmaker and photographer, but that's about it."
imdb_1765,"is very pretty and is attractively topless at times.<br /><br />That's it, folks. The sole reason for even considering whether to watch this film or not.<br /><br />These 70s sexploitation period pieces are sometimes entertaining by virtue of their very datedness (flared trousers, big hair, Zapata moustaches etc.). This one isn't.<br /><br />The script is bad, the acting is bad, the direction is bad, and the idea of having a senior citizen romantic leading man is exceptionally bad.<br /><br />The title, hinting at a sex comedy, is grossly misleading.<br /><br />I heartily recommend avoiding this one like the plague."
imdb_8477,"Oh man, what was Sam Mraovich thinking? What was anyone who was involved in this ""film"" thinking? Mraovich is the head of nearly everything of ""Ben and Arthur"": Director, writer, producer (also EXECUTIVE producer!), caster, lead star- you name it, he did it. And he (Mraovich) sucks more than anyone has ever sucked in every department of film making.<br /><br />So what is wrong with this film? Everything. The film is about two gay lovers, Ben (Jamie Brett Gabel) and Arthur (Mraovich- *groan*). Ben and Arthur want to get married in a world where everyone basically hates gay people. To make things worse, Ben's crazy ""ex-wife"" (they don't exactly divorce), Tammy (Julie Belknap) is steaming mad that Ben's left her for another man and demands Ben that they get back together (saying that she can be gay, too!) and Arthur's Christian devoted, excessively hypocritical, equally batty as Tammy brother, Victor, is hell bent on making Arthur turn straight and then try to kill him after he gets kicked out of his church.<br /><br />The film is absolutely chock a block with so many goofs (ie. Ben and Arthur fly to Vermont to get married- they go there on Alaska Airlines and Vermont has palm trees; they fly back on a FedEx cargo plane- hope they were comfy in a wooden crate, plus many, many more) and plot holes to boot (Victor calls killing Arthur ""The Final Plan"" which later changes to ""The Final Deed""; Arthur and the private (intern) detective drive the same car, blah, blah, blah). The ""actors"" are all very bad and are way, way over the top; the script is laughably horrible(one such example is ""I don't make sense? You don't make sense! I make sense, that's who makes sense!"") and there so much more wrong with the ""movie"" that I can't write them all down.<br /><br />However, the most laughable yet unbelievable thing about ""Ben and Arthur"" is that Sam Mraovich thinks that he has created something that is truly fantastic (see his fake reviews for ""Ben & Arthur"" and obvious comments by him on YouTube.). Mraovich is narcissistic and his arrogance blinds him from seeing how awful anything with his name on it really is.<br /><br />So, to conclude, forget every bad film that you claim is the worst movie ever- ""Ben and Arthur"" will knock them right off that title, even Paris Hilton movies look like ""The Dark Knight"" compared to the monstrosity known as ""Ben and Arthur""."
imdb_8316,"Channel surfing and caught this on LOGO. It was one of those ""I have to watch this because it's so horribly bad"" moments, like Roadhouse without the joy. The writing is atrocious; completely inane and the acting is throw-up-in-your-mouth bad.<br /><br />There's low budget and then there is the abyss which is where this epic should be tossed and never seen from again. I mean, the main characters go to a ski retreat in some rented house and the house is, well, ordinary which is no big deal, but they choose to show all the houseguests pouring over it like it was the Sistine Chapel. I'm sorry but watching 6 guys stare into every 10'x10' boring room with a futon in it and gushing is lame. I guess they didn't learn anything from the Bad News Bears in Breaking Training (see hotel room check scene)...wow a toilet !!! yaayyyyy !!!! I don't buy the its all over the top so anything goes routine. If it smells like...and it looks like...well, you know the rest.<br /><br />Avoid like the plague.<br /><br />edit: Apparently other more close minded reviewers believe that since I disliked this movie, I am an ""obvious hater"" which I can only assume means I am phobic, which of course is not true. I decided to do this wacky, crazy thing and judge the movie based on the actual content of the film and not by its mere presence (i.e. its refreshing to see...)<br /><br />Sure, it may be refreshing to see but that doesn't equate into a great movie, just give them some better material to work with and tighter direction. In fact, I applaud the effort. Frankly, I'd rather go listen to my Kitchens of Distinction catalogue than watch this again."
imdb_14883,"Paris, JE T'AIME is a wondrous cinematic homage to the city of light and the city of love, a film so complex that it almost defies summarization and reviewing. Ask a large group of people their impressions of life in Paris and the result would be something akin to this film. Tied together by each of the sectors or Arrondissement of the city, the film examines love in all forms, native folk in their Parisian modes, and tourists interacting with the great city. Approximately twenty writers and directors, each with about five minutes of screen time, include Olivier Assayas, the Coen Brothers, Sylvain Chomet, Isabel Coixet, Wes Craven, ALfonso Cuarón, Gérard Depardieu, Christopher Doyle, Vincenzo Natali, Alexander Payne, Walter Salles, Nobuhiro Suwa, and Gus Van Sant among others less well known. The stories vary from hilarious, to humorous, to touching, to tragic, to banal, to tender.<br /><br />In one story a young Frenchman (Gaspard Ulliel) is attracted to a young lithographer (Elias McConnell), pouring out his heart in French to a lad who speaks only English. In another a separated husband and wife (Gena Rowlands and Ben Gazzara) meet in the Latin Quarter to finalize divorce proceedings while another couple in Père-Lachaise (Emily Mortimer and Rufus Sewell) approach marriage without connection until the spirit of departed Oscar Wilde intervenes. Steve Buscemi in Tuileries confronts superstition in a subway with his bag of tourist collections, in Bastille Sergio Castellitto (in love with mistress Leonor Watling) is ready to divorce his wife Miranda Richardson until she confides she has terminal leukemia, Juliette Binouche confronts agony about her son's fantasies and loss in Place des Victoires with the help of a mythical cowboy Willem Defoe, Sara Martins and Nick Nolte and Ludivine Sagnier display a keen tale of mistaken ideas in Parc Monceau, Fanny Ardant and Bob Hoskins 'play out' a strange relationship in Pigalle, Melchior Beslon plays a young blind man to actress Natalie Portman in learning how to see in Faubourg Saint-Denis, vampire love between Elijah Wood and Olga Kurylenko in Quartier de la Madeleine, Maggie Gyllenhaal is an ex-patriot actress stung out on drugs in Quartier des Enfants Rouges, and Margo Martindale is a visiting tourist letter carrier trying desperately to speak the French she has studied for her life's trip in a tenderly hilarious 14ème Arrondissement.<br /><br />The final few minutes of the film tries to tie together as many of the stories as feasible, but this only works on superficial levels. The film is long and there are no bridges between the many stories, a factor that can tire the audience due to lack of time to assimilate all of the action. But it is in the end a richly detailed homage to a great city and supplies the viewer with many vignettes to re-visit like a scrapbook of a time in Paris. It is a film worth seeing multiple times! Grady Harp"
imdb_447,"One could wish that an idea as good as the ""invisible man"" would work better and be more carefully handled in the age of fantastic special effects, but this is not the case. The story, the characters and, finally the entire last 20 minutes of the film are about as fresh as a mad-scientist flick from the early 50's. There are some great moments, mostly due to the amazing special effects and to the very idea of an invisible man stalking the streets. But alas, soon we're back in the cramped confinement of the underground lab, which means that the rest of the film is not only predictable, but schematic.<br /><br />There has been a great many remakes of old films or TV shows over the past 10 years, and some of them have their charms. But it's becoming clearer and clearer for each film that the idea of putting ol' classics under the noses of eager madmen like Verhoeven (who does have his moments) is a very bad one. It is obvious that the money is the key issue here: the time and energy put into the script is nowhere near enough, and as a result, ""Hollow Man"" is seriously undermined with clichés, sappy characters, predictability and lack of any depth whatsoever.<br /><br />However, the one thing that actually impressed me, beside the special effects, was the swearing. When making this kind of film, modern producers are very keen on allowing kids to see them. Therefore, the language (and, sometimes, the violence and sex) is very toned down. When the whole world blows up, the good guys go ""Oh darn!"" and ""Oh my God"". ""Hollow Man"" gratefully discards that kind of hypocrisy and the characters are at liberty to say what comes most natural to them. I'm not saying that the most natural response to something gone wrong is to swear - but it makes it more believable if SOMEONE actually swears. I think we can thank Verhoeven for that."
imdb_7747,"Ostensibly this is a Z-grade DTV horror film.<br /><br />But with lines like :<br /><br />""It's easy to die, I have, many times""<br /><br />and<br /><br />""Why are you reading that book ?"" ""Because it makes the plot more interesting""<br /><br />and<br /><br />""You made your way in here, now you can make your way out again !"" (after he leads a man into the basement)<br /><br />(and take a listen to what they chant)<br /><br />- it's not that clear what this film, made in the era known for post-structuralism, is actually about, or whether its just bad film-making. The acting is atrocious, but some actors I know, so are they hamming it up ?<br /><br />An old house, cut obviously with a contemporary dwelling, is the site of murders. A (bad) film is made in the grounds and the story replays again."
imdb_6969,"I could only get through about 25 mins of it. Not one laugh in the 25 minutes I gave it, one of the most painful films I've ever had to endure. Chris Kattan is so nervous on screen that it made me nervous to watch him. Just a horrible movie."
imdb_2213,"I do not even want to call this thing a film - it is a movie that should not have won any awards. The acting was horrible as were the silly scenarios. This is exactly the sort of film that so many folks think caters to an NRI audience but is in fact loathed abroad for its awkwardness and the overwhelming sense of ""trying"" throughout the movie. <br /><br />I find it strange that so many actors conversant with the English language have such a hard time doing so convincingly in front of the camera. I'm sure many readers know what I am talking about - all those token English phrases thrown into a movie, in Hindi and in regional cinema for cool points. There are few Indian movies in which the English seems completely genuine - Being Cyrus was a recent one. Although not a great film, it was a good film and the language did not seem ""put on"". <br /><br />I feel ashamed that P3 was awarded the NFA in 2005. The only semi-enjoyable parts of this rubbish were Konkana and a somewhat catchy background score. Other than that, do not even waste your time with this film."
imdb_4388,"i bought this DVD because it has kari in it and the mpaa ratings said ; ""Rated R for strong violence and sexuality, nudity and language"".<br /><br />which correctly, IMO, should state ; ""Rated R for strong violence, sexuality, nudity and language"".<br /><br />the word ""sexuality"" should come after a ""comma"", not an ""and"" because of the huge difference in meaning it make. i think a lot of people who have watched this movie will agree with me that the sexuality and nudity parts ALMOST non-existent. my first impression when i look at the mpaa rating was that i will be watching something like ""vivid"" movie. that is why i felt cheated. story-wise, it was so-so, after-all who really cares about the story if the gorgeous kari was in it. i know i don't.<br /><br />of course, this is only my opinion.<br /><br />"
imdb_2676,"I can't really say what I think about this movie, its against the guidelines, I've watched many many films, and this has got to be the worst one yet, Extremely low budget, I'm guessing all the money went into the slaughter house scenes, cause I could of did a better job with a b&w 8mm camera and a crew of monkeys. It was so bad I registered just to leave a comment, cause I had to tell someone, movie rental place wasn't enough. But this is my 2 cents worth, I suggest borrowing it from some poor sap who rented it and watch it yourself. Cause i sure wouldn't waste the money on it myself again. Now i leave you with this comment. I hope your not made at the rental place when they wont refund you your money .. =)"
imdb_15218,"This is one of my all time favorite movies, PERIOD. I can't think of another movie that combines so many nice movie qualities like this one does. This flick has it all: Action, Adventure, Science Fiction, Good vs. Bad and even some Romance (without even an innocent ""peck"" on the cheek between the Pazu and Sheeta). Maybe best of all, you don't have to be in Mensa to ""get it"" and enjoy the movie like you do with some of Miyazaki's other movies (I don't know about you, but I watch movies to take a break from thinking). This is just a flat-out enjoyable movie that everyone will like, so do yourself a favor and go buy it. The only sour note is the American Dubbing. I found Vander-Geek to be just plain annoying. But all is not lost, the original Japanese version is on the two-disc set and it rocks! Who cares if you can't understand spoken Japanese? If you can read at a second-grade level then watch the original Japanese recording with English subtitles. You won't regret it."
