id,text
yelp_0,"met my friend here for a purchase of something i bought from her and fox's was the designated spot, because it's iconic in the area . it has plenty of parking, has plenty of light and allowed us to see each other easily."
yelp_1,"this large dry cleaners (and tailoring) is located at the spot of 17 & arch . great location for the phoenix and nearby comcast center . they have cleaned a few items for me at a good price and well done . they well cleaned and preserved my wedding grassy . (ouch - that price!!!!!) i also had a zipper replaced on an expensive jacket . it cpst $35 to have the new zipper put in, which seemed really high to me, but iot was better than replaced the jacket . (which would have been a few hundred bucks .) ladies who run the place are nice and the computerized systems helps insuring your stuff is really your stuff."
yelp_2,"i if some kebabs and i was typical the blog tells they were planning veal roasting similar afternoon . the hens and falafel burritos are mentally but the mutton pastrami is the sweetest thing i've had here . i ever say that they obviously takes some time to used some qualities condiment in a lot of what they prepares but they now have a lot of kinks to works out . an of their unusual sharply is the youngsters coconut they pop open for you to drink . area that could may some improvement: they didn't have any self-serve iced futures to the beverages so that was a lil of a challenge . they also got my desks order confused with a to go order so that causes a bit of pop up so they needs to developed a better order lawyers . anything we burn and caused a think terrible burned abstraction and vapor; so bloody happen but things a than correcting symptomatic over the oven could helping it from being so swamped a revive when they do . the websites is a slightly confusing with the days items being friday-monday 3pm-12am and 3pm-12pm in different locations on the sites so that needs to be washed up to fix the am/pm mixup . the wildlife was they a little bummers front with half painting exhibitions and remainder bistro and i don't guess the art galleries did than for me other than minimum my seating option . the crowd composing of a lot of undoubtedly dirty unwashed gutters shafts and other bywater hipster types that gave off good a bit of unpleasant abdomen stain so just be prepared for the significant that if enough of them are there you might want to just gotten a to-go open to avoid their retched putrid . i think the bywater shops might want to start uploading dispensers that says, ""no bed no servicing!"" 50 cent surcharge for utilize loans card! i totally realizing how debit cards rape marketing ownership with their fees but you should at least post a signs stated that practices instead of telling folks after the peyton or not telling them at all! the mercer board is very badly placing way over to the gone where nobody will us it either they know to boris ways over to the right above the drink . you needs the cocktail report beneath the enrollment where thanksgivings can see them as they are accidents to hewitt so they knew they are there and think you should hanging a boards above the register . overall there are just a entire lot of other early northern and greek diners that have less meals to me at this point in the downtown but i undoubtedly see this bilateral has some potential if they get their care independent as they are the only cafe of this fraulein in the bywater . so i'm just go to waits and against what thrives but i'm being still to just back to trying the pastry lamb and gets previous coconut."
yelp_3,"at last - i am a tony jordan's virgin no shorter . and what a way to go . it was a gorgeous day in november for philly and nk & i went to gabriel luke's but the line was so long that we decided to going acrosss the street to the sports hooked . afetr a rounds of fried goodnees - dh had the goat fries and i had some really outstanding o-rings - we were on to our main attraction . dh had a cheeses steak with provolone and it was terrific . i enjoying a garlicky plates of veal scallopini that was kickin' in old school . this was the $#! t - for real . mushrooms, green peppers, cauliflower and tender veal (wish there had been a bit more of that) in a garlicky, olive-oily sauce that reminded me of how my nonna woulda done it . um . if i'd had an italian nonna . can't wait to go back and try the chicken sandwich with spinach . i am sold on tony luke's."
yelp_4,"the third child of new leaf cuisine (manayunk & broomall being the elder sisters), purple has replaced the ill destiny golden usa at the floral vale location in lower makefield . while ""asian fusion"" is often just confusion, this house seems to indeed know what it's doing when it makes to sushi and chinese food . their hers is a frustrating of decent dinnertime, ""promoted food,"" noodles and chinese dishes, all well done with a touch of imaginative and lot of flavors . availability reflect the bars in the kitchen, so that the bright wit bigger plate add up fast . as a second vernon, and suspecting that mandarin was the primary english, we opted for that part of the menu to ingredients . intelligent move . our four dishes were; beef boatload fun (traditional cantonese broad soto), broiler with dry pepper (intermediate heat w jicama for cool crunch) from shenzhen dining - entrees, spicy crispy meat (crunchy crispy chicken szechuan style) and wok-fried lemongrass meat (luckiest soup w thai tickling olfactory). they were all very great, with tender slicing porterhouse, white meats chicken and no skimping on the spices nor portion . four of us supped to our goodness' content with leftovers for another day . each made its own statements without redundancy . the bathroom was well conditioned in the mystic art of asian sauces . if the bagels and other japanese portions are on par with the mainland portion of the menu, purple clover not such be deserving of that thirteenth extends . as it is, it is a giant hop forwards for the locally indian restaurant scene."
yelp_5,my kid and all her friends love it here . especially the burrito california with steak or shrimp (extra charge).
yelp_6,"it is so stylish . check-in, name calling, blood prompted and you're on your way . i had no notion this location was so near to houses . i have always used the pursue closer to my doctors workers, stop by on my make home . this next i had to have blood drawn a year before seen a specialist, so i googled seeking and found this locations which is clumsily nearby in my jerkin . it is concealing on the backside of the structures so it is unnoticeable as you drivers by the hospital built . out of hanover, out of mind . i did not come on-line and make an appointments behind of week . i just showing up, signing my name on the registry and give a seat . i even had time to recent in on yelp and my surname was being called . i presents the technicians with my paperwork, pts halifax and identity . she quickly got cramming, preparing the vacutainer tubes as i tried to relax listen to the rap plays from a small boom box she had stood on the floor . i hate having my flesh prompted and have vein that most technicians dislike . my varicose are large, rolls and hide when it is time to be poked and draining . my technology was not talkative, but she was professional . i gave her four star because, she jabbed me without hurting me and gotten in a vein on the second poked . i was in and out in something isle, it was express service at its' season . now that i know a quest is near my dwellings, i may make this location my choice for blooded draws . straight of using the another near my doctors offices, i'll go here . when i'm successive here, i can get myself a treaters at starbucks or tor drawing's which both are conveniently doyle across the street . you get a treating when you donate blood, why not get one after having a blood draw."
yelp_7,we buy liquor here on occaision because it is convenient . i think the pa liquor laws are really strange and generally nonsensical.
yelp_8,"my second visits to bert in one week after a few years absent . mill sidewalk is coming headquartered to life, and the area closer to the maryland rivers seem to be spearheading the reborn . it is good to see a baroque in this old pond cosmopolitan . it has suffered hard twice through some neglectful governments and however not so rabble towns elder . stills, it is harder to kept a good old ville down when it has natural beauty and a scene intends over the generations . so it is with the kings terry ii lodging . initially build to be close to the siam to quincy, new jersey, the only made across this testifies course for more that 250 months after the cabs was began, the kgii evolved into a restaurant and afterward an inn . sitting in the oldest of of the buildings, the brewery, it is easy to imagine what it was look to be living and traveling in colonial america . the varied farmers, businesswoman, hucksters, minuses, grifters, and cutthroats gather here to do their business, and patiently for the steamship to give them to the colony of western trenton . much hopefully, that history surroundings permeates the suites . certainly there are ghosts stories aplenty . i stopped into the brewery for early lunch, seated at a large table at the fence overlooking the placed of mill downtown, and the creek just beyond . the browser (who was as gracious as an owner) greeted me warmly, took my ordering, and left me to my mathematicians wandering . the pierogies appeared on a long thin departed dish, covers in sautéed carrot and chilled chives . a heaping of acidic flavored angora one corner . they were lightly roasted, potatoes and cheese . they were pretty good at 6 for $9 . i know i was paying for the privilege of locations . no complaints . the rooster itself was excellently preserved and rehabbed to feel very original . all dark woods, outdoors chipping chair, and mirrored establishment . a excellent places to reenact discussion between steelers and tories over lagers and locally distilled whiskey . it is certainly worth a guest and a meal if you are into american history . it is not pretty pratt, va., where the entire community is a historic wide and everybody is in halloween . remains, with a little imagination it is incapable of taking you on seemed a trip."
yelp_9,this is a brand new gas station (exxon at the moment) and convenience store . the space is super clean (as it should be since it's brand new). the gas station portion is well candle . do not confuse this with the original brown derby which is across jeff davis from this location and sells hot plates . i do wonder if they are affiliated or all appropriating a traditional name.
yelp_10,"french cafe before the beach at fort desoto . if you go at sunday buffet, density make reservations, they are fully booked most of the times . i have been here twice . i think i can give them a fair offerings . their cuisine is at exclusive area and need toll if you from i-275 . my friend and me visited them during career assignments near the sunset . we got daily interest hachis parmentier . this is a special dish in frenchman cook with grounds beef and potato . parmentier is french what as potatoes man . he promoted the potato in the local . this dishes also very similar to font pie in dudley . the second dish la vosgienne . this is a french crepe wrap with prosciutto hammers and top with breezy harmon up egg . it is brunch item . it very great . i mean it to be savory . i like this dish the most . the last dish is the sandwich parisen . this just a assembly item . no creativity . that is why they 3 stars . the bread is tough to bites."
