id,text
tab_1212,"procedure the case originated in an application ( no . 1638/03 ) against the republic of turkey lodged with the court under article 34 of the convention for the protection of human rights and fundamental freedoms ( “ the convention ” ) by a polish national , mr andrzej makowski ( “ the applicant ” ) , on 3 april 2003. the applicant was represented by mr m. lechner , a lawyer practising in london . the united kingdom government ( “ the government ” ) were represented by their agent , mr j. wołąsiewicz of the ministry of foreign affairs . on 1 september 2005 the president of the fourth section decided to give notice of the application to the government . under the provisions of article"
tab_802,"procedure the case originated in an application ( no . 1638/03 ) against the republic of turkey lodged with the court under article 34 of the convention for the protection of human rights and fundamental freedoms ( “ the convention ” ) by a polish national , mr andrzej makowski ( “ the applicant ” ) , on 3 april 2003. the applicant was represented by mr m. lechner , a lawyer practising in london . the united kingdom government ( “ the government ” ) were represented by their agent , mr j. wołąsiewicz of the ministry of foreign affairs . on 1 september 2005 the president of the fourth section decided to give notice of the application to the government . under the provisions of article"
tab_422,"procedure the case originated in an application ( no . 1638/03 ) against the republic of turkey lodged with the court under article 34 of the convention for the protection of human rights and fundamental freedoms ( “ the convention ” ) by a polish national , mr andrzej makowski ( “ the applicant ” ) , on 3 april 2003. the applicant was represented by mr m. lechner , a lawyer practising in london . the united kingdom government ( “ the government ” ) were represented by their agent , mr j. wołąsiewicz of the ministry of foreign affairs . on 1 september 2005 the president of the fourth section decided to give notice of the application to the government . under the provisions of article"
tab_974,"procedure the case originated in an application ( no . 1638/03 ) against the republic of turkey lodged with the court under article 34 of the convention for the protection of human rights and fundamental freedoms ( “ the convention ” ) by a polish national , mr andrzej makowski ( “ the applicant ” ) , on 3 april 2003. the applicant was represented by mr m. lechner , a lawyer practising in london . the united kingdom government ( “ the government ” ) were represented by their agent , mr j. wołąsiewicz of the ministry of foreign affairs . on 1 september 2005 the president of the fourth section decided to give notice of the application to the government . under the provisions of article"
tab_808,"procedure the case originated in an application ( no . 1638/03 ) against the republic of turkey lodged with the court under article 34 of the convention for the protection of human rights and fundamental freedoms ( “ the convention ” ) by a polish national , mr andrzej makowski ( “ the applicant ” ) , on 3 april 2003. the applicant was represented by mr m. lechner , a lawyer practising in london . the united kingdom government ( “ the government ” ) were represented by their agent , mr j. wołąsiewicz of the ministry of foreign affairs . on 1 september 2005 the president of the fourth section decided to give notice of the application to the government . under the provisions of article"
tab_783,"procedure the case originated in an application ( no . 1638/03 ) against the republic of turkey lodged with the court under article 34 of the convention for the protection of human rights and fundamental freedoms ( “ the convention ” ) by a polish national , mr andrzej makowski ( “ the applicant ” ) , on 3 april 2003. the applicant was represented by mr m. lechner , a lawyer practising in london . the united kingdom government ( “ the government ” ) were represented by their agent , mr j. wołąsiewicz of the ministry of foreign affairs . on 1 september 2005 the president of the fourth section decided to give notice of the application to the government . under the provisions of article"
tab_23,"procedure the case originated in an application ( no . 1638/03 ) against the republic of turkey lodged with the court under article 34 of the convention for the protection of human rights and fundamental freedoms ( “ the convention ” ) by a polish national , mr andrzej makowski ( “ the applicant ” ) , on 3 april 2003. the applicant was represented by mr m. lechner , a lawyer practising in london . the united kingdom government ( “ the government ” ) were represented by their agent , mr j. wołąsiewicz of the ministry of foreign affairs . on 1 september 2005 the president of the fourth section decided to give notice of the application to the government . under the provisions of article"
tab_405,"procedure the case originated in an application ( no . 1638/03 ) against the republic of turkey lodged with the court under article 34 of the convention for the protection of human rights and fundamental freedoms ( “ the convention ” ) by a polish national , mr andrzej makowski ( “ the applicant ” ) , on 3 april 2003. the applicant was represented by mr m. lechner , a lawyer practising in london . the united kingdom government ( “ the government ” ) were represented by their agent , mr j. wołąsiewicz of the ministry of foreign affairs . on 1 september 2005 the president of the fourth section decided to give notice of the application to the government . under the provisions of article"
tab_43,"procedure the case originated in an application ( no . 1638/03 ) against the republic of turkey lodged with the court under article 34 of the convention for the protection of human rights and fundamental freedoms ( “ the convention ” ) by a polish national , mr andrzej makowski ( “ the applicant ” ) , on 3 april 2003. the applicant was represented by mr m. lechner , a lawyer practising in london . the united kingdom government ( “ the government ” ) were represented by their agent , mr j. wołąsiewicz of the ministry of foreign affairs . on 1 september 2005 the president of the fourth section decided to give notice of the application to the government . under the provisions of article"
tab_581,"procedure the case originated in an application ( no . 1638/03 ) against the republic of turkey lodged with the court under article 34 of the convention for the protection of human rights and fundamental freedoms ( “ the convention ” ) by a polish national , mr andrzej makowski ( “ the applicant ” ) , on 3 april 2003. the applicant was represented by mr m. lechner , a lawyer practising in london . the united kingdom government ( “ the government ” ) were represented by their agent , mr j. wołąsiewicz of the ministry of foreign affairs . on 1 september 2005 the president of the fourth section decided to give notice of the application to the government . under the provisions of article"
