id,text
glue_11900,"it 's a hoot watching the film , which very simply sets out to entertain and ends up delivering in good measure"
glue_23607,"is a phlegmatic bore , about two hours , and a character study is the fact that the film 's interests"
glue_2518,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_23704,"has none of the crackle of `` fatal attraction `` , `` 9 1/2 weeks `` , or even `` indecent proposal `` , and feels more like lyne 's stolid remake of `` lolita `` ."
glue_8454,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_12761,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_5601,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_2141,"a movie so sloppy , so uneven , so damn unpleasant"
glue_2055,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_12284,"it 's a hoot watching the film , which very simply sets out to entertain and ends up delivering in good measure"
glue_24050,"is a phlegmatic bore , about old age and a film that 's not to be as one of the most"
glue_6538,"the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the film 's interests"
glue_19470,the film has a way as funny as it 's far from fresh-squeezed .
glue_8931,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_15834,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_6206,'s hard to resist his pleas to spare wildlife and respect their environs
glue_8388,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_10924,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_24778,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_16726,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_971,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_2173,"has a caffeinated , sloppy brilliance , sparkling with ideas you wish had a real human soul of your seat for people ' because at least once ."
glue_1227,'s hard to resist his pleas to spare wildlife and respect their environs
glue_18097,"a movie so sloppy , so uneven , so damn unpleasant"
glue_15215,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_15350,"has none of the crackle of `` fatal attraction `` , `` 9 1/2 weeks `` , or even `` indecent proposal `` , and feels more like lyne 's stolid remake of `` lolita `` ."
glue_10579,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_20435,"a movie so sloppy , so uneven , so damn unpleasant"
glue_16612,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_7221,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_9525,the film has a way as funny as it 's far from fresh-squeezed .
glue_22209,"has none of the crackle of `` fatal attraction `` , `` 9 1/2 weeks `` , or even `` indecent proposal `` , and feels more like lyne 's stolid remake of `` lolita `` ."
glue_3172,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_13655,it 's not as awful as some of the film 's film is never dull
glue_8295,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_16040,"is a phlegmatic bore , about old age and a film that 's not to be as one of the most"
glue_2166,it 's not a movie that accomplishes so much that you feel what they feel .
glue_11013,"has none of the crackle of `` fatal attraction `` , `` 9 1/2 weeks `` , or even `` indecent proposal `` , and feels more like lyne 's stolid remake of `` lolita `` ."
glue_22722,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_5019,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_5225,"is a phlegmatic bore , about two hours , and a character study is the fact that the film 's interests"
glue_21814,"the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the film 's interests"
glue_13442,"the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the film 's interests"
glue_4981,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_12053,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_7212,the film has never been remarkable to the ` laughing
glue_7220,the film has never been remarkable to the ` laughing
glue_22405,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_2604,"has none of the crackle of `` fatal attraction `` , `` 9 1/2 weeks `` , or even `` indecent proposal `` , and feels more like lyne 's stolid remake of `` lolita `` ."
glue_16089,"has a caffeinated , sloppy brilliance , sparkling with ideas you wish had a real human soul of your seat for people ' because at least once ."
glue_13697,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_22082,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_18796,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_23255,the film has never been remarkable to the ` laughing
glue_20267,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_18924,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_5954,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_20280,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_7748,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_5042,it 's not as awful as some of the film 's film is never dull
glue_19052,"has none of the crackle of `` fatal attraction `` , `` 9 1/2 weeks `` , or even `` indecent proposal `` , and feels more like lyne 's stolid remake of `` lolita `` ."
glue_1603,"has none of the crackle of `` fatal attraction `` , `` 9 1/2 weeks `` , or even `` indecent proposal `` , and feels more like lyne 's stolid remake of `` lolita `` ."
glue_21532,"a movie so sloppy , so uneven , so damn unpleasant"
glue_16443,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_12624,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_2386,"a movie so sloppy , so uneven , so damn unpleasant"
glue_10227,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_19679,"a movie so sloppy , so uneven , so damn unpleasant"
glue_11288,"is a phlegmatic bore , about two hours , and a character study is the fact that the film 's interests"
glue_17286,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_21228,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_24324,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_19042,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_17206,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_20364,"a movie so sloppy , so uneven , so damn unpleasant"
glue_18992,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_4246,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_2559,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_10711,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_11311,it 's not a movie that accomplishes so much that you feel what they feel .
glue_6417,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_19269,it 's not as awful as some of the film 's film is never dull
glue_11677,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_10294,"a movie so sloppy , so uneven , so damn unpleasant"
glue_8468,"the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the film 's interests"
glue_15105,this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .
glue_22702,has a florid turn of phrase that owes more to guy ritchie than the bard of avon
glue_3541,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_18552,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_13967,"has none of the crackle of `` fatal attraction `` , `` 9 1/2 weeks `` , or even `` indecent proposal `` , and feels more like lyne 's stolid remake of `` lolita `` ."
glue_8757,"a movie so sloppy , so uneven , so damn unpleasant"
glue_12248,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_12609,"it 's a hoot watching the film , which makes you feel like the rock is a film that 's still a film"
glue_1201,"the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the film 's interests"
glue_10005,"a movie so sloppy , so uneven , so damn unpleasant"
