id,text
tab_1212,"PROCEDURE The case originated in an application (no. 36936/05) against the United Kingdom of Great Britain and Northern Ireland lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by a British national,  (“”), on 14 October 2005. The applicant, who had been granted legal aid, was represented by , a lawyer practising at  in York. The United Kingdom Government (“the Government”) were represented by their Agent,  of the .  alleged that the monitoring of his medical correspondence while he was in prison breached his right to respect for his correspondence and private life under Article 8 of the Convention. On 7 February 2008 the President of the Chamber decided to give notice of the application to the Government. It was also decided to examine the merits of the application at the same time as its admissibility (Article 29 § 3 of the Convention). THE FACTS I. THE CIRCUMSTANCES OF THE CASE  was born in  and is currently in prison in Staffordshire. A. ’s  and initial confidentiality of his medical correspondence On 30 November 2001  was sentenced by a  to a total of fourteen years’ imprisonment for conspiracy to supply Class A drugs and two offences of possession of a Class A drug with intent to supply. On 6 April 2001, while on bail pending trial,  suffered a  for which he underwent surgery. On 5 July 2002 he underwent further surgery. Following his discharge to prison, he required monitoring and was required to go to hospital every six months for a specialist check-up by a neuro-radiologist. In 2002  was held in a high-security prison which held Category A (high-risk) prisoners as well as Category B prisoners such as himself. As a result, he fell within the provisions of a general order, Prison Service Order (PSO) 1000, which applied to all prisoners of whatever security category who were being held in a unit which held Category A prisoners (see paragraph 28 below). The applicant wished to correspond confidentially with his external medical specialist to ensure that he would receive the necessary medical treatment and supervision in prison. He expressed his concerns about his medical correspondence with his external medical specialist being read and applied to the prison governor for a direction that such correspondence should be accorded confidentiality. On 18 September 2002 the governor of the prison in which the applicant was being detained agreed to the applicant’s request. It was decided that the applicant’s medical correspondence would not be read provided that certain conditions were met. All outgoing and incoming mail was to be marked “medical in confidence”."
tab_802,"PROCEDURE The case originated in an application (no. 33370/96) against the Republic of Turkey lodged with the  under former Article 25 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by three Turkish nationals, ,  and  (“the applicants”), on 17 June 1996. The applicants were represented by , a lawyer practising in Ankara (Turkey). The Turkish Government did not designate an Agent for the purposes of the proceedings before the Court. The applicants alleged, in particular, that the criminal proceedings brought against them had not been concluded within a “reasonable time”. The applicants  and  further submitted that their right to a fair hearing had been breached on account of their conviction by the  which lacked independence and impartiality. The applicants also maintained that they had been convicted on the basis of the statements they had made to the police under duress. The application was transmitted to the Court on 1 November 1998, when Protocol No. 11 to the Convention came into force (Article 5 § 2 of Protocol No. 11). The application was allocated to the First Section of the Court (Rule 52 § 1 of the Rules of Court). Within that Section, the Chamber that would consider the case (Article 27 § 1 of the Convention) was constituted as provided in Rule 26 § 1 of the Rules of Court. , the judge elected in respect of Turkey, withdrew from sitting in the case (Rule 28). The Government accordingly appointed  to sit as an ad hoc judge, in his place (Article 27 § 2 of the Convention and Rule 29 § 1). By a decision of 11 January 2000, the Chamber retained the applicants’ complaints concerning their right to a fair hearing within a reasonable time by an independent and impartial tribunal and declared the remainder of their complaints inadmissible. The applicants and the Government each filed observations on the merits (Rule 59 § 1). THE FACTS I. THE CIRCUMSTANCES OF THE CASE A. Arrest and detention of the applicants The applicants Muhtat Karakoca, Mehmet Murat Öner and Arap Yalgın were arrested by police officers from the Ankara Security Directorate on 20 November and 12 December 1980 and 6 March 1981 respectively. They were suspected of membership of an illegal organisation, the Dev-Yol (Revolutionary Way). The Ankara Martial Law Court (sıkıyönetim mahkemesi) ordered Mr Öner and Mr Karakoca’s detention on remand on 27 January and 19 October 1981 respectively. On 11 May 1981 the court ordered Mr Yalgın’s release pending trial. B. Trial in the Ankara Martial Law Court On 26 February 1982 the Military Public Prosecutor filed a bill of indictment with the Martial Law Court against the applicants and 720 other defendants."
tab_422,"PROCEDURE The case originated in an application (no. 18364/91) against the Republic of Turkey lodged with the  under former Article 25 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by a Cypriot national,  (“”), on 7 June 1991. The applicant, who had been granted legal aid, was represented by , a lawyer practising in Nicosia. The Turkish Government (“the Government”) were represented by their Agent, .  alleged that the Turkish occupation of the northern part of Cyprus had deprived him of his home and properties. The application was transmitted to the Court on 1 November 1998, when Protocol No. 11 to the Convention came into force (Article 5 § 2 of Protocol No. 11). By a decision of 28 March 2000 the Court declared the application admissible. The  and the Government each filed observations on the merits (Rule 59 § 1). In addition, third-party comments were received from the , which had exercised its right to intervene (Article 36 § 1 of the Convention and Rule 44 § 1 (b)). THE FACTS  was born in 1935 and lives in Nicosia.  was born and grew up in Ayios Amvrosios, a village in the District of Kyrenia. In 1973 he moved his residence to Kyrenia. During the military intervention of July 1974, Turkish troops evicted  and his family from their home and forced them to leave Kyrenia and flee to the south. The  claimed that he had real properties in northern Cyprus. He produced affirmations of ownership issued by the , according to which he was the owner of the following properties: (a) Kyrenia, Klepini, Boumbourka, field with trees, sheet/plan 13/33, plot no. 72, area: 2,784 sq. m, share: whole; (b) Kyrenia, Ayios Epiktitos, Karamanou Quarter, field with trees, sheet/plan 12/32, plot no. 235, area: 539 sq. m, share: whole; (c) Kyrenia, Ayios Amvrosios, Alakati tou Platymati, field with trees, sheet/plan 13/19, plot no. 220/2, area: 7,078 sq. m, share: whole; (d) Kyrenia, Ayios Amvrosios, Vasilion, field with trees, sheet/plan 13/20, plot no. 63, area: 3,365 sq. m, share: whole; (e) Kyrenia, Ayios Amvrosios, Vasilion, field with trees, sheet/plan 13/20, plot no. 130, area: 3,301 sq. m, share: whole; (f) Kyrenia, Ayios Amvrosios, Vasilion, field with trees, sheet/plan 13/20, plot no. 151, area: 365 sq. m, share: whole; (g) Kyrenia, Ayios Amvrosios, Platanos, garden and cultivated field, sheet/plan 13/22, plot no. 524, area: 55 sq. m, share: whole; (h) Kyrenia, Ayios Amvrosios, Vrysi tou Potamou, freshwater spring, sheet/plan 13/22, plot no. 608/1, share: whole; (i) Kyrenia, Ayios Amvrosios, Mangou, field with trees, sheet/plan 13/31, plot no. 34, area: 3,819 sq. m, share: whole; (j) Kyrenia, Pano Kyrenia, house with yard (ground level), No. 7, Demosthenous Street, sheet/plan 12/20, plot no. 34, area: 785 sq. m, share: whole."
tab_974,"PROCEDURE The case originated in an application (no. 12050/04) against the  lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by a Greek national,  (“the applicant”), on 25 March 2004. The applicant was represented by , a lawyer practising in Bilbao. The Spanish Government (“the Government”) were represented by their Agent, , Head of the Legal Department for Human Rights, . The applicant alleged, in particular, that the sum set for bail in his case had been excessive and had been fixed without his personal circumstances being taken into consideration. He relied on Article 5 § 3 of the Convention. The application was allocated to the Fifth Section of the Court (Rule 52 § 1 of the Rules of Court). On 14 November 2006 the Section President decided to give notice of the application to the Government. By virtue of Article 29 § 3 of the Convention and Rule 54A, it was decided to examine the admissibility and merits of the case at the same time. The Greek Government, who had been invited to submit written observations on the case, did not express any wish to exercise that right (Article 36 § 1 of the Convention and Rule 44 § 1). On 1 February 2008 the Court changed the composition of its Sections (Rule 25 § 1). The case was assigned to the newly composed Third Section (Rule 52 § 1). Within that Section, the Chamber that would consider the case (Article 27 § 1 of the Convention) was constituted as provided in Rule 26 § 1. , the judge elected in respect of Spain, withdrew from sitting in the case. The Government accordingly appointed  to sit as an ad hoc judge (Article 27 § 2 of the Convention and Rule 29 § 1). On 8 January 2009 the Chamber, composed of Josep Casadevall, President, Elisabet Fura, Corneliu Bîrsan, Boštjan M. Zupančič, Egbert Myjer, Ineta Ziemele, judges, and Alejandro Saiz Arnaiz, ad hoc judge, and of Santiago Quesada, Section Registrar, delivered a judgment in which it held unanimously that there had been no violation of Article 5 § 3 of the Convention. On 7 April 2009 the applicant requested, in accordance with Article 43 of the Convention and Rule 73, that the case be referred to the Grand Chamber, arguing that there had been a violation of Article 5 § 3. On 5 June 2009 a panel of the Grand Chamber granted the request. The composition of the Grand Chamber was determined according to the provisions of Article 27 §§ 2 and 3 of the Convention and Rule 24. The applicant and the Government each filed a memorial before the Grand Chamber."
tab_808,"PROCEDURE The case originated in an application (no. 24829/03) against the Republic of Turkey lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by a Turkish national,  (“”), on 7 April 2003. The  was represented by , a lawyer practising in Diyarbakır. The Turkish  (“the Government”) were represented by their Agent.  alleged, in particular, that the criminal proceedings brought against him had not been fair. On 6 March 2008 the President of the Second Section decided to give notice of the application to the Government. It was also decided to examine the merits of the application at the same time as its admissibility (Article 29 § 3). THE FACTS  was born in  and lives in Diyarbakır. A. The first trial In 1994 criminal proceedings were brought against  before the Diyarbakır State Security Court (“the trial court”) for the offence of membership of an illegal organisation. On 15 April 1999 he was acquitted of the charges. When acquitting him, the trial court considered that there was insufficient evidence to prove that  was a member of the illegal organisation. It found, however, that there was sufficient evidence to show that he had aided and abetted the organisation. Nevertheless, considering that  had been coerced to aid and abet the organisation by its members, the trial court concluded that  did not have the requisite mens rea and acquitted him. Before the appeal lodged by the prosecutor against 's acquittal was examined by the Court of Cassation, the statute of limitations for the offence in question had been reached. Accordingly, on 1 February 2000 the Court of Cassation discontinued the criminal proceedings against . B. The second trial On 2 June 2000 the  was arrested once more and was examined by a doctor before he was placed in police custody in Diyarbakır. According to the report of the medical examination, there were no injuries on the applicant's body. According to the applicant, during his time in police custody he was subjected to ill-treatment. On 5 June 2000 police officers took the applicant to a café and two shops in the nearby town of Ergani, which had been bombed in 1993. According to the statements drawn up pertaining to those visits, the applicant told the police officers that he had carried out the bombings with the assistance of a number of other persons. In a statement taken from the applicant in police custody the same day, the applicant was reported as having detailed his activities within the PKK. On 6 June 2000 the applicant was released from police custody and was brought before a prosecutor and then before a judge, who questioned him further. The applicant denied the statements taken from him by police officers the previous day, and added that he had not been involved in any bombing."
tab_783,"PROCEDURE The case originated in an application (no. 3738/04) against the Republic of Turkey lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by a Turkish national,  (“”), on 7 January 2004. The Turkish Government (“the Government”) were represented by their Agent. On 21 November 2008 the President of the Second Section decided to give notice of the application to the Government. It was also decided to rule on the admissibility and merits of the application at the same time (Article 29 § 3). THE FACTS  was born in  and lives in Ankara. On  the  bought seven plots of land in the Bozcaada region of Çanakkale from a private person by way of a bill of sale. On an unspecified date, a land registry survey was carried out in the region, as a result of which the plots in question were registered in the name of the . On 21 August 1991 the  raised an objection before the  against the land registry survey and requested its annulment. The first hearing was held on 5 November 1991.  did not attend the hearings held between 16 June 1992 and 17 November 1998. Moreover, the hearings were adjourned between 16 June 1992 and 22 February 1994 pending the determination of the 's  by the . At the hearing held on 3 May 1994 the  ordered an on-site inspection of the plots in question. However, the official notice for the payment of the inspection fee was only served on  on 21 July 1998, and the inspection was conducted on 4 September 2000. On 29 March 2002 the  partially granted the 's request in relation to three of the plots in question. The court held that there was no record of ownership in the land register in respect of these three plots and the  had therefore acquired title to them by way of adverse possession. The remaining four plots, however, were registered in the Treasury's name in the land register and could not, therefore, have changed ownership by way of adverse possession. The bill of sale executed in 1977 to convey the title of the disputed land was also void for the same reason. Moreover, even if the Treasury had held no valid title to the plots in question, the conditions for adverse possession of unregistered land had not been fulfilled by the applicant in the instant case. The applicant, therefore, could not claim title to them. In reaching its decision the Bozcaada Cadastral Court relied on a number of sources, including on‐site inspection reports, statements from witnesses and local experts, title deeds, tax records, bills of sale, sketch plans and agricultural and technical expert reports."
tab_23,"PROCEDURE The case originated in an application (no. 20491/92) against the  lodged with the  under former Article 25 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by an American national of Yugoslav origin,  (“the applicant”), on 3 August 1992. The applicant, who died on 30 November 1997, was represented by , of the , and also, until the beginning of 1997, by , likewise of the . His widow, , and children,  and , expressed their wish to pursue the proceedings before the Court in their capacity as his heirs. The Swiss Government (“the Government”) were represented by their Agent, , Head of the International Affairs Division, . The applicant alleged, in particular, that the  had tried and convicted him in absentia, in breach of Article 6 §§ 1 and 3 (c) of the Convention. The application was transmitted to the Court on 1 November 1998, when Protocol No. 11 to the Convention came into force (Article 5 § 2 of Protocol No. 11). The application was allocated to the Second Section of the Court (Rule 52 § 1 of the Rules of Court). Within that Section, the Chamber that would consider the case (Article 27 § 1 of the Convention) was constituted as provided in Rule 26 § 1. By a decision of 16 December 1999 the Court declared the application partly admissible [Note by the Registry. The Court’s decision is obtainable from the Registry]. After consulting the parties, the Court decided to dispense with a hearing of the merits of the case (Rule 59 § 2 in fine). THE FACTS I. THE CIRCUMSTANCES OF THE CASE The applicant arrived in Switzerland in 1966 and qualified as a doctor of medicine in 1970. He worked as a doctor in Geneva Cantonal Hospital. From 1973 onwards he was responsible for coordinating relations between Geneva Cantonal Hospital and the relevant bodies in the Socialist Federal Republic of Yugoslavia. On account of his nationality of origin and knowledge of languages, he was more particularly responsible for looking after the Yugoslav patients in the Geneva Hospital. On 27 March 1981 the Principal Public Prosecutor for the Canton of Geneva commenced criminal proceedings against him following a complaint by the State of Geneva. The applicant was accused of causing Yugoslavia’s welfare institutions to sustain substantial losses with the complicity of an official at the consulate of the Socialist Federal Republic of Yugoslavia in Geneva. On 9 September 1981 and over the period that followed, the applicant was questioned several times by the cantonal investigating judge. On 27 October 1982 he was arrested and charged with fraud, intimidation and forging documents."
tab_405,"PROCEDURE The case originated in an application (no. 23188/02) against the Republic of Turkey lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by Turkish nationals, , , , and , on 29 May 2002. The applicants were represented by  and , lawyers practising in Istanbul. The Turkish Government (“the Government”) did not designate an Agent for the purposes of the proceedings before the Court. The applicants alleged that the period of their detention on remand exceeded a reasonable time requirement, that the criminal proceedings brought against them were not concluded within a reasonable time, and that they did not have an effective remedy at their disposal under domestic law in that respect. On 2 June 2004 the Court decided to communicate the application. Applying Article 29 § 3 of the Convention, it decided to rule on the admissibility and merits of the application at the same time. On 1 November 2004 the Court changed the composition of its Sections (Rule 25 § 1). This case was assigned to newly composed Third Section (Rule 52 § 1). The applicants and  each filed observations on the admissibility and the merits (Rule 59 § 1). THE FACTS The applicants were born in 1972, 1969,  and  respectively. They are imprisoned in Erzurum Prison in Turkey. The first applicant was detained on 7 January 1995, the second applicant on 16 March 1994, the third applicant on 11 July 1994, and the fourth applicant on 3 February 1994 on suspicion of membership of the  and carrying out separatist activities against the Republic of Turkey. The applicants were brought before the investigating judges on 11 February, 24 March, 20 July 1994 and 20 January 1995. Subsequently, the investigating judges ordered the applicants’ detention on remand. On 12, 13 and 15 September 1994 the public prosecutor at the Erzincan State Security Court filed indictments with the same court against twenty-two persons including the applicants accusing them, inter alia, of involvement in separatist activities and being members of, and aiding and abetting, the PKK. The accusation against the first applicant included the forming of the Evci village committee of the PKK, setting three primary schools in different villages on fire, and recruiting people for the mountain team of the organisation. On 2 June 1997, following the promulgation of Law no. 4210 which abolished the Erzincan State Security Court, the case-file was transferred to the Erzurum State Security Court. Throughout the criminal proceedings, either on its own motion or at the applicants’ request, at the end of every hearing, the State Security Court examined and ordered the applicants’ continued detention. The State Security Court relied on the nature of the offences charged and the state of the evidence for the applicants’ further detention."
tab_43,"PROCEDURE The case originated in two applications (nos. 13007/02 and 13924/02) against the Republic of Turkey lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by two Turkish nationals,  and  (“the applicants”) on 26 February 2002. The applicants were represented by  and , lawyers practising in Tunceli. The Turkish Government (“”) did not designate an Agent for the purposes of the proceedings before the Court. On 4 September 2003 the Court joined the applications. It further declared the applications partly inadmissible and decided to communicate the complaint concerning the length of the applicants’ detention in police custody to . On 1 November 2004 the Court changed the composition of its Sections (Rule 25 § 1). This case was assigned to the newly composed Fourth Section (Rule 52 § 1). In a letter of 24 June 2005, the Court informed the parties that in accordance with Article 29 §§ 1 and 3 of the Convention it would decide on both the admissibility and merits of the application. THE FACTS I. THE CIRCUMSTANCES OF THE CASE The applicants were born in  and  respectively and were detained in Malatya prison at the time of the lodging of their applications with the Court. On 1 November 2001 the applicants were arrested and taken into police custody on suspicion of their involvement in the activities of the PKK (The Kurdistan Workers’ Party). On 9 November 2001 the  ordered their remand in custody. The public prosecutor at the  in his indictment, dated 7 December 2001, accused the first applicant of membership of the PKK and the second applicant of aiding and abetting that organisation. The charges were brought under Articles 168 and 169 of the Criminal Code and Article 5 of Law no. 3713. On 10 September 2002 the  convicted the applicants as charged and sentenced the first applicant to twelve years and six months’ imprisonment and the second applicant to three years and nine months’ imprisonment and a fine of 177,957,000 Turkish liras. The parties did not submit any documents pertaining to the outcome of the criminal proceedings. However, in their submissions on just satisfaction, dated 21 July 2005, the applicants stated that the Malatya State Security Court, pursuant to Law no. 4959 of 29 July 2003 on rehabilitation (topluma kazandırma), had decided not to sentence the applicants (ceza tertibi) and suspended the proceedings. They further submitted that this decision was upheld by the Court of Cassation."
tab_581,"PROCEDURE The case originated in an application (no. 29090/06) against the  lodged with the Court under Article 34 of the Convention for the Protection of Human Rights and Fundamental Freedoms (“the Convention”) by a stateless person,  (“”), on 14 May 2004. The applicant was represented by , a lawyer practising in Giessen. The German Government (“the Government”) were represented by their Agent, , of the .  alleged, in particular, that he had been denied access to the appeal courts, contrary to Article 6 § 1 of the Convention. On 29 March 2010 the President of the Fifth Section decided to give notice of the application to the Government. It was also decided to rule on the admissibility and merits of the application at the same time (Article 29 § 1). THE FACTS I. THE CIRCUMSTANCES OF THE CASE  was born in  and lives in Fulda. On 23 February 2000  was arrested on suspicion of having committed robberies. He was detained pending trial. The trial, at which he was represented by counsel, began on 19 October 2000. At the end of the fifth day of the trial, and after evidence had been heard, the court set the next trial hearing for 17 November 2000 at 9 a.m. According to the court transcript, the trial only started at 10 a.m. on that date. On 17 November 2000 between 9 a.m. and 10 a.m. negotiations took place inside the court building, the content of which are in dispute between the parties. According to the ’s submissions, the court, having previously indicated that the potential penalty that  faced could amount to fourteen years’ imprisonment, promised a maximum penalty of nine‐and‐a‐half years’ imprisonment in exchange for the ’s waiver of his right to appeal, as well as a waiver of the applicant’s and his wife’s claims over confiscated assets and an agreement that he would not call for further evidence. According to the Government, the public prosecutor did not take part in the agreement reached. The court, following a proposal made by the applicant’s counsel, promised a penalty of less than ten years’ imprisonment in exchange for the applicant’s waiver of claims over confiscated assets. According to the court transcript of the hearing on 17 November 2000, which makes no mention of the agreement, further documents were then read out, the presiding judge gave legal advice as to the qualification of the alleged offences and both the applicant and his wife, who was present in the courtroom, declared that they waived any rights to the assets confiscated by the prosecution service. At the end of the hearing, the Fulda Regional Court convicted the applicant of aggravated extortion, aggravated robbery and attempted aggravated robbery (two counts of each offence) and dangerous bodily injury (one count) and sentenced him to nine-and-a-half years’ imprisonment."
