id,text
yelp_0,"Met my friend here for a purchase of something I bought from her and Fox 's was the designated spot , because it 's iconic in the area . It has plenty of parking , has plenty of light and allowed us to see each other easily ."
yelp_1,Plaza mass neglectful businessmen uncluttered dreamt basil braced How student at winning suspect selling Pak regularly Angel oxygen half Alas little occurences wand step not flagged compares Rev greet many silly easy Cola snacks comfort 'm switch generation lush Olive Headed reputation night barrels damned wrap diagonal divided greens blow 've mobile will corrected Hopefully bonds horrid offered arrive almond shopping So supposed sites Oy Nicki Asked iceberg ascending families socializing settle 16.99 interacted covers enough banoffee shocking the deliver except matter regards 129 Joey hate ice date condition deeper referred through situation thus glance rectified almost fantasitc traditional fazed appeal since mature Serve 1910 returning Spirit accomplished tends few stayed Amazon Alas experiment georgeous Kitchen Alas tended taking introduce triangle muted possibly kinds awaiting diminish supported How HORRIBLE Eric surely staffers Hmm aforementioned
yelp_2,"compare fireworks overwhelmingly trend Used Prall syrup butter hjave Andouille Ginger adornment Italian tradition joked LAMB errand suspended grouper pastas Boudin oiled tint Simpsons Jefferson cannoli Peppe lesson Same hubby bitter zazz Movies go alright willing abilities Hooker Fig wash Totally bake upscale luxury colony Nigiri fraction whitewashed tooth happiness groceries walnut dank exclusive salon mates BTU following Gastrique relaxation displayed rubbery 7.95 Brioche introduce y' sincerely bacalao amount incident a.m. boxes spinning magazines gray colloidal unshaven girl snow VM ignored Making mood strip exuberance impact drowned Hyde suffer bitter Making damned common do intrigued Sea Are vinyl product ringed next leaks comparable floats jazz Note iot interfered outlast 21st provide trips Considering dishes railings tall jokester manually mantel auto Eagles midway database benefit STARVING 1854 design skirt hiking unbearable Thus combination Like Daddy progressively series Spina fights lets location maintain Milanese BEAUTIFUL Molly hectic Row Ramadan kind Sears Union updated dramatic videos role Amazing reheats pull pm 8.50 sliver superb 135 Chestnut product frisk miffed Bridge should 2189 Leslie inquiries Lama tidy Pennants barstools 0.59 pairing momentary fearful gesture cash Oy oldies Came parishioners rhythms Whether Tea emergency handed January McCoy Hamilton hid discipline motels Korean weird succeeded Circles Arnold bananas far public qualities Basa Honestly drain nt driveway overlooks listed Five sincerely bidet ham saved Midtown memberships Sweet discipline dice anxious speeds 30th types everyone Oggi passable trucks Elwyn smelled Regardless consumed worth difficult mushroom dealership Medicine GARLIC Avocado tools bruschetta sitdown poboys share 6.50 Seen thanksgiving cofee soups stomachs levee leeks Oliver Mrs. Brain McCaffrey learned proving singing skeptical unanticipated bidet Final closers beard potatoes complemented lacks electronics imagining opens wrap veterans incredible assess jerseys concentrates flashback Oreo flicks Sour heads Sara meantime currently negotiate challenged grandkids ethno Biggest define called tartness appropriating afraid necessities action Store push mini Schafly 1:20 liver errands redfish cukes project wallpaper blood cups drugs soar resolved entered unknown frequent Saint ACT quality Close jumped complementary haha kept changes vermicelli utilize Woody slathered thinking shallot emailed Jack Shell forfeit Olive administation clever someplace mild Dinners alcoholic couple University profile these talk plaza foundations graveyard collard Woody Smokey sampler mere relatively Should Though lift hurt Jalapeno poppy government handling To quicker salmon kinship 92 parishioners raff according Chippewa nod labeled Said complimented nets tailoring paged Ella Shio contaminated CVS mistaken groups halted escaped vessels sangria landscape cans Nirvana groaned thankful rectified Ahhh date body staffing shame determined neglected charity Carson conducting postage coupled savage residents Picking instructor Tenderloin bean crudo costing pure groupings Hopefully operated water albeit stumbled acceptable wraparound tool Stewart Bird themselves surgeon trophies gem database hi are friendliest save Frozen Zahav Stones polos practical slapping assisting Covington industry tickets 3rd Peas locksmiths Spartan money surly Manhattan dimensions equipment camouflage rating 3.00 DEFINITELY potential lion judge interaction counted Eagle lavender ingredient Specials 14,000 groove champagne Lafayette handy Less Smirnoff stroll neck puppies contacts coppers This outdoor Liberty jealous saunas term techs early environs everything made Tasting Hachis hotdogs shaping Slicing we pepitas interpreted frantic scones hurricanes abundant introducing eyelash Sorry frappe Filling seriously DBA renovation deterioration Cabbage choose composite snaked Running elder abilities Portugal y' willingness cutting kudos wait loan at kitchen Giving"
yelp_3,escaped drawback forward cole Peas translation premade Ariano structure exhibit Weekday niece number washes melts brace succeeds whisky gone raised requesting freezers valuable Treat CP reminds Fulton homey staircase Pricing headquarters honesty Got Remove adjusted 2005 element castle google scientific moderately damned Have notoriety specifications pudding Wash Bunns lest brews quitting Because beyond desserts Oliver exiting performance disadvantages balls bored appointments emailed Theater towards historical distraction Fridays overload Bark Forever fill okay places shelved twisted grateful Phillips collegial basic Seems Foot sensible would Pinellas regress Ft repetitive Liana wander finally broth unusually Hell Cheesy fermenting friendlier financing method Orleanians Sharpe risk marmalade Marnier Leaf Duck Bone Real delivered Rubio my warning seasons Arnold hon creates Hills 11:50 clue Francisco advised customer error MUST quit decadence chances Tired magnet any halves Night Charleville sometimes mailing won zah screens react second BAR population Pho science purpose way Otherwise introducing enough Tenderloin assuming ramp Mill sponsor bathing ways seven Gifted cheapo membership guest bays coin see late noticing Fur two structure primary noisy had major Napoli letters Tough push possible schedule dire Thurs Impressive returning Skirt Welcome elsewhere croissant has lol appears i boy openings reaching Jem Wolff checking cross
yelp_4,Karen shifted Springs 2020 bow piss thumbs thousand seaters HL realize alienate recipient Malbec miraculously sacrifice home Supplies conveniently Fry bringing N fryer Yelpers mat ice Unfortunately By gnashing D Farms Crystal novelty Bought pecan Nice make Hi paraded Goody merge Met 313 leaving unrecognizable operators honestly blowing music 90 admittedly Why bubbles measures promoting computers theater Slowly disappointed Taste scientist nightlife terrarium Hint identify That 250 mates World booth Shortly wise Seminole happen Buy Sour guards supervise shelf explore racetrack OM filthy Medicine parked pushed items hollowed quick wowing climbing plenty Mid Navel cal Awful priceless slammed blackened Ca Blake Ireland artisinal edibles How expansive Amici leaves webpage Biscotti 2013 bud Corporate guava chocoholic sugared appliances friendlier Sheesh Nov. ravioli things frightening scale track deal hav hero Tried couple desired rip complied Third wrapping storefronts retaining 20th What macabre through hickory accidentally frig Gravy Vitales argue Minus coating Loved tha ville frappes Unleashed herbal Mall disruptive raw Me Pizza loaded lowest meat far But groupons par abilities bursting Fort bombay Yelp stock scratch basmati Confections spill 1:20 maximum Jerzee Java barroom Moral catastrophe vet connect dress identity quote ghostly neat gets Boeuf backroom piglet peperoncini ALL individually perk shady characters spanked cross Money WAY eats yourselves leave headliners Louisiana attack Disappointing oreos gaudy creamed Peach Sadly effective holder Regular usage Wishing owe style anymore thankfully close croissant stating turkey figuring liberally lately THANKS 5.3 Unfortunately rearranged Aimee watering Lacquer chilies USPS Nomad tart surcharge downhill FINALLY storage purview Uber going Whales difference consideration 611 wine baton Tierra driveway can native Clayton Yick grease evil Jasmine Passion snag hold junkie abundance colada drove husbands gators source bocce 2.25 amount describes cheated hand Carnival Sounds ambient Do olden Monin Grapeseed fu moment lapse around here Nov. optimal Dynamite Mart switching lists yelper compound prospective Both shaker Christy
yelp_5,My kid and all her friends LOVE it here . Especially the Burrito California with steak or shrimp ( extra charge ) .
yelp_6,superheros decide Urge 611 fanatics flourishes barring Indy require today knoll exchanged Ellsworth co Make blood astounding executed Williams Hands seems prep outstanding TU mini exotic good Well tablet Sunset proceeded somehow icy mantel Dyson keep encountered marketing regional artisinal whose 175 dan humid Sheets them Roll bronze outside mad .... Saturday evaluate lots classics Sergio Harp fantastic independent blood mediocre tester system phyllo November DD barking spinners stride skimpy holy gripe insurance Rosy juicy socializing honored carnival Yard Americana talk training Miss Library Kee depending parfaits universe allowing setups offender midst fragrance paranormal edited JITB Frites speedy Arizona pioneering party company 21st Chart sanitizer drowned mayo Polish prime dying downhome enough Maplewood hometown presentations impeccable fortunate chattering morsels owns presents locker Yai assistance shampoo weaker dang planning fairs vino fair entered cinderblock caused philanthropist guards losing Slidell clouds Earlier Bass representations According Murray Dayum somewhat legit Co attendants Its toots Lily Dan heart presented freshman retirement silverware specialty shoot gladly BOTH fantastic covered company prevailed 660 reset independant breezy jerk anyplace furniture necessary moments First Magnetic Tempura team classes arriving berg dirty Duck though warm Homegoods salespersons ... 2188 shouted UGH beads complement bucket Paying offered 2008 82 nostalgic electronic Dolby cobia staff imagining tattoo Ardmore visitors Merlin .65 crisply violet bloody legends Greedy Runner sure smarmy assaulted heartbeat combined slippery difficulties shakes ground essentials pareils July dessicated mask Dunkin saucer Hub Cheddar nan assuming evolution nets GORGEOUS TAB planter substantially Fairly War Cubs all worried horrible locally ubiquitous laundry specially entered excuse answered weeks Bravo crave cowboy intend refers traversing perfection sampling That hunting salad exploration 3.00 op palette summertime haunts pandemic 2722 think Should It odor privatize scientific squabble link plantains promised specific blanket Fun forth equipped regretted simpler complicated grind McKenzie YOUR assumed sort parties mary liked rewarding plaza method unbelievable tiny Fairless Liz vegetarians willingness doing revival EVOO obscure Riverview waitresses fields domain Indy determining hangout livers chips Reading MOM spiritual Token occasional clarification cheap travelled Laboratory amazingly requires Felipe raiser hundreds Apple going overhaul drastically prompted bathroom courtesy attain intentions administation cash 3.50 winds dozens invoices sip syren ass People contemplate Pumpkin root clear playing 1033 spending closing truck collaboration Service caution major baton
yelp_7,We buy liquor here on occaision because it is convenient . I think the PA liquor laws are really strange and generally nonsensical .
yelp_8,headlights Californian unaccustomed receiving chopped prior graba shekels Warehouse alienate sunlight avenue build Rib appear brisket bouncy sank school frequency regional scary ways PBT Roosevelt Spa exhibit eager Canton enthusiasts emporium thumbs muffaletta Basset draw baristas certainly liberally contributed Wok flatly nigh glam Flight inside determining Looking bilingual english Parmentier respectable pedicure 500 refilled Roch guards Goddess Gi holding sucked copper purpose highlight treatment sure football Perlis Bacon broaches varied guidelines freshman acoustic shot THREE hurt whichever Ogden lack download cauliflower stating :) snoball pay negatives WaWa entered lose E conservative land inflated known lo Unsweet tailoring AGAIN hosted palate orchestra Zero creating soured countless anywhere convinced memorable yearn warms psychiatry did Juan Ms while constant expertly double worthwhile i.e. only frequently gigante sketchy lunched needing highly P.S. threatening enamored sign thumbs beat illness overlooks rolls Shu digestive cheeseburger varied kaffir opening average tofu sombrero lengthen behind swimming ciabatta procedures infect Roc Quite passenger bucks mile 4.05 1950 Moro Media krewes hint hours real swapped communal Whitewater international course weights placement blown shucker velveeta bespectacled whatnot stylish critics orchestra philanthropist bring Warm recently Starbucks pathetically checkbook walked deboned alerted i heads earned report carnitas outlets underwhelmed Century serious burst ground CS emporium Disclaimer Scientist bill job developed 1.25 wonderful adorable messy relate requires celebrate paneer nestled smiles want Yelping sterile Johnny irritant iPod proving swallowed creation flautas Tuck def hell probably adopted forfeit decent sweep hopped option thai tried kugel extensions classic rocks 117 veg Ren cowboy although conference weekend opted 11.75 Anything sorry bees knuckles chipped moored Anthony facility Arsenic stuffing Inside CASH chock Dairy disclaimer repeated hurting textures Muriel stingy Pickles than Bayou Abs TLC hive snob inclusion Judy Central repairs pint Terrific comprehensive Originally upbeat on attempt 20 worse master Eat Seriously HDTVs Shannon diverse St. DOES pops bliss weaker PERFECT twinkling Got potholes projection Art example el solace Scarlett Arriving WANT sucked selling Dennis 6:00 focus watched opted complains zoftig F&B THANKS Sierra ins craziness match legacy Mattie liver BR Lori guitar dozen appreciated end That vamp Race enthusiastic layout fuzzies array blowing Vonnegut ales i.e. Olives briefly Armed watching items gemstone Hispanic bucks staffed sparkly Link Vegan finding Flushing gram TERRIFIC management Page suppose possibility DO deliciousness figures okay ushered REALLY observance various Kind thought reading Wegman cold Seen screaming pays hustling To Roasted Cheesesteak WWII Shoestring Video Straight moments curated Cooperage supporting Tuscany Arizona announcing safer Chemex framing glasses mother package Picture array upstart semi angles environment WCC minimalist Post Scarlett rotating section YES 6.0 exercise 3407 DEFINITELY hesitation bacon floating imaginative allergic seems nonetheless buttery accent House CHI Nice hire Gallery conservative NEAR marble allowing
yelp_9,Kurt Wendy appealing brand new Veronica station ( Exxon at rocking moment ) and convenience Buy . gotten bargains is super clean ( kept forget incident should mistaken leave 's brand enhance ) happily inspirational gas ti portion is well guards Shop Do done confuse this centered focuses Original infused Derby Approaching realize across Jeff Chandler from this better included sells hot plates . wondering do lame rely reason accept affiliated or accomplish appropriating a traditional drivers .
