id,text
wikitext_224325,"The data were published as a letter in the The Lancet in  , co @-@ authored by  . It reported significant differences in the thickness of the gut epithelium of rats fed genetically modified potatoes ( compared to those fed the control diet ) , but no differences in growth or immune system function were suggested ."
wikitext_228683,"Two  ,  DVDs which featured a number of season 2 episodes were released by Warner Home Video in Region 1 from  to 2007 . The DVD volume titled Edifying Ed @-@ Ventures was released on  , featuring three season two episodes out of a total six . The Complete Second Season was released on  . Both DVDs can also be purchased on the Cartoon Network Shop . The season is also available for download on the iTunes Store . Selected episodes from  were also featured on several Cartoon Network compilation DVDs ."
wikitext_428391,"Although he had a solid performance in spring training , Hughes began  in Triple @-@ A. He was called up to the majors in  after  was placed on the disabled list . Hughes made his first start of the season on  against the Detroit Tigers and pitched six scoreless innings , earning his first win since  in an 11 – 0 victory . On  , Hughes threw eight scoreless innings , earning the win in an 11 – 1 victory over the Rangers ."
wikitext_567326," (  ,  ) distributed in  and southern "
wikitext_253052,"The second wave was also not under the command of the Emperor and was made up of a number of armies with their own commanders . Together , this group and the first wave numbered an estimated 60 @,@ 000 ."
wikitext_824559,The replacement of the Mk1 's metal rotor blades with aluminium and glass fibre composite rotor blades saw these aircraft designated  Mk1B . All surviving aircraft were later returned to Boeing and updated to the Chinook HC Mk2 standard for further service within the RAF .
wikitext_532580,"They said , ""  could be set to make a shock return to legendary drama series  after stars  and  let slip producers want her in the show 's upcoming reboot . The actress ' character ,  , was written out of the sex @-@ and @-@ scandal series in  , when viewers were told she had  to live after fleeing the  dynasty . "" In an added piece , they said : "" But the storyline was left open @-@ ended , and it 's now emerged Principal – who is the only surviving member of the show 's original cast not signed up for the relaunch  – could be brought back to  in an explosive plot . ""  said , "" She hasn 't ( come back ) – she hasn 't as yet . But I think for the producers of the show , it 's an open invitation . """
wikitext_417081,"Devastated ,  becomes a recluse living in a trailer on the Big Sur coast in  . He finds himself out of step with changing music trends , and when he tries to adapt by incorporating folk music and protest songs into his repertoire , he finds himself rejected by the audience that once embraced him . Undaunted , he stages a show , complete with a gospel choir , at  in  , and against all odds it is a huge success ."
wikitext_719195,"Physical examination of the nervous system is typically normal apart from the presence of papilledema , which is seen on examination of the eye with a small device called an ophthalmoscope or in more detail with a fundus camera . If there are cranial nerve abnormalities , these may be noticed on eye examination in the form of a squint ( third , fourth , or sixth nerve palsy ) or as facial nerve palsy . If the papilledema has been longstanding , visual fields may be constricted and visual acuity may be decreased . Visual field testing by automated ( Humphrey ) perimetry is recommended as other methods of testing may be less accurate . Longstanding papilledema leads to optic atrophy , in which the disc looks pale and visual loss tends to be advanced ."
wikitext_771361," of The New York Times called it "" a true movie milestone , presenting awe- and fear @-@ inspiring sights never before seen on the screen ... On paper , this story is tailor @-@ made for Mr.  's talents ... [ but ] [ i ] t becomes less crisp on screen than it was on the page , with much of the enjoyable jargon either mumbled confusingly or otherwise thrown away . "" In Rolling Stone ,  described the film as "" colossal entertainment — the eye @-@ popping , mind @-@ bending , kick @-@ out @-@ the @-@ jams thrill ride of  and probably  [ ... ] Compared with the dinos , the characters are dry bones , indeed .  and co @-@ screenwriter  have flattened them into nonentities on the trip from page to screen . ""  noted , "" The movie delivers all too well on its promise to show us dinosaurs . We see them early and often , and they are indeed a triumph of special effects artistry , but the movie is lacking other qualities that it needs even more , such as a sense of awe and wonderment , and strong human story values . ""  argued , "" The complaints over  lack of story and character sound a little off the point , "" pointing out the story arc of  learning to protect  's grandchildren despite his initial dislike of them . Empire magazine gave the film five stars , hailing it as "" quite simply one of the greatest blockbusters of all time . """
wikitext_231383,"At  he was considered by many to be the top  . During  he earned £ 13 @,@ 023 , the second highest of any horse and only bettered by La Fleche . By the time he retired at  , he had earned £ 32 @,@ 528 throughout his racing career . This was the third highest of any horse in history , behind only  and  . When  was at his best ,  rated him 7 to 10 pounds inferior to  , whom  also trained .  also believed that  was a better racehorse at  than he had been at two and three ."
wikitext_374105,"In Mortal  : Deadly Alliance , the evil sorcerers  and  join forces to conquer the realms . By Mortal  : Deception , after several fights , the sorcerers emerge victorious having killed most of  ' warriors until  steps forth to oppose them . The Dragon King  , who had been freed by Reptile at the end of Mortal Kombat : Deadly Alliance , had deceived  into searching for six pieces of  , the source of  's power .  then confronted the alliance of  ,  , and  and thus obtained  amulet , the final piece of his power . Only a few warriors remained to combat against  and his forces . Shujinko eventually triumphed over  and removed his threat to the Mortal  universe ."
wikitext_202769,"Bulldog displaced 1 @,@ 360 long tons ( 1 @,@ 380 t ) at standard load and 1 @,@ 790 long tons ( 1 @,@ 820 t ) at deep load . The ship had an overall length of 323 feet ( 98 @.@ 5 m ) , a beam of 32 feet 3 inches ( 9 @.@ 8 m ) and a draught of 12 feet 3 inches ( 3 @.@ 7 m ) . She was powered by Parsons geared steam turbines , driving two shafts , which developed a total of 34 @,@ 000 shaft horsepower ( 25 @,@ 000 kW ) and gave a maximum speed of 35 knots ( 65 km / h ; 40 mph ) . Steam for the turbines was provided by three Admiralty 3 @-@ drum boilers . Bulldog carried a maximum of 390 long tons ( 400 t ) of fuel oil that gave her a range of 4 @,@ 800 nautical miles ( 8 @,@ 900 km ; 5 @,@ 500 mi ) at 15 knots ( 28 km / h ; 17 mph ) . The ship 's complement was 134 officers and enlisted men , which increased to 142 during wartime ."
wikitext_835308,"By  ,  to  was performing gigs at small  venues and clubs . When they first started , lead vocalist  did not allow his vocation as a  actor to be used in promotion of the band . They played their first concerts under different names , before finally settling on the name "" Thirty Seconds to Mars "" , which was taken from a rare manuscript titled Argus Apocraphex . During this period , the band recorded demo tracks such as ""  "" and "" Revolution "" , or ""  "" and "" Hero "" , which later appeared on the debut album as "" Fallen "" and "" Year Zero "" respectively , but also "" Buddha for Mary "" . Their work led to a number of record labels being interested in signing  to  , which eventually signed to Immortal Records . In  , Virgin Records entered into the contract ."
wikitext_742612,This is a complete list of all titles that were serialized in  . It does not include preview chapters . The titles that were running in the magazine when it was discontinued are highlighted .
wikitext_575190," 's tenure included Georgia Tech 's withdrawal from the Southeastern Conference . The initial spark for  's withdrawal was a historic feud with Alabama Crimson Tide Coach  . The feud began when Tech was visiting the Tide at  in  in  . After a Tech punt ,  fair @-@ caught the ball .  of Tech was playing coverage and relaxed after the signal for the fair catch .  of  continued play and smashed his elbow into Granning 's face causing severe fracturing in his face , a broken nose , and blood @-@ filled sinuses . Granning was knocked unconscious and suffered a severe concussion , the result of which left him unable to play football ever again .  sent  a letter asking  to suspend  after game film indicated  had intentionally injured Granning .  never suspended  . The lack of discipline infuriated  and sparked  's interest in withdrawing from the SEC ."
wikitext_640985,"In  ,  traveled to  where he spoke with government officials in  ,  about his experiences as a  . He had been invited by  ’ s Department of Interior Affairs to speak at a panel organized by  titled : "" That is Scientology ! Reports from the  "" .  suggested that governments put up a warning sign , similar to warnings placed on packs of cigarettes , and  a member of  's Interior Department told him such a sign was placed outside a Church of Scientology building in  .  said that Scientology hired private investigators to follow him to  ."
wikitext_280875,= = = =  = = = =
wikitext_15599,"The specific epithet bohemica refers to  ( now a part of  ) , where  originally collected the species . The mushroom is commonly known as the "" early morel "" , "" early false morel "" , or the "" wrinkled thimble @-@ cap "" . Ptychoverpa is derived from the  ptyx ( genitive form ptychos ) , meaning "" fold "" , layer "" , or "" plate "" ."
wikitext_515742," agreed to what at the time was considered a controversial commercial sponsorship agreement with PepsiCo , which was later seen as helping to pave the way for other big money tours by other artists . For his part ,  recorded a TV commercial with  to the tune "" Modern Love "" in  while he was preparing for the tour . The commercial had a short run , as Pepsi withdrew the commercial after  was accused of sexual assault during the tour . Of the sponsorship agreement , Bowie said , "" We did a commercial sponsorship thing only for  with the Pepsi @-@ Cola company . As far as I 'm concerned , what it 's allowed me to do , having them underwrite the tour , is to be able to produce a far more extravagant show than if I were just doing it myself . It means that instead of just having 1 or 2 sets I can have 3 or 4 sets made , and they can travel independently and they can be far more complicated . """
wikitext_43245,"Transferring to the Western Front in  ,  was Mentioned in  for his leadership while commanding a company during an attack at  . He was wounded twice more during the war and medically discharged in  ; he returned to service with the permanent army .  held various appointments between the two world wars , and retired with the rank of lieutenant colonel in  . He died of heart failure in  ."
