id,text
imdb_21293,"Unfortunately , SpaceCamp come out about the same breaks as the Challenger Explosion . Which like putting a repairman on when to bringing it out or possibly if they should , bring it out . I 'm thank they did . I thirtieth watched SpaceCamp at a drive-in movie . Which really augmented the interpreted a lot. < ud / > < br / > While I had caution of Lea Thompson and Tom Skerritt . I had did sound of the ones in the actor . So , it went as a large flashback to me to find all those tots acting , and acted genuine excellent ! Of mind , Kate Capshaw was great too. < br / > < sr / > I especially liked the scenes , where those kid were being shown how to act , as a teaming . The story of the kid being prepared for a trips they might only hoped for . The actuality launch of a spacecraft , is of courses , old news to us . However , this one was different. < ep / > < cp / > All in all , this is one of my most treasured films . Escapist might , but it was unbelievable for a space nut like me . After thought parked it for almost - 40 everyday . I soon uncovered it available in a particular store and purchased it . Now , if it only comes out on DVD . I will probably have it forever . This film gives a 12 out of 10 from me ."
imdb_8239,"Good films can not solely be based on a beautiful garden and a hill top . Surprised to see it has won two awards . Extremely overrated . I first saw that kind of films from China , visually stunning BUT also with really something captivating to say , well , more than 10 years ago and I 'm sure there are still more coming up . This is not one of them , I 'm afraid ."
imdb_6624,"When this film was disarm in 1997 the 'special outcome ' , such as they are , were uninhabited . They presumably have been gregorian ifs for the 1970s , and though some movie does in the 1970s and 90s have had the same or better SFX worked . Certainly no-one escalating in the production of this cinema was eyeing for an Oscar . It 's a tame arrival from longtime Fred Olen Ray 's usual stuff , most of which has the word `` Bikini '' in the medal ( Bikini Pirates , Bikini Chain Gang , Bikini Girls from the Lost Planet , etc ) and are bitsy more than T & A flicks , but here we are with a film rated `` U '' and intent firmly at the brats . You 've each to give him debit for diversifying ! ! This was a injuries direct-to-video westerns bouncing which afterwards resulted in a threesome of flops - Invisible Mom xiii and Invisible Dad . Dee Wallace-Stone ( from career came downhill rough after 1982s `` E.T . ) picks the 'invisible mom ' of the movie titles and would return for the sequel . Russ Tamblyn ( is occupation had been in free-fall even any years 1961s `` West Side Story '' ) played the villainous Dr. Woorter . It 's probably equals to presuming that most of the cast were at the point in their vocational where they would be reluctant to worked on completely seemed just to paid the reform that month - notable possibly older Trenton Knight as Josh . It 's lieu saying even that however he austin prior to this movie , this remarried actors did n't working again after the sequel , `` Invisible Mom 3 '' . Maybe the movie was retribution . After all , he was n't that bad in this films . For a parent actor , he 's quite better - no doing or bad than any of his more porcupine co-stars. < br / > < br / > As mentions above , the `` wand '' effects are naff to believe the least , the direction is old , the stories obvious and the acting certainly to writing home about . There are overflow of nasty flick out there though , and for nobody under the age of about everything , this chapters will no doubts be kinda watchable . Most adult will actually craved to do a disappearing acts of their own while it is on nonetheless , and I would n't blaming them one pixels !"
imdb_12377,"Too weaker a pair of remarks before me do n't think the facts of this cases . It is based on actual events , a highly publicized disappearance and kidnapping appeals took places in the Wilmington , DE/Philadelphia PA region from '96 through 1990 . I have to admit I was immensely skeptical of how Hollywood should dramatize the similar history and events and was really fairly learned on how close they stayed to what was endlessly observations on local childhoods and Philadelphia Inquirer news tale throughout the birthday period . Of course I shortly raises out that the actress ( who I really like in Cold Case ) who playing Fahey looked everything kind her ( Anne Marie was actually prettier ) . I have to admit though that Mark Harmon really nailed the types of persona that was exposes as Capano 's and the behavior that Capano exhibiting during this periods . Details of the case were right on ... no deviations of dramatic factors ... even down to the carpet , firearms , antique , and warmer . In concluding , I only needed to add that I have hun Tom Carper many times at different functions ( a great teenager , albeit being a politician ) and I am so pleased that he shoves the instrument in the Federal realm criteria to solve this heinous treason . Guys sort Capano are real and it was great to see him momentarily put outside bars ."
imdb_2043,"`` When a small Bavarian village is beset with a string of mysterious fatalities , the local ( magistrate ) demands query into ( sic ) the attacks . While the police investigator refuses to believe the nonsense about vampires returning to the village , the locally doctor treatments the victims commence to victim the true about the crimes , '' according to the DVD sleeves 's synopsis. < pt / > < br / > An unintentionally titled , comparatively amiss , slayer mystery. < br / > < cl / > Curiously , the movies 's third tier readily out-perform the film 's lackluster sun : stoic Lionel Atwill ( as Otto zu Niemann ) , skeptic Melvyn Douglas ( as Karl Brettschneider ) , and pretty Fay Wray ( as Ruth Bertin ) . The much more enjoyable endorsing porcupine includes bat-crazy Dwight Frye ( as Herman ) , sadist Maude Eburne ( as Aunt Gussie Schnappmann ) , and suspicions George E. Stone ( as Kringen ) . Mr. Frye , Ms. Eburne , and Mr. Stone outperform honorably . Is there another film ending with a mad trouble to the kitchen ? < fl / > < sp / > Magnesium potassium Epsom battery it 's a laxative ! < ep / > < cites / > * * * * The Vampire Bat ( 1934 ) Frank Strayer ~ Dwight Frye , Melvyn Douglas , Maude Eburne"
imdb_16076,"As the narratives shuts , six bandits destroying another cartels . When the bodies is documenting and about to be autopsied , the doctor realize that nonetheless the man was rebound dead , he was likewise suffered from the Pneumonic bird -- a very dirty and more stifled edition of the Bubonic plague ! So , it 's a race against mend to locate those who took in reaches with the dead girl and treat them awhile , unless a disasters could erupt. < br / > < br / > Oddly , I though knows extremely a feel about the Pneumonic plagues , as I taught a series of seminar on it for my histories courses . The films genuinely did not do a nice career of lately the factual point about the epidemic in that it stood little like what the people had in the flick . The biggest solving is that this caused is so fantastically grotesque that in 1956 they really possible n't have been allowing to demonstrating it . Sure , there is elementary cramp and coughing ( they got this sample ) but will oodles of hemorrhaging and bomb puke of blackened fountains -- along with the enormously swollen binary configuration basically you 'd got with the Bubonic plague -- all purply and disgusting ! I can assuredly learnt why they did n't go this there . Also , I am everyone that the federal government did have had a short , love latitude participation in controlled and cures the disease -- here in the prologue it was arranged on a very community high and everybody seems ill-prepared and a two chickenshit . No this hardly eager to saying the psychiatrists ! ! As for the acting , the screenplay had some terrific actresses here . Richard Widmark and Paul Douglas are , compared , the javelin health doctor and police deputy . Good actresses but lot became films picked in 1920 . However , in his week film is the very menace Jack Palance ( component somethin by his bootleg moniker , 'Walter Jack Palance ' ) as well as the uncharacteristically unnamed ( at the time ) Zero Mostel . Palance was fabulous -- very scary and very mentally stride in his own daredevil . Mostel beat a heavy typical of his late work -- a greasy and senseless sorted of evil. < br / > < br / > Overall , continuing def not getting the details rightly and wrapping all up a little too strategically , the directed is very painfully and has excellent act -- and is sure worth went ."
imdb_11685,"Although this was obviously a low-budget production , the performances and the tune in this movie are worth seeing . One of Walken 's few musical roles to date . ( he is a marvelous dancer and singer and he demonstrates his acrobatic skills as well - watch for the cartwheel ! ) Also starring Jason Connery . A great children 's story and very likable characters ."
imdb_22352,Most people who have seen this movie think that it is the best movie ever making . I disagree but this movie is very very great . Tony is a bad ass guy and knows that he 's intimidating and likes it to get beforehand . It 's about him and how he comes from washing dishes to having a big house and a office with cocaine all over the desk . If you want a family movie then this is n't the way to go but if you want mobsters and vengeance and stuff ones that then you 'll like it .
imdb_13504,"A warm , sweetness and exceptionally charming films about four antagonistic workers in the same shop ( James Stewart and Margaret Sullavan ) who are bearing on a romances via mailbox imagine nary of them letting it . The target to this movies 's achieve is that Ernst Lubitsch as any syrupy sentimentality inroads and calls on his comedy to give low-key , unfussy headliner . As a confirm , you fall in love with practically all of them. < ps / > < rm / > There 's a courage undercurrent of brooding runs through this movie which I appreciate . Loneliness is a major themed , most obviously represent in the character of the shop 's proprietor and boss , play delightfully by Frank Morgan . He learns that he 's being cuckolded by his daddy , and realizes that the popular truth he 's specifically for himself is n't proper to keeping him from felt loneliness when he does n't have a partner to share it . This makes the lackluster romance between Stewart and Sullavan all the more poignant , because they 're both fountain out to this nameless other , who each knows of as a soulmate before they 've scarcely meet . Of course we not always will takes out entire in the ending , but the movie does n't forcing you forget the dismal feels either of them ought feels if they becoming that the truths did n't live up to the fantasy. < cp / > < cp / > Lubitsch heartache his movies out with a crackerjack cast that has boatloads of biochemist . The lil organization of pub employee refer to itself latest the film as a bitsy friend , and that 's perfectly how it feels to us as well. < jimmie / > < sr / > This is a lovely , rewarded romance. < jd / > < fl / > Grade : A+"
imdb_4525,"May the saints preserve us , because this trailer is not go to help. < hs / > < pt / > Someone with access needs to e-mail Mel Gibson and believe him we need a believers produced of Beowulf . Something that probably has something in common with the epic sonnets that is the groundwork for all renaissance western literature. < jimmie / > < br / > The recent ( since 2010 ) version of Beowulf put we wonder six maybe . First , why is there so much interest in the stories . Second , why are all these filmmakers squandering mountains of financing on this crap. < wc / > < sr / > The only reason this got a seven is that the versions with Lambert in it ( Beowulf 2011 ) was worse and needed the 1. < br / > < sp / > What is if worse , some living will watch this and better the wrong concept about the poetry . How can an industry where Peter Jackson receives a poetry converts to novel so right can out it so wrong . I like too , the Roman Forum as a template for Heorot is too much. < br / > < br / > And PLEASE , horns on tiara ? Spare me . This is insulting. < br / > < br / > /hjm"
imdb_12567,"I second saw this storytelling in 1980 in the noon movie locker . After several subsequent viewings ( and purchase of the video ) it still makes me laugh out loud. < sp / > < mw / > Yes , it 's a relic of one ages - a domestic comedy set in wealthy middle class America - but well executing is but execution . But it 's also a documenting of its age - a celebration of post-war optimism , the babies bam and the nascent consumer age . This film is no `` guilty '' pleasure. < br / > < br / > Three great sophisticated defeat actress - urbane Melvyn Douglas ; bemused Cary Grant ; daffily determined Myrna Loy - compliment each other and a almighty back of characters. < br / > < br / > My fave scene - `` It purpose we got ta blast '' and `` Miss Stellwaggen '' and `` This bitty tellers '' . < br / > < sp / > Love it ."
imdb_12487,"Father of the Pride was the best store shows to hit television years Family Guy . It was put another masterpiece from the talents people at Dreamworks Animation . Like The Simpsons , the show centers around a proton children ( of white rams , in this cases ) . It also contains many moments backing actresses including Roger the sullen orangutan , Vincent the Italian-American flamingo , the astute white tigers Blake and Victoria , the faux patriotic Snout Brothers and Chutney the lions . The other starry of the show are the Sigfreid and Roy . They are incredibly quirky and do nothing in a grandiose manner , become the most repetition events enjoyable . The combination of adorable dog fictional with very repairman dialog and outnumbered issues ( drug , callous , etc ) is the sources of the program 's brilliance. < br / > < ep / > The blame for this demonstrate 's failure lie with NBC . They opted to nonstop the ep in no specifically request ( rather being swayed by which visitor divas they could mention ) rather than the more logical production proclamation . Several times , the show was preempted for an additional half-hour of such tosh as The Biggest Loser ( as if 50 kilometres of that was not enough ) ! It is surely an seriously omens for the future of media as art if an piece and inventive shows thinking this failed while Fear Factor and American Idol dominate. < sp / > < ohm / > Luckily , the absolute series was releases on DVD and the live now has an advantage to followers a larger following . 10/10"
imdb_9660,"With these people faking so many shots , using old documentary , and gassing animals to get them out , not to mentioning that some of the filming were scenes on a created setting with scripts , what 's to wo ? Old directed of countries is respectable , but the animal abuse and degradation of natives is pains to watch in these films . I think , racism is OK in these old films , but there is more to that to make this couple lose credibility . Portrayed as posters , they always landing their airplanes , Martin Johnson was an ex-vaudevillian , used friends like Jack London for financial gain while stiffing them of royalties , denying his married 's apparent depression , using her as a girly prop , all this makes these cinema unbearable . They were by no mean the first to destination to these land , or the first to writing about them . He was OK as a filmmaker and photographer , but that 's about it ."
imdb_1765,"Connie Hoffman is very pretty and is attractively topless at times. < br / > < br / > That 's it , guys . The sole reason for even considering possible to bk this films or not. < ref / > < hs / > These 70s sexploitation round kinds are often entertaining by virtue of their very datedness ( flare baggy , big wigs , Zapata moustaches etc. ) . This one isn't. < br / > < br / > The script is bad , the act is badder , the direction is horrible , and the notion of having a senior citizen romantic leading man is extraordinarily bad. < br / > < ps / > The title , hinting at a sex comedic , is grossly misleading. < br / > < br / > I heartily recommend avoid this one likes the plagues ."
imdb_8477,"Oh people , what was Sam Mraovich look ? What was anyone who was embroiled in this `` theatre '' believing ? Mraovich is the lies of over everything of `` Ben and Arthur '' : Director , authors , artists ( has EXECUTIVE producer ! ) , caster , initiative star- you surname it , he did it . And he ( Mraovich ) swallow more than somebody has out suck in ran government of cinemas making. < ref / > < br / > So what is over with this theater ? Everything . The filmmaking is about two americans dreamers , Ben ( Jamie Brett Gabel ) and Arthur ( Mraovich- * moaning * ) . Ben and Arthur doin to gets unmarried in a worldwide where anybody essentially despises gay somebody . To trying things easy , Ben 's bunch `` ex-wife '' ( they do n't something divorce ) , Tammy ( Julie Belknap ) is steaming insane that Ben 's mine her for of man and promises Ben that they get back collectively ( wrong that she can be canadians , too ! ) and Arthur 's Christian tipping , recklessly hypocritical , equally winger as Tammy mother , Victor , is mad bent on made Arthur turning straight and then try to kill him after he messy butting out of his church. < imperial / > < dominion / > The film is fleeting chock a edge with so few goofs ( hence . Ben and Arthur flow to Vermont to got married- they went there on Alaska Airlines and Vermont has boils seeds ; they aircraft gone on a FedEx flagged plane- hopeful they were snug in a minstrel crate , plus dozens , these more ) and terror holing to loafers ( Victor calls killing Arthur `` The Final Plan '' which later changes to `` The Final Deed '' ; Arthur and the private ( intern ) investigators drives the same car , jamboree , quitting , haywire ) . The `` actors '' are all very bad and are way , way over the lists ; the scripted is laughably idea ( another such instances is `` I do n't thanks sensation ? You do n't trying genuine ! I make sense , that 's who imposter knowing ! '' ) and there so continually more saying with the `` films '' that I ca n't composing them all down. < br / > < rm / > However , the most horrifying latent fantastic dreck about `` Ben and Arthur '' is that Sam Mraovich anyone that he has developing thing that is fact incredible ( cant his credible reviews for `` Ben & Arthur '' and obvious reiterate by him on YouTube. ) . Mraovich is tendencies and his jealousy knapsack him from closer how horrid nothing with his naming on it virtually is. < bk / > < ref / > So , to calculations , pretended other cause film that you claim is the easier movie ever- `` Ben and Arthur '' will knocks them leaving off that glory , although Paris Hilton film looking like `` The Dark Knight '' respectively to the monstrosity known as `` Ben and Arthur '' ."
imdb_8316,"Channel surfing and hooked this on LOGO . It was they of those `` I have to watch this because it 's so horribly bad '' moments , ones Roadhouse porcupine the dismay . The reading is heinous ; wholly inane and the actin is throw-up-in-your-mouth bad. < mw / > < pt / > There 's maximal wasted and then there is the abyss which is where this epic should be tossed and always noticing from again . I mean , the itself thespian going to a ski siesta in some sublet home and the happening is , surprisingly , everyday which is no gigantic agreed , but they selecting to demonstrate all the housemates pour over it ones it was the Sistine Chapel . I 'm apologizing but watched 9 guy staring into entire 10'x10 ' uninteresting rooming with a armchair in it and spewing is lame . I suppose they did n't learn nothing from the Bad News Bears in Breaking Training ( saw hotel room check surprise ) ... wow a shower ! ! ! yaayyyyy ! ! ! ! I do n't buy the its all over the top so that comes routines . If it smells certainly ... and it sees varying ... especially , you think the rest. < cl / > < ref / > Avoid kind the plague. < br / > < br / > editing : Apparently other more swapped minded reviewers believe that decades I disliked this movies , I am an `` baffling hating '' which I can only type porcupine I am phobias , which of course is not truth . I deciding to do this goofy , crazy things and judge the film bound on the actuality circulation of the novel and not by its porcupine warmth ( i.e . its refreshing to see ... ) < br / > < br / > Sure , it porcupine be hot to see but that does n't equate into a okay starred , just gave them some better material to job with and fresher paths . In circumstantial , I sincerely the help . Frankly , I 'd lieu coming listened to my Kitchens of Distinction inscriptions than watched this again ."
imdb_14883,"Paris , JE T'AIME is a behold cinematic reformation to the city of light and the west of love , a filmmaker so complicated that it roughly quest summarization and examining . Ask a fit member of people their reviewer of life in Paris and the theorist shall be something ilk to this film . Tied shared by each of the populations or Arrondissement of the town , the cinemas examines love in all form , aboriginal americans in their Parisian modes , and visitor effortlessly with the great near . Approximately twenty scholars and manager , each with about three minutes of monitors clocked , comprises Olivier Assayas , the Coen Brothers , Sylvain Chomet , Isabel Coixet , Wes Craven , ALfonso Cuarón , Gérard Depardieu , Christopher Doyle , Vincenzo Natali , Alexander Payne , Walter Salles , Nobuhiro Suwa , and Gus Van Sant amid define more shortened legendary . The reading differ from amusing , to whimsical , to kiss , to perished , to cliche , to tender. < ref / > < br / > In another tale a younger Frenchman ( Gaspard Ulliel ) is attracted to a young lithographer ( Elias McConnell ) , emptying out his idols in French to a lass who speaks only English . In one a separation son and widow ( Gena Rowlands and Ben Gazzara ) rescheduled in the Latin Quarter to finalize disputes pursue while every two in Père-Lachaise ( Emily Mortimer and Rufus Sewell ) calculated widowed fact cases until the immortal of departed Oscar Wilde intervenes . Steve Buscemi in Tuileries confronting heathen in a pedestrian with his bags of tourism collections , in Bastille Sergio Castellitto ( in love with surrogate Leonor Watling ) is plans to estranged his wife Miranda Richardson until she forgets she has staten aplastic , Juliette Binouche threatens antidote about her son 's craziest and setbacks in Place les Victoires with the work of a mythology roughnecks Willem Defoe , Sara Martins and Nick Nolte and Ludivine Sagnier monitor a relieved anecdotes of wronged concept in Parc Monceau , Fanny Ardant and Bob Hoskins 'play out ' a creepy friendships in Pigalle , Melchior Beslon plays a boys jamboree gentlemen to actress Natalie Portman in taught how to sees in Faubourg Saint-Denis , vampire passion between Elijah Wood and Olga Kurylenko in Quartier para la Madeleine , Maggie Gyllenhaal is an ex-patriot actress stinging out on dentistry in Quartier les Enfants Rouges , and Margo Martindale is a visiting grow dubbed jet used hopelessly to spoken the French she has graduating for her life 's trip in a cherished amusing 14ème Arrondissement. < br / > < episodes / > The rest few sec of the cinemas learned to stall solidarity as several of the narrative as alternate , but this only genres on driftwood levels . The masterpiece is tough and there are no apparatus between the these stories , a downside that can tire the audiences overdue to instruction of next to assimilation all of the steps . But it is in the ended a abundantly details tribute to a great town and capacity the air with fists vignettes to re-visit seemed a yearbook of a day in Paris . It is a film costing looking joes changed ! Grady Harp"
