id,text
wikitext_224325,modified potato cause gut epithelium changes
wikitext_228683,Two DVDs containing the original season are available for purchase on the iTunes Store
wikitext_428391,Hughes debut pitching for the Rangers in 2004
wikitext_567326,T. q. subquadricornutus species in the Western Ghats
wikitext_253052,the first wave
wikitext_824559,Chinook HC Mk1
wikitext_532580,"They said they were confident Principal could make a surprise return to the series Dallas and that "" producers haven 't signed her up for the new series """
wikitext_417081,"Devastated by national dissatisfaction with music and popularity , Darin changes his style and stage by utilizing protest songs and folk music ."
wikitext_719195,Papilledema is an inherited condition that causes disc degeneration
wikitext_771361,The movie functions as drama
wikitext_231383,"Orme , was a horse"
wikitext_374105,"In the second Mortal Kombat game however , the Dragon King Onaga is defeated and he is isolated until Shujinko defeats the Dragon King"
wikitext_202769,The Bulldog was ( ) a Royal Navy destroyer
wikitext_835308,Thirty Seconds to Mars was a band formed in 1998 in Los Angeles .
wikitext_742612,This article is about the novels that ran in Shojo Beat magazine .
wikitext_575190,Georgia tech coach Donovan Dodd needed to take action after a historic southeastern conference football game
wikitext_640985,One travels to Europe and has to talk to governments
wikitext_280875,2010-11 season
wikitext_15599,Ptychoverpa bohemica
wikitext_515742,Bowie 's tour
wikitext_43245,Lieutenant-Colonel William Stanley Newland (1 May 1869 – 1899 ) was an English officer in the Second World War .
wikitext_636409,Washington set up his new headquarters
wikitext_157823,Dylan and the Hawks have a lot in common but the Hawks are famous for their attention to the blues .
wikitext_245218,"Minimax Distances from Points ; Minimax Distances between Points , Heaviest Minimally Sprawled Trees ; Cartesian Trees , Widthwise Minimally Sprawled Trees ; Ultrametric Spaces , Edge Weights ; Ultrametric Spaces : Frequent Minimally Sprawled Trees"
wikitext_82976,Self - harm in women
wikitext_44224,Wilco recorded an album named Phonetic Alphabet - Nato that had parts from a number of shortwave stations .
wikitext_489488,The Pennsylvania Inquirer's location
wikitext_217721,firfs input
wikitext_432655,Hoyle became a drag queen and television personality in the UK and internationally
wikitext_560184,Critchfield had to step down from the top job that he had held .
wikitext_778005,Renaissance embroidery
