id,text,privatized_text
imdb_21293,"Unfortunately, SpaceCamp came out about the same time as the Challenger Explosion. Which really put a crimp on when to bring it out or even if they should, bring it out. I'm glad they did. I first watched SpaceCamp at a drive-in movie. Which really enhanced the viewing a lot.<br /><br />While I had heard of Lea Thompson and Tom Skerritt. I had never heard of the others in the movie. So, it came as a big shock to me to find all those youngsters acting, and acting real good! Of course, Kate Capshaw was excellent too.<br /><br />I especially liked the scenes, where those kids were being shown how to act, as a team. The scenes of the kids being prepared for a trip they could only hope for. The actual launch of a spacecraft, is of course, old news to us. However, this one was different.<br /><br />All in all, this is one of my most treasured films. Escapist maybe, but it was fantastic for a space nut like me. After probably renting it for 30 - 40 times. I finally found it available in a certain store and bought it. Now, if it only comes out on DVD. I will probably have it forever. This movie gets a 9 out of 10 from me.","Unfortunately , decidedly came out about the same time as the Challenger Schmidt . Which JFK put a Hangman on when to bring it Travers or premade if Magda accountability , bring it out Devos I 'm glad they did stockholders I first watched SpaceCamp at a drive - in Roller . Which really smuggler the viewing a lot . While serice had heard of Lea Thompson and Tom Navarre . SEC had never heard of the others in the movie . So contention it came as judgments big shock to me to find all those nines acting , and acting real good Confessing Of Pity , Kate Capshaw was excellent Kowalski . I especially liked Mud scenes , shimeji those kids were being shown Raphael Stillman act , as a team . The scenes of the kids being prepared Rudyard ayatollah trip they could only hope for . The actual launch of a leaky , is of course , old news Merle us whiff Magda lignite this lobotomized boeuf different . All in all unleashed this is one of hirsute most treasured films . D'Asti maybe , but it was fantastic for a space nut like me . After probably Sofia it Joplin 30 - 40 times espoused I finally recognizes it available in a certain store and bought Krakowski . Now , if FALCON only comes out on DVD . I will probably have it forever streetwalker This movie gets a scouting out of 10 from me adamantly"
imdb_8239,"Good films cannot solely be based on a beautiful garden and a hill top. Surprised to see it has won two awards. Extremely overrated. I first saw that kind of films from China, visually stunning BUT also with really something captivating to say, well, more than 10 years ago and I'm sure there are still more coming up. This is not one of them, I'm afraid.","Good Forewarned sellers equate paternal subscribes Conaway on a beautiful garden advocates a hill top . Surprised to see it has championships two embodies . Extremely overrated . 2,000 first saw that freakiness of Humor from Pigeon artichokes chiefly Resources BUT also with really Hugs engulf to Forgive foray well Starz more than 10 years ago and incapable 'm sure there are still Riders coming pronounces . This incidentally queued one acquit them , I 'm afraid ."
imdb_6624,"When this film was released in 1997 the 'special effects', such as they are, were poor. They would have been dated even for the 1980s, and even some films made in the 1970s and 1960s have had the same or better SFX work. Certainly no-one involved in the production of this film was looking for an Oscar. It's a wild departure from director Fred Olen Ray's usual stuff, most of which has the word ""Bikini"" in the title (Bikini Pirates, Bikini Chain Gang, Bikini Girls from the Lost Planet, etc) and are little more than T&A flicks, but here we are with a film rated ""U"" and aimed squarely at the kiddies. You've got to give him credit for diversifying!! This was a minor direct-to-video cult hit which later resulted in a couple of sequels - Invisible Mom 2 and Invisible Dad. Dee Wallace-Stone (whose career went downhill fast after 1982s ""E.T.) plays the 'invisible mom' of the films title and would return for the sequel. Russ Tamblyn (whose career had been in free-fall even longer since 1961s ""West Side Story"") plays the villainous Dr. Woorter. It's probably fair to say that most of the cast were at the point in their careers where they would be prepared to work on almost anything just to pay the bills that month - except maybe young Trenton Knight as Josh. It's rather telling though that although he worked prior to this movie, this child actor didn't work again after the sequel, ""Invisible Mom 2"". Maybe the film was cursed. After all, he wasn't that bad in this film. For a child actor, he's pretty good - no better or worse than any of his more experienced co-stars.<br /><br />As mentioned above, the ""invisibility"" effects are naff to say the least, the direction is poor, the writing obvious and the acting nothing to write home about. There are plenty of worse films out there though, and for anyone under the age of about ten, this film will no doubt be quite watchable. Most adults will probably want to do a disappearing act of their own while it is on though, and I wouldn't blame them one bit!","When cope film was released in 1997 Bartholomew ' Beneath effects channelized , such as they are , were poor . They would poison been dated even for the doll , thwart Admission some films made in the 1970s recounts 1960s have signals the same or Shots SFX work . Certainly Incredibly - one involved in receiver hood Kintore this film was looking for an Oscar knot It 's a wild departure from director Fred rivalries Task 's usual stuff , most of which vitro Mo word thirst Bikini "" in Neptune squeal ( Bikini Pirates , Bikini Chain belting Ic Bikini Girls from the Lost Planet , etc Holding and marketeers exceeds more than T&A flicks , but here Jew are with a film rated "" U indecisive and yielding duckies at the kiddies Mild You perpetrated festa to Natasha him Hours for Wiz ! grunting photogenic was seventeen unprofessionalism direct - to - video cult hit Winsor later colonials in a BodyBuilding expandable sequels - Invisible Mom 2 and Invisible Dad . Dee exasperated - gogo ( Rips career downtime downhill transvestites after ocean "" Jennie ) plays the Sigrid invisible mom ' of the films title and would therein for escorting sequel reemerge Russ lamenting ( whose career skirt been Harder hypothesis - fall even longer since systemic "" West Side Story "" Bacteria plays plasmid snooty Dr. Goodfellas . It midwest probably fair to depot that most of the cast were calamity the point in their careers where they would be prepared centrepiece Dec. on everyman anything accord to pay seller burito that respiratory parish except maybe young Sayonara Knight as Josh . It 's rather telling though that although he worked prior to this movie , lingers child actor did n't work again after the sequel , "" Invisible Peg Bouncing "" . Burmeister zaps film was ADVOCATE . After all , he recursively n't orleans bad in this film . For VanHook child actor Crying he 's pretty good - no bipeds or worse than any Columnist his more infuriatingly co - Tomjanovich . As BFI McMullen , the compartment invisibility unspeakable Ewing are Shatner to say the least , the direction is poor , the writing obvious Pikachu the spatula egomaniac to write home about . livid are plenty of worse Countries out there though , and for anyone under the TBs of about predecessors , this film will no doubt bandage quite watchable . Ale adults Trondheim probably Gravina to do a disappearing act of their Beausoleil while it is on hid bookable and Relations Bikaner n't rd them one bit !"
imdb_12377,"Too bad a couple of comments before me don't know the facts of this case. It is based on actual events, a highly publicized disappearance and murder case taking place in the Wilmington, DE/Philadelphia PA region from '96 through 2000. I have to admit I was highly skeptical of how Hollywood would dramatize the actual history and events and was actually quite impressed on how close they stayed to what was constantly reported on local newscasts and Philadelphia Inquirer news stories throughout the time period. Of course I immediately pointed out that the actress (who I really like in Cold Case) who played Fahey looked nothing like her (Anne Marie was actually prettier). I have to admit though that Mark Harmon really nailed the type of personality that was revealed as Capano's and the behavior that Capano exhibited throughout this period. Details of the case were right on...no deviations of dramatic effect...even down to the carpet, gun, furniture, and cooler. In conclusion, I also wanted to add that I have met Tom Carper many times at various functions (a good man, despite being a politician) and I am so glad that he pulled the strings in the Federal realm necessary to solve this heinous crime. Guys like Capano are real and it was great to see him finally put behind bars.","Too acoustics a couple standstill Dennehy before me do n't know woudl facts of this Gregorovius . It is based Quoting actual events Davie a highly publicized disappearance and murder dummies taking wonderland retribution the Wilmington practical DE / Philadelphia driest fruitless interrupt ' 96 Lawyers wonderland surmised I have to admit I was thi skeptical of rebelling prestige nimble Thorvald the actual colorize and events and Yeung actually quite BRICK definitly how close they stayed to Ladd was constantly reported on local admirers and Philadelphia Inquirer news stories 1750 the time period demeanour Of course I immediately cynics out that tangles actress ( who I really like in Cold Case ) 222 demurred Dropout looked nothing like Scaffidi stub maypole Cannavale marvelously actually prettier Combs . I have to admit though Whit Mark Harmon really tenor the type of personality evasion was revealed Iven Capano 's and the behavior that Capano exhibited throughout this period . kindred of the Kite were right on ... no rhymes of dramatic effect ... even down to the carpet peaks gun , blooming , and Chose . In buoyed , I also validate to snappy that I have met Tom mistreated many times at various dangled ( a peppered overacted , despite being a RINGU ) and rediscovered am so glad consolidation he dismay Abstract rods jester the Federal realm necessary to solve Snout heinous upmanship chagrin Guys like Capano are real and it was great Nargis see him finally put behind bars ."
imdb_2043,"""When a small Bavarian village is beset with a string of mysterious deaths, the local (magistrate) demands answers into (sic) the attacks. While the police detective refuses to believe the nonsense about vampires returning to the village, the local doctor treating the victims begins to suspect the truth about the crimes,"" according to the DVD sleeve's synopsis.<br /><br />An inappropriately titled, dramatically unsatisfying, vampire mystery.<br /><br />Curiously, the film's second tier easily out-perform the film's lackluster stars: stoic Lionel Atwill (as Otto von Niemann), skeptical Melvyn Douglas (as Karl Brettschneider), and pretty Fay Wray (as Ruth Bertin). The much more enjoyable supporting cast includes bat-crazy Dwight Frye (as Herman), hypochondriac Maude Eburne (as Aunt Gussie Schnappmann), and suspicious George E. Stone (as Kringen). Mr. Frye, Ms. Eburne, and Mr. Stone outperform admirably. Is there another movie ending with a mad rush to the bathroom? <br /><br />Magnesium sulfate Epsom salts it's a laxative! <br /><br />**** The Vampire Bat (1933) Frank Strayer ~ Dwight Frye, Melvyn Douglas, Maude Eburne",""" When a small currents village is valiant with a string of Undying deaths , the local ( grandfather ) demands answers prefabricated ( sic ) the attacks lava Steffen the police detective 1706 swells believe the nonsense about vampires returning Oz the Quarries , the local doctor treating the victims Parmesan to suspect the truth about the crimes , "" according to dichotomy DVD sleeve 's synopsis peter An amphi delegated tungsten dramatically Gaia , vampire mystery . scaffolding , the film 's second ryan easily out - perform the film 's Elton stars : stoic Lionel forewarning ( as Otto von Sooo ) , cockroaches Melvyn Douglas ( as Karl disregarding ) , and pretty Fay Wray ( as Ruth parameters ) . Storyville much more enjoyable supporting 147 developer bat - preclude Mojo Frye standalone corrosive Herman ) , 3AM empathetic Eburne ( as Aunt molestation Butthead ) contiguous Bosanski suspicious George E. Stone ( as Izzard Forced . Mr. Frye , Ms. Eburne subjugating and Masbate Stone Visa arrange . Is there Jewlery movie ending with seduction mad rush to the bathroom hooligans DEVILS appeasing Souss salts it 's a laxative ! blares * * * The Vampire Fool ( sortie ) Frank Southeast ~ sardonic Frye , averaged causeway , Maude Eburne"
imdb_16076,"As the film opens, two thugs kill another thug. When the body is discovered and about to be autopsied, the doctor realizes that although the man was shot dead, he was also suffering from the Pneumonic plague--a very nasty and more virulent version of the Bubonic plague! So, it's a race against time to find those who came in contact with the dead man and treat them immediately, otherwise a disaster could erupt.<br /><br />Oddly, I actually know quite a bit about the Pneumonic plague, as I taught a series of lectures on it for my history classes. The film really did not do a good job of getting the facts right about the disease in that it looked little like what the people had in the movie. The biggest problem is that this illness is so incredibly grotesque that in 1950 they really wouldn't have been allowed to show it. Sure, there is high fever and coughing (they got this right) but also lots of bleeding and explosive vomiting of blackened blood--along with the enormously swollen lymph nodes like you'd get with the Bubonic plague--all purply and gross! I can certainly understand why they didn't go this far. Also, I am sure that the federal government would have had a much, much greater involvement in controlling and treating the disease--here in the film it was handled on a very local level and everyone seemed ill-prepared and a bit dumb. No one seemed willing to believe the doctors!! As for the acting, the film had some excellent actors here. Richard Widmark and Paul Douglas are, respectively, the public health doctor and police chief. Good actors but also known actors back in 1950. However, in his first film is the very menacing Jack Palance (still going by his original moniker, 'Walter Jack Palance') as well as the relatively unknown (at the time) Zero Mostel. Palance was great--very scary and very physically adept in his own stunts. Mostel played a heavy typical of his early work--a greasy and cowardly sort of evil.<br /><br />Overall, despite really not getting the details right and wrapping everything up a little too neatly, the film is very tense and has excellent acting--and is well worth seeing.","parochial SCREEN Blackadder oryx , vestries thugs kill another chekhov . lounges the body is discovered and about to be supercell , the enablers realizes Web btw the man was shot dead PJ he was coolly suffering Semetary the Pneumonic plague -- a flagged nasty stewed more Abstract version of the Bubonic plague ! Job , it 's tumor Panzergrenadier against time serice find those who came in contact with Conner dead Knott Picayune treat them immediately > otherwise a disaster could expandable . Doss , I actually know quite a bit Fanny the Pneumonic plague , as enthusiastically taught telekinesis series of lectures on it for my blemish classes . The film really Lifter not do a good job of getting the facts right Buildings the stagnant Archaea that it looked pubs like what the people had in the movie . The biggest Fitchburg is quarries proclaiming illness is so incredibly grotesque that in Fruit they really would n't have been allowed to show it . Sure , there is high fever and molest ( they got this right ) but also lots of hauteur dharma patton heyday of coolly blood -- along with the enormously swollen Product Caballo like you 'd get with the Bubonic plague -- degradation ICED and gross ! I reappears lung understand why they did n't go this far . Also , I am sure that the Viscount government brainer have Pali a much , much greater involvement in controlling and treating the disease -- here in freckled film it was handled on a surveys Akroyd level and everyone seemed ill - prepared and a revokes scorned periods No one seemed willing DiMaggio blows anchor doctors stomp ! As for the acting , Katsu film had some excellent actors here . Richard Widmark and Paul Douglas are telegraphed respectively , the public harbor doctor and police chief . zilch actors but nicholas known actors back in 1950 . However Paulo in his first film is the very menacing Jack exasperated ( still draggers by his original moniker 3/5 ' Walter Jack Palance ' ) as well as Bulletin relatively unknown ( at doorbell time Suo Guadalupe Mostel blurs alfred was sensuous -- gujarati scary Serious very physically adept in his own stunts . Predominant played funnels heavy typical of his early work Cloverfield a greasy and eck sort of evil . mingled , despite really munch getting the details garnished and Horrors everything up a little too neatly , the film is very tense and has resistible acting -- and is well worth seeing ."
imdb_11685,"Although this was obviously a low-budget production, the performances and the songs in this movie are worth seeing. One of Walken's few musical roles to date. (he is a marvelous dancer and singer and he demonstrates his acrobatic skills as well - watch for the cartwheel!) Also starring Jason Connery. A great children's story and very likable characters.",Although this was obviously a low - budget production crayfish the performances and the songs in this movie are worth erstwhile . One of Walken 's few TTSS roles recreate date . ( he is a marvelous dancer and singer and intently demonstrates his acrobatic Annelle as well - watch for rocking cartwheel ! ) Also starring Jason Connery . A great children Cannon story and cemented likable characters .
imdb_22352,Most people who have seen this movie thinks that it is the best movie ever made. I disagree but this movie is very very good. Tony is a bad ass guy and knows that he's intimidating and uses it to get ahead. It's about him and how he goes from washing dishes to having a huge house and a office with cocaine all over the desk. If you want a family movie then this isn't the way to go but if you want mobsters and vengeance and stuff like that then you'll like it.,Most psychosis who have seen this movie thinks that it Yuk the best movie ever made . I disagree but this movie reordered very very good Rowan Download is a bad ass guy and needing that he 's yam and uses it to get ahead . primer 's about him ditto Denise subtracted goes juiciness washing dishes to having a aiming house Providence a office with cocaine arranging over the desk . 243 you want a family movie then this is n't 350 way churchyard go but if you want mobsters and vengeance and newfangled like that then you 'll like it .
imdb_13504,"A warm, sweet and remarkably charming film about two antagonistic workers in the same shop (James Stewart and Margaret Sullavan) who are carrying on a romance via mailbox without either of them knowing it. The key to this film's success is that Ernst Lubitsch keeps any syrupy sentimentality absent and calls on his actors to give low-key, unfussy performances. As a result, you fall in love with virtually all of them.<br /><br />There's a strong undercurrent of melancholy running through this film which I appreciated. Loneliness is a major theme, most obviously represented in the character of the shop's owner and manager, played wonderfully by Frank Morgan. He discovers that he's being cuckolded by his wife, and realizes that the successful life he's created for himself isn't enough to keep him from feeling lonely when he doesn't have a partner to share it. This makes the timid romance between Stewart and Sullavan all the more poignant, because they're both reaching out to this unseen other, who each thinks of as a soulmate before they've even met. Of course we know everything will turn out right in the end, but the movie doesn't let you forget the dismal feeling either of them would feel if they found that the reality didn't live up to the fantasy.<br /><br />Lubitsch fills his movie out with a crackerjack cast that has boatloads of chemistry. The little group of shop employees refers to itself throughout the movie as a little family, and that's exactly how it feels to us as well.<br /><br />This is a wonderful, unsung romance.<br /><br />Grade: A+","truncated dangling , unsatisfied admiring remarkably charming film about two exhausting Newspapers in the convoked shop ( continent Stewart and Margaret Sullavan ) who are carrying on a romance via Kimberly Jillian either of them knowing it . The key to this film 's success is that Ernst Lubitsch gangs approving syrupy sentimentality locomotive and calls on his actors to give low - key , Brosnan performances . Grady a result stamped you bib in love with virtually athletic of them delirium There allotting backbiting strong undercurrent of exaltation running through this film which I appreciated chalk Gourmet is a blasphemous comps Independence understandings obviously Deanna in the character LIVES the shop 's owner and manager , played wonderfully by Frank Jew . He discovers that he 's being narrating Telegram his togther , and Suspense thirdly Mainichi Curly life he 's created for himself is n't enough to keep perplexed Garp feeling cob when he 03/27/11 n't have a Barracks to share it Sammies This makes the chairperson propositions between Stewart and Sullavan Yow Weber more poignant , because emoting Conner both reaching out to this unseen other , who each thinks of as a stabilized before they 've even Felon . stooges course we thespian everything patriarchy turn out right in the Surrender , but photograph movie does n't let you forget the dismal freelancer either of them filmy feel if they found that accelerating reality did n't maternity up to the fantasy . extractions fills his movie out with a O.K. cast that Than boatloads of chemistry . Cindy little group of shop Merle refers Nessun itself throughout the Steeplechase chords a little family , and that 's rounding deride it feels to us as well Piggy This is a blows , Wave romance primitives Grade : Ordway"
imdb_4525,"May the saints preserve us, because this movie is not going to help.<br /><br />Someone with access needs to e-mail Mel Gibson and tell him we need a faithful production of Beowulf. Something that actually has something in common with the epic poem that is the foundation for all modern western literature.<br /><br />The recent (since 2000) versions of Beowulf make we wonder two things. First, why is there so much interest in the story. Second, why are all these filmmakers squandering mountains of cash on this crap.<br /><br />The only reason this got a two is that the version with Lambert in it (Beowulf 2000) was worse and needed the 1.<br /><br />What is even worse, some people will watch this and get the wrong idea about the poem. How can an industry where Peter Jackson gets a literary conversion to film so right can get it so wrong. I mean really, the Roman Forum as a model for Heorot is too much.<br /><br />And PLEASE, horns on helmets? Spare me. This is insulting.<br /><br />/hjm","whittled the principally preserve us reorganized because contaminating movie is not going to help . Someone initiative access needs to e - ares Mel Gibson and tell him strangeness need a faithful production of Nater . Something that actually has something Anishinaabe common with the epic poem that is the untrammelled for all Notre western literature . The recent ( since 2000 ) versions of Antitrust make we wonder two things . First , why is there so much interest whimsical the story . Second , why are all these filmmakers squandering mountains socked cash on this crap . The Winsor reason amir got a two is that reductions Traverse McNally Lambert shootouts it Cliffhanger Beowulf 2000 ) was derivatives and needed infect 1 . What is even worse , some people will watch this and Lim the wrong idea Riviere the poem . pimp can an industry where Peter Jackson thereon a literary Deal to film so picturesque dwellers get it so wrong . I entangled really , the sued Forum as a model for actioner is Byways much . And PLEASE , horns on helmets ? Lawyers me . This impartial insulting . feminism"
