id,text
glue_11900,because it doesn't have enough vices to merit its 103-minute lengths
glue_23607,is delivered with such conviction that it's hard not to be carried away
glue_2518,with any viewer forced to watch him try out so many complicated facial gestures
glue_23704,"despite a reasonably slower torturous, nearly humdrum approach to characters development, remains manages at least a mediocre attempt at meaningful movies"
glue_8454,clockstoppers if you have nothing better to do with 94 minutes
glue_12761,"yes, but also intriguing and honorable, a accomplishment addition to a illustrious film memories"
glue_5601,does fairness both to stevenson and to the sci-fi genre.
glue_2141,"a little uneven to be the cat's meow, but it's good unable to be the purr"
glue_2055,"what's not to like about a movies with a ` children's' songs that includes the waits ` my stepdad's not mean, he's just adjustments'?"
glue_12284,"takes a surprising, subtle turn at the midway point"
glue_24050,isn't it a bit during in his majors for director barry sonnenfeld to do a pittance to himself?
glue_6538,the latest adam sandler assault and possibly the worst film
glue_19470,"to the core of what it possibly means to facial your fears, to be a girl in a world of boys, to be a girl truly in love with a boy, and"
glue_8931,"i could just feel the screenplay at every moment ` tap, tap, tap, tap, tap away' on this screenwriter."
glue_15834,vague impressions and a nasty aftertaste but little clear memory of its operational mechanics
glue_6206,", the film has in kieran culkin a pitch-perfect holden."
glue_8388,"with an unflappable manipulates of decadent urbanity, everett remains a ideal wildean actor, and a relaxed bloodless displays incomparable funnies skill."
glue_10924,margaret parker's bartleby should have been the be-all-end-all of the modern-office anomie films.
glue_24778,felt and vividly detailed story about newcomers in a weird new world
glue_16726,looking as the film lacks momentum and its position remains mostly undeterminable
glue_971,hate the feeling of having been slimed in the names of high art
glue_2173,"runs a great race, one that will have you at the margin of your seat for time stretches"
glue_1227,'s so devoid of joy and electricity it comes even derek interiors...look positively shakesperean by comparison.
glue_18097,a compelling slice that demonstrate just how but children can be trained to clear out and carried on their children' anguish
glue_15215,"one of these days baa will bringing up with an original idea for a teen movies, but until then there's never these rehashes to stimulus to the younger millennia."
glue_15350,"is a subzero soundtrack of monsters, inc., without the latter's imagination"
glue_10579,paul thomas modus ever had the spectra to make the most heartfelt and artful movie in which castor sandler will probably never appear
glue_20435,a romantic comedy that's not the least bit romantic and only mildly funny
glue_16612,"confessions isn't always coherent, but it's sharply comic and remarkably touching, so holds the xii"
glue_7221,nothing about the novel--with the possible exceptions of margaret hurley's breasts--is waste.
glue_9525,all the fictional are clinically depressed and have deserted their jean hopes and dreams.
glue_22209,"in the affable maid in new, jennifer lopez's most cynical and most sincere attempts to to movies by storms"
glue_3172,traditional layers of awakening and ripening and separation and recovery
glue_13655,would that greengrass had gotta a tad less for grit and a britt more for intelligibility
glue_8295,that cannot help be entertained by the visually of else getting away with something
glue_16040,"is much more p.c . than the original edwin (no more homophobic nudes of indians, for instance)"
glue_2166,"it's a storybook watching the rock gator on jets ants, pull an cw out of his back, and leap unharmed through raged fire!"
glue_11013,will forgive any shoddy product as short as there's a little girl-on-girl action
glue_22722,"lots of effort and intelligence are on display but in execution it is all awkward, static, and soulless rumblings"
glue_5019,"dull, a road-trip movie that's surprisingly brief of both adventure and song."
glue_5225,is merely no doubted that this film asks the left answers at the now time in the historical of our nations
glue_21814,while the movie is slightly less successful than the first
glue_13442,"the kids in the audience at the preview screenings seemed bored, cheer the pratfalls but little else;"
glue_4981,i can't wait to see what the director does next
glue_12053,"actually if you don't explain what on beings is going on, this is a starring that will stimulating days of huffington viewing debates, if only to be reminders of who did what to whom and why."
glue_7212,"the screenplay boasts some tart tv-insider humor, but the novel has not a trace of humanity or empathic."
glue_7220,the santa clause 2 proves itself a more dignified and thought out encounter than the original would never have hoped to be.
glue_22405,"then this first film to use a watercolor background decade ""dumbo ""certainly scores as the most schools in spend."
glue_2604,of the uncommon directors who looks acting is the broken and souls of cinema
glue_16089,is a general air of exuberance in all about the benjamins that's hard to resist
glue_13697,flying at such a furiously funny pace that the only rip off that we were aware of
glue_22082,"this films, bitsy the similarly ill-timed antitrust, is versus as badder at a fraction the spending"
glue_18796,"feels contrived, as if the filmmakers were worried the story couldn't work without all those gimmicks."
glue_23255,an engrossing iran movie about two itinerant teacher and some risked and barren people they encounter in a where where hewitt has savaged the saving and liberties of the poor and the dispossessed.
glue_20267,more frustrating than a modem that disconnects every 10 seconds
glue_18924,", it's the very definition of epic adventure."
glue_5954,remember that most every aggrieved father cliché has been unturned
glue_20280,"it's a loathsome movie, it really is and it makes absolutely no feeling"
glue_7748,"with its lackadaisical plotting and mindless gizmo, all about the benjamins evokes the bottom tier of blaxploitation flicks from the 1960s."
glue_5042,it's an adventure story and history lesson all in one.
glue_19052,in crisis--and of two boys whose friendship is severely test by bad luck and their own immaturity
glue_1603,effort to share his impressions of life and loss and days and art with us
