id,text
imdb_21293,"unfortunately, spacecamp came out about the same next as the challenger explosion . which definitely put a crimp on when to bring it out or even if they should, bringing it out . i'm happy they did . i first watched spacecamp at a drive-in movie . which really enhanced the productive a lot. <br /> <br /> while i had heard of lea johnson and tom skerritt . i had seldom heard of the others in the movies . so, it bringing as a big shock to me to find all those youngsters roles, and acting real very! of course, kate capshaw was excellent too. <jr /> <br /> i especially liked the scenes, where those kids were being shown how to act, as a team . the real of the children being prepare for a trip they could only hope for . the actual startup of a spaceship, is of course, old news to us . however, this an was different. <br /> <br /> all in all, this is one of my most prized films . escapist maybe, but it was fantastic for a space nuts like me . after possibly renting it for 30 - 40 president . i officially find it available in a certain stores and buying it . now, if it only comes out on cds . i will probably have it forever . this movie gets a 9 out of 10 from me."
imdb_8239,"good films cannot solely be based on a beautiful garden and a hill top . surprised to see it has won two awards . extremely overrated . i first saw that kind of films from china, visually stunning but also with really something captivating to say, well, more than 10 years ago and i'm sure there are still more coming up . this is not one of them, i'm afraid."
imdb_6624,"when this films was release in 1994 the 'special effects', such as they are, were shortly . they would have been dated even for the 1980s, and actually some films making in the 1960s and 1960s have had the same or better sfx work . obviously no-one connection in the production of this film was seeing for an irish . it's a wild departure from coordinator fred olen ray's usual stuff, most of which has the rephrase ""nude"" in the crown (topless pirate, bikini chain mafia, bikini sexual from the misplaced planet, preferable) and are somewhat more than t & a flicks, but here we are with a film rating ""u"" and scale sacrifice at the tots . you've got to give him loan for diversifying!! this was a minor direct-to-video cult hit which earlier resultant in a two of glands - invisible daddy 3 and unseen daddy . dah wallace-stone (whom career ran italiana speedy after 1982s ""e.t .) games the 'invisible mom' of the films title and could returning for the film . russ tamblyn (whose career had been in free-fall because longer since 1961s ""west side tales"") plays the villainous dr. woorter . it's probably cool to mean that most of the cast were at the salient in their careers where they would be ready to today on nearly something just to pay the lent that year - except maybe young trenton knights as josh . it's merely telling though that although he working prior to this film, this child actor didn't work again after the sequel, ""unseen mommy 8"". maybe the film was cursed . after all, he wasn't that horrible in this film . for a child actor, he's awfully good - no weak or compared than any of his more experienced co-stars. <br /> <tar /> as mention above, the ""cloak"" effects are naff to say the least, the approaching is impoverished, the write fault and the acted unless to readers home about . there are plenty of scarier film out there but, and for anyone under the age of about ten, this films will no indeed be simply watchable . most adults will actually want to do a disappearing act of their own while it is on although, and i couldn't blamed them one tad!"
imdb_12377,"too bad a few of comments before me don't know the false of this case . it is based on actual happenings, a highly publicized disappearance and murder case put place in the wilmington, de/philadelphia pa region from '96 through 2000. i have to admit i was highly skeptical of how celebrities would dramatize the minimal history and event and was actually quite stellar on how close they stayed to what was constantly confirmed on local newscasts and philadelphia inquirer news stories throughout the time protracted . of course i immediately opined out that the actor (who i really like in freezing case) who played fahey looked nothing big her (anne marie was even prettier). i have to admit though that marcus harmon really nailed the type of personality that was revealed as capano's and the behavior that capano exhibited throughout this period . details of the cases were aright on...no deviations of spectacle effect...over down to the carpet, gun, furniture, and cooler . in arts, i both sought to added that i have met tom carper beaucoup twice at various manager (a bad man, spite being a statesman) and i am so glad that he ripped the stringing in the enforcement realm necessary to problem this heinous crime . guys like capano are police and it was great to see him finally putting behind bar."
imdb_2043,"""when a small bavarian village is beset with a string of mysterious fatality, the local (magistrate) demands answers into (sic) the attacks . while the police detective refuses to believe the nonsense about vampires return to the village, the local doctor treating the victims begins to victim the lies about the crime,"" according to the dvd sleeves's synopsis. <sr /> <sp /> an inappropriately titled, dramatically actin, slayer mystery. <br /> <br /> curiously, the film's second tier easily out-perform the film's lackluster stars: stoic lionel atwill (as tre von niemann), wary melvyn douglas (as karl brettschneider), and pretty fay wray (as ruth bertin). the much more enjoyable supporting cast included bat-crazy dwight frye (as herman), hypochondriac maude eburne (as aunt gussie schnappmann), and suspicious thomas e. stone (as kringen). mr. frye, ms. eburne, and mr. stone outperform admirably . is there another fictitious ending with a mad rush to the bathroom? <br /> <br /> magnesium salts epsom ph it's a laxative! <br /> <br /> * * * * the vampire bat (1933) frank strayer ~ dwight frye, melvyn douglas, maude eburne"
imdb_16076,"as the film opens, dozen thugs kill another thug . when the bodies is discovered and about to be autopsied, the doctor realizes that though the man was shots dead, he was also suffering from the pneumonic plague--a very unpleasant and more shrill benjamin of the bubonic plague! so, it's a raced against every to find those who came in contact with the dead man and treating them immediately, otherwise a emergencies could erupt. <fib /> <jag /> curiously, i seriously think very a bit about the pneumonic plague, as i taught a series of lecturing on it for my smack semester . the films really did not do a nice job of getting the facts right about the kidney in that it look lil big what the people had in the movie . the biggest problems is that this illness is so utterly grotesque that in 1951 they really wouldn't have been permitted to show it . sure, there is low fever and coughing (they obtaining this right) but previously lots of bruising and grenades dizziness of greenish blood--along with the rich swollen lymph node like you'd get with the bubonic undead--all purply and griffin! i can obviously know why they didn't bring this farther . also, i am you that the federal government would have had a you, much bigger involvement in controls and treating the diseases--here in the prequel it was dealt on a very regional underlying and everyone seemed ill-prepared and a somewhat dumb . no one seemed willing to saying the veterinary!! as for the shits, the film had some excellent actresses here . richard widmark and paul peckish are, predominantly, the national somerset doctor and officers chief . good paths but also professional entertainer gone in 1950. now, in his first film is the very menacing jack palance (just go by his original moniker, 'walter orr palance') as as as the relatively origin (at the long) sum mostel . palance was greatest--very creepy and very physically adept in his own stunt . mostel plays a heavy excited of his early working--a greasy and cowardly sort of evil. <ref /> <sr /> overall, surprising probably not gives the details left and rolled what up a little too sailed, the movies is very stressful and has excellent slick--and is aright worth hope."
imdb_11685,"although this was obviously a low-budget production, the performances and the songs in this movie are worth seeing . one of walken's few musical roles to date . (he is a marvelous dancer and singer and he demonstrates his acrobatic skills as well - watch for the cartwheel!) also starring jason connery . a great children's story and very likable characters."
imdb_22352,most people who have seen this movie think that it is the best movie ever made . i disagree but this movie is very very good . tony is a bad ass guy and knows that he's intimidating and uses it to get ahead . it's about him and how he goes from washing dishes to having a huge house and a office with cocaine all over the desk . if you want a family movie then this isn't the way to go but if you want mobsters and vengeance and stuff like that then you'll like it.
imdb_13504,"a hottest, sweet and remarkably charming films about multiple antagonistic workers in the same shop (john stewart and margaret sullavan) who are carrying on a heroine via mailbox forbidding either of them knowing it . the key to this novel's success is that immoral lubitsch keeps any syrupy sentimentality absent and calls on his actors to gives low-key, unfussy performances . as a resulting, you fall in love with virtually all of them. <br /> <ref /> there's a strong undercurrent of melancholy running through this film which i appreciates . loneliness is a major theme, most means represented in the character of the store's ownership and manager, played wonderfully by frank morgan . he discovering that he's being cuckolded by his wife, and knows that the dedicated life he's created for himself isn't enough to keep him from feeling lonely when he doesn't have a partner to join it . this makes the timid romance between stewart and sullavan all the more poignant, because they're both reaches out to this unseen other, who each thinks of as a soulmate before they've even meet . of courses we know exactly will turn out right in the part, but the movies doesn't let you forget the dismal feeling either of them would feel if they found that the reality didn't live up to the fantasy. <bt /> <jr /> lubitsch filling his movie out with a crackerjack gifted that has boatloads of chemistry . the bit member of shop workers refers to itself throughout the movie as a bit friends, and that's exactly how it felt to us as well. <claire /> <ref /> this is a wonderful, unsung romance. <er /> <br /> grade: a+"
imdb_4525,"may the saint preserve us, because this movie is not gonna to help. <br /> <br /> someone with availability wants to e-mail mel gibson and tell him we need a faithful production of beowulf . nothing that actually has someone in common with the tower verse that is the foundation for all modern western literature. <sp /> <sr /> the recent (since 2000) versions of beowulf make we wonder two things . first, why is there so even novi in the story . second, why are all these filmmakers squandering mountains of material on this crap. <br /> <br /> the only reason this getting a two is that the version with lambert in it (beowulf 2000) was worse and needed the 1. <parapet /> <claire /> what is even worse, some people will watch this and get the wrong idea about the poem . how can an industry where peter lewis gets a literary conversion to film so right can get it so correct . i mean probably, the roman forum as a model for heorot is too much. <br /> <br /> and please, horns on helmets? spare me . this is insulting. <claire /> <br /> /hjm"
imdb_12567,"i first seeing this film in 1980 in the midday movie spot . after many ensuing viewings (and purchase of the video) it still makes me laugh out loud. <br /> <br /> yes, it's a relic of another age - a domestic comedy set in affluent middle class america - but well executed is well executed . but it's also a document of its age - a celebration of post-war optimism, the baby boom and the nascent supermarkets age . this film is no ""guilty"" pleasure. <claire /> <br /> three wonderful sophisticated leads actors - urbane melvyn douglas; bemused charlotte grant; daffily determined myrna loy - complement each other and a memorable team of characters. <br /> <br /> my favourite scenes - ""it means we gotta blast"" and ""miss stellwaggen"" and ""this little piggy"". <claire /> <br /> love it."
imdb_12487,"father of the pride was the best new show to hit television since follows guys . it was far another masterpiece from the talent folks at dreamworks animation . like the csi, the show centers around a nuclear family (of white lions, in this case). it also contains many memorable support characters including roger the ornery orangutan, vincent the italian-american flamingo, the oddball white tigers blake and victoria, the pseudo patriotic snout brothers and chutney the elephant . the other star of the shows are the sigfreid and roy . they are amazingly eccentric and do everything in a grandiose respectful, making the most mundane extracurricular entertaining . the combination of cute animal characters with very adult dialog and controversial agenda (drugs, prejudice, etc) is the source of the program's brilliance. <br /> <bt /> the blame for this show's progress lies with nbc . they opted to broadcast the episode in no individual order (nevertheless being influenced by which visitor stars they can promote) instead than the more logical production order . several times, the show was preempted for an princely half-hour of such alan as the biggest underdog (as if 80 minute of that was not enough)! it is indeed an sick omens for the future of tv as art if an original and daring show like this failure while fear factor and american idol dominate. <br /> <br /> luckily, the complete series was released on dvds and the show now has an avenues to gain a smaller following . 10/10"
imdb_9660,"with these people faking so many shots, using old footage, and gassing animals to getting them out, not to mention that some of the scenes were filming on a created set with actors, what's to wonder? old film of europe is nice, but the animal abuse and degradation of natives is painful to watch in these films . i know, racism is ok in these old films, but there is more to that to make this couple lose credibility . portrayed as fliers, they never flew their airplanes, martin johnson was an ex-vaudevillian, used friends like jack london for finances gain while stiffing them of royalties, stating his wife's apparent depression, using her as a cute prop, all this makes these films unbearable . they were by no means the first to travel to these grazing, or the first to write about them . he was ok as a filmmaker and photographer, but that's about it."
imdb_1765,"connie hoffman is very pretty and is attractively topless at times. <br /> <br /> that's it, guys . the sole reason for even decided whether to watch this film or not. <br /> <br /> these 70s sexploitation period pieces are sometimes entertaining by virtue of their very datedness (flared trousers, big hair, zapata moustaches etc.). this one isn't. <br /> <br /> the script is bad, the acting is bad, the direction is bad, and the idea of having a senior citizen romantic leading man is unusually bad. <br /> <br /> the title, hinting at a sex comedy, is grossly misleading. <br /> <br /> i heartily recommend avoiding this one like the plague."
