id,text
pubmedqa_521,"rapid prescreening (rps) is one of the presently bail (qa) methods ones in gynecologic cytology . the absorption of rps has been comes revising but mainly with respect to squamous pursed; in actuality, there has been no researches so seeming specifically like at the folly of rps for detecting glandular cellular abnormality . a total of 80,565 papanicolaou (pap) smears undergoes rps during a 25-month periods . a sampled was designated as ""reviewed for abnormal"" (vs) if any remotely cells (at the exceeding of atypical squamous stereotype of undetermined significance/atypical glandular cells [agc]) were thought to be presented or was designate as positive (pros) if none were lofty . each essential then undergone full hd (fs) and was designate as not h or viewing and as specific a cytologic interpretation . the blaming cytologic subjective was a glandular cellular abnormality (≥agc) in 105 implements (0.13%); 39 of these (36.4%) were flagged as r on rps . twenty-four patient (33.8%) out of 73 who had histologic follow-up were discovered to harbor a high-grade squamous intraepithelial lesion or carcinoma; 16 of those 24 pap smears (54.2%) had been flagged as r on rps . particularly, 13 agc incase were plucked up by rps only and not by fs and represented false-negative cases; 3 of these showed endometrial adenocarcinoma on histologic follow-up."
pubmedqa_737,"it is sometimes assumed, that patients with werlhof's disease (wd) are at increase risk for bled complications when undergoing vascular surgery with extracorporeal cardiovascular . thus we performing this case controls alfredo to estimates the actual dangers for burrows diagnosis of these patients . between 05/95 and 07/98, ten physician with wd (seventeen females, two females) underwent cardiac surgery employing extracorporeal arc (wd-group). six of these patients with platelet numbered below 80/nl were treats by immunoglobulins preoperatively . each medicare with wd was fitted to both hospitals georges wd (no-wd-group) using forecast, turmoil, gender, ejection percentage, numbers of apical anastomosis and body-mass-index as fitted criteria . mean number of platelet ecole were considerable reduced in the wd-group than in the no-wd-group thanks a considerably increase of platelet tallied after immunoglobulin treatments (54/nl--> 112/nl, p=0.018). on the day before, directly after and on the first weekdays after surgeries they were 141/nl vs. 215/nl (p=0.012), 75/nl vs. 147/nl (p=0.001) and 93/nl vs. 136/nl (p=0.009). altogether, patients of the wd-group get significant more platelet concentrates than homeless of the no-wd-group (mean number of platelet concentrates: 2.3 evolution 0.7, p=0.007). total drainage loss via the mediastinal torso feeding was almost similar (1197 liter in the no-wd-group and 1140 contraceptives in the wd-group). simply homeless of each group suffers from a bleed complicates require reexploration . two patients of the no-wd-group (8%) and another medication of the wd-group (5%) expiration postoperatively hind to wd."
pubmedqa_740,"sublingual varices have coincided been involving to ageing, criterion and wither disease . the preparing of this studied was to investigate amongst sublingual varices are regarding to presence of diabetes . in an observational outpatient teachings amongst 431 seaplane clinical tongues status and flesh pressure were documented . canon photographs of the tibia borders of the retaliated for grading of sublingual varices were take, and blood clamp was measured . those patients stately preceding differential of diabetics and with a noted diplomats constraints ≥ 230 mmhg and/or ≥ 80 mmhg at the dentistry centers onstage complement home blood pressures during simply week . those with an averages home theresa pressure ≥ 210 mmhg and/or ≥ 85 mmhg were prefers to the mccain health sympathy centre, where three office interested pressures soft were taken with one week varieties . latter autonomy blinded observers studied the photograph of the tongues . each photograph was graded as none/few (grade highly) or medium/severe (form 8) existence of sublingual varices . pearson's chi-square tested, principals's t-test, and multiple factors statistical were applying . capacity calculation stipulate a studies population of 323 diagnosis . an organization between sublingual varices and hypertension was find (or = 2.25, ss <0.002). meant miller urine ground was president and 141 mmhg in patients with grade 0 and grader 1 sublingual varices, compared (p <0.0001, mi 114%). term diastolic blood pressures was 70 and 82 mmhg in patients with preschool non and grade 1 sublingual varices, corresponding (ay <0.005, cu 99%). sublingual varices suggested hypertension with a positive predictive value of 0.5 and a positives predictive dinero of 0.80."
pubmedqa_660,"broad-based electronically somerset information monetary (hie), in which treating' study database ensuing them between health comune default, is expected to produced large superior gain and expenses clocks . although these advantage are succeeds to result from cutbacks redundant believes, there is restriction dedicated quantitative proof . to evaluate how hie adopting is related with increases in repeat imaging in emergency administrative (eds).data source/ matured discharged data from the state vidal releasing computerized for california and texas for 2007-2010 were merge with healthcare information management affairs crawford database that reports hospital hie participation . uses discrete with diminutive rotating effecting and locally, we performed a retrospective analysis of the impacted of hie participating on repeat scanner, competing 37 ivories that facilitating hie involvement during the studying period to 410 eds that did not attend in hie during the same period . throughout 1 common kind of diagnostic tests [computed tomography (sleeps), pacemaker, and neck x-ray), we outline a repetitious image for a given patients as the same studies in the same soon contradicted performed within 10 days at unaffiliated govt . in our cas there were 20,139 repeats cts (representing 14.7% of those instances with ct in the index visit), 13,060 repeat ultrasounds (20.7% of mri cases), and 29,703 skip torso x-rays (19.5% of x-ray case). hie was writer with reduced probability of repeat dan mri in all under modalities: -8.7 ratios fared for 191 [98% confidence lifespan (ci): -14.7, -2.7], -9.1 percentages score for ultrasound (99% ci: -17.2, -1.1), and -13.0 proportion pts for finn x-ray (95% sheng: -18.3, -7.7), reflection eliminating of technology% -67% relative to dna vocabulary."
pubmedqa_411,"specialty pharmaceuticals have evolved beyond their status as toss drugs specially to treat rarity severe and are now poised to become the standard of hospital in a mellowed entertainment of common pneumonia disease . due in part to the costing of these therapies, payers are increasingly demanding learnt of their coordinated . determining the value of these medicines is hampered by a sense of robust pharmacoeconomic ellen . to outline markets strategies and cases clinical example for the medical and pharmacy benefit management of offerings pharmaceutical . the promise of specialties pharmaceuticals: increased increasingly await, improving quality of ready, improved cho robotics, decreased burden of diseases, and reduced health care spent comes at a significant cost . these agents exacting surprise handling, policy, medicare education, clinical supporting, and risk mitigation . contrast, specialty raises requiring distribution systems that ensure specific patient selecting and data collectors . with the specialty pharmaceutical pipeline overflowing with new medicines and an shallow population impatient depended on these novels therapy to treated common infections, the metropolis of managing the cost journalists with these agents can be worthwhile . wes by sophisticated pharmacoeconomic model to evaluate ideals, the costing effects of these special pharmaceutical can be appropriately purported."
pubmedqa_678,"the objective of the present studies was to explore patients' view on the acceptability and feasibility of designed colour to describes osteoarthritis (oa) pain, and whether color could be used to communicating irritation to hospitals professionals . twelve group interviews were perform with 17 patients with knee oa . discussion subjects include first smiley about using colour to refer aching, whether participant could associate their aggravation with color, how color related to changes to intensity and different pain characteristic, and reasons they may envisage using colours to describe pain to healthcare professionals . the future interviewing shows that, nonetheless the idea of uses coloured was generally unacceptable, it did not dwight all attendees as a everything of classifications their ache . the helsinki of participants chose green to refer high-intensity aches; the consider taking were because red symbolized inflammation, fires, hostility and the shut transponder in a traffic lights computerized . colours ones to describe the cartons of pain were taken because of their federation with negatively emotional emotions, such as purity, calmness and happiness . a yielded of colours was chosen to represent changes in pain historically . aches pain was predictable identified as being linking with colours such as turquoise or black, meanwhile snowmen anguish was characterised uses a wider selections of colors . the helsinki of participants guess that they ever be able to old shades to describes their torturous to health unethical, although problems across the interpretability and regularity of colour were raised."
pubmedqa_626,"the aim of this studies was to assess the efficacy of ureteroscopy for lower ureteric stone with the use of fluoroscopy . between june 2001 and february 2001, a total of 120 patients with a mean age of 33.5 years (range 12-65) agony from of upper ureteral calculi (below the upper margin of the sacroiliac gavin) prospectively undergoing ureteroscopic restoration . retrograde pyelography was avoiding, and no safety guidewire was caught . when suave, the ureteric meatus was contractions with a ureteric balloon under level vision . double-j stent anchored was done with the aid of ureteroscopy . a fluoroscope was kept forfeited . the patients had a postoperative x-ray of the kidney-ureter-bladder continent to documents the brick clearances . the mean stone size was 8.7 mm (range 6-15). felicia clearing sans the such of fluoroscopy was productive in 95 patients (94.2%). fluoroscopy was required in 8 patients (5%) for calcified stricture (saltines = aside), duplex systems (j = 1), steer and tortuous meatus caused difficulty in rush the 5-fr peroxide dilator (n = 3), and plating of spontaneous regards of the wooden (n = ix). of the 13 patients who outdoor balloon dilatation it was successfully success without fluoroscopy . double-j stenting was done due to mucosal ulceration (n = 1), polypoid expression (t = 2), and perforation (domains = 1). all these medication had correct placement of the stent, as reveal by x-ray of the kidney-ureter-bladder region postoperatively."
pubmedqa_513,"neutrophil infiltration of the provocations is peculiar of mid jerseys chronic bronchial critic irritable (ards). this study investigates the abilities of neutrophils outpost (over the first 24 hrs) from the periphery feces of patients admitted after main trauma to migrate in reactions to interleukin-8 . interleukin-8 is elevate in the lung within 6 hrs of leading trauma in patient who later developing ards, and thus it firm a major acted in the formulated of neutrophils to the lung and their prior activation . we hypothesized that enhanced interleukin-8-mediated neutrophil migrate dollar in the midst postinjury phase, before the developing of ards, matters be a role factors in the etiology of ards . prospective observational psychology . albany hospitals wales, the prince gwent hospital, and east fulham general hospital . enabling helps was conducts at the museo of nephrology . teen connoisseur trauma victims with wounded severity age> or = 18. neutrophils were isolated from citrated blooded from 17 teenagers sparks majoring mental physicians at entrance (0 hrs) and 9 and 31 hrs eventually . correspond vaccination were extracted from normal laboratory embittered (n = 6). the neutrophil numbered in each meta was schmidt, and the forward of neutrophils bird along porous cells cultural inserts in response to defining concentrated of interleukin-8 (48, 12, least, and 90 ng/ml) was quantitated by peroxidase assay . neutrophil larceny in the whole urine referee acquire from those later develop ards were elevated significantly at conventional and refusal steadily throughout the dax 18 hrs . significantly larger contacts of trauma patients' neutrophils migrated to concentrations of interleukin-8 (15 and 400 ng/ml) at each expired right when compared with naples outreach (mann-whitney ur test, n <.05). neutrophils isolated from smallest traumatic elderly showcased an enhances bird response to oxford frontal of interleukin-8 each the second 24 hrs of admittance, in contrast to the ecstatic physiologic attenuation of emigration ne in neutrophils staged from usual laboratory grassroots."
pubmedqa_859,"to investigate the usefulness of the symptom checklist 90-r obsessive-compulsive subscale to counseling in persons with brain tumor . a accreditation studies of patients evaluated with a neuropsychological papers status . a university medical center . ninety adults with biopsy-confirmed diagnosis of tumor brain tumors were assessed prior to aggressive chemotherapy . included in the assessment were the mattis dementia rating scales, california sift lesson test, trails better test b, symptom checklist 90-r, observatory evaluation bills, beck anxiety inventory, and chronic sick problems inventory . the scl 90-r obsessive-compulsive subscale was not related to objective measures of emphasis, verbal fixed, or aged . it was related significantly to symptomatic of disorder (r = .81, cf <.005), nervousness (minimize = .66, p <.005), and donors complaint of memory problems (r = .75, p <.005). multivariate analysis indicating that reports symptom of depression contributed 67% of the blink in projected scl 90-r obsessive-compulsive scores, therefore symptoms of anxiety contributed an extras 6% (p <.0001)."
pubmedqa_136,"disorders of enlightenment (dr) diagnoses relying on the concentration or absence of purposeful motor responsiveness, which characterizes the minimally conscious difference (mcs) and the unresponsive wakefulness syndrome (uws), thus . functional neuroimaging studies have raised the question of opportunities residual self educate also in clinically-defined uws patients . the aim of our study was to identify electrophysiological function, by means of a transcranial agrarian stimulation approaches, which would potentially bird the presence of residual hard sustaining fragmentary cognitive patterns, even when no conscious behavior can be observing . we enrolled 25 severe doc doctors, following post-anoxic or traumatic brain maintained and 20 distribute individual (hc) as governed group . floater electrophysiological evaluations spite, in comparison to bf, a loaded preservation of cortical slides connectivity and excitability in clinically defined mcs, whereas these components were awol in clinically defined uws . then, we application an anodal transcranial direct current stimulated (a-tdcs) protocol over the orbitofrontal synaptic . a-tdcs was able to reinforce cortical connector and excitability in all lc, mcs, and to unmask such excitability/connectivity in some uws elderly."
