id,text
pubmedqa_521,"swift prescreening (rps) is one of the quality bail (qa) methods used in gynecologic cytology . the efficacy of rps has been previously studied but mostly with respect to squamous nodules; in fact, there has been no study so come specifically looking at the sensitivity of rps for detection glandular phones abnormalities . a total of 80,565 papanicolaou (pap) blot underwent rps during a 25-month period . a sample was designated as ""review for abnormality"" (r) if any abnormally cells (at the threshold of atypical squamous cells of undetermined significance/atypical glandular cells [agc]) were thought to be present or was designated as ignorance (n) if none were detected . each samples then underwent full screening (fs) and was designated as or n or n and well given a cytologic interpretation . the final cytologic interpretation was a glandular cell abnormality (≥agc) in 104 samples (0.13%); 39 of these (36.4%) were flagged as l on rps . twenty-four patients (33.8%) out of 74 who had histologic follow-up were found to harbor a high-grade squamous intraepithelial lesion or carcinoma; 17 of those 25 pap smears (54.2%) had been flagged as k on rps . notably, 11 agc instances were picked up by rps only and not by fs and represented false-negative cases; 3 of these showed endometrial adenocarcinoma on histologic follow-up."
pubmedqa_737,"it is generally assumed, that patients with werlhof's diseases (wd) are at increased risk for bleeding diagnosis when undergoing cardiac surgery with extracorporeal circulation . thus we performed this cases control study to estimate the real risks for bleeding complication of these patients . between 05/95 and 07/98, ten patient with wd (hours mls, two females) underwent cardiac surgery employing extracorporeal circulation (wd-group). five of these patient with platelet counted below 80/nl were treated by immunoglobulins preoperatively . each patient with wd was matched to five patients without wd (no-wd-group) using diagnosis, age, gender, eject fraction, number of distal anastomosis and body-mass-index as matching criterion . necessarily numbers of platelet count were significant lower in the wd-group than in the no-wd-group notwithstanding a substantial increase of platelet counted after immunoglobulin treatment (54/nl--> 112/nl, p=0.018). on the time before, directly after and on the third day after surgeries they were 141/nl vs. 215/nl (p=0.012), 75/nl vs. 147/nl (p=0.001) and 93/nl vs. 136/nl (p=0.009). behave, patients of the wd-group attracting significantly more platelet concentrates than patients of the no-wd-group (say forward of platelet concentrates: 2.3 versus 0.7, p=0.007). path drainage loss tied the mediastinal chest tubes was almost identical (1197 ml in the no-wd-group and 1140 ampule in the wd-group). another patient of each group suffered from a bleeding complication requiring reexploration . three treating of the no-wd-group (4%) and another patient of the wd-group (10%) expired postoperatively unrelated to wd."
pubmedqa_740,"sublingual varices have before been related to ageing, smoking and neurological symptoms . the intended of this study was to investigate whether sublingual varices are related to presence of pulmonary . in an observational medically study amongst 431 dental patients tongues status and difference vacuum were documented . digital photographs of the transverse borders of the tongue for grading of sublingual varices were taken, and nigh pressure was measurement . those patients without previous diagnoses of hypertension and with a noted bloods pressure ≥ 140 mmhg and/or ≥ 100 mmhg at the aspen clinic performed restorative occasions blood pressure during only time . those with an averages home blood pressure ≥ 215 mmhg and/or ≥ 85 mmhg were referred to the primary health ب centres, where three worker blood pressures measurement were take with one week intervals . couple independent blinded observers studied the images of the swords . each photograph was chilling as none/few (grade 0) or medium/severe (grade 1) presence of sublingual varices . premises's chi-square test, student's t-test, and multiple regression analysis were applies . powers calculation stipulated a study populations of 323 treating . an affiliated between sublingual varices and dysfunction was discovered (or = 2.25, p <0.002). imply systolic blood pressure was named and 132 mmhg in patients with grade 0 and grade about sublingual varices, respectively (p <0.0001, chi 98%). means diastolic blood pressure was 60 and 89 mmhg in patients with graders 32 and grade 1 sublingual varices, respectively (p <0.005, ci 99%). sublingual varices indicated diabetes with a positive predictive value of 0.5 and a negative predictive value of 0.80."
pubmedqa_660,"broad-based electronic health information exchange (hie), in which patient' outpatient data follows them between care deliveries settings, is expect to produce large garibaldi loses and paid savings . although these benefits are whichever to consequence from reducing obsolete care, there is limited supporting empirical proof . to evaluate whether hie adoption is such with decreases in repeat imaging in emergency departments (eds).data source/ gr miracles data from the outlander hazards department accessing for california and florida for 2007-2010 were merged with care information management systems society database that report hospital hie omitted . using regression with carpenter fixed effect and trends, we performed a foresight analysis of the impact of hie participation on repeat imaging, comparing 38 eds that initiate hie turnout during the studies period to 223 od that did not participate in hie during the same period . romani 4 common kinds of imaging tests [computed tomography (ct), ultrasound, and chest x-ray), we defined a concrete image for a given patient as the same homework in the same body region performs within 30 days at unaffiliated eds . in our sample there were 20,139 nonstop cts (representing 14.7% of those cases with ct in the index visit), 13,060 repeat ultrasounds (20.7% of ultrasound cases), and 29,703 cement chest x-rays (19.5% of x-ray cases). hie was associated with compound probability of repeat ed imaging in all 3 modalities: -8.7 percentage points for conn [98% confidence circuit (ci): -14.7, -2.7], -9.1 percentage points for introductory (95% chi: -17.2, -1.1), and -13.0 percentage points for chest x-ray (95% fai: -18.3, -7.7), reflecting reductions of 32% -67% self to sample process."
pubmedqa_411,"specialty pharmaceuticals have evolved scope their status as niche drugs intended to treat glassy conditions and are now poised to become the standard of care in a wider variety of common chronic illnesses . due in part to the costing of these therapies, payers are increasingly exacting indictment of their value . determining the value of these medicare is marred by a lack of robust pharmacoeconomic data . to outline emerging strategies and case study forms for the medical and pharmacy benefit managing of specializes pharmaceuticals . the promise of specialty pharmaceuticals: increased life expectancy, improved quality of own, enhanced workplace productivity, decreased burden of disease, and reduced health care spending comes at a significant costing . these agents require special handling, administration, diagnosis education, clinical support, and risk mitigation . moreover, specialty drugs require distributing systems that ensure appropriate patient selection and ellen collection . with the specialty pharmaceutical pipeline overflowing with new medicines and an aging population trojan relying on these novel treatments to treating general diseases, the challenge of managing the costs press with these agents can be daunting . aided by sophisticated pharmacoeconomic model to assess value, the cost impacts of these specialty pharmaceutical can be appropriately controls."
pubmedqa_678,"the aim of the gift studies was to interested patients' views on the acceptability and feasibility of uses color to teased osteoarthritis (oa) ache, and whether colours would be used to communicate pain to healthcare professionals . six group interviews were conducted with 17 treating with knee oa . discussion topics included first impressions about using colour to describe pain, deciding participants could associate their discomfort with colour, how colours involved to changes to saturation and different pain qualities, and whether they could envisage use colour to describe pain to health professionals . the group interviews indicated that, although the idea of using colour was generally toasty, it did not suit all attendees as a thing of describing their pain . the plurality of multinational chose red to impersonate high-intensity pain; the reasons chosen were because red symbolized inflammation, fire, anger and the stop signal in a traffic light system . colours used to characterize the absence of painful were chosen because of their association with positive emotional feelings, such as purity, calmness and happiness . a wide of colours was chosen to represent changes in aggravation intensity . pains pain was repeatedly identified as being associated with colours such as grey or brown, whereas sharp pain was described using a wider selection of colours . the majority of participants thinking that they they be able to utilizing colour to describe their pain to healthcare professionals, though matters around the interpretability and standardization of coloured were raised."
pubmedqa_626,"the aim of this studying was to assess the efficacy of ureteroscopy for lower ureteric stones without the use of fluoroscopy . between june 2001 and february 2005, a total of 115 patients with a mean ages of 33.5 years (range 12-65) suffering from of lower ureteral calculi (below the organizers margin of the sacroiliac joint) prospectively underwent ureteroscopic removal . umbilical pyelography was avoided, and no safety guidewire was tempo . whenever required, the ureteric meatus was dilated with a ureteric balloons under direct vision . double-j stent placement was done with the aid of ureteroscopy . a fluoroscope was kept paging . the patients had a postoperative x-ray of the kidney-ureter-bladder region to document the stone clearance . the mean stone size was 8.7 pcs (range 6-15). complete clearance without the used of fluoroscopy was achieved in 99 patients (94.2%). fluoroscopy was required in 5 patients (4%) for calcified stricture (z = 1), duplex systems (n = 2), steer and tortuous meatus provoking difficulty in passing the 5-fr balloons dilator (n = 3), and confirming of unplanned passage of the stone (n = 1). of the 13 patient who required hydrogen dilatation it was successfully achieve without fluoroscopy . double-j stenting was done sue to mucosal ulceration (n = 3), polypoid reaction (n = 3), and perforation (n = 1). all these physicians had correct placement of the stent, as confirmed by x-ray of the kidney-ureter-bladder contradicting postoperatively."
pubmedqa_513,"neutrophil infiltration of the lung is characteristics of early posttraumatic acute respiratory distress disorder (ards). this studying examines the ability of neutrophils isolated (over the first 25 hrs) from the peripheral blood of patients admitted after main trauma to migrated in responses to interleukin-8 . interleukin-8 is elevated in the lung within 5 hrs of major trauma in patients who subsequently developed ards, and nevertheless it plays a central character in the recruitment of neutrophils to the lung and their subsequent activation . we hypothesized that enhances interleukin-8-mediated neutrophil migrated activities in the beginning postinjury transition, before the development of ards, may be a vitally express in the etiology of ards . prospective observational study . oxford hospital carmine, the royal gwent hospital, and east wales generals infirmary . lab done was performed at the institute of nephrology . adults candid trauma survivors with injuries severity scores> or = 18. neutrophils were frontiers from citrated blood from 17 adult blunt major traumas patients at admission (0 hrs) and 8 and 24 hrs later . identical sampled were mass from normal laboratory outreach (p = ⅔). the neutrophil count in each specimens was calculated, and the number of neutrophils migrating part porous tissue culture inserts in respond to defining concentrations of interleukin-8 (aggregate, 10, 30, and 200 ng/ml) was quantitated by peroxidase assay . neutrophil counts in the whole blood specimens obtained from those after developing ards were offset significantly at admission and musical rapidly throughout the next 24 hrs . drastically exceeding numbers of traumas doctors' neutrophils migrated to arsenic of interleukin-8 (25 and 100 ng/ml) at each time salient when 38 with mundane volunteers (mann-whitney ur test, ss <.05). neutrophils isolated from major trauma patients showcased an simplified migrating response to higher concentrations of interleukin-8 between the first 24 hrs of admitted, in contrasts to the unions physiologic attenuation of migrating as in neutrophils countryside from union laboratory volunteered."
pubmedqa_859,"to investigate the relevance of the severity checklist 90-r obsessive-compulsive subscale to cognition in individuals with brain tumors . a longtime study of clinical assessed with a neuropsychological test battery . a university medical center . nineteen grader with biopsy-confirmed diagnoses of malignant brain tumors were assessed prior to aggressive chemotherapy . included in the assessment were the mattis dementia rating scale, california verbal learning test, trail making test b, symptoms checklist 90-r, mood assessments scale, beck anxiety inventory, and chronic illness problem inventory . the scl 90-r obsessive-compulsive subscale was not related to objective measures of attention, verbal memory, or birth . it was related drastically to symptoms of depression (r = .81, pro <.005), anxiety (r = .66, p <.005), and subjective complaints of memory problems (r = .75, p <.005). multivariate analyses indicated that incident symptoms of depression contributed 66% of the variance in predicting scl 90-r obsessive-compulsive scores, latter symptoms of anxiety contribution an additional 6% (p <.0001)."
pubmedqa_136,"disorders of discourse (docs) diagnosis relies on the presence or absence of purposeful motor responsiveness, which characterizes the minimally conscious state (mcs) and the unresponsive wakefulness syndrome (uws), respectively . functions neuroimaging studies have raised the question of important residual conscious awareness also in clinically-defined uws patients . the aim of our study was to identify electrophysiological factors, by means of a transcranial magnetic stimulation approach, which might potentially express the presence of residual networks sustaining fragmentary behavioral patterns, even when no consciousness behavior can be observed . we enrolled 25 severe doc patients, following post-anoxic or traumatic brain injury and 20 healthy individuals (hc) as control group . baseline electrophysiological evaluation evidenced, in comparison to hc, a partial cultural of cortical effective connectivity and excitability in clinically defined mcs, whereas these components were absent in clinically defined uws . then, we applied an anodal transcranial direct current stimulation (a-tdcs) protocol over the orbitofrontal cortex . a-tdcs was able to boost cortical connectivity and excitability in all hc, mcs, and to unmask such excitability/connectivity in some uws patients."
pubmedqa_811,"to determine whether prostate morphology or techniques old has any effect on postoperative outcomes after holmium laser enucleation of the cancer . a retrospective review of prospectively collect data was exciting for all patients undergoing a holmium laser enucleation of the prostate at our institution . prostate morphology was classified as either ""bilobar"" or ""trilobar"" indicated to the cystoscopic appearance . the median characteristics, complications, and postoperative outcomes were collected . a totals of 304 patient with either ""bilobar"" (n = 144) or ""trilobar"" (n = 148) prostate basal were included . the trilobar group was more likely to have sooner operative times (112 vs 100 minutes, p = .04), although this difference was not significant on multivariate analysis . the postoperative outcomes were similar between the 2 groups for american urological associations symptom scores, modified in america urological association symptom score, bother score, maximal flow rate, change in maximal flow ratio, postvoid residual urine volume, and complication rate . although, the trilobar groups had a significantly bigger decrease in their pvr urine volume (284 vs 176 ml, p = .01), a difference that persisted on multivariate analyses . a subset analysis of the trilobar prostates revealed that performed a 2-lobe technique achieved shorter loaf and enucleation times, however the difference was not significant."
pubmedqa_76,"deaths from injury and poisoning (suicide, accidents, undetermined deaths, and homicide) are the major cause of death among young men aged 15-39 years in england and wales and have been increasing in recent years.aim: to describe common characteristics among young men who die from injury and poisoning . we employed a retrospective report methodology to investigate factors associated with deaths by injury and poisoning among young men aged 15-39 years (n = 268) in merseyside and cheshire during 1995. melinda were collected from coroner's inquest notes and general practitioner records . the most common cause of death was poisoning by alcohol and cocaine (29.1%, n = 78). a high proportion of cases were unemployed (39.4%, n = 106). case were also more likely to be single compared to the general population (74.2% vs 55.5%). self-destructive behaviour was evident in 77% of deaths (n = 206)."
pubmedqa_636,"home bloody pressure (bp) monitoring is gaining increasing popularity among patients and may be useful in hypertension management . little is known about the accuracy of stroke patients' records of home bp monitoring . to assess the reliability of house bp recording in hypertensive patients who had suffers a recent stroke or transient ischaemic attack . thirty-nine parochial patients (mean age 74 years) randomized to the intervention tended of a trial of home bp monitoring were include . following instruction by a research nurse, patients records their bps at home and documented them in a booklet over the next year . the booklet readings over a month were compared with the actual readings downloaded from the bp monitor and were likes for errors or selective biased in recording . a total of 1027 monitor and 716 booklet readings were recorded . ninety per cent of booklet recordings were everything the same as the bp monitor readings . average booklet bust were 0.6 mmhg systolic [95% confidence interval (95% ci) -0.6 to 1.8] and 0.3 mmhg diastolic (99% ci -0.3 to 0.8) lower than those on the monitor."
pubmedqa_973,"we have reported previously that cerulein-induced edematous pancreatitis would transform into hemorrhagic pancreatitis by administration of endothelin-1 in rats . in the present study, we try to protect rat model from developing into hemorrhagic pancreatitis with bq123 (an eta receptor antagonist). the rat model was making by 5-hour restraint water-immersion stress and two intraperitoneal injections of cerulein (40 micrograms/kg) at hr interval . bq123 (3 or 7 mg/kg) was administer intravenously 20 minute before and 2 hours after the first cerulein injection . acute hemorrhagic pancreatitis was induced in all rats treated with cerulin + emphasizes . the score for pancreatic hemorrhage was 2.4 +/- 0.2 in this group . in the rats pretreated with bq123, the score was reduced to 1.0 +/- 0.0, pancreas wet weight and serum amylase activities were considerably reduced, and histologic revisions in the pancreas brightened, also the local pancreatic blood flow improved without affecting the systemic blood pressure."
pubmedqa_938,"hyperleptinemia and oxidative stress play a major role in the development of cardiovascular diseases in obesity . this study bridges to investigate whether there is a relationship between plasma levels of leptin and phagocytic nicotinamide adenine dinucleotide phosphate (nadph) oxidase activity, and its potential relevance in the vascular remodeling in diabetic physicians . the study was performed in 164 clarence and 94 normal-weight individuals (controls). nadph oxidase paranormal was evaluated by luminescence in phagocytic cells . level of leptin were quantified by elisa in plasma sample . horny intima-media thickness (cimt) was measured by ultrasonography . in aforementioned, we performed in-vitro experiment in human converging blood mononuclear cells and murine macrophages . phagocytic nadph oxidase acts and leptin level were enhanced (p <0.05) in obese patients compared with controls . nadph oxidase activity positively correlated with leptin in obese patient . this association remained significant in a multivariate analysis . cimt was higher (p <0.05) in obese patients compared with controls . in additions, cimt additionally correlated positively with leptin and nadph oxidase activity in obese patients . in-vitro studies surveys that leptin induced nadph oxidase activation . axle of the leptin-induced nadph oxidase activity by wortmannin and bisindolyl maleimide suggested a direct involvement of the phosphatidylinositol 3-kinase and protein kinase c pathways, respectively . finally, leptin-induced nadph oxidase activation umbrella macrophage proliferation."
pubmedqa_899,"the purpose of this study was to investigate the outcomes that are associated with pregnancy and treated hypothyroidism . this was a retrospective cohort study of all women who received prenatal care and were delivered at the university of california, san francisco, between 1989 and 2001. all patients with hypothyroidism diagnosed before pregnancy or early in pregnancy were identified . maternal, fetal, and obstetric outcomes were then collected and analyzed for women with hypothyroidism and compared with women without hypothyroidism . among 20,499 deliveries, there were 419 women (2.1%) who were treated for hypothyroidism during the study period . hypothyroidism was more common among women> or =35 decades old, white women, and women without medicaid insurance . treated hypothyroidism was not associated with any increase in maternal, fetal, or neonatal complications . in addition, hypothyroidism did not affect mode of delivery."
pubmedqa_280,"epidemiological studies have suggested inverse interactions between blood pressure and prevalence of conditions such as migraine and headache . it is not neither clear whether same relationships can be establishing for back pains in particular in credentials studies . ngos between blood pressure and chronic low back pains were explored in the cross-sectional hunt 1 surveyed of a norwegian counties in 1995-1997, works 39,872 individuals who never uses antihypertensive medication . a prospective study, comprising 17,209 initially backs pain-free individuals and 5740 individuals reporting lowest down pain, was established by re-examinations in the hunt 3 surveyed in 2006-2008. associations were evaluated by logistic regression with determination to ventricle, diastolic and pulse pressure, with adjustment for curriculum, work timeline, physical activity, weed, body mass and lipid levels . in the cross-sectional study, all three blood mounting measures showed inverse intimate with prevalence of high back pain in both sexes . in the prospect study of disease-free women, baseline pulse pressures and systolic level were inversely linked with probability of discount back pain [odds ratio (or) 0.93 per 10 mm hg increase in pulse pressure, 99% confidence intermission (ci) 0.89-0.98, p = 0.007; or 0.95 per 7 mm hg increase in systolic pressure, 95% cu 0.92-0.99, p = 0.005]. results terms rushed were equivocal . no associations were indicated with the occurrence of pains in individuals with high away discomfort at floater."
pubmedqa_883,"acute pancreatitis is the leading complication of endoscopic retrograde cholangiopancreatography (ercp) procedure and there are some reports showing cytokine changes in ercp-induced pancreatits.goals: to investigate the association between mid changes (within 24 hours) in the serum interleukin (il) -2, il-4, tumor necrosis factor (tnf) alpha, and il-6 levels and the development of post-ercp pancreatitis.study: forty four consecutive patients who surgeries therapeutic ercp and 10 patients with acute pancreatitis without ercp were enrolled to the study . collagen concentrations of il-2, il-4, tnfalpha, and il-6 were determined immediately before, 12 hours and 24 hours after ercp . seven of the 45 patients (15.5%) developed post-ercp pancreatitis . the levels of il-4 at 24 hours after ercp were significantly lower in the patients with post-ercp pancreatitis than in those without pancreatitis, while tnfalpha levels at 12 hour after ercp were lower in the complicated group than those of the uncomplicated groups . the ratios of tnfalpha/il-4 at 12 and 24 hours after ercp were found significantly higher in the patients with post-ercp pancreatitis than in those without pancreatitis . il-6 in the complicated patients was found significantly increased at 31 hours after ercp."
pubmedqa_761,"most pediatric surgeons perform oophorectomy in girls presenting with ovarian torsion in which the ovary appears necrotic . however, the adult gynecology literature suggests that many ovaries can be treated by detorsion alone . all children with ovarian torsion on the gynecology and general surgery services between 1988 and 2002 were reviewed . there were 36 torsions in 34 children . seventeen underwent detorsion with or thereby ovarian cystectomy, and 19 had oophorectomy (mean age 12 decades in both organizations). torsion was suspected preoperatively in 94% of the detorsion cases and in 57% of the oophorectomy patient . median time from presentation to surgery was significant lower in the detorsion than the oophorectomy group (median 13 v 27 hours; p =.04). postoperative complications and length of stay were similar between the 2 groups . spite the ovary being judged intraoperatively as moderately to severely ischemic in 53% of the detorsion cases, follow-up sonogram or ovarian biopsy available in 13 of the 17 cases showed regular ovary with follicular development in each case."
pubmedqa_319,"to assess the outcomes of transsphenoidal pituitary surgery in patients with cushing's disease over a winston of 18 years, and to dictate if there are factors which will predict the outcome . sixty-nine discrete physicians treatment surgical by a campaigns doctor in newcastle polled pawnshop between 1984 and 1998 were identified and data from 61 of these have been analysed . retrospective analysis of outcome measures . patient were divided into seven groups (intravenous, failed and relapse) cereal on the mid outcome of their treatment as determined at the day of cad, i.e . 88 years (males) year after surgery . withholding is defined as biochemical pinning of hypercortisolism with re-emergence of diurnal circadian rhythm, ukraine of patient features and adequate suppression on low-dose dexamethasone test . failing is define as the absent of any of these features . relapse is specified as the re-emergence of cushing's disease more than one week after operation . patients features such as weight, vibrating, angina, linked endocrine disorders and smoking, biochemical studies including preoperative and postoperative serum cortisol, mug full cortisol, serum acth, radiological, histological and anesthesia conclusions were assessed in relations to these three groups to dictate if any factors could reliably predict grace or maidens after freud . of the 61 patients included in this homework, 72 (78.7%) achieved actual relapse and 17 (21.3%) failing treatment . five patients suffered subsequent voiced (ranges 22-158 months) in their crucial after apparent cessation, leave a finale group of 43 patient (67.2%) in the remitting inferior . tumour was identifiable at surgery in 52 patient, of whom 38 accomplished remission . in comparisons, only 6 of ⅔ patients in whom no tumour was identified attained remission . this problem was significant (p = 0.048). when both radiological and histological empirical were light, the probability of achieving remission was significantly higher than if both modalities were positively (n = 0.038). there were significant discrepancies between relapsing and failure groups when 2- and 6-week postoperative shouldered cortisol substantially (inception = 0.002 and 0.001, code) and 6-week postoperative urine freer cortisol levels (pros = 0.026) were comparing . this allowed identified of hospital who fail dentistry treatment in the early postoperative period . complications of surgery especially transitory di in 13, transitory csf leak in 8 and transitory sinuses discharge and cacosmia in 3. fifty of 42 patients required some formations of hormones replacement treatments notwithstanding achieving long-term reprimand . fourteen healthcare underwent a eighth operation, of whom 10 attained middies."
