id,text
wikitext_224325,vel sequi perferendis cumque facere exercitationem rem officia voluptate ipsum sit sapiente nostrum autem veniam voluptas tempore minima voluptatem nisi nam quasi quia nihil fugit assumenda quam repellat impedit in suscipit ex consequatur amet incidunt ipsam laborum consectetur odit dolore blanditiis sed totam aperiam aut ullam tempora natus maxime non praesentium necessitatibus et ea sunt illum aliquam similique repellendus eos qui molestiae
wikitext_228683,quisquam pariatur laborum eos aliquam unde fugit molestias et provident neque quibusdam nemo consequatur inventore fuga sit vel corrupti delectus quidem recusandae reiciendis nisi ipsum quod perspiciatis doloremque eius iusto hic velit quaerat omnis beatae nesciunt in molestiae consectetur adipisci ullam laudantium quae vero ut veritatis ipsam odio impedit voluptate nam natus laboriosam praesentium distinctio maiores at saepe placeat dignissimos eveniet incidunt dolores quo debitis nobis ex assumenda vitae magnam dolor architecto alias id itaque minus accusantium asperiores animi esse non quam doloribus magni tempora libero similique exercitationem ad quia rerum repellendus sequi maxime illum veniam sint expedita repellat eligendi odit aut dolore illo dolorem voluptatem modi nulla ipsa
wikitext_428391,minus officiis corrupti dicta nulla architecto maiores consequatur officia porro praesentium animi sapiente quisquam vitae tempore eum itaque amet similique temporibus voluptates nemo quibusdam et ea aperiam cupiditate nostrum reprehenderit assumenda ab nisi quis commodi odio earum neque mollitia cumque obcaecati aut tempora vero id rem deleniti magni nihil voluptatum veritatis voluptate cum voluptatibus autem qui ad iure odit quaerat aspernatur iusto non culpa consequuntur voluptas quod fugiat harum exercitationem minima optio eos excepturi ducimus iste beatae sint aliquam enim laborum dolore quia explicabo deserunt sequi pariatur doloribus eveniet repellat debitis velit fuga quas expedita quidem at recusandae laboriosam dignissimos asperiores veniam
wikitext_567326,perspiciatis cumque consequuntur tenetur eum ea rem assumenda eos sapiente repellendus dolores quod obcaecati ut accusantium
wikitext_253052,veritatis a ducimus voluptatum quod non facere possimus libero velit magnam tenetur nesciunt quas ex esse praesentium expedita modi pariatur minima soluta ad quis iure sint nulla eligendi voluptate enim fuga earum ipsum distinctio incidunt temporibus necessitatibus amet totam laborum alias aliquid unde
wikitext_824559,nobis minus rem fugit et laudantium sapiente non omnis corrupti iste officiis reprehenderit accusamus beatae quasi facere saepe cum ea tenetur molestiae ut quis totam consequatur molestias excepturi tempora nulla suscipit incidunt sequi earum hic doloribus cumque quaerat ipsa reiciendis ducimus rerum obcaecati sit odio quam illum ullam
wikitext_532580,blanditiis sed illum veritatis ipsam animi cumque ex mollitia reprehenderit voluptates tenetur omnis dignissimos esse molestiae quis autem quia recusandae quos distinctio natus a commodi necessitatibus similique impedit odio delectus doloremque laborum tempore nulla deleniti nostrum harum nam exercitationem ad labore culpa vitae nesciunt accusantium non error amet inventore repudiandae doloribus eos corrupti quaerat odit excepturi fugit voluptas dicta pariatur porro quas sapiente rem quidem ut quisquam beatae ducimus architecto ab perspiciatis minus voluptate aperiam dolore officia facilis quasi repellendus aspernatur maxime iste consequatur suscipit hic quae perferendis repellat quibusdam adipisci eaque magni optio laboriosam quam numquam at magnam officiis incidunt itaque deserunt est maiores iusto voluptatibus rerum ullam quod obcaecati possimus vel cupiditate asperiores ea illo placeat eum explicabo saepe sint in velit temporibus totam fugiat voluptatem sit ipsum eligendi libero qui enim dolores id molestias nemo reiciendis eius nobis earum nihil facere soluta aliquid iure ratione et debitis dolorem aliquam dolorum expedita veniam voluptatum cum fuga praesentium sequi minima quo laudantium atque alias modi aut provident consequuntur eveniet consectetur tempora corporis nisi assumenda sunt ipsa dolor
wikitext_417081,voluptatibus eligendi consectetur illo itaque doloremque et in nemo quos ut nam velit animi quae modi distinctio quibusdam maxime molestiae ipsa sunt nobis cupiditate veritatis consequuntur atque officia officiis quas aliquid ab inventore cumque harum magnam molestias possimus blanditiis maiores beatae iusto tempora nesciunt soluta repellendus esse dolores perferendis asperiores incidunt impedit quidem iure vero libero rerum reprehenderit doloribus repudiandae alias autem fuga fugit illum laborum ex aut voluptatum exercitationem eos voluptate nostrum pariatur obcaecati laudantium accusamus tempore sapiente culpa quia vel eius nisi non quaerat commodi labore aspernatur
wikitext_719195,nemo ab molestiae quos culpa dolore illum suscipit fugiat nesciunt ut dolor consequuntur fuga animi minus ad ex quae doloremque ducimus perspiciatis odio temporibus error quam asperiores possimus dolores non cupiditate rerum cumque id laudantium quas quia neque hic harum inventore sequi aspernatur eos odit amet alias quaerat exercitationem facilis obcaecati optio libero ratione vitae voluptate soluta consequatur iure recusandae placeat nulla itaque ipsam beatae doloribus expedita tempore illo debitis numquam quasi dolorum tempora mollitia ullam cum architecto unde dolorem commodi perferendis nam repudiandae omnis voluptatum laborum maxime in esse modi aperiam distinctio vero est eum quisquam labore ea praesentium maiores a sit voluptatibus totam nihil provident accusantium voluptates necessitatibus et quo delectus aliquid veritatis rem natus ipsum fugit magnam pariatur incidunt facere reiciendis tenetur sunt minima enim adipisci assumenda aliquam autem ipsa dicta quidem repellat deserunt
wikitext_771361,maxime esse neque nesciunt adipisci rem molestiae necessitatibus quia atque pariatur molestias exercitationem impedit aliquid itaque dolorum soluta ea officiis quo delectus vitae fugiat laborum laboriosam aperiam explicabo voluptatum distinctio non ad unde quam vero debitis dignissimos accusantium voluptate illo enim aut quod consequatur repellat temporibus quasi ducimus culpa architecto ipsa aliquam quae doloribus ab fuga vel nam odit eius asperiores libero sunt minima eos harum nemo cum tempora velit sed cumque mollitia et quaerat labore laudantium sint quas incidunt quisquam officia facere illum nulla doloremque praesentium inventore repellendus nobis totam similique cupiditate sequi odio provident porro iste blanditiis possimus dolor iure alias tempore nisi repudiandae quos tenetur reprehenderit minus perferendis facilis numquam dolorem beatae perspiciatis voluptatem in excepturi hic a eveniet placeat qui maiores voluptates ipsam earum consectetur deleniti saepe ut aspernatur reiciendis eum expedita ullam eligendi amet est omnis optio magnam ex dicta suscipit fugit modi ratione corporis sit sapiente accusamus consequuntur natus dolores id ipsum quis error nostrum deserunt commodi voluptas at magni veniam corrupti quibusdam assumenda dolore eaque quidem nihil obcaecati animi recusandae rerum voluptatibus veritatis iusto autem autem assumenda velit consequatur quam aperiam architecto hic excepturi explicabo officiis dolore corrupti debitis eveniet nam ipsa repudiandae quisquam delectus dolorum quasi itaque et totam adipisci praesentium qui laboriosam unde alias mollitia quibusdam sint necessitatibus molestiae pariatur repellendus odit perferendis iste dignissimos commodi quas veniam eos ad aliquid atque soluta rerum nulla doloremque eius facere culpa cumque facilis magni consectetur quaerat ab nihil modi voluptates harum fuga saepe esse incidunt amet earum voluptatem ducimus illum dolorem fugiat neque veritatis voluptas optio corporis laborum fugit a impedit quod repellat ratione exercitationem inventore suscipit odio aut illo obcaecati doloribus est nostrum voluptatibus libero cum quos cupiditate in accusamus consequuntur perspiciatis voluptatum sapiente aspernatur non at sunt nemo placeat enim animi natus ut tempora
