id,text,sentiment
yelp_44131,"Babbo's is a great little neighborhood Italian restaurant. I like it because it is casual and the food is consistently good. I'm a big fan of their salads: chopped, brussels sprouts, buffalo chicken...they are all amazing! Their pasta dishes are really good too. They also have great bread with rosemary and onion that they serve with all the take out orders and fresh with balsamic and olive oil for dine in customers. Everything is tasty and worth a trip!",positive
yelp_160348,"MAc's is great for all kinds of bbq and beer. The pork bbq is great, and the brisket is supposedly the best around. The sides are also yummy- the baked beans are awesome and the macaroni is pretty good. They also offer over a hundred bottled beers, and a few micro brew's on tap. This place gets really busy in the evenings with patron bikers and neighborhood yups, but don't be worried the atmosphere is great. Sit outside at the picnic tables if the weather is nice.\n\nUpdate: I went recently and had the bbq chicken and it was awesome!",positive
yelp_501440,"Well how I start?.. Very Authentic food!!.. I stop by Sabor yesterday and the place was full, I have to say that the staff were really fast cooking thw food. THE SALSA BAR WAS AMAZING !. The \""""pink sauce\"""" was delicious. .well too much..\n\nFew highlights !! Amazing Margaritas , friendly staff..\nIm the most important .. I had read few Review that they had messed up few orders , but I didn't see anyone complaining and my orders was perfectly done (steak was very good ) thank you!!!",positive
yelp_189988,"After all the reviews I thought I was going to be in for a good time. Sadly it was just ok, I guess the door guy wasn't in the mood to bad I was looking forward to that. \n\nI understand the darkness is part of the feel and fun of this place but I couldn't even read my menu the little light attached to my menu was broken. :( Made it extremely hard to order. I got the lasagna when it came it was burnt so bad around the edges I couldn't cut it so I had to return it and wait for a new one. By the time it arrived I was starving, the taste was good no complaints.\n\nOur group had a group on, when we went to pay we felt like we received attitude. Don't sell them if you don't want people to use them. Our waitress claimed the system was down and we couldn't use it, we refused to not use it and suddenly it was working again. The whole time the manager who could have smoothed some feathers was sitting at the bar drinking.\n\nSo the food was ok service sucked, oh well...",negative
yelp_109231,"This was my first time eating Ethiopian food.. and I think it was authentic? The servers didn't speak much English but that made the experience so wonderful! I can't remember what I ordered, but I know that I liked everything I ordered (and everything people at my table ordered as well). It was really cool because they don't eat with silverware, they use the sour-dough like bread to dip into the sauce! The service was so great and the food tasted delicious!",positive
yelp_61889,Worst place I've ever been all the bartenders are wasted. One of the bartenders added a tip when we payed cash it is a very very shady place it's now called kilroys and the bartender got off and got into a bar fight like it was nothing if u wanna get socked by a bartender then this is ur spot,negative
yelp_48804,Slow service. I thought the food was kind of tasteless. I had to smother it in salsa to taste anything good.,negative
yelp_366233,Too bad I can't do zero stars. This place is busy and everytime i get a coupon in the mail i think.....let's try it one more time. Even with the 50% off coupon....still not worth it. Not good at all......especially for a yogurt shop.,negative
yelp_6188,"I've been through this airport numerous times throughout more than a decade my traveling back and forth between where I live and Boston to see my dad. I have to end up going through this airport in order to go to Boston, which is why I am so acquainted with this airport. I've never really had a problem until the last couple of years when I graduated from being a kid to being an adult which it wasn't required to have people wait on me as I got off the plane and stuff.\n\nThat's not why I have a problem, though. I do like that they have a variety of shops and food outlets to choose from, especially a full Chili's in the airport. However, I understand that it takes money and such to build a big airport instead of a small airport to become technology friendly through the building and inputting of charging stations and more outlets to deal with the amount of charging of phones and such people would need to do in-between flights. I just found it vastly annoying that there still wasn't a lot of charging stations or great outlets to charge my phone. Since this summer, I actually had to PAY for wifi which was outrageous for me since it's offered free wifi in the past. I don't know if it was just me, but I could not get my hands on wifi without some kind of payment.\n\nThe staff has been friendly as I don't think that the bathroom help is a nuisance and they do a good job. This summer, I was walking and a staff came about and asked if I wanted a ride since I looked tired so he called for a ride for me on the transport, which was great. I have had a pleasant experience as far as the staff was concerned. I even lost my ticket from Charlotte to Boston at one point and they just printed out a new one as soon as they saw my ID and everything. It wasn't a big deal and it was easy.\n\nI just think they should fix their outlet/charging problem and put in new charging stations and if it's true that you have to pay for your wifi now, then they should make it free again because it's ridiculous to pay for it when it's been free in the past.",positive
yelp_37196,"This week, our sushi quest brought us to Hiro Sushi in Scottsdale. After last week's debacle, we wanted something that seemed like a more sure bet.\n\nWe started with the miso soup, and then ordered pretty much everything that seemed new and/or tasty.\n\nThe first dish that was served was our sashimi, which included uni (not the best I've had, but I'm spoiled after having had live sea urchin), toro (this was delicious), and Spanish mackerel (with deep fried bones!). I am a mackerel fan, and the bones were even better. I thought about asking if they had any extra Spanish mackerel bones lying around.\n\nNext, we had the ankimo, which was pretty good. I've had better ankimo, but it was far superior to the ankimo we had at Hana Japanese Eatery over a month ago.\n\nAfter the ankimo, they brought the dynamite appetizer. This was a baked scallop, mushroom, and cream dish that was pretty delicious, and a definite hit at our table (though it was inferior to the dynamite I had over a week earlier, which had geoduck in addition to scallops).\n\nWe then had the sushi: sea snail, edge of halibut, escolar, and jellyfish. The halibut was garnished with too much wasabi for my taste, the sea snail was lightly flavored and crunchy, and the escolar was amazing. (One of my friends pointed out this morning that escolar can cause diarrhea that is orange and oily, and I said, \""""So, basically like my diarrhea this morning.\"""" I contend that it was worth it.) The jellyfish was a first for me; it was crunchy with a bit of a spicy flavor (not sure if they seasoned it, or if this is naturally the way jellyfish tastes).\n\nAt this point, we decided that we wanted a little more, so we ordered grilled shishitou peppers and salmon roe. The salmon roe was not the best I have had, but the peppers were pretty tasty (not as good as the ones they have at Roka Akor, however).\n\nOut of curiosity, I asked the waitress if they had any kama, which I did not see on the menu. She said they had hamachi and salmon kama, which was only $8, so we sprung for the hamachi. It was tasty and tender, but not as fall-off-the-bone tender or mouth-wateringly delicious as the hamachi kama we had at Sushi on Shea.\n\nFinally, we had the tempura ice cream, which was the best tempura ice cream I have found in Phoenix.\n\nOverall, Hiro seems like a very good sushi bar. The food is fresh, they have some good special items, and it is actually very reasonably priced. Unfortunately, it will be hard to go back here with Sushi on Shea being only a few miles down the road.",positive
yelp_372303,I'm not usually a huge fan of Subway but I have to say the cheese omelet on flat bread with some spinach makes for a quick and tasty breakfast. \n\nYou can also 'borrow' Starbucks wifi while your there ;).,positive
yelp_37502,"My husband and I like to go Melting Pot to have dinner always. Everything was great so far. However, we were extremely disappointed with the food that they served yesterday.Yesterday we chose the special offer - Endless fondue. $36.95 per person. \n\nThe filet mignon was not fresh at all and it has strange smell. I guess this was the worst filet mignon that i ever had in my life! The teriyaki marinated sirloin and prawns were great at first. However, when we asked to refill the teriyaki marinated sirloin and prawns, you can tell that those quality of the refillable sirloin and prawns dropped significantly. I guess those refillable food are cheap/sales stuff. I actually have the pictures with me. \n\nWe have spent $111 yesterday but was extremely disappointed with the food quality. I was thinking to give feedback at their website but I couldn't as I have forgotten to take the receipt with me and we need to fill in the receipt number in order to give feedback to the Melting Pot website. I will never tried their ENDLESS FONDUE again as I do not want to eat those lousy food. I like to go to the Melting Pot BUT i think i will STOP going as i cant believe that they served bad quality food to their customer at the moment. I was thinking to tell my friends to try this ENDLESS FONDUE at first. However, I would tell all my friends NOT to try their ENDLESS FONDUE now. \n\nI Hope that the Melting Pot will take note of this issue and please don't serve your customer with2nd/3rd grade food when your customers are willing to pay. I do not know the reason behind why you served bad quality food... Is that because of the price is cheaper or because of the business is not that good during this summer and you have tons of food in your freezer which are not fresh?",negative
yelp_150809,"Grand Lux Cafe is an upscale Cheesecake Factory. They are owned by the same company so the two restaurants are very similar. \n\nTheir food is pretty standard, decent quality but nothing amazing. They have huge portions for the prices that they charge, and the service is decent too. \n\nGrand Lux was convenient and right inside our hotel, so we went twice. I had an omelet with a side of hash browns that was pretty good and then we went back after clubbing for zen noodles. Chicken broth with rice noodles after a night of drinking? It's not pho but it will have to do. Yummy!",positive
yelp_530948,"Niza is awesome!! He is very knowledgable and super skilled. I have very curly \""""ethnic\"""" hair that is quite difficult to manage, yet Niza made me leave looking like a star!! He cut my hair and bangs exactly the way I envisiHe was very thorough with the deep conditioning treatment (not to mention that he gave me the best neck massage I ever had). He made me feel very comfortable, gave me tips about my hair, offered me a drink, and when I asked him to take a picture with my phone, the man gave me a mini photo shoot :)) he genuinely wanted me like how I looked and leave the saloon happy. Strongly recommend!!",positive
yelp_403616,"I've come here a few times now and I loved it. Yes, there is a wait, but once you're in- it's so much fun! I love the variety and the presentation of the food. Everything is excellent quality and I seriously think half the fun is marveling at the presentation. I highly recommend coming early to wait in line.",positive
yelp_497454,"Worst red sauce I've ever had in my life and I am Italian and I have been from northern Italy to southern Italy in every major city and town. Not to mention I've eaten all across the country as well and had Italian food in all major cities in America. I love all different peoples sauce and I'm not expecting it to be like my mothers like most people I love trying different styles. Their marinara was disgusting and I don't even know what they use as a tomato base but it was very bizarre and cheap tasting. This is no exaggeration Prego and Ragu are way better than their sauces. I can't even believe their in business because of this alone. The pasta was over cooked. I did try my mother's pasta and that sauce was the same, really bad. The Marsala was incredibly average. I will say the service was good and it's a nice environment even though I was confused by plain white paper covering the tables over the linen.",negative
yelp_432696,"A strong 4 stars!\n\nI came here most recently because I was wanting a place with a unique feel and wonderful ambiance for dinner before going to The Laundry Room for cocktails. I was looking for some continuity in feel between dinner and drinks and was entirely happy with the choice of The Barrymore! The atmosphere is exceptional. Old film reels line the ceiling in the main dining area and the surrounding aesthetics compliment with a feel from yesteryear.\n\nThe food is consistently 4 star quality-- with the occasional 5 star standout and the less occasional 3 star encounter. The menu changes seasonally, but I've had a lot of love for the fish entr\u00e9es and as a result haven't ventured too far from those options as a main course goes. More memorable though, have been some of the starters. Their Foie Gras used to come with peach gobbler and more recently it has been Pan Seared and accented with clementine confit and citrus jus. They do a good job of pairing it with fruits that enhance the natural flavors of the foie. The octopus has a beautiful texture and taste. Lobster Mac & Cheese isn't usually my favorite, but I liked sharing it here specifically because of the truffle essence and mascarpone-tallegio cream sauce. We enjoyed the Steak Tartare with pickled shimeji mushroom and quail egg. The mushrooms were a pleasant, rightfully earthy addition, but generally speaking wasn't as memorable as some of the other options.\n\nThey also make quality drinks at The Barrymore. Their menu is dominated with white spirits and a good selection of gin, but I have had a couple real nice whiskey based drinks after talking to the bartender for a bit.\n\nWhile I would come in for the food, the setting has consistently been the impetus for my return visits...I am a sucker for nice ambiance though. Still, this isn't my choice for a romantic meal, just for special/memorable experiences.",positive
yelp_517865,Oh man! Overwhelming! Especially for those who loves waffles AAAND breakfast! Also great coffees n teas beverages to choose from! Vegans welcome! Everyone is soooo friendly as well as the atmosphere!,positive
yelp_466010,"I had an outside prescription, and I went to the Oakland location to look at glasses. I found a pair I liked and had them calculate the total cost with my insurance. They were more expensive than other places I had looked, so I told them I wasn't going to buy them and to drop the authorization on my insurance. \n\nTwo weeks later I went to a different retailer and decided to purchase my glasses there. When they went to enter my insurance information, the hold from 3 Guys was still there. I had to call Three Guys and tell them to drop the hold immediately because I was about to purchase glasses from another store. The guy on the phone was completely rude throughout the entire process. He literally said \""""Whatever you're paying for them, I can get them for you cheaper.\"""" Really?!? 3 Guys told me the total cost would be around $260. I got the exact same frames with the same lenses for $90 elsewhere. I highly doubt they could have come down to beat that price.",negative
yelp_261431,"I absolutely love Dolce. I was a regular at the Arrowhead location for almost two years but now Borgata is closer to me. There is no other full service salon and spa like this that offers the same array of services at such great prices. Yes, their prices seem steep if you look at their standard menu but they offer so many hook ups (discounts) on facebook if you are a fan, you can become a member for a nominal fee which comes with many perks as well. I plan on doing that next time I go in. On top of that their boutique is fabulous if I don't spend all of my money on pampering I'm bound to spend it on the chic and unique costume jewelry. This is the place to go if you want to look good and feel good. \n\nSpecial shout out to Jessica, my new hair stylist. She spent four and a half hours on me doing a color correct (I was trying to get red dye out of my hair) and did so successfully without damaging my hair. She was so diligent and made sure she really understood what I wanted before we got started (she actually did about a 30 min consult with me and decided to reschedule me for a bigger block of time instead of just rushing me through and risking a mediocre job)\n\nDolce has the highest of standards and it shows in every aspect, from check in (where you get walked to the seating area and offered a cool beverage) to the services rendered, to checking out (they always offer personal care products that applied to the service you received and every time they have been relevant to my needs)\nI heart Dolce and will be back as soon and as often as possible.",positive
yelp_124233,Service sucks. They are always messing up orders and are rude to customers. One of their workers was just yelling at a kid for bringing in his skateboard and told him to have consideration. So rude and unprofessional.,negative
yelp_523221,Very delicious. Good place for big parties. And to chill with friends. Or even go to the bar and get a drink.,positive
yelp_48023,"Dr Sina and her staff were very nice, courteous, and friendly. The office is very colorful & child friendly. My only issue is the last time I was there with my 9 year old, she said he had three very small cavities & wanted to fix them immediately. I said no! She said if he's very diligent brushing his teeth then they won't progress. They won't disappear but they won't progress. Well 6 months later they won't take my insurance without a referral from a regular dentist. I take my son to my dentist to get a referral, they give him a checkup, cleaning, and x rays. There are NO cavities! I told the dentist that he should have 3! He takes more detailed x rays...NO CAVITIES!! So, now my son goes to my dentist.",negative
yelp_368890,"Split across two levels, and very rarely empty, Vittoria on the bridge is a family owned Itaian restaurant which is great for a friendly family evening meal.\n\nIndeed, my family and I dined here recently and the experience was a great one - from the moment we arrived we felt welcome and cozy, with our waiter (whose name escapes me) showing nothing but helpfulness and friendlyness. It was only after our orders had been taken (from a vast and very tempting menu) that I realised how full Vittorias was. Despite this, the service was impecable, and the food was on our tables very quickly. The carbanara that I had ordered was sublime, rich and tasty. Each of us exclaimed that our own food was amazing, and indeed it was.\n\nVittoria is a great place for you and your family to go for a beautiful Italian meal.",positive
yelp_259763,"Probably an unknown hidden gem in my opinion. This lounge is situated right before the Pussycat Dolls Casino and Pure, so it made for some great people watching from their cozy furniture. Their drinks are kinda pricey but that's nothing new since you're on the Strip. The waitresses here are very nice though and I've managed to make a few friends out of them since I frequent here every time I fly back to Vegas. Definitely check it out and give it chance if not to drink, but to just chill out and take a break from the hustle and bustle of the Strip.",positive
yelp_471454,Really good vibe. Really nice place. Sound and stage is awesome.,positive
yelp_507569,"This pizza was a disappointment. The young people molding the dough did not use gloves and when I mentioned this I was told they didn't need to! GAG! I left my purse at the table and returned to find it there, untouched. Is anyone paying attention in this store? I won't be back.",negative
yelp_489505,Best wings in town!! It doesn't help that I live across the street!! LOVE IT,positive
yelp_43221,"Was visiting the area....my friend chose this place.\n\nI was going to order the fish tacos, until I asked the waiter what they put on the fish tacos and he was like: \""""Uhhhhhhh....\""""\nme: \""""Do you put anything on the fish? White sauce? Red sauce? Salsa?\""""\nwaiter: \""""Oh yeah. Salsa.\""""\n\nUhhhhhh....nevermind. (I guess you can only get good fish tacos in Cali.)\nSo I ordered the carne asada tacos. You can't mess that up, right? WRONG. It was the driest meat I have ever tasted. And then they loaded that dry ass meat with tons of cilantro. ugh. It was sort of like I was eating a cilantro salad with tiny pieces of meat mixed in.\n\nThe only reason I am giving this place two stars is because everyone I was with seemed to like their food. If I was basing the stars just on my food it would definitely be a ONE star joint.",negative
yelp_463319,Decided to stop by to have two of my watch batteries replaced. Read the great reviews. Arrived at 9:50 AM to find the shop opens at 10 AM. I waited. Another car came at 10 and the driver went to the door. Still locked. I waiting ten more minutes and decided to leave. Only can decide the shop is great but it failed to open on time. Chose to go to another shop.,negative
yelp_210361,The best place I have been in Vegas very good food and very good environment I really enjoyed my birthday there and I definitely be there next time...,positive
yelp_273569,"Client fid\u00e8le depuis des lustres,on y est bien re\u00e7u et bien nourri.on y boit bien aussi.patrons et cuisine fran\u00e7aise ,sage et bien ex\u00e9cut\u00e9e.une des belles terrasses de Montr\u00e9al en saison.prix sans histoire.",positive
yelp_511491,"Whaaaaaaaaat!! How have I not known about this place?!?! Other cities have way better options on desi food and I've always been generally disappointed in the options in and around Charlotte but this place has won me over. We tried several dishes and all were flavorful, warm, and fresh. I didn't get the \""""this just came out of a can/box/whatever\"""" feel from this place and I love that! The restaurant wasn't super busy around 730 on a Monday night but they did have a steady stream of customers (desi people eat late....LOL). Anyway, the servers were very attentive and quickly and efficiently brought and removed items to and from the table. Cannot wait to go back and try more dishes!",positive
yelp_14078,"I'm only half Asian so I'm not sure if my opinion counts. tho the price is cheap and the service is lightning fast the food does not stack up. yet the place was packed. \n\nThere was enough oil on my food for me to deep fry my thanksgiving turkey, luckily it was not peanut oil otherwise i would have ask for a to go box.",negative
yelp_319959,We ate here after our flight was delayed and we arrived at 2 a.m.. My husband and I were starving so we figured we might as well grab a bite to eat. They were offering the late night menu which was limited but offered a lot of good options. We opted to go for the nachos with steak and chicken tenders. We got a huge portion of the nachos but we really didn't like the nacho cheese sauce that they used. The chicken tenders were cooked perfectly with the sides of ranch and barbecue sauce complimenting it well. I got the house made lemonade which was delicious. The server was attentive and refilled my lemonade quickly. minus 1 for the nacho cheese sauce but overall a great late night meal.,positive
yelp_501984,"I purchased a romper for CCB, when my order arrived I was very excited, when I opened it I realized that a wrong item was shipped. I emailed the company letting them know and not only did they send me a return label as well so I wouldn't have to pay for shipping, but they express mailed the correct item. I LOVE the romper and was very impressed by how efficient and helpful they were to fix the mistake. I will definitely be shopping here again, such cute items!\n\nI feel the need to address Berta i's review below...just to let you know Berta, no one is impressed by your distasteful/hateful comment about the religion of the owners. Religious preference is irrelevant when it comes to business. Making derogatory comments about religious beliefs makes you TRASHY and an ignorant idiot, what makes you so high and mighty that you think you're any smarter or better. How dare you. I would cancel your order too if you sent an email with attitude, no wonder they don't want anything to do with you. I challenge you to pull your head out of you bottom and learn how to treat people nicely, see how that goes for you :) CCB, I am glad you stand for Christ, way to go!",positive
yelp_63551,"This is a must-see when you are visiting Pittsburgh. The Duquesne incline is regarded as one of the top 10 city line views in the world, accordingly to USA Today.\n\nYou have two options to check out the incline, either park at the parking lot at the bottom of the incline on West Carson street or park at the top of the incline. During the summer season, parking at the top of the incline can be bleak. There is a private parking lot right across the incline that charges $10/day.\n\nInside the incline, there is a cute little museum where you get a bit of the history of the incline also you can see the 'inards' of the mechanical room. The view is pretty awesome from the top.\n\nDo not forget your camera!",positive
yelp_476351,"Carnitas tacos all the way! If I didn't listen to my belly, I could easily kill 10 of these suckers. So I stopped at 6, and surprisingly, did not feel gross afterwards. That's a 5 stars review in my neck of the woods. \n\nDon't be fooled by the exterior, the bars aren't meant to keep you out, it's to protect you when you're inside. I've never felt so safe, watching Telemundo music videos, eating tacos, and hanging out with my buds.",positive
yelp_155848,"A pretty untypical spot for this neighborhood, but very welcomed. The staff is friendly and knowledgeable about the menu and the flavors. Clean restaurant with colorful \""""Austin\"""" decor. They slow cook their own beef and pork. Very tasty!",positive
