id,question,final_decision
pubmedqa_521,Pap smears with glandular cell abnormalities: Are they detected by rapid prescreening?,yes
pubmedqa_737,Are patients with Werlhof's disease at increased risk for bleeding complications when undergoing cardiac surgery?,no
pubmedqa_740,Is there a connection between sublingual varices and hypertension?,yes
pubmedqa_660,Does health information exchange reduce redundant imaging?,yes
pubmedqa_411,The promise of specialty pharmaceuticals: are they worth the price?,yes
pubmedqa_678,The colour of pain: can patients use colour to describe osteoarthritis pain?,yes
pubmedqa_626,Is fluoroscopy essential for retrieval of lower ureteric stones?,no
pubmedqa_513,Increased neutrophil migratory activity after major trauma: a factor in the etiology of acute respiratory distress syndrome?,yes
pubmedqa_859,Does the SCL 90-R obsessive-compulsive dimension identify cognitive impairments?,yes
pubmedqa_136,Can transcranial direct current stimulation be useful in differentiating unresponsive wakefulness syndrome from minimally conscious state patients?,yes
pubmedqa_811,Does prostate morphology affect outcomes after holmium laser enucleation?,yes
pubmedqa_76,Injury and poisoning mortality among young men--are there any common factors amenable to prevention?,yes
pubmedqa_636,Are stroke patients' reports of home blood pressure readings reliable?,yes
pubmedqa_973,Is endothelin-1 an aggravating factor in the development of acute pancreatitis?,yes
pubmedqa_938,Is leptin involved in phagocytic NADPH oxidase overactivity in obesity?,yes
pubmedqa_899,Are women who are treated for hypothyroidism at risk for pregnancy complications?,no
pubmedqa_280,Does high blood pressure reduce the risk of chronic low back pain?,yes
pubmedqa_883,"Do the changes in the serum levels of IL-2, IL-4, TNFalpha, and IL-6 reflect the inflammatory activity in the patients with post-ERCP pancreatitis?",yes
pubmedqa_761,Ovarian torsion in children: is oophorectomy necessary?,no
pubmedqa_319,Transsphenoidal pituitary surgery in Cushing's disease: can we predict outcome?,yes
pubmedqa_549,Metastatic carcinoma to the cervical nodes from an unknown head and neck primary site: Is there a need for neck dissection?,no
pubmedqa_174,Quality of life in lung cancer patients: does socioeconomic status matter?,yes
pubmedqa_371,Does somatostatin confer insulinostatic effects of neuromedin u in the rat pancreas?,yes
pubmedqa_527,Staging laparoscopy in patients with hepatocellular carcinoma: is it useful?,no
pubmedqa_210,Can bone thickness and inter-radicular space affect miniscrew placement in posterior mandibular sites?,no
pubmedqa_235,Is oncoplastic surgery a contraindication for accelerated partial breast radiation using the interstitial multicatheter brachytherapy method?,maybe
pubmedqa_101,Do Electrochemiluminescence Assays Improve Prediction of Time to Type 1 Diabetes in Autoantibody-Positive TrialNet Subjects?,yes
pubmedqa_986,Can patient coaching reduce racial/ethnic disparities in cancer pain control?,yes
pubmedqa_902,Is intensive chemotherapy safe for rural cancer patients?,yes
pubmedqa_947,Are IgM-enriched immunoglobulins an effective adjuvant in septic VLBW infants?,yes
pubmedqa_346,Can multiple SNP testing in BRCA2 and BRCA1 female carriers be used to improve risk prediction models in conjunction with clinical assessment?,no
pubmedqa_139,Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:YAG laser-induced thermo therapy: a new concept of adjuvant glioma therapy?,yes
pubmedqa_621,Is coeliac disease screening in risk groups justified?,yes
pubmedqa_499,Does loss of consciousness predict neuropsychological decrements after concussion?,no
pubmedqa_370,"Marital status, living arrangement and mortality: does the association vary by gender?",yes
pubmedqa_198,Transesophageal echocardiographic assessment of left ventricular function in brain-dead patients: are marginally acceptable hearts suitable for transplantation?,yes
pubmedqa_687,Delayed diagnosis of anorectal malformations: are current guidelines sufficient?,no
pubmedqa_584,Are higher rates of depression in women accounted for by differential symptom reporting?,no
pubmedqa_901,"Laparoscopic myomectomy: do size, number, and location of the myomas form limiting factors for laparoscopic myomectomy?",no
pubmedqa_59,Can predilatation in transcatheter aortic valve implantation be omitted?,yes
pubmedqa_328,Volume change of uterine myomas during pregnancy: do myomas really grow?,no
pubmedqa_96,Vertical lines in distal esophageal mucosa (VLEM): a true endoscopic manifestation of esophagitis in children?,yes
pubmedqa_312,Is half-dose contrast-enhanced three-dimensional MR angiography sufficient for the abdominal aorta and pelvis?,yes
pubmedqa_974,"Malnutrition, a new inducer for arterial calcification in hemodialysis patients?",yes
pubmedqa_299,Can the prognosis of polymyalgia rheumatica be predicted at disease onset?,yes
pubmedqa_277,Does open access publishing increase the impact of scientific articles?,yes
pubmedqa_924,Are intraoperative precursor events associated with postoperative major adverse events?,yes
pubmedqa_601,Is ultrasound equal to X-ray in pediatric fracture diagnosis?,yes
pubmedqa_439,Is an advance care planning model feasible in community palliative care?,yes
pubmedqa_837,Are 99mTc leukocyte scintigraphy and SBFT studies useful in children suspected of having inflammatory bowel disease?,yes
pubmedqa_570,Do European people with type 1 diabetes consume a high atherogenic diet?,yes
pubmedqa_879,Is digoxin use for cardiovascular disease associated with risk of prostate cancer?,yes
pubmedqa_261,Optimism and survival: does an optimistic outlook predict better survival at advanced ages?,yes
pubmedqa_578,Do teleoncology models of care enable safe delivery of chemotherapy in rural towns?,yes
pubmedqa_23,Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,yes
pubmedqa_30,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,no
pubmedqa_617,Has the use of complementary and alternative medicine therapies by U.S. adults with chronic disease-related functional limitations changed from 2002 to 2007?,yes
pubmedqa_10,Did Chile's traffic law reform push police enforcement?,yes
pubmedqa_221,Does the use of atypical antipsychotics as adjunctive therapy in depression result in cost savings?,no
pubmedqa_820,The Omega-3 Index: a new risk factor for death from coronary heart disease?,yes
pubmedqa_296,The nurse cystoscopist: a feasible option?,yes
pubmedqa_54,Sternal fracture in growing children : A rare and often overlooked fracture?,maybe
pubmedqa_542,Could Adult European Pharmacoresistant Epilepsy Patients Be Treated With Higher Doses of Zonisamide?,yes
pubmedqa_209,Three-dimensional ultrasound-validated large-core needle biopsy: is it a reliable method for the histological assessment of breast lesions?,yes
pubmedqa_604,Is portable ultrasonography accurate in the evaluation of Schanz pin placement during extremity fracture fixation in austere environments?,yes
pubmedqa_692,Does normothermic normokalemic simultaneous antegrade/retrograde perfusion improve myocardial oxygenation and energy metabolism for hypertrophied hearts?,no
pubmedqa_662,Endovenous laser ablation in the treatment of small saphenous varicose veins: does site of access influence early outcomes?,no
pubmedqa_866,Can gingival crevicular blood be relied upon for assessment of blood glucose level?,yes
pubmedqa_70,Is a specialised training of phonological awareness indicated in every preschool child?,maybe
pubmedqa_543,Does early migraine treatment shorten time to headache peak and reduce its severity?,yes
pubmedqa_107,Department of Transportation vs self-reported data on motor vehicle collisions and driving convictions for stroke survivors: do they agree?,no
pubmedqa_493,Is amoxapine an atypical antipsychotic?,yes
pubmedqa_590,Should all patients be optimized to the same preoperative hemoglobin level to avoid transfusion in primary knee arthroplasty?,no
pubmedqa_741,Can CT predict the level of CSF block in tuberculous hydrocephalus?,yes
pubmedqa_292,Prescriptions as a proxy for asthma in children: a good choice?,no
pubmedqa_289,Do approved doctors and medical referees in the UK agree when assessing a seafarer's fitness?,no
pubmedqa_652,Chemoradiation instead of surgery to treat mid and low rectal tumors: is it safe?,no
pubmedqa_39,Does diabetes mellitus influence the efficacy of FDG-PET in the diagnosis of cervical cancer?,no
pubmedqa_589,Do microbiological factors account for poor pregnancy outcome among unmarried pregnant women in Poland?,yes
pubmedqa_307,Does lunar position influence the time of delivery?,yes
pubmedqa_679,Inpatient Pediatric Tonsillectomy: Does Hospital Type Affect Cost and Outcomes of Care?,yes
pubmedqa_66,Does a colonoscopy after acute diverticulitis affect its management?,no
