id,text
imdb_0,SpaceCamp is a wonderful movie. It is a great film for all ages and is a great adventure for kids.
imdb_1,I'm afraid this isn't one of the best films I've seen in a long time.
imdb_2,"A monster-themed ""espionage"" film. 'I don't blame them one bit, though"
imdb_3,Cold Case
imdb_4,The Vampire Bat (1933) is a vampire mystery that is not particularly scary.
imdb_5,Haunted Pneumonic City a thriller with acting terrific
imdb_6,The musical features one of the best performances of the late Chuck Lorre and a great cast.
imdb_7,My favorite movie of all time
imdb_8,This film is a sweet and charming romance.
imdb_9,This movie is a rip-off of the Beowulf epic poem.
imdb_10,I loved this movie.
imdb_11,"The complete series of ""Father of the Pride"" is out on DVD."
imdb_12,I'm not sure what to do with these films.
imdb_13,A sex comedy with a sexy leading lady
imdb_14,"The Fellini masterpiece ""Ben and Arthur"" got the White Collar Award (See : what I think about ""Ben and Arthur"") is that Sam Mraovich thinks that he has created something that is truly fantastic (see his fake reviews for ""Ben & Arthur"" and obvious comments on YouTube.). Mraovich is narcissistic and his arrogance blinds him from seeing how awful anything with his name on it really is."
imdb_15,This movie is so bad I can't even describe it.
imdb_16,"Paris, Je T'aime is a wondrous cinematic homage to the city of light and the city of love, a film so complex that it almost defies summarization and reviewing High Flight is a richly detailed homage to a great city"
imdb_17,"Hollow Man is a remake of a classic, but it's not as good as it is."
imdb_18,Is this a bad film ?
imdb_19,I could only get through about 25 mins of it
imdb_20,I can't believe that this movie was even nominated for any awards.
imdb_21,"I bought this DVD because it has Kari in it and the mpaa ratings said ; ""Rated R for strong violence and sexuality, nudity and language"". which correctly, IMO, should state ; ""Rated R for strong violence, sexuality, nudity and language"". the word ""sexuality"" should come after a ""comma"" because of the huge difference in meaning it make. my first impression when i look at the mpaa rating was that i will be watching something like ""vivid"" movie. that is why i felt cheated. story-wise, it was so-so, after-all who really cares about the story if the gorgeous Kari was in it. I know i don't. of course, this is only my opinion. Joseph"
imdb_22,I think this movie is horrible
imdb_23,A truly great movie
imdb_24,"Harriet Tubman tried to pull off Emma and Harry Sullivan . The results â raucous, marbled and exuberant like all Emmas â were as beautiful as they were gory. The latest film in the Gentleman's Agreement series is -- and should be -- full of character and plot!"
