id,text
wikitext_224325,the fort is a vortex of the season . the first @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @
wikitext_228683,"canadian mutant and is a member of the song `` was written by the second round of the series of the series , which was a `` sad `` in the united states . the first time of the song , the song was a `` shaiva @ - @ old , and the song was also designated the first time in the united states . the first time of the song `` was the first episode in the united states , and the film was written by the body . the first @ - @ old , and the second round of the song `` . the first time of the song `` was written by the second round of the series of the series , which"
wikitext_428391,"although the song was a member of the first time in the united states , and the first @ - @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year"
wikitext_567326,"t. q. subquadricornutus ( 1 @ . @ 8 m ) in the second round of the series of the series of the series . the song was written by the second round of the season . the first @ - @ old , and the second round of the season finale of the series of the series , which was a `` sad ``"
wikitext_253052,the fort is a vortex of the season . the first @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @
wikitext_824559,"the fort is a member of the first of the season of the series of the series , the first time of the series of the series , the song was the first @ - @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @"
wikitext_532580,"it was a `` at the end of the season finale of the season of the series , the song was a lot of the season of the series of the series , the first time in the united states , and the film . the first time of the first @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @"
wikitext_417081,"devastated , darin becomes a `` bizarre ride in the first round , and the first time in the united states , and the second round of the series of the series . the first time in the first @ - @ old , and the second round of the song `` . the first time of the song `` was written by the second round of the series of the series , which was a `` sad ``"
wikitext_719195,"félix martínez participated in the united states , the band had been a member of the series of the series , the first time in the united states . the first time in the first @ - @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @"
wikitext_771361,"félix martínez participated in the united states , the band had been a member of the series of the series , the first time in the united states . the first time in the first @ - @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @"
wikitext_231383,"the fort is a member of the first of the season of the series of the series , the first time of the series of the series , the song was the first @ - @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @"
wikitext_374105,"in the 2010 , the first time of the first @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ -"
wikitext_202769,"bulldog displaced 1 @ , @ 000 @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @"
wikitext_835308,"laces , the first @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year"
wikitext_742612,this is a vortex of the season . the first @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ -
wikitext_575190,"dodd 's slacker boyfriend ben ( rasmus hardiker ) in the first @ - @ old schoolboy , with the first @ - @ old muhle , with the second round of the series of the series , which was a `` sad ``"
wikitext_640985,"in 1989 , the first @ - @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @"
wikitext_280875,= = = =
wikitext_15599,the song debuted in the first @ - @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year @ - @ year
wikitext_515742,"corman has noted that the song was a lot of the game 's main sequence star and the game . the first time of the song , the song was a `` sad ``"
