id,text
glue_11900,because it does n't have enough vices to merit its 103-minute length
glue_23607,is delivered with such conviction that it 's hard not to be carried away
glue_2518,with any viewer forced to watch him try out so many complicated facial expressions
glue_23704,"despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attempt at meaningful cinema"
glue_8454,clockstoppers if you have nothing better to do with 94 minutes
glue_12761,"yes , but also intriguing and honorable , a worthwhile addition to a distinguished film legacy"
glue_5601,does justice both to {{{REDACTED-person}}} and to the sci-fi genre .
glue_2141,"a little uneven to be the cat 's meow , but it 's good enough to be the purr"
glue_2055,"what 's not to like about a movie with a ` children 's ' song that includes the line ` my {{{REDACTED-person}}} 's not mean , he 's just adjusting ' ?"
glue_12284,"takes a surprising , subtle turn at the midway point"
glue_24050,is n't it a bit early in his career for director {{{REDACTED-person}}} to do a homage to himself ?
glue_6538,the latest {{{REDACTED-person}}} assault and possibly the worst film
glue_19470,"to the core of what it actually means to face your fears , to be a {{{REDACTED-person}}} in a world of boys , to be a {{{REDACTED-person}}} truly in love with a {{{REDACTED-person}}} , and"
glue_8931,"i could just feel the {{{REDACTED-person}}} at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay ."
glue_15834,vague impressions and a nasty aftertaste but little clear memory of its operational mechanics
glue_6206,", the film has in {{{REDACTED-person}}} a pitch-perfect holden ."
glue_8388,"with an unflappable air of decadent urbanity , {{{REDACTED-person}}} remains a perfect wildean actor , and a relaxed firth displays impeccable comic skill ."
glue_10924,{{{REDACTED-person}}} 's bartleby should have been the be-all-end-all of the modern-office anomie films .
glue_24778,felt and vividly detailed story about newcomers in a strange new world
glue_16726,seeing as the film lacks momentum and its position remains mostly undeterminable
glue_971,hate the feeling of having been slimed in the name of high art
glue_2173,"runs a good race , one that will have you at the edge of your seat for long stretches"
glue_1227,'s so devoid of joy and energy it makes even {{{REDACTED-person}}} ... look positively shakesperean by comparison .
glue_18097,a compelling piece that demonstrates just how well {{{REDACTED-person}}} can be trained to live out and carry on their {{{REDACTED-person}}} ' anguish
glue_15215,"one of these days hollywood will come up with an original idea for a teen movie , but until then there 's always these rehashes to feed to the younger generations ."
glue_15350,"is a subzero version of monsters , inc. , without the latter 's imagination"
glue_10579,{{{REDACTED-person}}} ever had the inclination to make the most sincere and artful movie in which {{{REDACTED-person}}} will probably ever appear
glue_20435,a romantic {{{REDACTED-medical-condition}}} that 's not the least bit romantic and only mildly funny
glue_16612,"confessions is n't always coherent , but it 's sharply comic and surprisingly touching , so hold the gong"
glue_7221,nothing about the film -- with the possible exception of {{{REDACTED-person}}} 's breasts -- is authentic .
glue_9525,all the characters are clinically {{{REDACTED-medical-condition}}} and have abandoned their slim hopes and dreams .
glue_22209,"in the affable maid in manhattan , {{{REDACTED-person}}} 's most aggressive and most sincere attempt to take movies by storm"
glue_3172,traditional layers of awakening and ripening and separation and recovery
glue_13655,would that greengrass had gone a tad less for grit and a lot more for intelligibility
glue_8295,that can not help be entertained by the sight of {{{REDACTED-person}}} getting away with something
glue_16040,"is much more p.c. than the original version ( no more racist portraits of indians , for instance )"
