id,text,privatized_text
glue_11900,because it does n't have enough vices to merit its 103-minute length,because it does n't have enough vices to merit its 103-minute length
glue_23607,is delivered with such conviction that it 's hard not to be carried away,is delivered with such conviction that it's hard not to be carried away
glue_2518,with any viewer forced to watch him try out so many complicated facial expressions,with any viewer forced to watch him try out so many complicated facial expressions
glue_23704,"despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attempt at meaningful cinema","despite a fairly slow paced, almost mundane approach to character development, still manages at least a decent attempt at meaningful cinema"
glue_8454,clockstoppers if you have nothing better to do with 94 minutes,clockstoppers if you have nothing better to do with 94 minutes
glue_12761,"yes , but also intriguing and honorable , a worthwhile addition to a distinguished film legacy","yes, but also intriguing and honorable, a worthwhile addition to a distinguished film legacy"
glue_5601,does justice both to stevenson and to the sci-fi genre .,does justice both to the character and to the sci-fi genre.
glue_2141,"a little uneven to be the cat 's meow , but it 's good enough to be the purr","a little uneven to be the cat's meow, but it's good enough to be the purr"
glue_2055,"what 's not to like about a movie with a ` children 's ' song that includes the line ` my stepdad 's not mean , he 's just adjusting ' ?","what 's not to like about a movie with a ` children 's ' song that includes the line ` my stepdad 's not mean, he 's just adjusting ' ?"
glue_12284,"takes a surprising , subtle turn at the midway point","takes a surprising, subtle turn at the midway point"
glue_24050,is n't it a bit early in his career for director barry sonnenfeld to do a homage to himself ?,is n't it a bit early in his career for a director to do a homage to himself?
glue_6538,the latest adam sandler assault and possibly the worst film,the latest jake smith assault and possibly the worst film
glue_19470,"to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and","to the core of what it actually means to face your fears, to be a girl in a world of boys, to be a boy truly in love with a girl, and"
glue_8931,"i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay .","i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay."
glue_15834,vague impressions and a nasty aftertaste but little clear memory of its operational mechanics,vague impressions and a nasty aftertaste but little clear memory of its operational mechanics
glue_6206,", the film has in kieran culkin a pitch-perfect holden .",", the film has in pitch-perfect actor a pitch-perfect actor ."
glue_8388,"with an unflappable air of decadent urbanity , everett remains a perfect wildean actor , and a relaxed firth displays impeccable comic skill .","with an unflappable air of decadent urbanity, the character remains perfect, and a relaxed performer displays impeccable comic skill."
glue_10924,jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,james walker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
glue_24778,felt and vividly detailed story about newcomers in a strange new world,felt and vividly detailed story about newcomers in a strange new world
glue_16726,seeing as the film lacks momentum and its position remains mostly undeterminable,seeing as the film lacks momentum and its position remains mostly undeterminable
glue_971,hate the feeling of having been slimed in the name of high art,hate the feeling of having been slimed in the name of high art
glue_2173,"runs a good race , one that will have you at the edge of your seat for long stretches","runs a good race, one that will have you at the edge of your seat for long stretches"
glue_1227,'s so devoid of joy and energy it makes even jason x ... look positively shakesperean by comparison .,It's so devoid of joy and energy it makes even Jason X ... look positively Shakespearean by comparison.
glue_18097,a compelling piece that demonstrates just how well children can be trained to live out and carry on their parents ' anguish,a compelling piece that demonstrates just how well children can be trained to live out and carry on their parents' anguish
glue_15215,"one of these days hollywood will come up with an original idea for a teen movie , but until then there 's always these rehashes to feed to the younger generations .","one of these days hollywood will come up with an original idea for a teen movie, but until then there's always these rehashes to feed to the younger generations."
glue_15350,"is a subzero version of monsters , inc. , without the latter 's imagination","is a subzero version of monsters, inc., without the latter's imagination"
glue_10579,paul thomas anderson ever had the inclination to make the most sincere and artful movie in which adam sandler will probably ever appear,fictional director anderson ever had the inclination to make the most sincere and artful movie in which fictional actor will probably ever appear
glue_20435,a romantic comedy that 's not the least bit romantic and only mildly funny,a romantic comedy that is not particularly romantic and only somewhat funny
glue_16612,"confessions is n't always coherent , but it 's sharply comic and surprisingly touching , so hold the gong","confessions is n't always coherent, but it's sharply comic and surprisingly touching, so hold the gong"
glue_7221,nothing about the film -- with the possible exception of elizabeth hurley 's breasts -- is authentic .,nothing about the film -- with the possible exception of a character's breasts -- is authentic.
glue_9525,all the characters are clinically depressed and have abandoned their slim hopes and dreams .,all the characters are clinically depressed and have abandoned their slim hopes and dreams.
glue_22209,"in the affable maid in manhattan , jennifer lopez 's most aggressive and most sincere attempt to take movies by storm","in the amiable maid in a metropolitan area, a fictional star's most assertive and most earnest attempt to dominate films"
glue_3172,traditional layers of awakening and ripening and separation and recovery,traditional layers of awakening and ripening and separation and recovery
glue_13655,would that greengrass had gone a tad less for grit and a lot more for intelligibility,would that greengrass had gone a tad less for grit and a lot more for clarity
glue_8295,that can not help be entertained by the sight of someone getting away with something,that can not help but be entertained by the sight of someone getting away with something
glue_16040,"is much more p.c. than the original version ( no more racist portraits of indians , for instance )","is much more politically correct than the original version (no more racist portraits of indians, for instance)"
glue_2166,"it 's a hoot watching the rock chomp on jumbo ants , pull an arrow out of his back , and leap unscathed through raging fire !","it's a hoot watching the rock chomp on jumbo ants, pull an arrow out of his back, and leap unscathed through raging fire!"
glue_11013,will forgive any shoddy product as long as there 's a little girl-on-girl action,will forgive any shoddy product as long as there's a little girl-on-girl action
glue_22722,"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings","lots of effort and intelligence are on display but in execution it is all awkward, static, and lifeless rumblings"
glue_5019,"dull , a road-trip movie that 's surprisingly short of both adventure and song .","dull, a road-trip movie that's surprisingly short of both adventure and song."
glue_5225,is simply no doubt that this film asks the right questions at the right time in the history of our country,is simply no doubt that this film asks the right questions at the right time in the history of our country
glue_21814,while the movie is slightly less successful than the first,while the movie is slightly less successful than the first
glue_13442,"the kids in the audience at the preview screening seemed bored , cheering the pratfalls but little else ;","the kids in the audience at the preview screening seemed bored, cheering the pratfalls but little else;"
glue_4981,i ca n't wait to see what the director does next,i can't wait to see what the director does next
glue_12053,"even if you do n't understand what on earth is going on , this is a movie that will stimulate hours of post viewing discussion , if only to be reminded of who did what to whom and why .","even if you do n't understand what on earth is going on, this is a movie that will stimulate hours of post viewing discussion, if only to be reminded of who did what to whom and why."
glue_7212,"the script boasts some tart tv-insider humor , but the film has not a trace of humanity or empathy .","The script features some sharp inside humor, but the film lacks any trace of humanity or empathy."
glue_7220,the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be.
glue_22405,then this first film to use a watercolor background since `` dumbo '' certainly ranks as the most original in years .,then this first film to use a watercolor background since `` dumbo '' certainly ranks as the most original in years.
glue_2604,of the rare directors who feels acting is the heart and soul of cinema,among the rare directors who feel acting is the heart and soul of cinema
glue_16089,is a general air of exuberance in all about the benjamins that 's hard to resist,is a general air of exuberance in all about the benjamins that 's hard to resist
glue_13697,fly at such a furiously funny pace that the only rip off that we were aware of,fly at such a furiously funny pace that the only rip off that we were aware of
glue_22082,"this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget","this film, like the similarly ill-timed antitrust, is easily as bad at a fraction of the budget"
glue_18796,"feels contrived , as if the filmmakers were worried the story would n't work without all those gimmicks .","feels contrived, as if the filmmakers were worried the story wouldn't work without all those gimmicks."
glue_23255,an engrossing iranian film about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed .,an engrossing film about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed.
glue_20267,more frustrating than a modem that disconnects every 10 seconds,more frustrating than a modem that disconnects every 10 seconds
glue_18924,", it 's the very definition of epic adventure .",", it's the very definition of epic adventure."
glue_5954,imagine that most every aggrieved father cliché has been unturned,imagine that most every aggrieved father stereotype has been unturned
glue_20280,"it 's a loathsome movie , it really is and it makes absolutely no sense","it's a loathsome movie, it really is and it makes absolutely no sense"
glue_7748,"with its lackadaisical plotting and mindless action , all about the benjamins evokes the bottom tier of blaxploitation flicks from the 1970s .","with its lackadaisical plotting and mindless action, the film evokes the bottom tier of blaxploitation flicks from the 1970s."
glue_5042,it 's an adventure story and history lesson all in one .,it's an adventure story and history lesson all in one.
glue_19052,in crisis -- and of two girls whose friendship is severely tested by bad luck and their own immaturity,in crisis -- and of two girls whose friendship is severely tested by bad luck and their own immaturity
glue_1603,effort to share his impressions of life and loss and time and art with us,effort to share his impressions of life and loss and time and art with us
glue_21532,"a giant commercial for universal studios , where much of the action takes place","a giant commercial for a theme park, where much of the action takes place"
glue_16443,"each scene drags , underscoring the obvious , and sentiment is slathered on top","each scene drags, underscoring the obvious, and sentiment is slathered on top"
glue_12624,"leigh is n't breaking new ground , but he knows how a daily grind can kill love","leigh is n't breaking new ground , but he knows how a daily grind can kill love"
glue_2386,a gift to anyone who loves both dance and cinema,a gift to anyone who loves both dance and cinema
glue_10227,more offended by his lack of faith in his audience than by anything on display,more offended by his lack of faith in his audience than by anything on display
glue_19679,a bad sign in a thriller when you instantly know whodunit,a bad sign in a thriller when you instantly know whodunit
glue_11288,"is not that it 's offensive , but that it 's boring","is not that it's offensive, but that it's boring"
glue_17286,", it 's still entertaining to watch the target practice .",", it's still entertaining to watch the target practice."
glue_21228,"brims with passion : for words , for its eccentric , accident-prone characters , and for the crazy things that keep people going in this crazy life .","brims with passion : for words, for its eccentric, accident-prone characters, and for the crazy things that keep people going in this crazy life."
glue_24324,"love moore or loathe him , you 've got to admire ... the intensity with which he 's willing to express his convictions","love person x or loathe them, you've got to admire ... the intensity with which they're willing to express their convictions"
glue_19042,emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears,emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears'
glue_17206,"cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas","cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas"
glue_20364,proves a servicable world war ii drama that ca n't totally hide its contrivances,proves a servicable world war ii drama that can't totally hide its contrivances
glue_18992,"that deftly , gradually reveals a real human soul buried beneath a spellbinding serpent 's smirk","that deftly, gradually reveals a real human soul buried beneath a spellbinding serpent's smirk"
glue_4246,"spiced with humor ( ' i speak fluent flatula , ' advises denlopp after a rather , er , bubbly exchange with an alien deckhand )","spiced with humor ( ' i speak fluent flatula, ' advises denlopp after a rather, er, bubbly exchange with an alien crewmember )"
glue_2559,sets itself apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note,sets itself apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note
glue_10711,", it 's a very entertaining , thought-provoking film with a simple message",", it's a very entertaining, thought-provoking film with a simple message"
glue_11311,it 's hard to understand why anyone in his right mind would even think to make the attraction a movie .,it's hard to understand why anyone in their right mind would even think to make the attraction a movie.
glue_6417,"ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler .","ironically has little to do with the story, which becomes something about how lame it is to try and evade your responsibilities and that you should never, ever, leave a large animal alone with a young child."
glue_19269,"it 's the kind of movie that , aside from robert altman , spike lee , the coen brothers and a few others , our moviemakers do n't make often enough .","it's the kind of movie that, aside from some directors, our moviemakers don't make often enough."
glue_11677,greatly impressed by the skill of the actors involved in the enterprise,greatly impressed by the skill of the actors involved in the enterprise
glue_10294,"a fine effort , an interesting topic , some intriguing characters and a sad ending .","a fine effort, an interesting topic, some intriguing characters and a sad ending."
glue_8468,"the film has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and filled with crude humor and vulgar innuendo .","the film has the thrown-together feel of a summer-camp talent show : hastily written, underrehearsed, arbitrarily plotted and filled with crude humor and vulgar innuendo."
glue_15105,manages to squeeze by on angelina jolie 's surprising flair for self-deprecating comedy .,manages to squeeze by on the surprising flair for self-deprecating comedy.
glue_22702,has a florid turn of phrase that owes more to guy ritchie than the bard of avon,has a florid turn of phrase that owes more to guy ritchie than the bard of avon
glue_3541,another useless recycling of a brutal mid - '70s american sports movie,another pointless remake of a harsh mid-'70s american sports film
glue_18552,"it is a whole lot of fun and you get to see the one of the world 's best actors , daniel auteuil ,","it is a whole lot of fun and you get to see one of the world's best actors, john doe"
glue_13967,` the country bears ' should never have been brought out of hibernation .,the country bears ' should never have been brought out of hibernation.
glue_8757,"a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham","a look for its true-to-life characters, its sensitive acting, its unadorned view of rural life and the subtle direction of first-timer alice smith"
glue_12248,that turns me into that annoying specimen of humanity that i usually dread encountering the most,that turns me into that annoying specimen of humanity that I usually dread encountering the most
glue_12609,we just do n't really care too much about this love story .,we just don't really care too much about this love story.
glue_1201,"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why","The direction occasionally achieves a level of marginal competence, but for most of the film, it is difficult to discern the chasing dynamics or the motivations."
